Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2429077166902358e-65,2.8897376102611236e-36,3.8426729279191919e-89,1.7681588211188203e-54,1.2715131942651711e-132,5.4889800419459697e-20,-6.1793346308958729e-106,5.4889800419459697e-20,2.5176329544962326e-72,7.2352214584713128e-71,8.5040726218721406e-113,9.8604498551796885e-114,3.9734404861464477e-52,1.1657757820170774e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421345588e-22,8.765302928586428e-38,3.2456429548823198e-37,3.5532015421236013e-22,3.183838896808842e-54,5.4385485207931782e-34,1.8162906627562769e-42,3.0965897272977374e-47,3.8032632259467492e-78,2.0592366854527553e-52,1.9089660657070045e-98,1.4976467771050802e-106,-1.6303096049108129e-109
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7805490418323115e-64,1.7454015166157765e-35,4.2463727521876477e-87,2.6720416080623657e-53,4.5881088747846678e-130,1.5369144117448717e-19,1.192929004419263e-104,1.5369144117448708e-19,7.1001277467689205e-71,2.2748693878785237e-69,1.7000514224696139e-110,1.9712051563805316e-111,4.7172685451319966e-51,6.0343911859912544e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643179945665e-22,5.2942429688403858e-37,1.96036834474695e-36,9.9489643179283777e-22,3.779853538261548e-53,3.284883295961415e-33,2.1563002674569389e-41,3.6763709778978172e-46,2.3137723063980101e-76,2.4447257929926663e-51,1.7977341240364171e-96,2.9939496603316925e-104,1.6499601060875816e-107
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4940857292758627e-63,8.4033569709102182e-35,3.8420186073090448e-85,2.8744604295540208e-52,1.6613393991131473e-127,3.5129472268454212e-19,1.2596070858125515e-102,3.5129472268454174e-19,1.5444328709790554e-69,5.0751084637464854e-68,3.0779453594062148e-108,3.5688695549578941e-109,4.631442230586993e-50,2.6348513534629964e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869785773e-21,2.5489500915942063e-36,9.4383297127682186e-36,2.2740489869467103e-21,3.7110826180276651e-52,1.5815298939501577e-32,2.117068373670042e-40,3.6096939124508439e-45,1.0446076078008463e-74,2.4002462806355134e-50,1.571228904560689e-94,5.4205498383689621e-102,3.4554673854899267e-105
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7765867629820309e-62,3.6699667653115292e-34,2.9080316108348115e-83,2.6421243606673812e-51,5.038036956375699e-125,7.4650128570465231e-19,9.9561442351272658e-101,7.4650128570465067e-19,2.8631182557748299e-68,9.5051164791994609e-67,4.6644500724133519e-106,5.4084176001242769e-107,4.0964582034603918e-49,9.8088909528289555e-81,4.076847284138252e-17,1.2070820217819832e-18,4.832354097365297e-21,1.1131934718904573e-35,4.1219665526699932e-35,4.8323540972261253e-21,3.2824105488593275e-51,6.906956457143518e-32,1.8725229737139948e-39,3.19310889050202e-44,3.9446961822883738e-73,2.1229906533851151e-49,1.1721855137601697e-92,8.2145331166078165e-100,5.5537709508942599e-103
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6489768499700446e-60,1.5321388812123594e-33,2.020744564325478e-81,2.2603930168245633e-50,1.4015935902104371e-122,1.5369144117448733e-18,7.056562443261442e-99,1.5369144117448661e-18,4.9209687517912816e-67,1.6417724961423671e-65,6.4863714149667049e-104,7.5209306085247101e-105,3.443319949997902e-48,3.3793116572229882e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643182526501e-21,4.6473636123763485e-35,1.7208398946511078e-34,9.9489643176716316e-21,2.7590638461989193e-50,2.8835182778871096e-31,1.5739683406786369e-38,2.6846321214408849e-43,1.3689153675213596e-71,1.7845015640998801e-48,8.0856697622931958e-91,1.1423107111674598e-97,7.9421332770379513e-101
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7084596131045867e-59,6.259287255462859e-33,1.3474366291519309e-79,1.8689366580229319e-49,3.7400651367445434e-120,3.1177406638253182e-18,4.7487430297108583e-97,3.1177406638252894e-18,8.1561448193043926e-66,2.7278295568387164e-64,8.6529100008727616e-102,1.0033026404846473e-102,2.8230417314181021e-47,1.1214703307299919e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184760483004e-20,1.8985996752385839e-34,7.0301924657604806e-34,2.0182184758109368e-20,2.2620472364192725e-49,1.178011238628865e-30,1.2904342642644151e-37,2.2020595440694523e-42,4.561171460386088e-70,1.4630421975330994e-47,5.3697335585652022e-89,1.5238584324242506e-95,1.0740709183767452e-98
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.390537944972002e-58,2.5301039869433509e-32,8.8073611127580904e-78,1.519788251785539e-48,9.7808472828347798e-118,6.2793931679862221e-18,3.115823995804844e-95,6.2793931679861027e-18,1.3280167495629457e-64,4.4470506453448537e-63,1.1313480077098264e-99,1.3117950415696883e-100,2.2861723860471973e-46,3.6541477957216235e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.0648625646766322e-20,7.6744434460095146e-34,2.8417161976697918e-33,4.0648625637171688e-20,1.8318644990837677e-48,4.7617092506673917e-30,1.0450269999239044e-36,1.7849628007219164e-41,1.4902209690151605e-68,1.1848095038826822e-46,3.5003043823573334e-87,1.992409722625166e-93,1.4138504020655391e-96
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0708325829055382e-57,1.0173436860659193e-31,5.7041257199059646e-76,1.2257642831687637e-47,2.5341164354093704e-115,1.2602698176308082e-17,2.0190075791925019e-93,1.2602698176307601e-17,2.14342438793782e-63,7.1819986678906769e-62,1.4655502033389582e-97,1.6993016090241997e-98,1.8401104282222646e-45,1.1799021801742708e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507426623385e-20,3.0858599551859126e-33,1.1426415846828018e-32,8.1581507388043782e-20,1.4744439166615119e-47,1.9146619258064876e-29,8.4112844514749944e-36,1.4393943872530063e-40,4.8250477228965327e-67,9.5363776544965886e-46,2.2607801037589411e-85,2.5809710663336406e-91,1.8376916344034216e-94
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.13502575084372e-55,4.0800032049648492e-31,3.6824594500893051e-74,9.8460053215167348e-47,6.5441311365680931e-113,2.5249308192952006e-17,1.3001843619487495e-91,2.5249308192950073e-17,3.4444254495810163e-62,1.1544853090605873e-60,1.8923026744298928e-95,2.1941199775665838e-96,1.4765727316250052e-44,3.7926901261205581e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727101549914e-19,1.237567859666422e-32,4.5825038128893482e-32,1.634472708607777e-19,1.183148384585356e-46,7.6786472981259064e-29,6.7495228434136438e-35,1.1593581726558429e-39,1.5573943632761404e-65,7.6523424977191739e-45,1.4535200952776863e-83,3.3325221063077206e-89,2.3768522973029965e-92
