Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CH3X(55),C2H4X(215)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.3839838880161436e-65,3.050277713398127e-36,4.519357017218036e-89,1.9175322319923782e-54,1.5785017484529016e-132,5.639389286244937e-20,-7.267494765163441e-106,5.639389286244937e-20,2.805139512234783e-72,3.903259960713504e-71,1.0275680879525996e-112,1.1914628538683888e-113,2.086420697722046e-52,1.336918992694885e-85,3.079825305287053e-18,9.118815342201396e-20,3.6505675576532694e-22,9.252264205903912e-38,3.4259550458221425e-37,3.650567557641702e-22,3.452810376926609e-54,5.74068906025761e-34,1.969730671334425e-42,3.3581925840579065e-47,4.353709123247299e-78,2.233200857118732e-52,1.1389089901811836e-75,1.8096441129397413e-106,-1.9699442664571012e-109,3.0822022676586105e-37,2.2352127963906234e-92
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.096155254305562e-64,1.8423677389120516e-35,4.994150879049361e-87,2.8977747023978503e-53,5.6958457947043715e-130,1.5790290001485825e-19,1.4029998351389902e-104,1.5790290001485816e-19,7.910942229473486e-71,1.2272473785293375e-69,2.0542155799260786e-110,2.381858278796205e-111,2.4769986523121254e-51,6.934501729711258e-84,8.623510854803745e-18,2.553268295816391e-19,1.022158916144794e-21,5.588367580308098e-37,2.0692768476744364e-36,1.0221589161378075e-21,4.0991764794338823e-53,3.467376180902641e-33,2.338464244799589e-41,3.9869572696067774e-46,2.6486462693367794e-76,2.6512560575971584e-51,6.928539150763231e-74,3.617666969709884e-104,1.9936899338883765e-107,1.8616501696626973e-36,2.4699723598235414e-90
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.117692047864216e-63,8.870207590855505e-35,4.518597826408256e-85,3.1172937913610692e-52,2.0624505770087968e-127,3.6092091431967598e-19,1.4814197032963778e-102,3.609209143196756e-19,1.7208027311313295e-69,2.7379213902794863e-68,3.719165849325212e-108,4.312364318034996e-109,2.4319319651920027e-50,3.0404001174224297e-82,1.9710881953837112e-17,5.836041819008894e-19,2.3363632369112433e-21,2.690558430990057e-36,9.96267727321872e-36,2.3363632368776065e-21,4.0245957751801496e-52,1.6693923614834796e-32,2.2959180450606214e-40,3.9146534807963715e-45,1.1957963209114696e-74,2.6030189191375724e-50,3.1278737403920207e-72,6.549801091675231e-102,4.175338114376419e-105,8.963044194304681e-36,2.234645249804183e-88
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.0886278559965327e-61,3.8738526963191674e-34,3.4201465454350736e-83,2.865330056647804e-51,6.254432263058557e-125,7.669569429293117e-19,1.1709388113605298e-100,7.6695694292931e-19,3.1900782524132296e-68,5.127823752080865e-67,5.636200702566908e-106,6.535161857169545e-107,2.1510162823706073e-49,1.1411740972268132e-80,4.188562415190379e-17,1.24015888653939e-18,4.964771878474204e-21,1.1750375540601019e-35,4.350962908160984e-35,4.9647718783273e-21,3.5597093858486906e-51,7.290674928386359e-32,2.0307134794806942e-39,3.4628850565684764e-44,4.515636404542097e-73,2.3023407558230834e-49,1.1810255916843758e-70,9.925879890795517e-100,6.71079833858292e-103,3.9143968798783273e-35,1.6912131902906618e-86
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.8361440293221237e-60,1.6172572439168796e-33,2.3766199851204564e-81,2.4513501890208154e-50,1.7400084799160446e-122,1.5790290001485839e-18,8.29919961428018e-99,1.5790290001485766e-18,5.482929447362771e-67,8.857040331141486e-66,7.83773430454635e-104,9.087835046438788e-105,1.808058793637331e-48,3.9956824134691165e-79,8.623510854803688e-17,2.5532682958163906e-18,1.0221589161720363e-20,4.905550481162994e-35,1.8164413652650774e-34,1.0221589161107068e-20,2.99215022704798e-50,3.0437131794218633e-31,1.7069369871354295e-38,2.91146738256359e-43,1.5670568783777415e-71,1.9352561318701003e-48,4.097526296204133e-69,1.3802987762044097e-97,9.596793258213763e-101,1.6341836422692984e-34,1.1749268931601957e-84
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.015883430096531e-59,6.607023540641914e-33,1.584755028874218e-79,2.0268237407439265e-49,4.643162250039324e-120,3.2031731145871314e-18,5.584980879481403e-97,3.2031731145871006e-18,9.087553459962592e-66,1.4716104975549271e-64,1.04557779854001e-101,1.212345072195519e-102,1.482355837090874e-47,1.3686153062495e-77,1.7493407734030208e-16,5.179487114370389e-18,2.0735223728693645e-20,2.0040774353721284e-34,7.4207556672001e-34,2.073522372618814e-20,2.4531455336812305e-49,1.2434560774647554e-30,1.3994499855110836e-37,2.388151096459927e-42,5.221437290249943e-70,1.5866399004259585e-47,1.3646472533348352e-67,1.8413609081890853e-95,1.2978586968150039e-98,6.676173399472679e-34,7.830837517559778e-83
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,4.88888613529476e-58,2.6706645533129625e-32,1.0358825215785788e-77,1.648179405331442e-48,1.2142888873456143e-117,6.451461343464239e-18,3.6645102359764036e-95,6.451461343464116e-18,1.4796725015001243e-64,2.399096525385783e-63,1.367103051425054e-99,1.5851528694215802e-100,1.2004501891511207e-46,4.7370180889566016e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492864564066e-20,8.100801415328557e-34,2.9995880882517903e-33,4.176249285443641e-20,1.986620854369113e-48,5.026247708732567e-30,1.1333107432473256e-36,1.935856174808096e-41,1.7059855065667766e-68,1.2849021282166882e-46,4.4544353865034856e-66,2.4075971388772607e-93,1.7084759490957277e-96,2.6986160307424227e-33,5.11383621099824e-81
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.873407728365616e-57,1.0738624716559328e-31,6.709274414147618e-76,1.329316399791721e-47,3.1462537450627876e-115,1.2948037801218505e-17,2.374548097204723e-93,1.2948037801218006e-17,2.3881973829918847e-63,3.874547293771957e-62,1.7710361083717745e-97,2.0535123274303095e-98,9.66226748398291e-46,1.7088170031161812e-74,7.071278900938656e-16,2.0936800025694344e-17,8.381703114400036e-20,3.257296618185062e-33,1.2061211775334052e-32,8.381703110327745e-20,1.5990052942573965e-47,2.0210316407351897e-29,9.121868594827895e-36,1.561154952826409e-40,5.523930634963143e-67,1.0342010174468531e-45,1.439596199694615e-64,3.1189612681411235e-91,2.220751165077196e-94,1.0851016368937031e-32,3.305928748281377e-79
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2638568952433225e-55,4.306668814311745e-31,4.331793313522572e-74,1.0677792236276773e-46,8.125726660282205e-113,2.5941190716727233e-17,1.5291425027310498e-91,2.5941190716725246e-17,3.837769081516588e-62,6.228221604469201e-61,2.286969844042766e-95,2.651736316827914e-96,7.753361137327412e-45,6.645289048843498e-73,1.4167196404318762e-15,4.194655057412619e-17,1.679261077336547e-19,1.3063216281997264e-32,4.83708537210902e-32,1.679261075703376e-19,1.2831010444831748e-46,8.105237144648861e-29,7.319721501460728e-35,1.2575583830195235e-39,1.7831539030498965e-65,8.298811859183004e-45,4.629523411150149e-63,4.02756913305159e-89,2.8725851586797074e-92,4.3517428865234556e-32,2.126441903297284e-77
