Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.797054721625676e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,5.1212501180568477e-54,3.451630044110825e-36,6.548353268407526e-89,2.308181544462293e-54,2.58812576367764e-132,5.998939808609185e-20,-1.0530264656211264e-105,5.998939808609184e-20,3.5918995801969054e-72,6.8363108750199195e-71,1.5838297183332418e-112,1.8364469453376198e-113,1.2432786708152237e-37,1.821240894237692e-85,3.276185716157702e-18,9.700203619054117e-20,3.883316780247977e-22,1.0469667390884099e-37,3.8767386044826825e-37,3.8833167802348887e-22,4.1562342477203105e-54,6.4960428825539534e-34,2.3710140955403136e-42,4.042348560363962e-47,5.93024218933402e-78,2.6881597513826456e-52,3.4877551976133038e-37,1.5513192029569954e-75,2.789273196865628e-106,7.292993169851592e-28,-3.036349907727466e-109,-2.7384251509183545e-124,3.2387203628591864e-92,4.654503488854653e-71,3.802241317047474e-102,1.3354453764061906e-87
1.9031753220551894e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,6.079948140175695e-53,2.0847845466665128e-35,7.236321593224131e-87,3.4881239196511714e-53,9.338976374195193e-130,1.6797031464105725e-19,2.0328821295617884e-104,1.6797031464105715e-19,1.0129731435101985e-70,2.1494455160525676e-69,3.1662459337005335e-110,3.671254937206032e-111,7.509403171723965e-37,9.447877237485664e-84,9.173320005241563e-18,2.7160570133351527e-19,1.0873286984715596e-21,6.323679104024343e-37,2.3415501171049674e-36,1.087328698463654e-21,4.934281298825193e-53,3.9236098872282303e-33,2.8148679237145364e-41,4.799218386432321e-46,3.6077608332682605e-76,3.191383256874514e-51,2.1066041393547004e-36,9.437431720815268e-74,5.576057081962531e-104,2.042038087961268e-27,3.072955424453669e-107,5.056503068854467e-122,3.5788761539533337e-90,1.3126444449000962e-69,3.588436679845306e-100,7.691481605893803e-86
4.350115021840433e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.969329137664734e-52,1.0037340168627884e-34,6.547289090965705e-85,3.752364538464295e-52,3.381631061181694e-127,3.839321477509881e-19,2.1465089000139256e-102,3.8393214775098756e-19,2.2034378463227773e-69,4.795294705108783e-68,5.732522843981749e-108,6.646847160416512e-109,3.6154543747306906e-36,4.143461495471401e-82,2.096758858340927e-17,6.208130316194635e-19,2.4853227393735875e-21,3.044579277164613e-36,1.1273555861797046e-35,2.485322739335524e-21,4.844506638930874e-52,1.8890492494951523e-32,2.7636539971779243e-40,4.7122022262182744e-45,1.6288182617598853e-74,3.1333190063140243e-50,1.0142392114603452e-35,4.2605077636023045e-72,1.009551224728608e-101,4.667515631524772e-27,6.435642604056655e-105,2.1078252448793437e-119,3.237898011890338e-88,2.8552883827066024e-68,3.150024069340313e-98,3.4491831833337848e-84
9.24399442141092e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,5.2798040218329995e-51,4.383570156386139e-34,4.955709155103993e-83,3.449069486152267e-51,1.0254956327731334e-124,8.158558139708499e-19,1.6966363915240488e-100,8.158558139708478e-19,4.084802416038921e-68,8.98105627675646e-67,8.687402687271184e-106,1.0073023597946097e-106,1.5789639119353547e-35,1.555995667261225e-80,4.455612573974461e-17,1.3192276921913602e-18,5.28131082121166e-21,1.3296477585343137e-35,4.923458027653123e-35,5.281310821045426e-21,4.2849112595846935e-51,8.249974246410974e-32,2.4444206235121242e-39,4.1684252347201916e-44,6.150885960064377e-73,2.771385177500517e-49,4.42944910091099e-35,1.608686639935104e-70,1.5299333751101258e-99,9.918470725096933e-27,1.034374334987635e-102,6.78540745452227e-117,2.4504899924535274e-86,5.2932234524491055e-67,2.370408367830226e-96,1.2976689189208267e-82
1.9031753220551894e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,4.437993412525904e-50,1.83005424971641e-33,3.443716365926714e-81,2.950751560775524e-50,2.853013212726914e-122,1.6797031464105746e-18,1.2025157889874911e-98,1.6797031464105661e-18,7.020731681566773e-67,1.5512541285950232e-65,1.2080935039786264e-103,1.4007816619223203e-104,6.5918635126625e-35,5.453612576678721e-79,9.1733200052415e-17,2.716057013335153e-18,1.0873286985023865e-20,5.551017649675036e-35,2.0554468080608223e-34,1.0873286984329874e-20,3.6017260985190245e-50,3.444201743340821e-31,2.0546827548251832e-38,3.504713820378524e-43,2.1345683009059223e-71,2.329516230382366e-48,1.8492078057224577e-34,5.5812810859344e-69,2.1275663607432818e-97,2.0420380938021862e-26,1.4792318437199926e-100,1.9422954024041754e-114,1.7024149318468918e-84,9.097698690227067e-66,1.6632329126429618e-94,4.493415467477343e-81
3.860727081883384e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.638535132050322e-49,7.476368743530079e-33,2.2963750976912548e-79,2.4397384523843224e-49,7.613410764302816e-120,3.4073978112900273e-18,8.092379989518727e-97,3.4073978112899926e-18,1.1636347886058465e-65,2.5774319352355727e-64,1.611682069612592e-101,1.868741683084324e-102,2.692991332132764e-34,1.8715719122148412e-77,1.8608734867775468e-16,5.509715655622736e-18,2.205723931319253e-20,2.2677718347123383e-34,8.397170886549745e-34,2.205723931035735e-20,2.9529126619804495e-49,1.4070687091351306e-30,1.6845529518444833e-37,2.874854097328121e-42,7.112602300446612e-70,1.909878149453377e-47,7.5546172677970665e-34,1.8587995107958983e-67,2.8383238086622753e-95,4.1424201466994137e-26,2.000555629339121e-98,5.255803158893171e-112,1.1346522703449645e-82,1.507876838535778e-64,1.1419400253238575e-92,1.494987628860412e-79
7.775830601539774e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996495,0.02282156769305428,0.0,2.94658008564133e-48,3.022067784151427e-32,1.5011264528950566e-77,1.9839547913219995e-48,1.9911929807237428e-117,6.8627871410489465e-18,5.309706504804418e-95,6.8627871410488055e-18,1.894677600604104e-64,4.2018645633846426e-63,2.1074159117134155e-99,2.443543942082549e-100,1.0885501536750563e-33,6.500451548787604e-76,3.7479564592842957e-16,1.1097032940197895e-17,4.442514397170684e-20,9.166696337986229e-34,3.3942707314275994e-33,4.442514396024659e-20,2.3913452319515196e-48,5.6875960096575804e-30,1.3641944784136257e-36,2.3305252238295115e-41,2.3240212023317044e-68,1.5466688429184669e-46,3.053697087396965e-33,6.06743041741097e-66,3.7113577605913096e-93,8.343184293742834e-26,2.633651320550052e-96,1.3840940013491581e-109,7.409712958417249e-81,2.455186539988252e-63,7.931161219648209e-91,4.87740503624718e-78
1.5606037640852552e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996456,0.022821567693054275,0.0,2.3716640001022636e-47,1.2151601654070647e-31,9.72376247842519e-76,1.6001314128897125e-47,5.159846567985976e-115,1.3773565800566842e-17,3.440610795383041e-93,1.3773565800566277e-17,3.058017286113113e-63,6.7860224894777256e-62,2.7304122823230916e-97,3.1659068125131024e-98,4.3770122917528705e-33,2.358699603438975e-74,7.522122404297613e-16,2.227166750934819e-17,8.916095329744347e-20,3.685888278141061e-33,1.364821332459764e-32,8.916095325136229e-20,1.92476268315496e-47,2.2869567907792915e-29,1.09802211357394e-35,1.8796630124912383e-40,7.526020365361327e-67,1.244893642824466e-45,1.2278781680461463e-32,1.9608881663318502e-64,4.808513002226171e-91,1.674471275282554e-25,3.423745901061626e-94,3.598981806941062e-107,4.79013830379801e-79,3.962680974083292e-62,5.752110573552301e-89,1.575890301345844e-76
3.126645171947811e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.1186699660299638,0.022821567693054264,0.0,1.9031109987097255e-46,4.87333576446357e-31,6.279570446205012e-74,1.2853125696968044e-46,1.3329322469376007e-112,2.7595123119602855e-17,2.215657037548885e-91,2.7595123119600587e-17,4.914151684009114e-62,1.0908332945128723e-60,3.526665536856391e-95,4.0891606444622705e-96,1.7553776956528294e-32,9.251675169191547e-73,1.5070454294323534e-15,4.46209366476487e-17,1.7863257198374876e-19,1.4782060526968344e-32,5.473543973604036e-32,1.7863257179894256e-19,1.5445008329383942e-46,9.171715187972206e-29,8.810931379118257e-35,1.5144956742652765e-39,2.4300221718165673e-65,9.98948749140528e-45,4.9243406346075457e-32,6.305919254739352e-63,6.210789921646303e-89,3.3547770330974416e-25,4.429741359671259e-92,9.313207835505435e-105,3.0811161636900593e-77,6.367921944232712e-61,4.507675993703136e-87,5.067178567762721e-75
