Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.797054720318162e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.828896794884376e-122,5.121251586504012e-54,3.4516310344819976e-36,6.548359619404332e-89,2.308182812942233e-54,2.5881290471587616e-132,5.998941531030216e-20,-1.0530271056928141e-105,5.998941531030215e-20,3.591900708677694e-72,3.010027688585197e-71,1.5838317279973725e-112,1.8364487260838443e-113,1.2432790275472096e-37,1.8212409363379946e-85,3.2761857155274795e-18,9.70020361718814e-20,3.883316779500963e-22,1.0469667386465683e-37,3.87674019610906e-37,3.8833167794878748e-22,6.496044064486433e-34,2.371014895544135e-42,4.0423492965108487e-47,5.9302432496176335e-78,2.6881605221752932e-52,1.55131973860398e-75,3.4877561983498623e-37,4.156234245166778e-54,2.789275901538232e-106,-3.0363523394954613e-109,7.29299325229694e-28,-2.7384285952207895e-124,3.238721480517175e-92,3.802241404209703e-102,4.654506045879542e-71,-2.2146190704086766e-109
1.9031753216890852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.056021451868461e-119,6.079949883516157e-53,2.084785144850701e-35,7.236328632162182e-87,3.488125873857212e-53,9.338988248804012e-130,1.6797036286884612e-19,2.0328833728641706e-104,1.6797036286884602e-19,1.0129734722020544e-70,9.464008698786525e-70,3.1662499602503217e-110,3.671258507562189e-111,7.5094053263851504e-37,9.447877557641151e-84,9.173320003476938e-18,2.7160570128126797e-19,1.0873286982623959e-21,6.323679101127924e-37,2.3415510784473003e-36,1.08732869825449e-21,3.923610601115444e-33,2.8148688734790684e-41,4.799219260433852e-46,3.6077614887273953e-76,3.191384171959546e-51,9.437434979430284e-74,2.106604743799582e-36,4.934281295630934e-53,5.5760625047703125e-104,3.072957888436739e-107,2.0420381110459654e-27,5.056509438340478e-122,3.578877389001418e-90,3.588436800345067e-100,1.3126451795534024e-69,2.2413179970424634e-107
4.3501150210036237e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.45819345367235e-117,5.9693308492867124e-52,1.0037343048627256e-34,6.54729546020336e-85,3.752366643287595e-52,3.3816353613118714e-127,3.8393225798593417e-19,2.1465102145788036e-102,3.839322579859336e-19,2.203438563540026e-69,2.111368279469389e-68,5.7325301346437494e-108,6.646853625222625e-109,3.615455412107291e-36,4.1434616464083263e-82,2.0967588579375843e-17,6.20813031500041e-19,2.4853227388954987e-21,3.044579275538193e-36,1.1273560490246557e-35,2.4853227388574352e-21,1.8890495932011117e-32,2.763654929662365e-40,4.712203084419716e-45,1.6288185577767583e-74,3.1333199047499347e-50,4.260509234696972e-72,1.0142395024745369e-35,4.844506635450091e-52,1.0095522066306751e-101,6.435647764643195e-105,4.6675156842897955e-27,2.107827900178401e-119,3.23789912926908e-88,3.150024183387321e-98,2.855289983641542e-68,4.693957315033977e-105
9.243994419632701e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.4341577458515174e-114,5.2798055357432057e-51,4.383571414157529e-34,4.955713976149737e-83,3.449071421063907e-51,1.0254969368304257e-124,8.158560482201103e-19,1.696637430768317e-100,8.158560482201082e-19,4.084803746070652e-68,3.954359117507291e-67,8.687413736158051e-106,1.0073033395312363e-106,1.5789643649849602e-35,1.5559957283049686e-80,4.455612573117358e-17,1.3192276919375873e-18,5.2813108201957214e-21,1.3296477576202455e-35,4.923460049018625e-35,5.281310820029489e-21,8.249975747465159e-32,2.4444214482840333e-39,4.168425993970307e-44,6.150887078036255e-73,2.7713859721569065e-49,1.608687195392448e-70,4.429450371846422e-35,4.284911255892893e-51,1.5299348631755088e-99,1.03437516444893e-102,9.91847083722261e-27,6.785416002475713e-117,2.4504908381025886e-86,2.370408460279194e-96,5.293226420872249e-67,7.5444043060930145e-103
1.9031753216890855e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,4.10349389768008e-112,4.437994685058571e-50,1.830054774811206e-33,3.4437197161999056e-81,2.9507532161531267e-50,2.853016840832233e-122,1.6797036286884638e-18,1.2025165255830101e-98,1.679703628688455e-18,7.02073396763607e-67,6.830171994767227e-66,1.2080950405133873e-103,1.400783024424758e-104,6.591865404055338e-35,5.453612819147584e-79,9.173320003476878e-17,2.716057012812679e-18,1.0873286982932226e-20,5.551017644156031e-35,2.0554476519411286e-34,1.0873286982238237e-20,3.4442023700013593e-31,2.0546834480956384e-38,3.5047144588779087e-43,2.1345686889643243e-71,2.3295168983389428e-48,5.581283013073879e-69,1.849208336312982e-34,3.601726094384463e-50,2.127568430169551e-97,1.4792330299689061e-100,2.0420381168868855e-26,1.9422978492968234e-114,1.702415519339833e-84,1.663232986145889e-94,9.09770379229761e-66,1.0789056456375342e-100
3.860727081140716e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,1.1101609028946056e-109,3.63853617534935e-49,7.476370888713655e-33,2.296377331934311e-79,2.439739821084456e-49,7.61342044667531e-120,3.4073987896251734e-18,8.092384946481876e-97,3.4073987896251388e-18,1.1636351675067415e-65,1.13484329196238e-64,1.611684119583438e-101,1.868743500903687e-102,2.692992104828384e-34,1.8715720139826913e-77,1.8608734864195805e-16,5.509715654562861e-18,2.2057239308949492e-20,2.2677718310659718e-34,8.397174334076148e-34,2.2057239306114312e-20,1.407068965146379e-30,1.6845535202294358e-37,2.874854621306886e-42,7.112603594055256e-70,1.9098786970845346e-47,1.8588001526137484e-67,7.554619435432485e-34,2.95291265689931e-49,2.838326569643125e-95,2.0005572338125366e-98,4.142420193528378e-26,5.255809780532192e-112,1.134652661906487e-82,1.1419400870316994e-92,1.5078776841687237e-64,1.4591429830881762e-98
7.775830600043978e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996495,0.02282156769305428,2.9232621299130385e-107,2.946580930531713e-48,3.0220686512689276e-32,1.5011279136394697e-77,1.983955904326406e-48,1.991195513335607e-117,6.862789111498607e-18,5.309709757250299e-95,6.862789111498467e-18,1.894678217546322e-64,1.8500809844006917e-63,2.107418592556657e-99,2.443546319419363e-100,1.0885504660109246e-33,6.500452019183755e-76,3.747956458563321e-16,1.1097032938063217e-17,4.442514396316101e-20,9.166696311995868e-34,3.394272124972893e-33,4.442514395170075e-20,5.687597044495747e-30,1.3641949387064127e-36,2.330525648968345e-41,2.324021625378447e-68,1.546669286404377e-46,6.067432512410956e-66,3.0536979635898584e-33,2.3913452250971764e-48,3.7113613713909055e-93,2.633653433185954e-96,8.343184388060341e-26,1.3840957453450687e-109,7.409715515463505e-81,7.93116178997924e-91,2.45518791688272e-63,1.920903270983036e-96
1.5606037637850502e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996456,0.022821567693054275,7.600848202901556e-105,2.3716646801431946e-47,1.2151605140711981e-31,9.723771943620594e-76,1.6001323105681058e-47,5.159853132419545e-115,1.3773569755245532e-17,3.440612902919652e-93,1.3773569755244966e-17,3.0580182818604056e-63,2.9878857278908685e-62,2.7304157565227135e-97,3.165909893617859e-98,4.377013547641215e-33,2.3586998449628496e-74,7.522122402850622e-16,2.2271667505063906e-17,8.916095328029204e-20,3.685888258642278e-33,1.3648218927981972e-32,8.916095323421086e-20,2.286957206882983e-29,1.0980224840574859e-35,1.879663355979447e-40,7.526021737690243e-67,1.2448939997805093e-45,1.9608888433994056e-64,1.2278785203594548e-32,1.924762673227978e-47,4.808517681938251e-91,3.4237486485528814e-94,1.6744712942120181e-25,3.598986342868722e-107,4.790139956845045e-79,5.752111159042194e-89,3.962683196396601e-62,2.4971736676298947e-94
3.1266451713463548e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.1186699660299638,0.022821567693054264,1.966875861372019e-102,1.90311154439918e-46,4.873337162762688e-31,6.2795765626625635e-74,1.2853132907609105e-46,1.3329339435302782e-112,2.759513104273961e-17,2.2156583947434727e-91,2.7595131042737335e-17,4.914153284148297e-62,4.802939031026279e-61,3.526670026379694e-95,4.08916462660009e-96,1.755378199319869e-32,9.251676521801785e-73,1.507045429142451e-15,4.46209366390652e-17,1.7863257194938612e-19,1.4782060376194918e-32,5.473546220811772e-32,1.7863257176457995e-19,9.171716856732624e-29,8.810934352013228e-35,1.5144959519784468e-39,2.4300226164267563e-65,9.989490355752724e-45,6.30592143208559e-63,4.9243420475414904e-32,1.544500817895099e-46,6.210795969885467e-89,4.429744917194729e-92,3.3547770710223515e-25,9.31321957900666e-105,3.0811172269639353e-77,4.507676649321947e-87,6.367925515430557e-61,3.230915461701024e-92
6.258727986468964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999677,0.11866996602996226,0.022821567693054243,5.092612368773322e-100,1.524805121438566e-45,1.95187679029068e-30,4.0611564831449044e-72,1.0303376923926894e-45,3.448108348318924e-110,5.5238253617728665e-17,1.4224103591449046e-89,5.523825361771956e-17,7.879743511033674e-61,7.702606824376274e-60,4.561518508691113e-93,5.289068721467176e-94,7.03066880135046e-32,4.038291439621072e-71,3.0167118068569412e-15,8.931947490706739e-17,3.575758094269026e-19,5.920534356309244e-32,2.1922734742168726e-31,3.575758086867134e-19,3.6734671526231723e-28,7.059462126376009e-34,1.223349959626459e-38,7.857954100047048e-64,8.003748456426102e-44,2.0228803150918586e-61,1.9723053412362006e-31,1.2374801316662437e-45,8.03326099316814e-87,5.734734960581037e-90,6.715388888636481e-25,2.4113250833886383e-102,1.9768654181861241e-75,3.92999960564722e-85,1.021083732193215e-59,4.182733877642557e-90
1.2522893616714182e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999366,0.11866996602995918,0.0228215676930542,1.3266184058965855e-97,1.2207712460177434e-44,7.81259394706353e-30,2.6435838536396306e-70,8.251057945125118e-45,8.977421943928446e-108,1.105244987677104e-16,9.11749641303673e-88,1.1052449876767395e-16,1.2621283838075244e-59,1.2338513116381762e-58,5.938284551717976e-91,6.885425328331923e-92,2.814099765709073e-31,1.9799766633285067e-69,6.036044562284774e-15,1.787165514430703e-16,7.154622849392505e-19,2.3697566175304244e-31,8.774807121166403e-31,7.154622819765622e-19,1.470341366640021e-27,5.651850424940236e-33,9.9529216966535e-38,2.5578028364892407e-62,6.407865423720879e-43,6.481195545290819e-60,7.894361333368536e-31,9.907365204406135e-45,1.0457874833904734e-84,7.469627618120881e-88,1.343661357983859e-24,6.281127197026218e-100,1.2667784763080616e-73,3.8488597647386305e-83,1.6355085147976917e-58,5.448109748053496e-88
2.5051224877204618e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998745,0.11866996602995303,0.022821567693054108,3.505119546599569e-95,9.769880174386683e-44,3.1260552548700263e-29,1.7457014802025483e-68,6.604190551585683e-44,2.3709210657998016e-105,2.2109698906768842e-16,5.8397042010224356e-86,2.2109698906754248e-16,2.0205015762301988e-58,1.9753101969060326e-57,7.8418797961091e-89,9.092639006780474e-90,1.1260064597530928e-30,1.0734063410718753e-67,1.2074710073135848e-14,3.5751070451507013e-16,1.4312352381932214e-18,9.482112734694525e-31,3.511065815814776e-30,1.431235226338587e-18,5.8832580470120844e-27,4.523179275478389e-32,8.219350827142105e-37,8.447155879916059e-61,5.1282398791102264e-42,2.0752537158671462e-58,3.158772815419135e-30,7.928902801270351e-44,1.3810284185804167e-82,9.86845767886258e-86,2.687906718613819e-24,1.6593779025073817e-97,8.112432170287601e-72,4.1690477227992758e-81,2.6182340676420733e-57,7.19774083729622e-86
5.010788739818549e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799975,0.11866996602994073,0.022821567693053928,9.520395811038654e-93,7.817388579045569e-43,1.2506256892922995e-28,1.1851357279426485e-66,5.284690445429631e-43,6.436358520136569e-103,4.422419696677024e-16,3.738853416778754e-84,4.4224196966711875e-16,3.2336797008984465e-57,3.1614149998041126e-56,1.0645305863980216e-86,1.2343204152231876e-87,4.504759050388715e-30,6.249151668365529e-66,2.4152041094819634e-14,7.150990106590462e-16,2.862781153618382e-18,3.7934621428234854e-30,1.4046549498339754e-29,2.862781106191944e-18,2.3536682085147902e-26,3.619200600556668e-31,6.983183469143713e-36,2.868539877875736e-59,4.1033711566707413e-41,6.642805732078476e-57,1.263714808211512e-29,6.344326257975236e-43,1.874737978206275e-80,1.3403442357340003e-83,5.376399129431896e-24,4.506150935524977e-95,5.193541582675661e-70,4.851143521559643e-79,4.190311186606304e-56,9.776048019046988e-84
1.0022121244014724e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995014,0.11866996602991613,0.02282156769305357,2.7160613297698656e-90,6.254504766274907e-42,5.002910145980148e-28,8.450640873262643e-65,4.2282876221382107e-42,1.8348105925243174e-100,8.845319308679627e-16,2.393327962751291e-82,8.845319308656275e-16,5.174589362358909e-56,5.05899876443978e-55,1.5175945232573856e-84,1.7596468556454907e-85,1.8020502728758815e-29,3.800721922047877e-64,4.830670313811375e-14,1.4302756229469022e-15,5.725873020138526e-18,1.5175080421818495e-29,5.619077058707089e-29,5.7258728304158886e-18,9.415294223196918e-26,2.895587317373205e-30,6.237449700249874e-35,1.0234424572433013e-57,3.283008773336949e-40,2.1259908375614984e-55,5.055270596889815e-29,5.075941871775611e-42,2.672625949795033e-78,1.9122634995599846e-81,1.075339070930068e-23,1.2850917106210923e-92,3.3243334635735184e-68,5.8987098842578625e-77,6.705407368805864e-55,1.3947450097099315e-81
2.0044786252407074e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999004,0.11866996602986693,0.022821567693052856,8.37896102677348e-88,5.003841488986481e-41,2.0012456871491136e-27,6.515534967279239e-63,3.382844215151023e-41,5.6541466088143544e-98,1.7691118532694115e-15,1.5318776798445715e-80,1.7691118532600708e-15,8.279904485498977e-55,8.094984912020962e-54,2.338924048741494e-82,2.7119762701569267e-83,7.208494407400525e-29,2.3687973053098587e-62,9.66160272244082e-14,2.8606288475222324e-15,1.1452056895865719e-17,6.070276679378482e-29,2.2477222624458846e-28,1.1452056136932711e-17,3.7661550610497e-25,2.3165028941919838e-29,6.03079184548105e-34,3.949644210428491e-56,2.6265319458814968e-39,6.803472683931285e-54,2.0221904910215135e-28,4.060944585285602e-41,4.119064038023006e-76,2.9504145167978643e-79,2.1507400901968756e-23,3.962338722609108e-90,2.1276710560912023e-66,7.351247436114397e-75,1.072937941167879e-53,2.1519408412845312e-79
4.0090116269191773e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980093,0.11866996602976854,0.022821567693051426,2.8747525236951485e-85,4.00316842741607e-40,8.005147193654811e-27,5.586603331168414e-61,2.7063610185959507e-40,1.9373011596459895e-95,3.5382716980760246e-15,9.804490068980481e-79,3.5382716980386598e-15,1.3248296374976747e-53,1.2952442282276301e-52,4.0082835106889615e-80,4.647594136830664e-81,2.883456427194095e-28,1.4955836349369007e-60,1.9323467539582182e-13,5.721335296671362e-15,2.2904425218128494e-17,2.4281580801643875e-28,8.99107180162491e-28,2.290442218224209e-17,1.5063999770937118e-24,1.8531232212490815e-28,6.48957930291388e-33,1.6955106679143045e-54,2.1012758190576066e-38,2.1770528099971856e-52,8.088926283763904e-28,3.2488300756937524e-40,7.058962020457803e-74,5.0629693790470476e-77,4.3015529419026934e-23,1.3585413923688037e-87,1.3616744656895773e-64,9.281707246666243e-73,1.7167589156156292e-52,3.69277642574635e-77
8.0180776302761175e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767996019,0.11866996602957174,0.022821567693048564,1.1094626627291834e-82,3.20257309821502e-39,3.202092714288955e-26,5.388302270675487e-59,2.165123069005651e-39,7.466846554012975e-93,7.076591387704106e-15,6.275024961111032e-77,7.076591387554649e-15,2.1197633493235882e-52,2.072427085426357e-51,7.726977303013239e-78,8.959409645728542e-79,1.1533943038369555e-27,9.50538390597068e-59,3.864719717339482e-13,1.144274819496351e-14,4.5809164146373443e-17,9.712715181621674e-28,3.596465167870939e-27,4.5809152001964066e-17,6.0249197481904724e-24,1.4823192706816361e-27,7.854973186319663e-32,8.187347374069145e-53,1.6810412245803432e-37,6.965792262293956e-51,3.235603227507686e-27,2.5990905763774568e-39,1.360792875558115e-71,9.77299311115703e-75,8.603221898003144e-23,5.239608064154036e-85,8.713756624114405e-63,1.179757712768494e-70,2.7468608270428023e-51,7.128138845968733e-75
1.6036209636989997e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767992039,0.11866996602917813,0.022821567693042843,4.7519096844564546e-80,2.562074239238322e-38,1.2808446108256144e-25,5.76807544433498e-57,1.7321121489863266e-38,3.1947712768241637e-90,1.4153230767019703e-14,4.0160643702774203e-75,1.4153230766421866e-14,3.3916500797019133e-51,3.315909211290651e-50,1.6534619838331458e-75,1.9171847264226678e-76,4.613600681435731e-27,6.06103726796143e-57,7.729465643913971e-13,2.288557399152334e-14,9.161865114162531e-17,3.885093079587693e-27,1.4385932738467892e-26,9.161860255782257e-17,2.4093871931263366e-23,1.185547517605693e-26,1.0543595320040834e-30,4.386745217020401e-51,1.3448419497653576e-36,2.228492162309964e-49,1.2942477136516874e-26,2.0792778714196799e-38,2.91190068594154e-69,2.0934519711370302e-72,1.7206732820959289e-22,2.2429892424849198e-82,5.575412132453872e-61,1.5044817681688412e-68,4.39501455222593e-50,1.526909324763542e-72
3.2072473650417758e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984079,0.11866996602839094,0.0228215676930314,2.194518816836632e-77,2.0496663645530457e-37,5.123399550406692e-25,6.65832976566952e-55,1.385695183963803e-37,1.4743872511064155e-87,2.8306509525888605e-14,2.570296649051837e-73,2.8306509523497268e-14,5.42666303086528e-50,5.30546525587206e-49,3.8160157637529953e-73,4.424659795103685e-74,1.845444965854188e-26,3.8703896710744084e-55,1.5458957496310795e-12,4.5771225584545146e-14,1.8323766171830138e-16,1.554030981040374e-26,5.754386846589944e-26,1.8323746733521268e-16,9.632832823647591e-23,9.479372720884001e-26,1.5244995771066387e-29,2.5336358441701847e-49,1.0758783346422331e-35,7.127481598933174e-48,5.17700273848479e-26,1.663416147616407e-37,6.72035806727669e-67,4.834755376848031e-70,3.441444670989254e-22,1.035494655292441e-79,3.566430680189744e-59,1.921391690969858e-66,7.032052999594775e-49,3.526372014942768e-70
6.4145001677273276e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767968158,0.11866996602681655,0.022821567693008516,1.0617825524211767e-74,1.639736951088197e-36,2.0493688792928275e-24,8.052987160744577e-53,1.1085583126709196e-36,7.130726415443703e-85,5.661306704457729e-14,1.6449947559297485e-71,5.661306703501195e-14,8.682678937259404e-49,8.488720241967799e-48,9.228806188180737e-71,1.070077432437898e-71,7.381789250401935e-26,2.472352308955895e-53,3.091794119809584e-12,9.154252877019732e-14,3.66475829464178e-16,6.216050206363983e-26,2.301756959098774e-25,3.6647505155280046e-16,3.8493508735690173e-22,7.57546347107746e-25,2.3075398976540544e-28,1.532776478493953e-47,8.607064735434711e-35,2.2784171043343245e-46,2.0708027030142883e-25,1.3307171567061917e-36,1.6252777729000964e-64,1.1697065326112342e-67,6.883264265984247e-22,5.009056712521443e-77,2.2801556907240915e-57,2.4546689058998335e-64,1.1251308356982542e-47,8.531733621663628e-68
1.2829005773098431e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679363175,0.11866996602366778,0.022821567692962744,5.270280303500397e-72,1.311792816855162e-35,8.19753221302176e-24,9.992440802510176e-51,8.868474836748831e-36,3.538668098384655e-82,1.1322618208575812e-13,1.0527981554644723e-69,1.1322618204749675e-13,1.3892300018445407e-47,1.3581828796113071e-46,2.2900471770316615e-68,2.655302593132379e-69,2.95271757789079e-25,1.578350805086742e-51,6.18359085896315e-12,1.8308513513993608e-13,7.329527533078253e-16,2.486356368114918e-25,9.207028039080069e-25,7.329496386401273e-16,1.5367199221635338e-21,6.047536673672417e-24,3.581382208040476e-27,9.511630136395036e-46,6.885697251865079e-34,7.275736547714622e-45,8.283207874045449e-25,1.0645461391688322e-35,4.032980612368643e-62,2.9030482177513048e-65,1.3768010724807325e-21,2.4860279570934957e-74,1.456281665500421e-55,3.1340306550282875e-62,1.800211152850351e-46,2.1175229324421624e-65
2.5658016983840637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767872636,0.11866996601737023,0.022821567692871202,2.6479283224030406e-69,1.0494382951595622e-34,3.279054889231474e-23,1.2550851120094218e-48,7.094782680953292e-35,1.777745617829573e-79,2.2645241218333368e-13,6.737912309056514e-68,2.2645241203028822e-13,2.2227688599835142e-46,2.1730493606349006e-45,5.752476286613798e-66,6.669975659519855e-67,1.181087406967943e-24,1.0057605398890726e-49,1.2367184332456515e-11,3.661703478731506e-13,1.46590897016556e-15,9.944906310243956e-25,3.682807865581001e-24,1.4658964874308004e-15,6.1228426833657514e-21,4.817600494662176e-23,5.624640211729851e-26,5.97405538580777e-44,5.5086240718967174e-33,2.318556870336508e-43,3.313277639427787e-24,8.5159182907729e-35,1.0130615002007665e-59,7.292565641935363e-63,2.7541932717783577e-21,1.248973554127512e-71,9.281762031559583e-54,3.9939331828261034e-60,2.880339076734539e-45,5.319627476273039e-63
5.131603940532505e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767745273,0.11866996600477513,0.022821567692688116,1.3347847171077413e-66,8.395566348565978e-34,1.3116545770691258e-22,1.5816681484481834e-46,5.6758264332327155e-34,8.961146187051063e-77,4.529048724393401e-13,4.312264268533332e-66,4.5290487182715853e-13,3.556430092085175e-45,3.4767376473588785e-44,1.4498449822202434e-63,1.6810886861267805e-64,4.724350381618548e-24,6.383416821730158e-48,2.4734371260188164e-11,7.323407733145292e-13,2.931831005037579e-15,3.977545358754423e-24,1.473119763762449e-23,2.9317808835353345e-15,2.430115370714762e-20,3.821743377479176e-22,8.861156572079989e-25,3.764375881831481e-42,4.4070017565226485e-32,7.358091323299052e-42,1.325306015687773e-23,6.812009630227854e-34,2.553295511659541e-57,1.837825233667855e-60,5.510749300503792e-21,6.295713677331086e-69,5.8916408575118664e-52,5.069247250775496e-58,4.608542803198231e-44,1.340784799034711e-60
