Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CH3X(55),C2H4X(215)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38966863991083e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.3830355768133038e-65,3.050278588609856e-36,4.5193614154037685e-89,1.9175333106123416e-54,1.5785037563041402e-132,5.639390905431494e-20,-7.26749921898905e-106,5.639390905431493e-20,2.805140429851717e-72,4.430683866855978e-72,1.0275693952149324e-112,1.191464013156997e-113,2.368351483312831e-53,1.3369190408263114e-85,3.079825304694602e-18,9.118815340447253e-20,3.6505675569510267e-22,9.252264201568574e-38,3.4259564523756828e-37,3.65056755693946e-22,5.7406901047560785e-34,1.9697313359412112e-42,3.3581931956129797e-47,4.353709916141953e-78,2.2332014974582023e-52,1.1389093834511292e-75,1.8096458737162587e-106,3.452810374644519e-54,-1.969945846353222e-109,3.082203152030451e-37,2.235213567788792e-92
1.7891072191750326e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,3.0938232344077645e-64,1.8423682675399374e-35,4.994155737393989e-87,2.8977763283457974e-53,5.6958530376536796e-130,1.5790294535208187e-19,1.4030006947411936e-104,1.5790294535208177e-19,7.91094480660257e-71,1.3930778915334453e-70,2.0542181924999284e-110,2.3818605954308234e-111,2.8117068807538897e-52,6.934501974601328e-84,8.623510853144882e-18,2.5532682953252307e-19,1.0221589159481662e-21,5.588367577237159e-37,2.0692776972327753e-36,1.0221589159411796e-21,3.467376811779712e-33,2.3384650338207627e-41,3.986957995682404e-46,2.648646750686975e-76,2.6512568178081798e-51,6.928541543094428e-74,3.6176704883124225e-104,4.0991764764206924e-53,1.9936915325726394e-107,1.861650703823289e-36,2.4699732121969665e-90
4.089387929542932e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.112898087134359e-63,8.870210135971222e-35,4.5186022221286206e-85,3.1172955402007773e-52,2.0624531996540273e-127,3.6092101794761577e-19,1.4814206107608842e-102,3.6092101794761534e-19,1.7208032914836535e-69,3.107880141819689e-69,3.719170579391554e-108,4.312368512300619e-109,2.76055048822061e-51,3.040400228203295e-82,1.971088195004543e-17,5.836041817886242e-19,2.3363632364618084e-21,2.6905584290507485e-36,9.962681363476422e-36,2.3363632364281715e-21,1.6693926652236292e-32,2.2959188197262813e-40,3.9146541937410405e-45,1.1957965382321964e-74,2.6030196655172614e-50,3.1278748204037704e-72,6.54980746210307e-102,4.0245957715780765e-52,4.175341462480357e-105,8.963046766057997e-36,2.2346460209665725e-88
8.68994935027873e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.0877595739972505e-61,3.873853807838068e-34,3.420149872636879e-83,2.8653316641092104e-51,6.25444021640659e-125,7.669571631386837e-19,1.1709395286181815e-100,7.669571631386819e-19,3.1900792911677616e-68,5.820715547601854e-68,5.636207870835278e-106,6.535168213476149e-107,2.4416756437056587e-50,1.1411741416612115e-80,4.188562414384646e-17,1.2401588863008265e-18,4.964771877519154e-21,1.1750375528083021e-35,4.3509646944839825e-35,4.96477187737225e-21,7.290676254899354e-32,2.0307141646636823e-39,3.462885687301047e-44,4.5156372252840624e-73,2.3023414159874666e-49,1.1810259994762469e-70,9.925889545022542e-100,3.559709381517602e-51,6.710803719934076e-103,3.914398003030566e-35,1.6912137739179537e-86
1.7891072191750326e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.8346671551889522e-60,1.61725770795414e-33,2.3766222972412113e-81,2.4513515642357163e-50,1.7400106926331052e-122,1.5790294535208201e-18,8.299204697933912e-99,1.5790294535208128e-18,5.482931232707743e-67,1.0053838591054344e-66,7.837744273068819e-104,9.087843885887956e-105,2.0523754990383313e-49,3.995682588687469e-79,8.623510853144826e-17,2.5532682953252307e-18,1.0221589159754086e-20,4.905550472553493e-35,1.8164421110197657e-34,1.0221589159140792e-20,3.0437137332148986e-31,1.706937563072993e-38,2.9114679129696675e-43,1.5670571632568359e-71,1.9352566867780408e-48,4.0975277110235144e-69,1.3803001187772966e-97,2.9921502214810754e-50,9.596800954180567e-101,1.6341841111632488e-34,1.1749272986202506e-84
3.6293317874693516e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,0.0,3.013447637257767e-59,6.607025436385536e-33,1.5847565707364345e-79,2.026824877797991e-49,4.643168154948462e-120,3.2031740342850963e-18,5.584984300546138e-97,3.2031740342850663e-18,9.087556419039234e-66,1.6704603161332388e-65,1.0455791284476863e-101,1.2123462514935074e-102,1.682661430972393e-48,1.3686153790966986e-77,1.7493407730665088e-16,5.179487113374037e-18,2.0735223724704915e-20,2.0040774290898433e-34,7.420758713851336e-34,2.0735223722199406e-20,1.243456303707256e-30,1.3994504576994538e-37,2.3881515317081015e-42,5.221438239852823e-70,1.5866403553730154e-47,1.3646477245287204e-67,1.8413626993566952e-95,2.4531455259580754e-49,1.2978597377035703e-98,6.67617531505746e-34,7.830840219933647e-83
7.30978092405799e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.02282156769305428,0.0,4.8849295344694375e-58,2.670665319602845e-32,1.0358835295753844e-77,1.6481803299649027e-48,1.214290431785422e-117,6.45146319581366e-18,3.664512480662011e-95,6.4514631958135386e-18,1.4796729833090121e-64,2.7232719093716773e-64,1.3671047904911521e-99,1.5851544115957973e-100,1.362662848786558e-47,4.737018422111122e-76,3.5233201485705217e-16,1.0431924749471644e-17,4.176249285653042e-20,8.100801367580354e-34,2.9995893197569303e-33,4.1762492846402764e-20,5.0262486232407375e-30,1.1333111256376455e-36,1.9358565279137825e-41,1.705985817079116e-68,1.2849024966446098e-46,4.4544369245585536e-66,2.4075994811966188e-93,1.9866208429979847e-48,1.7084773195518442e-96,2.698616805052418e-33,5.113837975751586e-81
1.4670679197235267e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.867029234290603e-57,1.0738627797777243e-31,6.709280944765201e-76,1.3293171455421024e-47,3.146257747657615e-115,1.2948041518870844e-17,2.374549551727584e-93,1.2948041518870346e-17,2.3881981606333658e-63,4.398091380924706e-63,1.77103836178764e-97,2.053514325861354e-98,1.0967896033196203e-46,1.7088171725521486e-74,7.071278899578389e-16,2.0936800021666833e-17,8.381703112787688e-20,3.257296581008504e-33,1.206121672716206e-32,8.381703108715397e-20,2.0210320084547492e-29,9.12187167263681e-36,1.5611552380514362e-40,5.523931642015451e-67,1.034201313989697e-45,1.4395966967672688e-64,3.1189643034426265e-91,1.59900527686812e-47,2.2207529471052795e-94,1.0851019482403471e-32,3.305929889136899e-79
2.939247574358982e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2628324745581345e-55,4.3066700500179395e-31,4.331797532478036e-74,1.06777982265494e-46,8.125737002335125e-113,2.5941198164985405e-17,1.5291434394030555e-91,2.5941198164983414e-17,3.8377703311655716e-62,7.069803357034645e-62,2.286972755238348e-95,2.6517388989677355e-96,8.801045730406007e-46,6.645289991183306e-73,1.4167196401593487e-15,4.1946550566057134e-17,1.6792610770135162e-19,1.3063215988708974e-32,4.837087358013527e-32,1.6792610753803447e-19,8.105238619367525e-29,7.319723971206864e-35,1.2575586135233547e-39,1.7831542291732702e-65,8.298814238752572e-45,4.629525009660242e-63,4.027573054914646e-89,1.283101017310328e-46,2.8725874654394263e-92,4.3517441351627514e-32,2.126442637119069e-77
5.883606883629893e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799997,0.11866996602996244,0.022821567693054243,0.0,2.023824740494173e-54,1.724914372177574e-30,2.8001613023464397e-72,8.559576924689267e-46,2.1010275493242424e-110,5.1927511457215325e-17,9.816808737259194e-90,5.192751145720735e-17,6.153785630059895e-61,1.1338039931608731e-60,2.9566636691383526e-93,3.428243753199646e-94,7.051546358356019e-45,2.870495931190661e-71,2.8359031405621155e-15,8.396605165483741e-17,3.361442609714283e-19,5.232100002482863e-32,1.937357954028679e-31,3.361442603173078e-19,3.246320183387333e-28,5.864680781862625e-34,1.0153167173901303e-38,5.763443376513398e-64,6.649150184511517e-44,1.4851081930938651e-61,5.206961427235758e-87,1.0280421866062308e-45,3.717086214325398e-90,1.7429675109609223e-31,1.3643398997300008e-75
1.1772325502171713e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.2407563272340064e-53,6.90415278532482e-30,1.8210705373574294e-70,6.854603661791825e-45,5.465187580211897e-108,1.039001380416784e-16,6.292468124572056e-88,1.0390013804164643e-16,9.856751683253017e-60,1.8161974529306209e-59,3.845522314836527e-91,4.458873015812932e-92,5.64552446634738e-44,1.393223261682817e-69,5.674270141366634e-15,1.6800505383239667e-16,6.725805680040926e-19,2.0942034213130804e-31,7.754480712285535e-31,6.725805653859032e-19,1.2993717397869014e-27,4.695301440724044e-33,8.252633258012173e-38,1.874290626945051e-62,5.323363144372208e-43,4.7582042854852636e-60,6.772324682870916e-85,8.230588030687798e-45,4.837122300180269e-88,6.976412341925189e-31,8.742712647357376e-74
2.3549762739255357e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999882,0.11866996602995376,0.02282156769305412,0.0,5.187320205144024e-52,2.762560453707863e-29,1.2004375562913884e-68,5.486461134972047e-44,1.4408226797130026e-105,2.0784539121061736e-16,4.0302897722701484e-86,2.0784539121048942e-16,1.5779363310577471e-58,2.9076056690640485e-58,5.069360305563036e-89,5.877909946906168e-90,4.518134943206332e-43,7.4937531339501e-68,1.1351004142971616e-14,3.3608305818750985e-16,1.3454531840394763e-18,8.379540676921585e-31,3.10280234930541e-30,1.3454531735632902e-18,5.199160671000227e-27,3.7576534862393643e-32,6.802970491286159e-37,6.178894395878968e-61,4.260308440321998e-42,1.523558959796815e-58,8.927617904650164e-83,6.586971230003801e-44,6.3792635582085456e-86,2.7914736514828062e-30,5.598822674983699e-72
4.710463721342264e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999765,0.1186699660299422,0.022821567693053952,0.0,8.301399646600878e-51,1.1052040942461473e-28,8.123378542111273e-67,4.390280461029494e-43,3.898876795284606e-103,4.1573589754854653e-16,2.5803811575379878e-84,4.157358975480347e-16,2.525383173745477e-57,4.653520624721042e-57,6.85953529756652e-87,7.953613137777243e-88,3.615193745091737e-42,4.3402757377965796e-66,2.2704472146165352e-14,6.722390668977152e-16,2.691198423990564e-18,3.3523612458930285e-30,1.2413229792797892e-29,2.6911983820788474e-18,2.079987776542181e-26,3.006670240834038e-31,5.760835867373348e-36,2.091466642893525e-59,3.4088941158220924e-41,4.8768548502466457e-57,1.2080283558386245e-80,5.2705767538046895e-43,8.636384948220804e-84,1.1167712263792687e-29,3.584342143023596e-70
