Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CO2X(24),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.953329266492073e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.991380408037716e-122,5.482671163430541e-54,3.6121720128309715e-36,7.505247713171305e-89,2.4710770985124454e-54,3.104291489457076e-132,6.136866250465416e-20,-1.2069012051902705e-105,6.136866250465416e-20,3.9338015297882717e-72,2.634621673179457e-71,1.8570071542085803e-112,2.153194914832925e-113,1.3011059590610332e-37,2.0405478848373485e-85,3.3515101695656458e-18,9.923225937949986e-20,3.972600092985703e-22,1.0956628659660857e-37,4.0570536936024005e-37,3.9726000929720055e-22,6.798185648310393e-34,2.5383433668555505e-42,4.3276313648221425e-47,6.644051464713119e-78,2.877870756524708e-52,1.7380467896682243e-75,3.64997741687761e-37,4.449550126232847e-54,3.2703633931916004e-106,7.460670173823551e-28,-3.560054971650462e-109,-3.2845659693107217e-124,3.7119812707183454e-92,5.097552657693103e-71,4.358038906078474e-102,-2.5965911561251516e-109,-1.5728080024984843e-146,-1.563116116547089e-148
1.9469321946177806e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.2666295135424045e-119,6.509027205245095e-53,2.181751895775144e-35,8.29375265447564e-87,3.7342916738708906e-53,1.1201512873147763e-129,1.718322550130317e-19,2.3299394731213108e-104,1.718322550130316e-19,1.1093949615074752e-70,8.283672070227202e-70,3.712359468747496e-110,4.30447104741238e-111,7.858679992728641e-37,1.0586085003072427e-83,9.384228474783804e-18,2.778503262625996e-19,1.1123280260382218e-21,6.617803709777598e-37,2.4504604309330952e-36,1.1123280260299482e-21,4.1061041167687876e-33,3.0135212336194796e-41,5.137919665144681e-46,4.0420212214011747e-76,3.416608162182315e-51,1.0573386748539916e-73,2.2045863597900768e-36,5.2825059093626e-53,6.537812458835041e-104,2.088987649092152e-27,3.602976593746366e-107,6.064956347824129e-122,4.1018426303846564e-90,1.4375913964242005e-69,4.1131847910754106e-100,2.62789682634373e-107,6.731172104804152e-144,5.081789214655929e-146
4.450130730554927e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.3473226836293056e-117,6.3906015081577476e-52,1.0504196213691018e-34,7.504043822726092e-85,4.017180574688506e-52,4.056058881875752e-127,3.9275944002978684e-19,2.4601700898392407e-102,3.9275944002978626e-19,2.4131763611503164e-69,1.8480416702942496e-68,6.721276996251678e-108,7.793303012690723e-109,3.783616128949485e-36,4.6430995220872796e-82,2.1449665085220105e-17,6.350864600287989e-19,2.5424640595264243e-21,3.1861876132430346e-36,1.179791214095446e-35,2.5424640594865903e-21,1.97691236431263e-32,2.9586929927213993e-40,5.044769816199102e-45,1.8248791468344357e-74,3.354446153917358e-50,4.773332157956024e-72,1.0614134328220098e-35,5.186395625583796e-52,1.1836797824984464e-101,4.774828914197977e-27,7.545668492254377e-105,2.528206987158074e-119,3.7110387519060974e-88,3.1270752934827184e-68,3.611021612831956e-98,5.503571219483647e-105,6.433605046627865e-141,4.309031938806506e-143
9.45652780242922e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.720186999315617e-114,5.652414662782879e-51,4.587458456686509e-34,5.679902852437493e-83,3.692481047186592e-51,1.2300225920040637e-124,8.346138100632971e-19,1.9445594209490901e-100,8.34613810063295e-19,4.473622274699852e-68,3.461177521381714e-67,1.018584823335268e-105,1.1810464256709065e-106,1.6524045680075126e-35,1.743969446127963e-80,4.5580538306092636e-17,1.3495587275611977e-18,5.402736126538428e-21,1.391491838757707e-35,5.152458190832348e-35,5.402736126364462e-21,8.633695543788534e-32,2.6169304025539967e-39,4.462628496321828e-44,6.891288261045039e-73,2.9669696353822485e-49,1.80231936983187e-70,4.635471319372572e-35,4.5873081948792706e-51,1.7938232017608688e-99,1.0146511451154556e-26,1.2127877384942042e-102,8.138703142937611e-117,2.8085700310658424e-86,5.7970705800058916e-67,2.717844107364142e-96,8.845689021973709e-103,4.3865191328216116e-138,2.773395516577209e-140
1.9469321946177804e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.921925567982839e-112,4.751195107730739e-50,1.9151736015550385e-33,3.9469804807772735e-81,3.15899527593037e-50,3.42204367400675e-122,1.7183225501303188e-18,1.3782348522013343e-98,1.71832255013031e-18,7.689013674682797e-67,5.978323432950863e-66,1.41647950162182e-103,1.6424042594149058e-104,6.898463794941603e-35,6.114796300813884e-79,9.384228474783739e-17,2.778503262625995e-18,1.1123280260704823e-20,5.809204506179188e-35,2.1510498683095625e-34,1.1123280259978555e-20,3.604397824125077e-31,2.1996876122616684e-38,3.752095175515246e-43,2.3915271949653277e-71,2.4939167520995348e-48,6.253082951367948e-69,1.935218026372714e-34,3.855908940673625e-50,2.4945529685731037e-97,2.088987655204742e-26,1.7343862635660223e-100,2.3296842322128427e-114,1.9511818327217837e-84,9.963683168975617e-66,1.9077453862595648e-94,1.2650063199007846e-100,2.5795281713706114e-135,1.5873963450262394e-137
3.9494910233674975e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.3315951299396141e-109,3.895316804646871e-49,7.82410906965315e-33,2.631997318407678e-79,2.6119183831122427e-49,9.132002193948263e-120,3.485740030264366e-18,9.274888729901424e-97,3.485740030264329e-18,1.2743976280159239e-65,9.933073793334072e-65,1.889705422927794e-101,2.1911084714481772e-102,2.8182475515645633e-34,2.100013096455254e-77,1.9036577763132576e-16,5.636392332755588e-18,2.2564368529607182e-20,2.3732495864307047e-34,8.787740582165166e-34,2.256436852664013e-20,1.4725140292376018e-30,1.8034366843948214e-37,3.0778129610705946e-42,7.968908556796757e-70,2.0446636298509562e-47,2.0825375634986416e-67,7.905997083581183e-34,3.161307108561488e-49,3.32794810441803e-95,4.2376606861751994e-26,2.3456609600791027e-98,6.304140296513674e-112,1.3004543438342482e-82,1.651407415057941e-64,1.310768955948494e-92,1.7108506934457993e-98,1.414307376037779e-132,8.590065539028866e-135
7.954608680866932e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.506420965898785e-107,3.1545285416539933e-48,3.1626299839420426e-32,1.7205602937854344e-77,2.1239686514974175e-48,2.388416395217352e-117,7.020574990532474e-18,6.085593741800727e-95,7.020574990532328e-18,2.075026171190172e-64,1.6193417248786226e-63,2.471012572158184e-99,2.8651325831796457e-100,1.1391807202439718e-33,7.303566735775573e-76,3.8341276339829775e-16,1.1352170473014766e-17,4.544654506969013e-20,9.593054245823209e-34,3.552145247058545e-33,4.5446545057696855e-20,5.95213640907475e-30,1.4604695904560952e-36,2.495114436091538e-41,2.6038771271057584e-68,1.6558216195469381e-46,6.79774857249484e-66,3.1957304270037725e-33,2.5601084504987206e-48,4.351684397631595e-93,8.535006791283648e-26,3.0880400762208548e-96,1.6602074150845233e-109,8.492463838577511e-81,2.688888875979951e-63,9.115739975096638e-91,2.2523184748187237e-96,7.497007024914394e-130,4.524187456033598e-132
1.59648439958658e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,9.117553933044744e-105,2.53903900865561e-47,1.2716796077939672e-31,1.1145688666446614e-75,1.7130576634706912e-47,6.189467832704566e-115,1.4090244911068752e-17,3.943374178102911e-93,1.409024491106816e-17,3.3491006061464743e-63,2.6152412070490986e-62,3.2016422258536214e-97,3.712295746326859e-98,4.58059557311275e-33,2.6559758311764046e-74,7.69506734932223e-16,2.2783726753533097e-17,9.121089815896908e-20,3.8573248943299726e-33,1.428301980830406e-32,9.121089811074461e-20,2.393327283096706e-29,1.175512672373257e-35,2.0125055381513493e-40,8.432685339108498e-67,1.3327492936172418e-45,2.196914301145766e-64,1.2849891492062443e-32,2.060597991782645e-47,5.638391595641426e-91,1.7129699174170689e-25,4.014636266525105e-94,4.317141893906916e-107,5.490101481399162e-79,4.339877486587799e-62,6.625785958787408e-89,2.92814835452049e-94,3.9113411547024494e-127,2.3528581150665732e-129
3.1985314625863537e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,2.3595705395811058e-102,2.037418902240246e-46,5.10000400790376e-31,7.19850245203009e-74,1.3760210753549338e-46,1.599057281690283e-112,2.822958475214155e-17,2.5394225819215494e-91,2.822958475213917e-17,5.381914764949836e-62,4.203923846059982e-61,4.1356934938693245e-95,4.795325736474531e-96,1.8370236969625352e-32,1.0451250720866658e-72,1.5416946779999983e-15,4.564683931456967e-17,1.8273960437397911e-19,1.5469597847400912e-32,5.728129765926354e-32,1.8273960418057725e-19,9.598308126341185e-29,9.432743876424891e-35,1.6216821169327106e-39,2.723019223132172e-65,1.0694473760828924e-44,7.064943461713775e-63,5.15338121248614e-32,1.6535000946823309e-46,7.283343293256846e-89,3.431908463062534e-25,5.194728545287639e-92,1.1172633281745254e-104,3.531346935033714e-77,6.974066613704431e-61,5.209003516132827e-87,3.7888702613018224e-92,2.0276360019903702e-124,1.217825495321612e-126
