Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),H2OX(23),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875635999514166e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.390334816743438e-122,5.300933039583543e-54,3.531900510253418e-36,7.015924880150996e-89,2.389165810382005e-54,2.837412167251008e-132,6.068294017960599e-20,-1.1282151939751595e-105,6.068294017960599e-20,3.7609072568789033e-72,2.212418757073371e-71,1.7165380229585584e-112,1.9903219218133696e-113,1.2721921282760408e-37,1.929023925526557e-85,3.3140619538399725e-18,9.812348426971968e-20,3.9282121073471303e-22,1.0713148025752003e-37,3.9668953162147876e-37,3.9282121073337368e-22,6.647113646983888e-34,2.4542029125737636e-42,4.184179028033751e-47,6.281063001297263e-78,2.782475862981502e-52,1.6430913928814111e-75,3.5688657836042364e-37,3.0229850112154547e-106,4.30205885901305e-54,7.37730803069778e-28,-3.2907641624565844e-109,-3.0021882854541652e-124,3.4699731516606005e-92,-2.4001804727228e-109,4.0738216139391304e-102,-1.4215304660557154e-146,-1.4127711103902983e-148
1.9251780798639664e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1577375951720526e-119,6.293267704613044e-53,2.133267908217465e-35,7.753018766747973e-87,3.610507374840644e-53,1.023850324756968e-129,1.6991223250289682e-19,2.1780350314614436e-104,1.6991223250289672e-19,1.0606360215768307e-70,6.956198555424952e-70,3.4315452545501814e-110,3.978868894523699e-111,7.684040454787285e-37,1.0007264932906792e-83,9.27937347075192e-18,2.747457559552151e-19,1.099899390059372e-21,6.470741406241064e-37,2.3960047709910677e-36,1.0998993900512822e-21,4.014856628458522e-33,2.913629686802082e-41,4.967606207360225e-46,3.8211897684099236e-76,3.303355344566231e-51,9.995726734744271e-74,2.1555949332930922e-36,6.043274154748128e-104,5.107404276451643e-53,2.0656462490075683e-27,3.3304379730222287e-107,5.543543665450581e-122,3.834416922666403e-90,2.429117309740784e-107,3.8448414700545836e-100,6.08374366257964e-144,4.593006543392621e-146
4.4004070396890666e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.887610817414846e-117,6.17876755099891e-52,1.0270766684182945e-34,7.014792148129317e-85,3.884019077129988e-52,3.707351226674247e-127,3.883708171494785e-19,2.2997750401747626e-102,3.88370817149478e-19,2.3071150189493795e-69,1.5518896316103779e-68,6.212854639335161e-108,7.203790781383282e-109,3.699534709026725e-36,4.389007911593021e-82,2.1209996504575794e-17,6.279902993262059e-19,2.514055748717391e-21,3.115383443918962e-36,1.1535731579512649e-35,2.5140557486784427e-21,1.9329806270632945e-32,2.860618880778962e-40,4.877540557435996e-45,1.7251776088170345e-74,3.2432538659984685e-50,4.51254881753511e-72,1.0378261698663116e-35,1.0941421745551345e-101,5.014479803062798e-52,4.7214771425319085e-27,6.9748893188170925e-105,2.3108518934102642e-119,3.4690920823906803e-88,5.087266154522639e-105,3.3752720898326495e-98,5.814793072369688e-141,3.894572766464326e-143
9.350864959339266e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.572299447354316e-114,5.465049926615747e-51,4.48551364840005e-34,5.3095746390020215e-83,3.5700826894544335e-51,1.1242734372966897e-124,8.252879864426421e-19,1.8177805020147453e-100,8.2528798644264e-19,4.277002421501904e-68,2.9065175287326464e-67,9.415339384168185e-106,1.0917064537408338e-106,1.6156840029105705e-35,1.6483695788236903e-80,4.507124257222348e-17,1.3344793860681876e-18,5.342368466068237e-21,1.3605697972351255e-35,5.037957051551495e-35,5.3423684658981375e-21,8.441834109713464e-32,2.5301849631013125e-39,4.3146903236819893e-44,6.514776079972874e-73,2.868621315924592e-49,1.7038525444082044e-70,4.532459545117442e-35,1.6581298784424533e-99,4.435250594982187e-51,1.0033138936175628e-26,1.1210468719587622e-102,7.438991638556983e-117,2.6254611473322256e-86,8.176565318858518e-103,2.5401590638829457e-96,3.964598951454848e-138,2.506636127464697e-140
1.9251780798639667e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.498765891559241e-112,4.593703757404333e-50,1.87261365087675e-33,3.6896277756346436e-81,3.054280903983571e-50,3.1278302154108864e-122,1.6991223250289703e-18,1.2883784442746527e-98,1.6991223250289615e-18,7.351074383717431e-67,5.020286229922147e-66,1.309326117360033e-103,1.5181606462029328e-104,6.74516266411956e-35,5.778493112802689e-79,9.279373470751855e-17,2.7474575595521507e-18,1.0998993900909154e-20,5.680111064935297e-35,2.103247896619924e-34,1.0998993900199024e-20,3.5242994558703973e-31,2.1267728468039926e-38,3.627700846536917e-43,2.2608572612490587e-71,2.411249063654508e-48,5.91145580484222e-69,1.8922126384130211e-34,2.3058465204579723e-97,3.7280953628382446e-50,2.065646254984322e-26,1.6031846567324066e-100,2.1293873959400453e-114,1.823971643357013e-84,1.169312755614212e-100,1.782683691585932e-94,2.3314079148460493e-135,1.4347083094033754e-137
3.9053612477240464e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.2171050222329304e-109,3.766195880413367e-49,7.65023778411126e-33,2.4603705965120255e-79,2.5253385154114373e-49,8.34682203499984e-120,3.44679100220163e-18,8.670196297520899e-97,3.446791002201594e-18,1.2183866688698824e-65,8.341280652087934e-65,1.7467436187308778e-101,2.0253452411790587e-102,2.7556190375310272e-34,1.983794647247662e-77,1.8823871897810755e-16,5.5734139065200744e-18,2.2312244771147894e-20,2.3205106994603934e-34,8.592453930419287e-34,2.2312244768246784e-20,1.4397912352607848e-30,1.7436567596074508e-37,2.9757558336576816e-42,7.533454218121553e-70,1.9768876642758296e-47,1.9687614690669292e-67,7.730306041461385e-34,3.076179908027118e-95,3.056517810419936e-49,4.190310988269902e-26,2.168205600073647e-98,5.762102807799898e-112,1.2156692977420693e-82,1.5814213644925302e-98,1.224399814949038e-92,1.278260373334769e-132,7.763762129331035e-135
7.865727583444207e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.204903276437586e-107,3.0499630695085905e-48,3.0923484303219955e-32,1.6083479443871483e-77,2.0535633409656647e-48,2.1830327239842648e-117,6.942128356546965e-18,5.6888329191794887e-95,6.94212835654682e-18,1.98382684411525e-64,1.3598392681506932e-63,2.284047107438031e-99,2.6483474105840147e-100,1.1138652735278246e-33,6.894831579884106e-76,3.7912868751928094e-16,1.1225326600455914e-17,4.493874651385299e-20,9.379875200072189e-34,3.4732072600624474e-33,4.493874650212623e-20,5.819865668154737e-30,1.4120582659826802e-36,2.412350702024013e-41,2.4615620270926043e-68,1.600934885386855e-46,6.426364508397073e-66,3.124713298727418e-33,4.022421919954158e-93,2.475247352144363e-48,8.439640497049305e-26,2.854388983638513e-96,1.5174434604369454e-109,7.938785098182031e-81,2.0819020713592637e-96,8.50951519223986e-91,6.775767670528465e-130,4.0889457994696935e-132
1.5786460254884525e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,8.333343365728973e-105,2.454875619658229e-47,1.243419704159606e-31,1.0418545742458523e-75,1.656273229919783e-47,5.657097362408222e-115,1.393280306523769e-17,3.686279069690088e-93,1.3932803065237112e-17,3.201904524561266e-63,2.196144046524624e-62,2.959327450382608e-97,3.4313334276560764e-98,4.478803275280882e-33,2.5045888409522834e-74,7.609086246016094e-16,2.2529151988327574e-17,9.01917500081737e-20,3.7716065115774095e-33,1.3965613634447837e-32,9.019174996102088e-20,2.3401418194295882e-29,1.1365470404601187e-35,1.945704595501963e-40,7.97161282168132e-67,1.2885716748841531e-45,2.0768894264819213e-64,1.2564334742762684e-32,5.211654157543072e-91,1.9922943844040438e-47,1.693829968344109e-25,3.7107908406497345e-94,3.9458138650999126e-107,5.132166210271593e-79,2.7065348175548365e-94,6.178405669472583e-89,3.5349758965574263e-127,2.126456828259248e-129
3.1627925597765167e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996377,0.022821567693054264,2.1565232683283177e-102,1.9698830829559802e-46,4.986669154512511e-31,6.728567892025349e-74,1.3304087302576214e-46,1.4614527056146587e-112,2.791415248261937e-17,2.373860529091639e-91,2.7914152482617054e-17,5.14537461343311e-62,3.5302374015472194e-61,3.822512649960112e-95,4.4321946971731185e-96,1.7962004327601322e-32,9.83985426890408e-73,1.524468498766193e-15,4.5136802764070795e-17,1.806977570324572e-19,1.512582858512196e-32,5.600835693901014e-32,1.8069775684335323e-19,9.385010785735582e-29,9.120069440098002e-35,1.5677808805456915e-39,2.5740154026069125e-65,1.0339976191896655e-44,6.678961692935468e-63,5.038860184221421e-32,6.731804531366804e-89,1.5986907310312445e-46,3.3935618731556583e-25,4.801349715384838e-92,1.021118490613733e-104,3.3011155773959048e-77,3.501954390138689e-92,4.849578844839978e-87,1.8324461222174995e-124,1.1005914934433352e-126
