Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.1953510765832518e-122,1.3110988950139945e-65,2.970007247255636e-36,4.1718708054356764e-89,1.8423403295077388e-54,1.4187876343424595e-132,5.5646920903778486e-20,-6.7087114431362558e-106,5.5646920903778486e-20,2.6594431780125918e-72,4.7681382474750285e-73,9.3599573981281538e-113,1.0852849250973089e-113,2.5829971062402324e-54,1.2484267573011623e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345420081e-22,9.0087835615965365e-38,3.3357983340900261e-37,3.6022135345307445e-22,5.5896182957681449e-34,1.8924919407013463e-42,3.2265069744970845e-47,4.0729074925169441e-78,2.1456307125372157e-52,2.0725052467421465e-98,1.6483765894908632e-106,3.3174158785024452e-54,-1.7943915018706829e-109,-1.3087730470852248e-109
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.7890063566598033e-120,2.9328787922540218e-64,1.7938843773612203e-35,4.6101568737187975e-87,2.7841447288681267e-53,5.1195335881657131e-130,1.558113785305798e-19,1.2951259393886311e-104,1.558113785305797e-19,7.5000553324469881e-71,1.4991789637420912e-71,1.8711522589464863e-110,2.1695967757290208e-111,3.0665341622991899e-53,6.4622164930084986e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896735916e-21,5.4413052668848291e-37,2.0148221937883227e-36,1.0086197896667887e-21,3.3761294396016759e-33,2.2467664242183476e-41,3.8306143469445006e-46,2.4778153630729226e-76,2.5472927819486424e-51,1.9517441944579175e-96,3.2952752323748732e-104,3.93843612808119e-53,1.8160203961766865e-107,1.3245484872767132e-107
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.4439270847576405e-117,5.7948769137422385e-63,8.6367810753016293e-35,4.1711652521053905e-85,2.995055853110155e-52,1.8537680270485834e-127,3.5614029378418247e-19,1.367516260047332e-102,3.5614029378418209e-19,1.6314258577855478e-69,3.344585793610136e-70,3.3877263164817915e-108,3.9280609357915767e-109,3.010741420123049e-52,2.8216566287237456e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621196903e-21,2.6197542532330508e-36,9.7005015555029909e-36,2.3054166620869378e-21,1.6254609838459515e-32,2.2058885819563878e-40,3.761142856618269e-45,1.1186696413146413e-74,2.5009471586092045e-50,1.7058345029974936e-94,5.9661048807535523e-102,3.8667799390640163e-52,3.8032460105426742e-105,2.7739687071111978e-105
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,7.8618056587848432e-115,1.031167599207496e-61,3.7719092043063038e-34,3.1571683695016771e-83,2.7529723318243096e-51,5.6215885464479406e-125,7.5679812429138801e-19,1.0809076325076616e-100,7.5679812429138618e-19,3.0243885924480761e-68,6.2640390184810497e-69,5.1339134884410589e-106,5.9527609782223144e-107,2.6629666821372409e-51,1.0504320156116514e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070411577e-21,1.1441155056275637e-35,4.2364638842624989e-35,4.8990104068981206e-21,7.0988150644701477e-32,1.951083440522748e-39,3.3270849174209187e-44,4.2243794467559496e-73,2.2120594395566011e-49,1.2726054667948569e-92,9.0413048337332634e-100,3.4201230553721707e-51,6.1127449479267167e-103,4.458445011564188e-103
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.2494236913966256e-112,1.7392150410077119e-60,1.5746978427574193e-33,2.1938726567163974e-81,2.3552257899136068e-50,1.563943925177627e-122,1.5581137853057998e-18,7.6610905026496064e-99,1.5581137853057924e-18,5.1981512558363885e-67,1.0819569576985609e-67,7.1392284796615181e-104,8.2779191359386149e-105,2.2383839379848258e-50,3.6188975620111966e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.008619789700117e-20,4.7764569841017106e-35,1.7686402767058803e-34,1.0086197896404012e-20,2.9636154663764159e-31,1.6400031440241022e-38,2.7972826263537008e-43,1.4659776427554739e-71,1.8593692456822445e-48,8.7783609518701856e-91,1.2572853264249507e-97,2.8748194876769272e-50,8.7415181381434792e-101,6.3757899738885388e-101
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,6.0853785002884923e-110,2.8566660354545753e-59,6.4331545000679369e-33,1.4628880614921694e-79,1.9473462287001361e-49,4.1733131613513376e-120,3.1607451073346269e-18,5.1555627002537675e-97,3.1607451073345965e-18,8.6155544921655303e-66,1.7976876436689645e-66,9.5238905161490996e-102,1.1042929327217287e-102,1.8351623666478384e-49,1.2009801573282295e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572877389498e-20,1.9513385035586554e-34,7.2254726233297746e-34,2.0460572874949926e-20,1.2107335509161592e-30,1.344573581387987e-37,2.29447558480551e-42,4.8846102732677844e-70,1.5244232462226785e-47,5.8297532274142557e-89,1.6772467543599846e-95,2.3569506753686873e-49,1.1821849098391809e-98,8.6224870580688541e-99
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.6022779716881063e-107,4.630778747044209e-58,2.6003839071482306e-32,9.5621167737995655e-78,1.5835496124669391e-48,1.0913994938889066e-117,6.3660077513922944e-18,3.3827532618262192e-95,6.3660077513921703e-18,1.4028197053696994e-64,2.9306844952223315e-65,1.2452423883645826e-99,1.4438557085982181e-100,1.486162026775046e-48,3.9132189897079634e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322840039387e-20,7.8876220101294576e-34,2.9206515596163074e-33,4.1209322830178247e-20,4.8939780468103163e-30,1.0888704156001151e-36,1.8598982167131327e-41,1.5959148912234635e-68,1.2345174685446192e-46,3.8001719354271887e-87,2.1929890422773587e-93,1.9087197165471977e-48,1.5561857293527487e-96,1.1350332101908641e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,4.1655198888467e-105,7.45772613930082e-57,1.0456029329080893e-31,6.193102738627082e-76,1.2771901304718672e-47,2.8277742004126877e-115,1.2776533039507682e-17,2.1919737710988656e-93,1.2776533039507187e-17,2.2641566601915534e-63,4.733063039675773e-64,1.6131297204304009e-97,1.870420230841907e-98,1.196192431901565e-47,1.2635546988167096e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822772832128e-20,3.1715779476040297e-33,1.174381146547875e-32,8.2706822733180878e-20,1.9678466093280829e-29,8.764174291270562e-36,1.4998610700306915e-40,5.1673956190445028e-67,9.9364705994012708e-46,2.4544588595716297e-85,2.8408732576029661e-91,1.5363036047629559e-47,2.0227471898848135e-94,1.4753285551360608e-94
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,1.0776033536530666e-102,1.1971300988827996e-55,4.1933354243004994e-31,3.9983329902315946e-74,1.0259085693624669e-46,7.3028405849668449e-113,2.5597583615738666e-17,1.4115697476102536e-91,2.5597583615736684e-17,3.6384389699435771e-62,7.6082598033848008e-63,2.08295986824576e-95,2.4151872153089625e-96,9.598689960644347e-47,4.0615836723899011e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182266838926e-19,1.2719444716033151e-32,4.7097936518079373e-32,1.6570182250936999e-19,7.891941524763831e-29,7.0326945351135738e-35,1.2081230443787094e-39,1.6679793141744217e-65,7.9733918895989726e-45,1.5780416987418006e-83,3.6682883653352943e-89,1.2327867646579434e-46,2.6163331253258501e-92,1.9082715889008752e-92
