Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.1817216455918735e-75,7.8554518629505271e-42,1.7411996976052323e-92,3.787537944756948e-57,8.1675739366029174e-142,7.2341660732109566e-25,-7.8175306065874475e-118,7.2341660732107995e-25,1.2127364198047584e-79,4.1161706438967151e-77,3.7114413042858093e-120,2.2426245314477296e-121,7.1374771835184559e-60,7.7301915237263578e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719220877e-23,5.3170486719272117e-23,6.2640397775362511e-38,2.5642406675710138e-35,1.7860248223492832e-43,6.6481864897978076e-50,2.0738103798431866e-80,5.3574614099890614e-58,3.2852850095294586e-110,-5.7873809674188458e-113
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.9296502293852e-73,4.7446929639279477e-41,1.9269140815223016e-90,5.7237273421259589e-56,2.9514138725401808e-139,2.0255665004991175e-24,1.5089319972502435e-116,2.0255665004990235e-24,3.4201107416819169e-78,1.2941864910758359e-75,7.4302533732807341e-118,4.4897028197839433e-119,8.4735917078185609e-59,4.0013697622027639e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281373553e-22,1.4887736281404499e-22,3.7834696869687955e-37,1.5488013527960715e-34,2.1203686548380112e-42,7.9046795628592441e-49,1.2634791877215288e-78,6.3603782334546468e-57,6.5770944552762601e-108,5.8657899937321917e-111
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.2961272562948993e-72,2.2843654598047555e-40,1.7488920090213461e-88,6.1573246860302423e-55,1.0720318329260917e-136,4.6298662868553613e-24,1.5932859153125484e-114,4.629866286854911e-24,7.4394879087791135e-77,2.8872426865262566e-74,1.3494518591485987e-115,8.154012404017442e-117,8.3193776716456565e-58,1.7471546357761168e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500243312e-22,3.4029111500392309e-22,1.8215672593971557e-36,7.4568117050442016e-34,2.0817904887396478e-41,7.786179114715869e-48,5.7222836106642735e-77,6.2446571667817139e-56,1.1945046681971303e-105,1.2322982223080231e-108
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,8.039717532450762e-71,9.9764244658874898e-40,1.3320428962359599e-86,5.6596422000650529e-54,3.2712268439859732e-134,9.8384658595686483e-24,1.2593598261043019e-112,9.8384658595666793e-24,1.3791556787995219e-75,5.4074251371375875e-73,2.0577949527074239e-113,1.2434149062041739e-114,7.3583154382986498e-57,6.5042186450747791e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861937850133e-22,7.2311861938500849e-22,7.9551702708051597e-36,3.2565854863544757e-33,1.8413200580487988e-40,6.9318255199593051e-47,2.1745349264588697e-75,5.5233287245690891e-55,1.8215141654957812e-103,1.993072529754215e-106
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.3881380140014441e-69,4.1649611176826274e-39,9.3715571085075757e-85,4.8419430580576382e-53,9.2134379427362875e-132,2.0255665004998422e-23,8.9258964617043939e-111,2.0255665004990203e-23,2.3704162360378448e-74,9.3397717504136873e-72,2.8971036711492929e-111,1.7505640610740687e-112,6.184973091007724e-56,2.2408019412209763e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281253298e-21,1.4887736281524961e-21,3.321049671184937e-35,1.3595602566315193e-32,1.5477403662842675e-39,5.9023837389196327e-46,7.6410406997946207e-74,4.6426908997210638e-54,2.564451510828491e-101,2.8858556481543359e-104
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,2.3059197090342519e-68,1.7015227524769838e-38,6.402781315108365e-83,4.0034121543310383e-52,2.5187149455677151e-129,4.1090063295870754e-23,6.0067191280789819e-109,4.1090063295837164e-23,3.9287910730658125e-73,1.5517471096917409e-70,3.9595377359734968e-109,2.3925358719815057e-110,5.070594219091494e-55,7.4364046557240896e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836455977553e-21,3.0200836457087378e-21,1.3566939719753762e-34,5.5542466252550971e-32,1.2689309146281295e-38,4.9633815682565509e-45,2.6091138254224924e-72,3.8063589931012672e-53,3.5048944325114701e-99,3.9991795662711982e-102
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,3.7585835344177057e-67,6.8778289281658061e-38,4.385897401962554e-81,3.2555082768031753e-51,6.9010889499011974e-127,8.2758859877666558e-23,3.9412281266221749e-107,8.2758859877530811e-23,6.3970177896577802e-72,2.5295114275857251e-69,5.4244621816620519e-107,3.2777109899022699e-108,4.1059417258168003e-54,2.423044189003648e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036804576805e-21,6.0827036809062905e-21,5.4834632154951127e-34,2.2451147759646913e-31,1.0276129139061395e-37,4.2207228431703804e-44,8.9365447701375677e-71,3.0824889991651902e-52,4.801612855076014e-97,5.5178390071216415e-100
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,6.0687828837887955e-66,2.765546300311361e-37,3.0999221688013225e-79,2.6256853639471359e-50,1.9503994640802525e-124,1.6609645304146281e-22,2.5538571720468351e-105,1.6609645304091695e-22,1.0324812502651968e-70,4.0844314490224609e-68,7.6662183924696988e-105,4.6322837951745504e-106,3.3042446640057345e-53,7.8238628565417725e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943749837825e-20,1.220794375164167e-20,2.2044658158078538e-33,9.0275036309982431e-31,8.2711188704232726e-37,3.7211699038276269e-43,3.1595869564457469e-69,2.4810566048849746e-51,6.7859654145460732e-95,7.8292125491468157e-98
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,9.7516824044697187e-65,1.109108992190367e-36,2.334303648144064e-77,2.1090932749268012e-49,5.8709261776500127e-122,3.3277163936987378e-22,1.6446125272566873e-103,3.3277163936768468e-22,1.6591696512477162e-69,6.5632384315702309e-67,1.1540600434764705e-102,6.9733646476841874e-104,2.6505267995569468e-52,2.514910803612604e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423887239299e-20,2.4458423894473525e-20,8.8376020147163665e-33,3.620429400809978e-30,6.6370457958530338e-36,3.5059274301501015e-42,1.1906642891058203e-67,1.9908937408097867e-50,1.0215481909613051e-92,1.1817029876556805e-95
