Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),HOX(22),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.0911140650027678e-76,7.3793662942654328e-42,1.4433423099171676e-92,3.4484873926571765e-57,6.3600677530607804e-142,7.0115251188462278e-25,-6.480598517144692e-118,7.0115251188460818e-25,1.0701923498628893e-79,2.7241158661021207e-78,2.9818609505583248e-120,1.8017776897904724e-121,4.8736368921265742e-61,6.6116435259109118e-95,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279748381e-23,5.1534078279796512e-23,5.8842024494765928e-38,2.4088325673717803e-35,1.6261449839607311e-43,6.0527399324466099e-50,1.7736405680998616e-80,4.8778767756406446e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2770181194490707e-74,4.4571372769773105e-41,1.5972152202647139e-90,5.211354147757803e-56,2.2981547235329542e-139,1.9632270332769906e-24,1.2508720030132877e-116,1.9632270332769028e-24,3.0181136573749565e-78,8.5647633137777697e-77,5.9693747300443051e-118,3.6069710791103283e-119,5.7857946143973904e-60,3.4223771043290519e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918321757e-22,1.4429541918350829e-22,3.5539327791223791e-37,1.4549348612082195e-34,1.9305593123786438e-42,7.1963605209126446e-49,1.0805498639488914e-78,5.7910153499712754e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8429328959550106e-73,2.1459197712338698e-40,1.4495115264149483e-88,5.606136984454146e-55,8.3466964464152334e-137,4.4873760760619146e-24,1.3207999220032906e-114,4.4873760760614914e-24,6.5650564432623016e-77,1.9106131981211943e-75,1.0840276037372395e-115,6.5501939356525603e-117,5.680131178674294e-59,1.4943437818920447e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810098984437e-22,3.2981810099124406e-22,1.7109378349830509e-36,7.0048849636520955e-34,1.8954345543080638e-41,7.0877714514593453e-48,4.8933175076452795e-77,5.6856532996719072e-56
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.319514932462165e-72,9.3717957399523975e-40,1.1038054894281618e-86,5.1530057410406413e-54,2.5464416956380949e-134,9.5356741616325128e-24,1.0439823437863903e-112,9.5356741616306629e-24,1.2170508220976527e-75,3.5778465786892078e-74,1.6527266210801548e-113,9.9865352629103621e-115,5.0233068919437835e-58,5.5630672233065707e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460185129e-22,7.0086346460796424e-22,7.4709922649185534e-36,3.0592172135549535e-33,1.6764903507713712e-40,6.3087981098938907e-47,1.8591542098679016e-75,5.0288961135833297e-55
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1822132141309635e-71,3.912540500831276e-39,7.7628369310875542e-85,4.4085049008367732e-53,7.1693551331884216e-132,1.9632270332776713e-23,7.3993771403703993e-111,1.9632270332768993e-23,2.0917994053400572e-74,6.178041665050019e-73,2.3259370450208277e-111,1.4054382632395965e-112,4.2212069186149383e-57,1.9165610065354539e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918208792e-21,1.442954191846399e-21,3.1180542687772267e-35,1.2771628949140369e-32,1.4091910762037243e-39,5.3697861368050845e-46,6.530322686779438e-74,4.2270904629852335e-54
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.5244947807376998e-69,1.5984006730343024e-38,5.2997827980349836e-83,3.6450371040768154e-52,1.9584831191191944e-129,3.982546267507712e-23,4.9794416051839381e-109,3.9825462675045576e-23,3.4670041089852713e-73,1.0258936139513359e-71,3.1765834265924577e-109,1.9194379760458214e-110,3.4588584235556019e-56,6.3603672104196934e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462389895e-21,2.9271356463432462e-21,1.2730610622301126e-34,5.2176265740352104e-32,1.1553398532421443e-38,4.5121215981229942e-45,2.2281965317262641e-72,3.4656245874872682e-53
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.4822208428301863e-68,6.4609928240483555e-38,3.6253781638693957e-81,2.9640836376918586e-51,5.3587918630137526e-127,8.0211847359726e-23,3.2671937693080981e-107,8.0211847359598495e-23,5.645117429141207e-72,1.6705213492870198e-70,4.3459019460273498e-107,2.6259940681994749e-108,2.7979328385852143e-55,2.0724330536920925e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985549954322e-21,5.8954985554168558e-21,5.1397351836108483e-34,2.1090476152468881e-31,9.3562395555969279e-38,3.8316264151730203e-44,7.6213424775911071e-71,2.8065533493282678e-52
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,3.9993395407625934e-67,2.5979381984722775e-37,2.5562703309638731e-79,2.3906408349425837e-50,1.5109096528051658e-124,1.60984616729216e-22,2.1170929396015781e-105,1.6098461672870327e-22,9.1112422894439998e-71,2.6916374856691653e-69,6.1272922902356484e-105,3.7023921404800451e-106,2.2469808383381759e-54,6.6917607466957407e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224372189201e-20,1.183222437388373e-20,2.0617107044018487e-33,8.4803839327520571e-31,7.5307121592025764e-37,3.3699128269277966e-43,2.6881109184620192e-69,2.2589594366619488e-51
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.3990190488486343e-66,1.0418905364613778e-36,1.9177189695244361e-77,1.920292726994737e-49,4.5310449714372269e-122,3.2253015546896487e-22,1.3633485881510198e-103,3.2253015546690842e-22,1.4641521759343855e-69,4.3067388142091173e-68,9.1894800060802798e-103,5.5527069605879589e-104,1.7950260772440481e-53,2.151006696526204e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676005300273e-20,2.3705676012096136e-20,8.2289104098352957e-33,3.4010102285002309e-30,6.0429167681161912e-36,3.1629547004943807e-42,1.0091850230131327e-67,1.8126745075636929e-50
