Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H6(343),C4H7X(141),H2(190),C4H6(54),C4H7X(140),C4H7X(143),C4H7X(142),C4H5X(381),C4H5X(380),SX(176),SX(175),SX(174),SX(178),SX(177),SX(172),C6H9X(524),C6H9X(720),C4H7X(479),SX(480),SX(657),C4H9X(153),C4H9X(171),C4H7X(145),C4H7X(146),SX(155),SX(150),SX(152),SX(154),SX(157),SX(156),SX(168),SX(167),SX(169),SX(688),SX(691),SX(357),SX(181),SX(185),C8H14(705),SX(1663),SX(1661),SX(1660),SX(1662),SX(1659),SX(183),C8H12(538),SX(539),SX(2184),SX(2190),SX(2189),SX(2188),SX(2186),SX(2187),SX(180),SX(786),SX(3228),S(3298),SX(3397),SX(854),SX(483),C8H14(997),SX(4081),C6H9X(752),SX(4079),SX(4077),C6H8(537),SX(4909),SX(4907),SX(4908),SX(3395),SX(756),SX(527),SX(186),SX(4076),SX(4083),SX(3400),SX(658),SX(659),SX(6491),C8H14(673),SX(526)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.932758748558283e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.6824920111637024e-68,2.0176391739545761e-103,9.607517268000347e-42,3.3733701979175595e-62,8.2387207310637011e-93,1.1572860417430687e-188,-8.05632205390573e-137,4.6199731929731588e-111,3.2122039425282163e-172,3.5178118198185249e-18,3.5178118198185249e-18,8.1141061424988462e-73,9.607517268000347e-42,8.9772934433039675e-59,7.7626572413718616e-59,5.3779417855351366e-60,3.1232433099193911e-86,1.4321449773287206e-83,2.9352077737045518e-76,1.4676038868522759e-76,1.4687729536793391e-83,-2.5589727123021683e-109,8.2216614560402764e-102,7.002395456637926e-129,3.501197728318963e-129,2.1873897230181794e-125,4.0081819061728746e-100,2.2436357235628978e-118,3.8096410284485366e-107,3.9113398625954545e-107,2.1894270390272684e-125,2.6239148875134154e-65,1.4687729536793393e-83,1.1236150917934656e-120,3.7453836393115503e-121,2.6239148875134154e-65,6.884307488457395e-107,1.4687729536793391e-83,1.2487254407326143e-110,1.2487254407331869e-110,6.2436272036659345e-111,8.5299088095522658e-110,4.7747354216562586e-128,1.2689036807717054e-151,5.8186634495342848e-149,5.9739933834288465e-149,3.3440261148694577e-167,1.022904004905755e-144,7.3030041582812823e-190,5.632987138844404e-168,1.492254998939811e-185,1.1191912492048585e-185,-2.6219392228626495e-184,7.4612749946990551e-186,7.4612749946990551e-186,7.3030041582812823e-190,-3.6469051937424795e-135,-4.8751450606392033e-153,-4.8753742692468139e-153,-4.8753737923490991e-153,-4.8753737923490991e-153,-4.8753737923490991e-153,-2.4376868961745496e-153,-2.4376868961745496e-153,5.7258478305278849e-163,1.0404533795554215e-130,5.8240829027174539e-149,2.1962990298035938e-170,5.0542248955419374e-188,5.9795575095789227e-149,3.3471407120840939e-167,2.0127731098172961e-185,3.999082539365606e-203,5.9682831282353811e-142,3.999082539365606e-203,3.999082539365606e-203,9.0156062381862041e-120,2.8008653992969259e-137,1.4004326996484629e-137,1.4004326996484629e-137,5.0542248955419374e-188,6.1276071777895774e-142,3.4300135786941383e-160,2.4343347194270929e-190,2.6660550262437366e-203,2.6660550262437366e-203,3.3694832636946236e-188,9.3135169453261225e-153,9.5621424216043844e-153,5.3525425824280201e-171,-3.8735689998572084e-169,9.3065135397481977e-168
1.6611724495963197e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.2900244987507942e-67,8.3258445452204317e-102,5.8029404298722126e-41,2.0375155995422056e-61,5.0120162624318548e-91,4.5912806050504021e-186,1.408623144678546e-134,5.2548865537465867e-109,2.2130722299450495e-169,9.849873095491871e-18,9.849873095491871e-18,2.5512049979717157e-71,5.8029404298722126e-41,1.3566486773479507e-57,1.148898098161655e-57,6.3846924877873172e-59,1.7988283757681895e-84,3.2091518851868193e-82,8.1130832587618151e-75,4.0565416293809075e-75,3.2855863464625362e-82,1.3261080427754531e-107,3.392691620487099e-100,1.440652028167177e-126,7.2032601408358852e-127,1.6470692648865044e-123,2.0342740143216161e-98,2.07212020951623e-116,1.5746929411777475e-105,1.6167295622297775e-105,1.6508707277787486e-123,3.1151117544559281e-64,3.2855863464625362e-82,8.4582939566943046e-119,2.8194313188980997e-119,3.1151117544559281e-64,2.8655141005831838e-105,3.2855863464625368e-82,1.3798764835149802e-108,1.3798764835147872e-108,6.8993824175739358e-109,8.9283231103003886e-108,9.0437034438533512e-126,4.3468111735961584e-149,7.9446345469417908e-147,8.156717539831109e-147,8.2519457875937517e-165,1.3962589258254207e-142,9.0639310317239315e-187,1.4088959297711789e-165,6.7331654578064198e-183,5.0498740933548144e-183,5.515845770906005e-182,3.3665827289032099e-183,3.3665827289032099e-183,9.0639310317239315e-187,1.4608023549555566e-133,3.4664940864921754e-151,3.4664253337580217e-151,3.4664249820690671e-151,3.4664249820690671e-151,3.4664249820690671e-151,1.7332124910345336e-151,1.7332124910345336e-151,1.4125615807351713e-160,7.8452215913513479e-129,7.9628907926744576e-147,5.4271059943004207e-168,2.2530935373412535e-185,8.1754611382810115e-147,8.2708625167301757e-165,8.9726241993296241e-183,3.2129090320544366e-200,9.9813469950559628e-140,3.2129090320544366e-200,3.2129090320544366e-200,8.3356960917679763e-118,4.6893583028361386e-135,2.3446791514180693e-135,2.3446791514180693e-135,2.2530935373412535e-185,1.0247800276358015e-139,1.0359728568717253e-157,3.0213103439079772e-187,2.1419393547029572e-200,2.1419393547029572e-200,1.502062358227501e-185,3.4583570460538843e-150,3.5506783112389921e-150,3.5829276125842361e-168,6.3769210526051367e-167,1.0187501411010621e-165
3.796965599077302e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.1801753682057411e-65,3.2936213046339503e-100,2.7938660215345032e-40,9.8097605355442532e-61,2.262663725516814e-89,4.1227663086804025e-183,5.8317999898970962e-132,4.7572288294738647e-107,1.5981158067688836e-166,2.2513995646838563e-17,2.2513995646838563e-17,5.6915980229592418e-70,2.7938660215345032e-40,1.4594207460458851e-56,1.2276032194941853e-56,6.268528945219761e-58,8.0667014826359068e-83,6.363305935487992e-81,1.7521789599283787e-73,8.7608947996418935e-74,6.4917649519573569e-81,1.391804337712553e-105,1.3421150659970132e-98,2.6101616500408793e-124,1.3050808250204397e-124,1.3030237666749169e-121,8.8171233173816959e-97,1.7975039914315076e-114,6.2511876192721744e-104,6.4180638388861064e-104,1.3098449757310603e-121,3.0584351928856393e-63,6.491764951957355e-81,6.6877186975967027e-117,2.2292395658655664e-117,3.0584351928856393e-63,1.1429435166199906e-103,6.491764951957356e-81,1.2484084888918933e-106,1.2484084888916469e-106,6.2420424444582343e-107,8.0204495337739548e-106,1.6252847586480225e-123,1.5639568979345385e-146,1.2557645391056747e-144,1.2892873273779601e-144,2.6063595726579833e-162,2.2057468970614067e-140,1.308910733046306e-183,4.474547276349655e-163,4.2740597819681273e-180,3.2055448364760952e-180,5.3219088353439609e-179,2.1370298909840636e-180,2.1370298909840636e-180,1.308910733046306e-183,2.981286188036531e-131,1.4383024494150824e-148,1.438260771516812e-148,1.4382606298028276e-148,1.4382606298028276e-148,1.4382606298028276e-148,7.191303149014138e-149,7.191303149014138e-149,4.4590369358120792e-158,6.2246085729285521e-127,1.2623150172886431e-144,1.7191246663058234e-165,1.4264595995128257e-182,1.296012671378819e-144,2.6199310677541882e-162,5.6806721799917182e-180,4.0664089313664849e-197,1.7313323433438344e-137,4.0664089313664849e-197,4.0664089313664849e-197,7.2312810444010873e-116,8.1344075676837214e-133,4.0672037838418607e-133,4.0672037838418607e-133,1.4264595995128257e-182,1.7775504724337093e-137,3.5923909341102416e-155,4.3630357768210191e-184,2.7109392875776562e-197,2.7109392875776562e-197,9.5097306634188354e-183,1.2532481706839844e-147,1.2867037841928573e-147,2.5964843268942669e-165,5.1267764747880763e-164,1.3385457742853174e-162
8.068551898039266e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.2103378523537283e-64,1.1754700488232357e-98,1.2201546930360448e-39,4.2841801513552871e-60,8.5433877078565867e-88,2.7448800965282113e-180,1.8703005269086527e-129,3.6055561042337345e-105,9.7182501861497383e-164,4.7842240749531932e-17,4.7842240749531932e-17,1.065973319681699e-68,1.2201546930360448e-39,1.341459102204291e-55,1.1253599497310262e-55,5.5444428632153091e-57,3.0348947093640762e-81,1.1403136336106722e-79,3.2389613054589122e-72,1.6194806527294561e-72,1.1551748878337556e-79,1.1112080991841296e-103,4.7899133392606109e-97,3.960804397755702e-122,1.980402198877851e-122,9.323946074832912e-120,3.272712128458898e-95,1.3369763456655564e-112,2.2465181634918291e-102,2.3064892411894138e-102,9.4268290491762783e-120,2.7051512924308321e-62,1.1551748878337555e-79,4.7801016860750391e-115,1.5933672286916788e-115,2.7051512924308325e-62,4.1455251909701919e-102,1.1551748878337558e-79,9.4481436636701598e-105,9.4481436636680516e-105,4.7240718318340258e-105,6.0480104697810689e-104,2.4537827596948486e-121,4.7357017077781477e-144,1.798343261703828e-142,1.8463502554718814e-142,7.4674098011086502e-160,3.1552490217216756e-138,1.5921214621510211e-180,1.2854347881700483e-160,2.4560841520965256e-177,1.8420631140723948e-177,3.6547049691841979e-176,1.2280420760482628e-177,1.2280420760482628e-177,1.5921214621510211e-180,4.7097550796625904e-129,4.5478411744743898e-146,4.5476810127245724e-146,4.5476805644356911e-146,4.5476805644356911e-146,4.5476805644356911e-146,2.2738402822178455e-146,2.2738402822178455e-146,1.2761191818752862e-155,4.4797912731836527e-125,1.818113614011727e-142,4.953672064690869e-163,8.2219904477358708e-180,1.8666483797576038e-142,7.5493530548417536e-160,3.27429051422208e-177,4.6880487870075833e-194,2.5779814228387104e-135,4.6880487870075833e-194,4.6880487870075833e-194,5.3786788627485361e-114,1.2112446242596348e-130,6.0562231212981742e-131,6.0562231212981742e-131,8.2219904477358708e-180,2.6468009528672081e-135,1.0703326894581462e-152,5.3070715405034042e-181,3.1253658580050545e-194,3.1253658580050545e-194,5.4813269651572461e-180,3.8055335703940978e-145,3.9071227554448617e-145,1.5772843315555829e-162,3.2550865954851066e-161,1.0719488227379473e-159
1.6611724495963197e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,3.817808967759567e-63,3.9716476254700842e-97,5.0939056554937823e-39,1.7885608789358766e-59,2.9640980767702075e-86,1.594361362081094e-177,5.3417260819858535e-127,2.5070801645716807e-103,5.415604067311322e-161,9.8498730954918608e-17,9.8498730954918608e-17,1.8412038209179346e-67,5.0939056554937823e-39,1.1476465045523544e-54,9.6161734209552913e-55,4.6604383042761803e-56,1.0508876826538543e-79,1.9502560313772722e-78,5.5598187257610858e-71,2.7799093628805429e-71,1.9483712922427849e-78,7.9152795526049957e-102,1.6184034598862538e-95,5.5115047562693897e-120,2.7557523781346949e-120,6.3199549044561515e-118,1.1260078636458731e-93,9.2099975603681436e-111,7.6951780098914919e-101,7.9006017299519811e-101,6.4626279805536729e-118,2.273842658880925e-61,1.9483712922427849e-78,3.2327850849608461e-113,1.0775950283202817e-113,2.273842658880925e-61,1.4456583947367023e-100,1.9483712922427852e-78,6.5638551528793269e-103,6.5638551528777803e-103,3.2819275764388902e-103,4.1934035775682684e-102,3.4046730654365432e-119,1.3205667520216981e-141,2.4388649936089906e-140,2.5039707935097195e-140,2.025818316672673e-157,4.2695104188385462e-136,1.7745884446206787e-177,3.4918883546742723e-158,1.3345263203115158e-174,1.0008947402336376e-174,2.1546472138382493e-173,6.6726316015575791e-175,6.6726316015575791e-175,1.7745884446206787e-177,6.6772473395230255e-127,1.2900125795727679e-143,1.2899629182472669e-143,1.2899627910422571e-143,1.2899627910422571e-143,1.2899627910422571e-143,6.4498139552112857e-144,6.4498139552112857e-144,3.4542431164867868e-153,3.0711519513177764e-123,2.4937141344280818e-140,1.3591234484902897e-160,4.5120779252781395e-177,2.5602841388650373e-140,2.0712921997850832e-157,1.7968706479187695e-174,5.145655482175266e-191,3.5537026566770212e-133,5.145655482175266e-191,5.145655482175266e-191,3.7052251133403858e-112,1.6696920499914057e-128,8.3484602499570285e-129,8.3484602499570285e-129,4.5120779252781395e-177,3.6485691846228416e-133,2.9516693084686686e-150,5.9152948154022619e-178,3.4304369881168422e-191,3.4304369881168422e-191,3.0080519501854239e-177,1.0594064389157939e-142,1.0876874236387435e-142,8.7831869984021522e-160,1.8508500620493825e-158,6.7891125434397344e-157
3.369806969181105e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,6.3433467000974315e-62,1.3057908447456914e-95,2.0810266703179447e-38,7.3068547834972364e-59,9.871684157443194e-85,8.6838047122613628e-175,1.443254671684555e-124,1.6717293074952419e-101,2.8916028452611658e-158,1.9981171136569185e-16,1.9981171136569185e-16,3.0591876859885087e-66,2.0810266703179447e-38,9.4889632327600516e-54,7.9463348684264247e-54,3.8209088936680864e-55,3.4963695134287256e-78,3.2918155547419483e-77,9.2094019941543545e-70,4.6047009970771772e-70,3.2002056981014526e-77,5.3399389641841653e-100,5.320956490378705e-94,7.3524725320114629e-118,3.6762362660057315e-118,4.1761136453627781e-116,3.7344677376092196e-92,6.1125107283354988e-109,2.5988354641240458e-99,2.668211695340432e-99,4.3661041636327561e-116,1.864233591537563e-60,3.2002056981014526e-77,2.1266340073751315e-111,7.088780024583768e-112,1.8642335915375633e-60,5.0489326298452732e-99,3.2002056981014534e-77,4.3747816614491108e-101,4.3747816614480532e-101,2.1873908307240266e-101,2.7920333794822192e-100,4.5351400485958478e-117,3.5506095338200571e-139,3.2237394913597283e-138,3.3097976121686099e-138,5.3560496623622846e-155,5.6184356597597385e-134,1.895118765367832e-174,9.2383421717359347e-156,7.0617496727843723e-172,5.2963122545882803e-172,1.182252826145405e-170,3.5308748363921861e-172,3.5308748363921861e-172,1.895118765367832e-174,8.9881308161978004e-125,3.4735910041065629e-141,3.4734514758161501e-141,3.4734511332309622e-141,3.4734511332309622e-141,3.4734511332309622e-141,1.7367255666154811e-141,1.7367255666154811e-141,9.0921358651368356e-151,2.0748477805229666e-121,3.3698410917367256e-138,3.6734632943405848e-158,2.4391326384012694e-174,3.4597994126732174e-138,5.5983253288700298e-155,9.7134968588748413e-172,5.5633388480343506e-188,4.7183756661776935e-131,5.5633388480343506e-188,5.5633388480343506e-188,2.459100665626427e-110,2.2169168705545477e-126,1.1084584352772739e-126,1.1084584352772739e-126,2.4391326384012694e-174,4.8443332828492255e-131,7.8391640739329286e-148,6.3170625512261082e-175,3.7088925653562331e-188,3.7088925653562331e-188,1.6260884256008459e-174,2.8269852332400806e-140,2.9024519505040301e-140,4.6878845100931363e-157,9.9792059630014713e-156,3.8554237885558098e-154
6.787076008350676e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377135,0.66999999999999971,1.0341256099200674e-60,4.2353013048188227e-94,8.4118425289631384e-38,2.9535475300462284e-58,3.2222821252623837e-83,4.5843078473004794e-172,3.7949789748943506e-122,1.091958219316979e-99,1.5117286475857613e-155,4.0243767218723757e-16,4.0243767218723757e-16,4.9872480272664802e-65,8.4118425289631384e-38,7.7162673121717761e-53,6.4600462416005179e-53,3.0942710858452295e-54,1.140692401070648e-76,5.623132786231025e-76,1.4990695642395301e-68,7.4953478211976506e-69,5.1876713428476636e-76,3.5081219723351776e-98,1.7258394831964128e-92,9.6066584075634188e-116,4.8033292037817094e-116,2.7337883789665574e-114,1.2164506640149994e-90,3.9832544024702168e-107,8.8757288699906662e-98,9.1126675399445065e-98,2.9818040648600001e-114,1.5097046959469263e-59,5.187671342847663e-76,1.3798327036095734e-109,4.5994423453652421e-110,1.5097046959469263e-59,1.8296012533444821e-97,5.187671342847663e-76,2.856899979272446e-99,2.8568999792717467e-99,1.4284499896358734e-99,1.8223630616054165e-98,5.9210878868288934e-115,9.4391959564407776e-137,4.2209874593343204e-136,4.3336672368665249e-136,1.4026345195679958e-152,7.2916457841289186e-132,1.9815740616638914e-171,2.4201326665096523e-153,3.6999480795569972e-169,2.7749610596677488e-169,6.2658904168240405e-168,1.8499740397784986e-169,1.8499740397784986e-169,1.9815740616638914e-171,1.17957725206692e-122,9.1181721635664563e-139,9.1177982159849905e-139,9.1177973166171458e-139,9.1177973166171458e-139,9.1177973166171458e-139,4.5588986583085729e-139,4.5588986583085729e-139,2.3600939796772898e-148,1.4170045683888354e-119,4.6024616937190598e-136,1.0033896595108601e-155,1.3324500239831875e-171,4.7253249726899094e-136,1.5291566621293362e-152,5.3062908110217982e-169,6.0782248925657331e-185,6.150383720244417e-129,6.0782248925657331e-185,6.0782248925657331e-185,1.6024906749219247e-108,2.8897475497162792e-124,1.4448737748581396e-124,1.4448737748581396e-124,1.3324500239831875e-171,6.3145689674197268e-129,2.0438079597052027e-145,6.6052468722129723e-172,4.0521499283771547e-185,4.0521499283771547e-185,8.8830001598879107e-172,7.3880002786430653e-138,7.5852238515215513e-138,2.4503463529275157e-154,5.2421990726839576e-153,2.077507922001608e-151
1.362161408668982e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771267,0.66999999999999926,1.670115622310529e-59,1.3644587319138937e-92,3.3823648842685683e-37,1.1876084716575915e-57,1.0413859026854512e-81,2.3831851972868885e-169,9.8455898476940667e-120,7.059984051779033e-98,7.8210446667443089e-153,8.0768959383032644e-16,8.0768959383032644e-16,8.0544188856505818e-64,3.3823648842685683e-37,6.2234491282473226e-52,5.2095527282341027e-52,2.490538565388741e-53,3.6855788673838729e-75,9.9801464612229666e-75,2.4191517919037099e-67,1.2095758959518549e-67,8.3545847706588701e-75,2.2746390366974558e-96,5.5600217865251581e-91,1.2423236354767673e-113,6.2116181773838367e-114,1.7928098506557569e-112,3.9272541301395494e-89,2.5723147776443294e-105,3.147102217957327e-96,3.2311144973603991e-96,2.1133959778536113e-112,1.2151416806382458e-58,8.3545847706588721e-75,8.8915882877978205e-108,2.9638627625992734e-108,1.2151416806382456e-58,7.131405459161073e-96,8.3545847706588721e-75,1.8468933366553896e-97,1.8468933366549348e-97,9.2344666832746738e-98,1.1777930623299742e-96,7.6541866721081498e-113,2.5269203858090267e-134,5.5361482022317111e-134,5.6839363569757846e-134,3.6793017167577325e-150,9.3979228760184943e-130,2.0503858909275375e-168,6.3494143413079509e-151,1.9414173094672952e-166,1.4560629821004717e-166,3.2656097689626007e-165,9.7070865473364758e-167,9.7070865473364758e-167,2.0503858909275375e-168,1.528758316708361e-120,2.3635861897739558e-136,2.3634882559665856e-136,2.3634880228244437e-136,2.3634880228244437e-136,2.3634880228244437e-136,1.1817440114122219e-136,1.1817440114122219e-136,6.0838333382534032e-146,1.0043221118131253e-117,6.5223763393242216e-134,2.8435292990658253e-153,7.5516221132711869e-169,6.6964919750556059e-134,4.3335114710210435e-150,3.0073242156603071e-166,6.8894032420858073e-182,7.9441795947468271e-127,6.8894032420858073e-182,6.8894032420858059e-182,1.0348608923541817e-106,3.7325629865777715e-122,1.8662814932888857e-122,1.8662814932888857e-122,7.5516221132711869e-169,8.1562504426315333e-127,5.2799804097957376e-143,6.8346196364251257e-169,4.5929354947238704e-182,4.5929354947238691e-182,5.0344147421807889e-169,1.9108942292801311e-135,1.961905784921371e-135,1.2675814989866363e-151,2.7185492023988791e-150,1.0910389828845691e-148
2.729069024336811e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771106,0.66999999999999849,2.6846620852629431e-58,4.380990835248063e-91,1.3564795985585858e-36,4.7628411422179911e-57,3.3489409968399266e-80,1.2294946063198443e-166,2.5373053400159072e-117,4.5413969303209821e-96,4.0252445145956074e-150,1.6181934371164932e-15,1.6181934371164932e-15,1.2947243120339752e-62,1.3564795985585855e-36,4.9990127854905062e-51,4.1843133975478034e-51,1.998500350084244e-52,1.1850752718538766e-73,1.8987636541192001e-73,3.8872306458917201e-66,1.9436153229458601e-66,1.3410958818330918e-73,1.4652646305356611e-94,1.785206391429614e-89,1.5983353445289728e-111,7.9916767226448641e-112,1.1913602977953099e-110,1.2622863454252374e-87,1.653688966946119e-103,1.1951962672942921e-94,1.2271021781275938e-94,1.6037228944210994e-110,9.7507467176218437e-58,1.3410958818330924e-73,5.7101138656091988e-106,1.9033712885363989e-106,9.7507467176218408e-58,3.0841666660715227e-94,1.3410958818330921e-73,1.1879606465860276e-95,1.1879606465857341e-95,5.9398032329286704e-96,7.5748280302899955e-95,9.8457682899430103e-111,6.9456590718528773e-132,7.3570393478486107e-132,7.5534364148852525e-132,9.7784307567109132e-148,1.2070882954363517e-127,2.1105483146134175e-165,1.6876259653872976e-148,1.0320024455793707e-163,7.74001834184528e-164,1.6887942954166364e-162,5.1600122278968533e-164,5.1600122278968541e-164,2.1105483146134175e-165,1.9689957290459285e-118,6.0886081983192403e-134,6.0883546296216675e-134,6.0883540290328596e-134,6.0883540290328596e-134,6.0883540290328596e-134,3.0441770145164298e-134,3.0441770145164298e-134,1.5628609408559363e-143,7.6211669794311604e-116,9.8942133501568356e-132,8.6250627296433681e-151,4.580621420161475e-166,1.0158340588129569e-131,1.3144507694841235e-147,1.8241654301585663e-163,8.3573848207455996e-179,1.021466633654775e-124,8.3573848207455996e-179,8.3573848207455996e-179,6.6529136921559435e-105,4.7993505883662892e-120,2.3996752941831446e-120,2.3996752941831446e-120,4.580621420161475e-166,1.0487348106265469e-124,1.3578292108288626e-140,7.0351610487113884e-166,5.571589880497068e-179,5.5715898804970673e-179,3.0537476134409812e-166,4.9170939720576746e-133,5.0483563982586806e-133,6.523521542773613e-149,1.4008092462542941e-147,5.6572579121770694e-146
