Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C4H6(54),C2H2X(348),C2H6(343),C2H2(37),C4H5X(380),C4H5X(379),C4H7X(140),C6H9X(429),C6H8(498),C6H9X(428),C6H8(56)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2658762046995418e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.7050872499182015e-75,0.0,2.9113688690910137e-42,1.1281621761753913e-68,3.5346768352431929e-102,0.0,0.0,1.1624225027772477e-127,0.0,1.9364916730767077e-18,1.9364916730767077e-18,2.9113688690898851e-42,1.1287246162873021e-54,8.4070979318839874e-41,8.2230748873343648e-80,1.401600758684996e-45,2.3494135288522478e-72,1.1747067644261231e-72,8.9710894497437135e-61,3.5318723258856625e-96,1.1663998446306416e-109,3.5318723258857789e-96,6.2444720056881154e-112
9.144453373158718e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,5.3610676454967426e-74,0.0,1.7584667969309728e-41,6.8140995440993656e-68,1.6885576531973258e-100,0.0,0.0,8.9697734012207485e-126,0.0,5.4221766846147844e-18,5.4221766846147844e-18,1.7584667969296331e-41,1.3400256563660681e-53,5.0778871508579278e-40,2.5854665634920374e-78,8.4656685824573745e-45,5.2555582944878908e-71,2.627779147243943e-71,1.0650477394732092e-59,2.1487917940585002e-94,1.2890121951687114e-107,2.1487917940586292e-94,7.0839500346318558e-110
2.0901607710077068e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.1960247041421099e-72,0.0,8.4662606713166722e-41,3.2806956083180382e-67,8.7922847050761925e-99,0.0,0.0,9.7756978357515038e-124,0.0,1.2393546707690936e-17,1.2393546707690936e-17,8.4662606713035196e-41,1.3156467972550276e-52,2.4447840785918638e-39,5.768033694314134e-77,4.0758550062559676e-44,1.0384111250509218e-69,5.1920556252546031e-70,1.0456701862609962e-58,9.7006986732466208e-93,1.1662052073388555e-105,9.7006986732477874e-93,6.4127110568819811e-108
4.441591638391377e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.2400219045378446e-71,0.0,3.6974384637455897e-40,1.4327659637427451e-66,3.5087700200682218e-97,0.0,0.0,7.9971278045884291e-122,0.0,2.6336286753843235e-17,2.6336286753843235e-17,3.6974384637339535e-40,1.1636753528354398e-51,1.0677014373492662e-38,1.080288875024837e-75,1.7800329635299448e-43,1.8477982265247205e-68,9.2389911326235923e-69,9.2488343790840192e-58,3.6628014742951805e-91,8.8260224666647771e-104,3.6628014742960634e-91,4.8596150208541718e-106
9.144453373158717e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,3.8690807859986414e-70,0.0,1.5436077743920555e-39,5.9815158580819028e-66,1.2470718208161433e-95,0.0,0.0,5.7555909617998348e-120,0.0,5.4221766846147824e-17,5.4221766846147824e-17,1.5436077743822744e-39,9.7813951239244809e-51,4.4574433234848873e-38,1.8659303827486178e-74,7.4312872225478442e-43,3.1165826781207517e-67,1.5582913390603739e-67,7.7742025796735866e-57,1.2707963362849439e-89,6.1316541469386477e-102,1.270796336285557e-89,3.3787995215687066e-104
1.8550176842693396e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,6.4285355928973853e-69,0.0,6.3061414252058981e-39,2.4436444000829247e-65,4.2004813476229848e-94,0.0,0.0,3.9013269657989224e-118,0.0,1.0999272703075694e-16,1.0999272703075694e-16,6.3061414251257034e-39,8.019379730707137e-50,1.821011040437796e-37,3.1002712382874514e-73,3.0359233073420453e-42,5.1189971178836887e-66,2.5594985589418412e-66,6.3737609723145475e-56,4.2322829452663985e-88,4.0867220763219285e-100,4.2322829452704832e-88,2.2528987231473559e-102
3.736162378176276e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,1.0480135494901627e-67,0.0,2.5490431905948948e-38,9.8776013702599441e-65,1.3786400374192839e-92,0.0,0.0,2.5688088588199246e-116,0.0,2.2153464739997495e-16,2.2153464739997495e-16,2.5490431905299524e-38,6.4943020376436025e-49,7.3608177800651349e-37,5.0542245864669981e-72,1.2271687410651282e-41,8.2981154885814514e-65,4.1490577442907215e-65,5.1616368862314013e-55,1.381487734566417e-86,2.6687862162426454e-98,1.3814877345690846e-86,1.4715410327871105e-100
7.498451765990148e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771339,0.6699999999999996,1.6925446817710051e-66,0.0,1.0249590558389637e-37,3.9717400677123712e-64,4.4675650270443225e-91,0.0,0.0,1.6674357836035845e-114,0.0,4.4461848813841013e-16,4.4461848813841013e-16,1.0249590557866928e-37,5.2271794371828023e-48,2.959752455311464e-36,8.1625862076629092e-71,4.9343915349808537e-41,1.3363859631625965e-63,6.6819298158129743e-64,4.1545344182003515e-54,4.4647297867519815e-85,1.7252839369181372e-96,4.4647297867692257e-85,9.5140488492953944e-99
1.5023030541617893e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.2733228258377125,0.66999999999999915,2.7207161431454335e-65,0.0,4.1105442380563514e-37,1.592845407568864e-63,1.4386271234896457e-89,0.0,0.0,1.0747061680876269e-112,0.0,8.9078616961527739e-16,8.9078616961527739e-16,4.1105442376369094e-37,4.1944823681920962e-47,1.1869931127439243e-35,1.3121118931326619e-69,1.9789117015827771e-40,2.1451954719522732e-62,1.0725977359761351e-62,3.3337522270083629e-53,1.4357902125797452e-83,1.1097389407665223e-94,1.4357902125908367e-83,6.119962573558578e-97
