Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C2H2(37),C4H7X(140),C6H9X(432),C6H8(482),C6H9X(431),C6H8(56)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.098282208899056e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.4509393489187822e-78,0.0,2.6202319821819129e-42,1.0666569839692252e-71,2.7161638855326312e-102,0.0,0.0,8.474059716648435e-128,0.0,1.8371173070617691e-18,1.8371173070617691e-18,2.4038291480543406e-38,2.6202319814800081e-42,7.0190522900282357e-52,1.2007596804851791e-42,7.6596504516112435e-61,1.9768511034529256e-93,2.4767067103977776e-104,1.976851103477663e-93,3.0089253232517422e-107
8.675190184917356e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.5619859391759995e-77,0.0,1.582620117237875e-41,6.4426081831741182e-71,1.297544217534159e-100,0.0,0.0,6.5389648032782143e-126,0.0,5.1439284597729541e-18,5.1439284597729541e-18,1.4519128054248216e-37,1.5826201164045735e-41,8.3330189091235853e-51,7.2525884701304832e-42,9.093537013998907e-60,1.2026152633294522e-91,2.7368304680966809e-102,1.2026152633567872e-91,3.3249469815761128e-105
1.982900613695396e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.0177539703798393e-75,0.0,7.6196346041849979e-41,3.1018385093825042e-70,6.7562858514280007e-99,0.0,0.0,7.1264837156981242e-124,0.0,1.1757550765195321e-17,1.1757550765195321e-17,6.9903351625420201e-37,7.6196345960035946e-41,8.1814073891118264e-50,3.4918091508509006e-41,8.9280885597207861e-59,5.4291801868226807e-90,2.476078433523371e-100,5.4291801870699884e-90,3.0081620362847301e-103
4.213663804102716e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.9061405477539172e-74,0.0,3.3276946173710268e-40,1.3546543696409136e-69,2.6962563219391562e-97,0.0,0.0,5.8299061587478488e-122,0.0,2.4984795376040059e-17,2.4984795376040059e-17,3.0528630180290123e-36,3.3276946101346676e-40,7.2363621823754629e-49,1.5249647942161776e-40,7.8967932155708455e-58,2.0499551355632767e-88,1.873933488645128e-98,2.0499551357504426e-88,2.2766223811817616e-101
8.675190184917357e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,3.2923837655717867e-73,0.0,1.3892469969528471e-39,5.6554153290048103e-69,9.5829172478351479e-96,0.0,0.0,4.1958257955281913e-120,0.0,5.1439284597729524e-17,5.1439284597729524e-17,1.2745102142984104e-35,1.3892469908702517e-39,6.0825984275388042e-48,6.3664278259324183e-40,6.6377305015186502e-57,7.1122466529766759e-87,1.3018671603537239e-96,7.1122466542769625e-87,1.5816249257591629e-99
1.7598242946546637e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771411,0.67000000000000004,5.4703448449271738e-72,0.0,5.6755272826852815e-39,2.310421693556681e-68,3.2277904392082116e-94,0.0,0.0,2.8440673368298961e-118,0.0,1.0434826304110838e-16,1.0434826304110838e-16,5.2067900878516142e-35,5.6755272328164898e-39,4.9868816663847892e-47,2.6008934983181147e-39,5.4420124775390884e-56,2.3686750741264793e-85,8.6768894539962456e-95,2.3686750749931137e-85,1.0541463106927773e-97
3.54443484698052e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771389,0.66999999999999993,8.9180426648892883e-71,0.0,2.2941388715353854e-38,9.3390938900027144e-68,1.0593931337380968e-92,0.0,0.0,1.8726616300747751e-116,0.0,2.1016621992786595e-16,2.1016621992786595e-16,2.1046678029206746e-34,2.2941388311503455e-38,4.0385060341977736e-46,1.0513227367294357e-38,4.4070827617459523e-55,7.7317498877694186e-84,5.6663410914059181e-93,7.731749893428875e-84,6.8839790923589571e-96
7.113655951632232e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771345,0.66999999999999971,1.4402662479315868e-69,0.0,9.2246315025505173e-38,3.7552085783428885e-67,3.4330263983103575e-91,0.0,0.0,1.2155606498661622e-114,0.0,4.2180213370138031e-16,4.2180213370138031e-16,8.4627766688911721e-34,9.2246311774965877e-38,3.25054094504958e-45,4.2273224855352762e-38,3.5472035558066923e-54,2.4987679188447997e-82,3.6631059908690818e-91,2.4987679225034549e-82,4.4502695241559138e-94
1.4252098160935656e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771261,0.66999999999999926,2.3151858499406018e-68,0.0,3.6994898142505918e-37,1.5060065957241426e-66,1.1054891674109167e-89,0.0,0.0,7.834607496233554e-113,0.0,8.4507396124840632e-16,8.4507396124840632e-16,3.393951951162991e-33,3.6994895534152933e-37,2.6083543106815665e-44,1.6953453883189282e-37,2.8464073647629081e-53,8.0356628797904427e-81,2.3561867536794041e-89,8.0356629033236866e-81,2.8625068847287244e-92
2.8528982579542504e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771095,0.66999999999999837,3.7129276645202326e-67,0.0,1.4817255693411314e-36,6.0318816715888995e-66,3.5486751139431364e-88,0.0,0.0,5.0318248856188244e-111,0.0,1.6916176163424471e-15,1.6916176163424471e-15,1.3593510564029722e-32,1.4817253603554968e-36,2.0898574011516642e-43,6.7902244278666275e-37,2.2805895171210612e-52,2.5777675700771481e-79,1.5117466094397234e-87,2.5777675851762477e-79,1.8366053044408686e-90
5.70827514167562e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770756,0.66999999999999671,5.9475969547808888e-66,0.0,5.9307637656407971e-36,2.4143246223656434e-65,1.1373564458085028e-86,0.0,0.0,3.2260352281854733e-109,0.0,3.3847049265304811e-15,3.3847049265304811e-15,5.4409467967038149e-32,5.9307620924852148e-36,1.6731564233977569e-42,2.717859354702933e-36,1.8258580693502091e-51,8.259039077542001e-78,9.6873144437950726e-86,8.2590391742974555e-78,1.1769018091763553e-88
