Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CH2OH(40),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787891247013e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.229705954015946e-54,3.933253969625882e-36,4.954601119522991e-82,2.772049773112821e-54,2.4481368250718922e-64,6.403810048936966e-20,-1.5436245914451954e-105,6.403810048936965e-20,4.641565722418008e-72,4.217195569187104e-70,1.6853969827675188e-84,1.4832651544722978e-106,1.416759822088708e-37,2.5099732474279197e-85,3.497295464334295e-18,1.0354870284894464e-19,4.145401799161289e-22,1.1930551208397407e-37,4.417680688589059e-37,4.1454017991399193e-22,5.055818248188518e-54,1.0638232877909144e-33,5.956779616630016e-42,1.4594870729429828e-46,2.4398692155079865e-77,3.2699915885598806e-52,7.785197311033886e-28,3.9744198539330746e-37,1.0412009700606541e-75,8.267194103967926e-55,2.2528457735789137e-99,8.794109700922377e-87,8.519576055719838e-83,5.967167544491673e-71,7.870158485971285e-118,1.917737540324135e-40,2.320441690170862e-92,2.377444220008786e-56,5.593777504601878e-102,5.273683821911539e-81,2.8073106642375615e-85,-1.2521707262855571e-123
2.0316206095491638e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.395906908631997e-53,2.375685397739147e-35,2.0445309716761832e-80,4.1891216132938475e-53,5.476384104546952e-63,1.7930668137023507e-19,2.9970656702603966e-104,1.7930668137023493e-19,1.3101841955513617e-70,1.3259537576148332e-68,6.954837781438435e-83,1.1165654962046901e-104,8.557229325415951e-37,1.301866665878756e-83,9.792427300136024e-18,2.89936367977045e-19,1.1607125037686321e-21,7.206052929862368e-37,2.6682791359046613e-36,1.1607125037557248e-21,6.002267424217897e-53,6.425492623500385e-33,7.071888722018663e-41,1.7327411785158668e-45,1.484323631769672e-75,3.8821340140656484e-51,2.179855247548518e-27,2.400549591771033e-36,6.334133572708644e-74,9.814812840214853e-54,1.695886842249651e-97,5.064956912541054e-85,3.51562688413547e-81,1.6828367207416918e-69,1.6446847949316335e-115,1.158313474355778e-39,2.5641526549985353e-90,2.8225017522780625e-55,5.278397599210578e-100,2.176200376944074e-79,1.1602725751379573e-83,4.031288899908752e-121
4.643704250398089e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.261345260076216e-52,1.143790254494878e-34,8.087968886348855e-79,4.506465870763608e-52,1.0820411934819988e-61,4.0984384313196586e-19,3.164411963446647e-102,4.0984384313196537e-19,2.8505794687998424e-69,2.958129892289714e-67,2.7512646113897427e-81,8.828355970844449e-103,4.119937562634196e-36,5.698809191124267e-82,2.2382690971739462e-17,6.627116982332457e-19,2.6530571514875225e-21,3.469404291387461e-36,1.284661544237003e-35,2.653057151425379e-21,5.8930617499908465e-52,3.093598068760872e-32,6.943222200726021e-40,1.701296321326645e-44,6.7012598152075925e-74,3.8115021960202035e-50,4.982526282274895e-27,1.1557612935169211e-35,2.8595306392262035e-72,9.636241447535828e-53,1.3408879980974488e-95,2.2713392687053967e-83,1.3907470074566722e-79,3.660537444814274e-68,2.9764843689078766e-113,5.576780767262587e-39,2.319852488829586e-88,2.7711489031214985e-54,4.6249575821030756e-98,8.608832114472181e-78,4.5933304942767815e-82,2.105304976905468e-118
9.867871532095939e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.422577650510262e-51,4.995232542744143e-34,2.886544106423626e-77,4.142218530908023e-51,1.9254344168730905e-60,8.709181666554278e-19,2.501431778655069e-100,8.709181666554256e-19,5.284984245612609e-68,5.540249905572104e-66,9.819067604076775e-80,6.31015154553315e-101,1.7992849740528996e-35,2.1313902612175728e-80,4.756321831494626e-17,1.4082623587456471e-18,5.6377464469808404e-21,1.5151800034514795e-35,5.610454474459585e-35,5.6377464467094415e-21,5.212346380947274e-51,1.3510555216215176e-31,6.141201260683238e-39,1.504920989834606e-43,2.53050597487097e-72,3.371230528970789e-49,1.0587868359072126e-26,5.047513214424564e-35,1.0797043349005669e-70,8.523146433323487e-52,9.584124724195924e-94,8.545346004295983e-82,4.963477095658639e-78,6.786019503425888e-67,4.519542891359838e-111,2.4355266762116555e-38,1.7556992976864388e-86,2.4510497256467046e-53,3.4662925943112607e-96,3.072430916830215e-76,1.6398859266730739e-80,7.428333870015254e-116
2.031620609549164e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.398563504741582e-50,2.0854112558829876e-33,9.753017026852696e-76,3.543755161873527e-50,3.247526322784179e-59,1.793066813702352e-18,1.7730071759597646e-98,1.7930668137023433e-18,9.083947509964535e-67,9.56940394873983e-65,3.31764077137323e-78,4.267574557892047e-99,7.511660576716494e-35,7.40991137911963e-79,9.792427300135952e-17,2.8993636797704497e-18,1.1607125038189622e-20,6.325578250557378e-35,2.342254301046252e-34,1.1607125037056584e-20,4.381291200415973e-50,5.640390587010953e-31,5.162049448505426e-38,1.2652184460754327e-42,8.781151556828444e-71,2.833722392284788e-48,2.1798552542044498e-26,2.107237406491919e-34,3.7459957350081997e-69,7.164218135205554e-51,6.481772511471406e-92,2.9589820140174843e-80,1.6770466031499117e-76,1.166343369089402e-65,6.291667108041352e-109,1.0167844438798604e-37,1.219726938214311e-84,2.060254818216099e-52,2.412661561536334e-94,1.038104888153623e-74,5.541716259277458e-79,2.216779051489983e-113
4.1212875222283037e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,4.42606852890813e-49,8.519585438421297e-33,3.2066028786160053e-74,2.930045297339109e-49,5.3340709199041365e-58,3.637364107796203e-18,1.1931798817357173e-96,3.637364107796167e-18,1.5056317079687559e-65,1.5899707782424993e-63,1.0907675355276993e-76,2.8073741613803754e-97,3.0687584450388577e-34,2.5033537151134532e-77,1.9864638237418477e-16,5.881566321820053e-18,2.3545882221495757e-20,2.5842051138294694e-34,9.568873078341726e-34,2.3545882216866935e-20,3.592047232238232e-49,2.3042833837748507e-30,4.232159611974877e-37,1.0376988505562896e-41,2.925589752268037e-69,2.323256824814679e-47,4.421992102550087e-26,8.608752379876427e-34,1.247572864192063e-67,5.873658870904837e-50,4.263958466428411e-90,9.84471953993759e-79,5.513761478059513e-75,1.9331285986876836e-64,8.395147081185527e-107,4.153896221843724e-37,8.129427629283106e-83,1.6891211079967524e-51,1.630885835163157e-92,3.4130612338772476e-73,1.822142751250506e-77,6.118609685708009e-111
8.300621347586584e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,0.0,3.584345048694298e-48,3.443752654867279e-32,1.0400697146361298e-72,2.3826641748298874e-48,8.646756173131435e-57,7.325958695983915e-18,7.828979777981242e-95,7.325958695983769e-18,2.4515587450197376e-64,2.5920536561305007e-62,3.537877288974807e-75,1.8215475215335693e-95,1.2404412287116317e-33,8.445074322883556e-76,4.000906011198301e-16,1.1845971605919253e-17,4.742339659166234e-20,1.0445770248470173e-33,3.867891491228649e-33,4.742339657295189e-20,2.9089329782494295e-48,9.314280142997705e-30,3.427311925892076e-36,8.409973606593174e-41,9.556791249505155e-68,1.881433613380063e-46,8.906265846246008e-26,3.4797953538298586e-33,4.072284850951332e-66,4.756641238281594e-49,2.766643321750982e-88,3.2118449508338665e-77,1.7883747758250238e-73,3.1475987920717776e-63,1.0970400101376631e-104,1.679071267955744e-36,5.308826609560327e-81,1.3678936336861206e-50,1.1003906575369327e-90,1.1070178962899006e-71,5.910313044032154e-76,1.6266778630997254e-108
1.6659288998303143e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.884992726818628e-47,1.3847177997299709e-31,3.350824887826451e-71,1.921704974929052e-47,1.3925325720698979e-55,1.4703147872359385e-17,5.073091693740295e-93,1.4703147872358797e-17,3.9568482120187515e-63,4.186173577379353e-61,1.1397736079242665e-73,1.173833506242554e-93,4.987759624068409e-33,2.912976039899557e-74,8.029790386111004e-16,2.3774782174117623e-17,9.51784253462128e-20,4.200198274358883e-33,1.555262156893854e-32,9.517842527097883e-20,2.3413623314904885e-47,3.745229698648567e-29,2.75859775450635e-35,6.7794120394237576e-40,3.093230084050779e-66,1.5143414565252705e-45,1.7874813521656452e-25,1.3992104068984194e-32,1.316091601231317e-64,3.828558686574225e-48,1.782867913954453e-86,1.0377475874252414e-75,5.761484063289726e-72,5.080237140542255e-62,1.4188041238649481e-102,6.751471720212962e-36,3.4319832357690275e-79,1.1009991034251762e-49,7.588728231328383e-89,3.566403463519019e-70,1.9041232390472666e-74,4.247940798807393e-106
3.337662429973626e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.315024973831996e-46,5.553337734219025e-31,1.0759452407674242e-69,1.543617942648694e-46,2.235320438633846e-54,2.945752622511048e-17,3.2669384930531764e-91,2.945752622510813e-17,6.358566970790445e-62,6.729151760531339e-60,3.65956960988929e-72,7.538730408865578e-92,2.0003146922579654e-32,1.0559916764505817e-72,1.6087559135935595e-15,4.7632403310514264e-17,1.906884829121829e-19,1.684467366168895e-32,6.237296856147735e-32,1.906884826104609e-19,1.878795815801061e-46,1.5020035108365159e-28,2.213599277880379e-34,5.456635386370334e-39,9.977209339190105e-65,1.2151636545076983e-44,3.581190962455174e-25,5.611459542364161e-32,4.232350174103611e-63,3.0721772310816005e-47,1.145014218634735e-84,3.3368136938403428e-74,1.8498894568735487e-70,8.163804702127947e-61,1.8255520900108814e-100,2.7076421267585913e-35,2.2075221686988855e-77,8.83481323365231e-49,5.498131289922505e-87,1.1450959770384135e-68,6.113794474872391e-73,1.1007138797363347e-103
