Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CH4OX(63),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875635999514166e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.8966965619455826e-121,5.300933039583557e-54,3.531900510335764e-36,1.0082619069761787e-88,2.3587704118140585e-54,4.0776585432430466e-132,6.068294017960599e-20,-1.1138615352793758e-105,6.068294017960599e-20,3.7130603160959857e-72,5.5662329328480274e-71,2.466844970535186e-112,2.860301115910539e-113,1.2721921282760433e-37,1.9025913183247246e-85,3.3140619538399725e-18,9.812348426971968e-20,3.9282121073500357e-22,1.0713148027879996e-37,3.9668953162147876e-37,3.9282121073308465e-22,9.55269717549928e-34,5.0686964236468556e-42,1.2418939233500487e-46,1.8642639144089682e-77,4.302058859867595e-54,2.7824758630463755e-52,3.5688657836042364e-37,7.955654337621314e-76,4.3443461613900603e-106,7.37730803069778e-28,-6.797444338418338e-109,-4.3144590877477225e-124,1.6801199905884114e-92,4.8115076186648646e-71,4.0179997420034584e-102,1.0999116756304443e-87,-7.123905368360968e-109
1.9251780798639664e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.436215760266884e-119,6.293267704613079e-53,2.133267908315226e-35,1.114180119763081e-86,3.564573848526071e-53,1.4713672060350416e-129,1.6991223250289682e-19,2.1503257069206306e-104,1.6991223250289672e-19,1.0471424187253666e-70,1.7501127014400495e-69,4.931446430952096e-110,5.7180008869494784e-111,7.684040454787314e-37,9.859052231390686e-84,9.27937347075192e-18,2.747457559552151e-19,1.0998993900611266e-21,6.47074140876742e-37,2.3960047709910677e-36,1.0998993900495366e-21,5.769829064426632e-33,6.017556362832054e-41,1.474407207566252e-45,1.1341459739831472e-75,5.107404278363233e-53,3.303355344711349e-51,2.1555949332930922e-36,4.83981274505753e-74,8.684741290292049e-104,2.0656462490075683e-27,6.879332767553322e-107,7.966581835623574e-122,1.8565793548467583e-90,1.3569221333904657e-69,3.787942540472756e-100,6.3349281239680856e-86,7.209726655942901e-107
4.4004070396890666e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.4506365310940522e-116,6.178767550998979e-52,1.027076668514277e-34,1.0080707627186593e-84,3.834605885587757e-52,5.32770308264216e-127,3.8837081714947847e-19,2.2705168874372955e-102,3.88370817149478e-19,2.2777634853760952e-69,3.9044051638113136e-68,8.928272784086893e-108,1.035231192574031e-108,3.699534709026753e-36,4.314262795668517e-82,2.1209996504575794e-17,6.279902993262059e-19,2.5140557487258405e-21,3.115383446399353e-36,1.1535731579512646e-35,2.514055748670038e-21,2.7779242942727903e-32,5.9080724543061466e-40,1.4476468565275028e-44,5.120303991931301e-74,5.014479806839776e-52,3.2432538662851986e-50,1.0378261698663114e-35,2.1849227968171063e-72,1.5723528661291218e-101,4.7214771425319085e-27,1.4407013086075365e-104,3.3208429969246756e-119,1.6796933799086901e-88,2.951602029166094e-68,3.317876756761354e-98,2.840847664847838e-84,1.509893906880772e-104
9.350864959339266e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.666383686455064e-114,5.465049926615872e-51,4.485513649249004e-34,7.629905618301167e-83,3.524663453284303e-51,1.6155914704216132e-124,8.252879864426419e-19,1.7946543704661207e-100,8.2528798644264e-19,4.222589624942208e-68,7.312518762705751e-67,1.3529929252720884e-105,1.5687922103678076e-106,1.615684002910596e-35,1.613089344631207e-80,4.507124257222348e-17,1.3344793860681876e-18,5.342368466105137e-21,1.360569799429004e-35,5.037957051551494e-35,5.342368465861433e-21,1.213192495447263e-31,5.225623061020049e-39,1.2805430881010295e-43,1.9335015235979584e-72,4.435250601703117e-51,2.8686213164348135e-49,4.5324595451174405e-35,8.249852565614888e-71,2.382747878942345e-99,1.0033138936175628e-26,2.3154934639934927e-102,1.0689897925101861e-116,1.271217245593258e-86,5.471772721503278e-67,2.4859402217492885e-96,1.0687978927695032e-82,2.4266997278577733e-102
1.9251780798639667e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.3350728137605371e-111,4.593703757404545e-50,1.872613651590348e-33,5.301618021169823e-81,3.0154237912014776e-50,4.494376095737483e-122,1.6991223250289696e-18,1.2719874612285692e-98,1.6991223250289615e-18,7.257552688962568e-67,1.2630557666671535e-65,1.8813688619332196e-103,2.1814429035735942e-104,6.745162664119772e-35,5.605567347447091e-79,9.279373470751855e-17,2.7474575595521507e-18,1.0998993901063209e-20,5.680111083376169e-35,2.103247896619923e-34,1.0998993900045786e-20,5.064839629879427e-31,4.3924508516514606e-38,1.0765684946318654e-42,6.709410245920516e-71,3.7280953741740757e-50,2.4112490645150712e-48,1.8922126384130203e-34,2.8622569718709617e-69,3.313267631698665e-97,2.065646254984322e-26,3.3110797847686493e-100,3.0597128846143966e-114,8.831454934232374e-85,9.404579264293195e-66,1.7295535107033716e-94,3.7009077685169155e-81,3.470101099965123e-100
3.9053612477240464e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.6113734699372587e-109,3.766195880413717e-49,7.650237789961768e-33,3.5347551232535357e-79,2.4932107031414632e-49,1.1991698858678997e-119,3.446791002201627e-18,8.559892495756751e-97,3.446791002201594e-18,1.2028861338204667e-65,2.098586046608605e-64,2.5095073637889977e-101,2.9097680635276604e-102,2.755619037531202e-34,1.892299623761142e-77,1.8823871897810755e-16,5.5734139065200744e-18,2.2312244771777258e-20,2.320510714579333e-34,8.59245393041928e-34,2.2312244767620758e-20,2.06915206969236e-30,3.6011962632892916e-37,8.829554660994989e-42,2.2353099489807314e-69,3.0565178290390746e-49,1.976887665689307e-47,7.730306041461377e-34,9.532509908257913e-68,4.4194786508753116e-95,4.190310988269902e-26,4.477331169287666e-98,8.278278929010748e-112,5.886126792018e-83,1.5587400431340493e-64,1.1682198989463355e-92,1.2313153256286603e-79,4.692364074534451e-98
7.865727583444207e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,9.506595794930352e-107,3.0499630695091605e-48,3.092348435059887e-32,2.309961999768379e-77,2.0274375375947855e-48,3.1353542215095023e-117,6.94212835654695e-18,5.6164585602823395e-95,6.94212835654682e-18,1.9585882410405195e-64,3.4212249107450104e-63,3.280431040154593e-99,3.803652307564556e-100,1.1138652735279661e-33,6.374431847266413e-76,3.7912868751928094e-16,1.1225326600455914e-17,4.4938746516396974e-20,9.37987532250928e-34,3.473207260062441e-33,4.493874649959575e-20,8.363842033262286e-30,2.9163415739633016e-36,7.155578341560627e-41,7.3016219625952895e-68,2.4752473823267878e-48,1.6009348876781633e-46,3.1247132987274124e-33,3.111569447144435e-66,5.777147800430741e-93,8.439640497049305e-26,5.892470320522275e-96,2.179404560445276e-109,3.84386555497816e-81,2.538004083253464e-63,7.870867713747473e-91,4.017172754187994e-78,6.175468163623037e-96
1.5786460254884525e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,2.470367567920617e-104,2.454875619659146e-47,1.2434197079730717e-31,1.495425099021579e-75,1.6352018230319459e-47,8.119967985550015e-115,1.393280306523764e-17,3.6393815622153236e-93,1.3932803065237112e-17,3.1611693174500004e-63,5.525287366188953e-62,4.2476884606067263e-97,4.925185079895212e-98,4.4788032752820194e-33,2.1930098664995788e-74,7.609086246016094e-16,2.2529151988327574e-17,9.019175001840295e-20,3.7716066101254325e-33,1.3965613634447785e-32,9.019174995084593e-20,3.363062920816447e-29,2.3473245657632824e-35,5.76776429100702e-40,2.3631178595233068e-66,1.992294433011908e-47,1.2885716785742338e-45,1.256433474276264e-32,1.0056051201084958e-64,7.480579150781884e-91,1.693829968344109e-25,7.655655802303365e-94,5.663634092063611e-107,2.4849337477233508e-79,4.096348822814464e-62,5.4139916050386165e-89,1.2979491215656846e-76,8.023334235688301e-94
3.1627925597765167e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996377,0.022821567693054264,6.385039699877265e-102,1.969883082957454e-46,4.986669185113148e-31,9.646025759473041e-74,1.313483030337868e-46,2.09515778702515e-112,2.7914152482619155e-17,2.3436598471103515e-91,2.7914152482617054e-17,5.079914229189881e-62,8.881738058579275e-61,5.479978383642484e-95,6.354022434132882e-96,1.7962004327610452e-32,7.915483810072261e-73,1.524468498766193e-15,4.5136802764070795e-17,1.8069775707348106e-19,1.5125829375907762e-32,5.600835693900976e-32,1.806977568025471e-19,1.3487377052603778e-28,1.8835787722368996e-34,4.6416399305973176e-39,7.62104218443711e-65,1.5986908090576283e-46,1.0339976251130575e-44,5.038860184221387e-32,3.2338730592695315e-63,9.650757680339167e-89,3.3935618731556583e-25,9.893395761876095e-92,1.463874950259074e-104,1.5983605318835158e-77,6.582722588752329e-61,3.905590465530487e-87,4.1734757587902505e-75,1.0368546283488202e-91
