Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2416431527206538e-65,2.8897376103220656e-36,5.5223290074893884e-89,1.7456639970619119e-54,1.8272994677947548e-132,5.4889800419459697e-20,-6.1007182377974519e-106,5.4889800419459697e-20,2.4856031901589835e-72,1.1802860991373733e-71,1.2221255309124364e-112,1.417051341177754e-113,9.31526650368099e-53,1.1509445797556839e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421369366e-22,8.7653029284416383e-38,3.2456429548823198e-37,3.5532015421212362e-22,7.8158445696168568e-34,3.751208158407863e-42,9.1909063287503648e-47,3.1838388967562489e-54,1.1288365308609828e-77,2.059236685496183e-52,1.8846798673939389e-98,2.1522774369087045e-106,-3.367591585280587e-109
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7776131481572001e-64,1.7454015166881271e-35,6.1024394684067835e-87,2.6380474299459875e-53,6.5935470254552558e-130,1.5369144117448717e-19,1.1777523723566814e-104,1.5369144117448708e-19,7.0097986865715394e-71,3.7110083377981513e-70,2.4431348638875933e-110,2.8328084537774326e-111,1.1059084392959153e-51,5.9576206116966763e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643180089225e-22,5.2942429686684919e-37,1.96036834474695e-36,9.9489643179140931e-22,4.720770098160955e-33,4.453434304694523e-41,1.0911649785543223e-45,3.7798535381438999e-53,6.86739087686526e-76,2.4447257930898119e-51,1.7748630378114611e-96,4.3025891447771857e-104,3.4081540327707639e-107
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4881901905729681e-63,8.4033569716205621e-35,5.5212481832833671e-85,2.8378910439795219e-52,2.3874607077276266e-127,3.5129472268454212e-19,1.2435821455505183e-102,3.5129472268454174e-19,1.5247843273526294e-69,8.2790554587024944e-69,4.4232221648619128e-108,5.128714475306989e-109,1.0857874636036713e-50,2.6013303162328558e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869854907e-21,2.5489500914254406e-36,9.4383297127682186e-36,2.2740489869398337e-21,2.2728475680131435e-32,4.3724081644416061e-40,1.0713558372142571e-44,3.7110826177952128e-52,3.1003928027105105e-74,2.4002462808274573e-50,1.5512394571341535e-94,7.7897081952870211e-102,7.1374820210231442e-105
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.766018576257456e-62,3.669966765939818e-34,4.178897831917772e-83,2.6085107949743556e-51,7.2397593352904316e-125,7.4650128570465221e-19,9.8294804363937564e-101,7.4650128570465067e-19,2.8266931673081123e-68,1.5505754611842555e-67,6.7029067802949335e-106,7.7720027955584639e-107,9.6036671532618629e-50,9.6841005359481698e-81,4.076847284138252e-17,1.2070820217819832e-18,4.832354097395489e-21,1.1131934717411861e-35,4.1219665526699921e-35,4.8323540971960936e-21,9.9261222641552183e-32,3.8673454264951144e-39,9.4767964948993781e-44,3.2824105484456916e-51,1.1707436247155947e-72,2.1229906537266681e-49,1.1572727657617273e-92,1.1804446155381292e-99,1.1471255659349147e-102
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6471880721762959e-60,1.5321388817404744e-33,2.9036461776042596e-81,2.2316359036874758e-50,2.0139779243780961e-122,1.5369144117448725e-18,6.9667876284265104e-99,1.5369144117448661e-18,4.8583633313683076e-67,2.6782335078040487e-66,9.3203947674886624e-104,1.0806973237547607e-104,8.0724609053347044e-49,3.3363194665158686e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643183786932e-21,4.6473636111216325e-35,1.7208398946511069e-34,9.9489643175462596e-21,4.1439604854784958e-31,3.2507367231010696e-38,7.9671229797373926e-43,2.7590638455012615e-50,4.0625081528594671e-71,1.7845015646759599e-48,7.9828024651404312e-91,1.6414087467524531e-97,1.6403241888694145e-100
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7055164458401522e-59,6.2592872597926632e-33,1.9358867434124228e-79,1.8451597207739139e-49,5.3734281489443669e-120,3.1177406638253163e-18,4.688328694883235e-97,3.1177406638252894e-18,8.0523809262209197e-66,4.4499250279014667e-65,1.2431806445622071e-101,1.4414646901017823e-102,6.6182911655459225e-48,1.1072027901121704e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184760997938e-20,1.8985996742098909e-34,7.0301924657604771e-34,2.0182184757597167e-20,1.6929429386425746e-30,2.6651501488767731e-37,6.5340680476024449e-42,2.262047235273366e-49,1.3534209214501259e-69,1.4630421984793123e-47,5.3014188742133899e-89,2.1893574624625166e-95,2.2180153953253376e-98
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3857628422916707e-58,2.5301039904497385e-32,1.2650164796526576e-77,1.5004532412932642e-48,1.404844485868144e-117,6.2793931679862113e-18,3.0761839409613586e-95,6.2793931679861027e-18,1.3111214894787535e-64,7.2545008930714068e-64,1.6249781549424256e-99,1.8841578999441369e-100,5.3596637730937111e-47,3.6076590918590952e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.0648625648847753e-20,7.6744434376788945e-34,2.841716197669788e-33,4.0648625635101295e-20,6.843144954747199e-30,2.1583073362135429e-36,5.2949226761659477e-41,1.8318644972262055e-48,4.4206382891618786e-68,1.1848095054165341e-46,3.4557729011592304e-87,2.8617386099566857e-93,2.918860635811236e-96
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0631391302846612e-57,1.0173436888881642e-31,8.1883726649231186e-76,1.2101698967498969e-47,3.6377921656093493e-115,1.2602698176308037e-17,1.9933214135853031e-93,1.2602698176307601e-17,2.11615537004885e-63,1.1716038302318355e-62,2.1038321417224308e-97,2.4393878390523379e-98,4.3139236790790381e-46,1.1648912594067403e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507434992742e-20,3.0858599484807043e-33,1.1426415846827984e-32,8.1581507379718818e-20,2.751597619291356e-29,1.7371929443767603e-35,4.2673922544460978e-40,1.4744439136699648e-47,1.4305141055725488e-66,9.5363776791987886e-46,2.2320180660403696e-85,3.7050452955056102e-91,3.7917501297136744e-94
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1337905154591634e-55,4.0800032276115717e-31,5.2803777785931706e-74,9.7207427292415557e-47,9.3839270405035613e-113,2.524930819295183e-17,1.2836431903468324e-91,2.5249308192950073e-17,3.4006048699011462e-62,1.8833189333873632e-61,2.7134471692377896e-95,3.1462348611274691e-96,3.461652061862454e-45,3.7444388626495498e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727104906412e-19,1.2375678542859143e-32,4.5825038128893208e-32,1.6344727082739084e-19,1.1035130159149669e-28,1.3939870212178586e-34,3.4332652618463137e-39,1.1831483797832608e-46,4.6121545813611356e-65,7.6523425373716435e-45,1.4350281598055821e-83,4.7786344108546346e-89,4.898756772045206e-92
