Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),CO2X(24),CH4OX(63),HOCO(73)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-2.075091835312774e-121,5.48266959135137e-54,3.6121709764811935e-36,1.0785815491282908e-88,2.4396382377617374e-54,4.4611858943516773e-132,6.136864488443326e-20,-1.191545740343393e-105,6.136864488443325e-20,3.8837537269109855e-72,3.857475458038287e-71,2.6687101222961296e-112,3.094363298877825e-113,1.301105585736861e-37,2.012564477929142e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937528643e-22,1.0956628664739486e-37,4.057052027946889e-37,3.972600093733239e-22,9.769803928901847e-34,5.2424710028130645e-42,1.2844712077400081e-46,1.9720008683277972e-77,4.4495501291512516e-54,2.8778699314031458e-52,3.649976369595166e-37,8.415414241078177e-76,4.699849692274987e-106,7.460670089482661e-28,-7.353688106963169e-109,-4.720258905158781e-124,1.7972968414843833e-92,5.032697843620814e-71,4.298274185412243e-102,-7.706863868213855e-109,7.708671270357671e-88,-3.666112371833651e-146
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.759412598294747e-119,6.509025338872714e-53,2.181751269869549e-35,1.1918871358303654e-86,3.686781272737951e-53,1.6097581629370793e-129,1.718322056764132e-19,2.300296185357607e-104,1.718322056764131e-19,1.0952806818308938e-70,1.2128520060767304e-69,5.334994368188457e-110,6.1859137995913035e-111,7.858677737850648e-37,1.0429050553047868e-83,9.384228476589003e-18,2.7785032631604824e-19,1.1123280262539897e-21,6.617803713348562e-37,2.450459424877166e-36,1.112328026242136e-21,5.9009615424678396e-33,6.223861541778296e-41,1.5249563728259744e-45,1.1996892436975736e-75,5.2825059131953705e-53,3.4166071826692286e-51,2.2045857272314807e-36,5.119507128482693e-74,9.395427187867654e-104,2.0889876254767026e-27,7.442279316882191e-107,8.715886915810055e-122,1.986063036366123e-90,1.4193013031221014e-69,4.052218454146523e-100,7.799709853430961e-107,4.439799976607144e-86,1.424368474433464e-143
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5870784383728782e-116,6.390599675742291e-52,1.050419320073093e-34,1.0783778586074517e-84,3.966071053535377e-52,5.828808564681708e-127,3.927593272603731e-19,2.4288698745211798e-102,3.927593272603726e-19,2.3824747202313467e-69,2.705806106766611e-68,9.658892031183638e-108,1.119946327604115e-108,3.783615043322802e-36,4.563802979730661e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640600241466e-21,3.186187615475106e-36,1.1797907297228233e-35,2.542464059967076e-21,2.841058936641342e-32,6.110624099318644e-40,1.4972793202314643e-44,5.4162134687992e-74,5.186395630126404e-52,3.354445192376487e-50,1.0614131282722751e-35,2.3111902094762507e-72,1.701021791799506e-101,4.774828860219807e-27,1.5585969210448934e-104,3.633190111943158e-119,1.7968404771578404e-88,3.0872903459116886e-68,3.549444074345632e-98,1.6334516948898814e-104,1.9909926596848e-84,1.3120810906371767e-140
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.105292871607101e-114,5.652413042032186e-51,4.587457141292188e-34,8.162055482492134e-83,3.6455025918825816e-51,1.7675502181670764e-124,8.346135704282929e-19,1.9198192091342285e-100,8.346135704282909e-19,4.41670660672013e-68,5.0676753803685185e-67,1.4637126234193654e-105,1.697171447792657e-106,1.652404093885823e-35,1.7064749243078845e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127615464e-21,1.3914918401830725e-35,5.15245607544985e-35,5.402736127366221e-21,1.2407650515577767e-31,5.404777691783609e-39,1.3244477653554006e-43,2.0452433188105552e-72,4.587308200283954e-51,2.966968785178644e-49,4.6354699893238674e-35,8.726614277747096e-71,2.5777356878135567e-99,1.0146511336450942e-26,2.504977665284824e-102,1.169536475266465e-116,1.3598759326523783e-86,5.723315992343293e-67,2.6595723167069587e-96,2.6252842917484713e-102,7.490611994018623e-83,8.797607547197872e-138
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.4606495769013947e-111,4.751193745392168e-50,1.915173052775293e-33,5.671392152029899e-81,3.1188042183548735e-50,4.917116340591563e-122,1.7183220567641335e-18,1.3606998662264806e-98,1.7183220567641252e-18,7.591190183455562e-67,8.753148976838452e-66,2.03533128557681e-103,2.3599619825642388e-104,6.898461815576924e-35,5.930658538723735e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263002108e-20,5.809204515895288e-35,2.15104898517901e-34,1.1123280261961566e-20,5.179949616388957e-31,4.543041104557178e-38,1.1134819797287603e-42,7.0971778038989615e-71,3.8559089475495573e-50,2.4939160379037134e-48,1.935217471103562e-34,3.0276677487371936e-69,3.584409949973267e-97,2.0889876315892918e-26,3.58204316533216e-100,3.34750900266072e-114,9.447388360256005e-85,9.836917877180153e-66,1.8505322640732568e-94,3.7540780459146516e-100,2.5937611129629634e-81,5.13396631635852e-135
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.951074560085652e-109,3.8953156877194756e-49,7.824106830744686e-33,3.7813102358848864e-79,2.57868763949144e-49,1.3119688061831595e-119,3.4857390294358155e-18,9.156886312875138e-97,3.485739029435783e-18,1.2581841017493664e-65,1.4543487936489438e-64,2.7148844979825586e-101,3.1479023821103564e-102,2.8182467429295425e-34,2.0024184476523227e-77,1.9036577766794548e-16,5.636392333839833e-18,2.2564368534591438e-20,2.373249593477244e-34,8.787736974288693e-34,2.2564368530340477e-20,2.116178248930686e-30,3.7246592359332093e-37,9.132340624068848e-42,2.3645082657769066e-69,3.1613071180246618e-49,2.044663045050553e-47,7.90599481512551e-34,1.008339679782617e-67,4.781167113334709e-95,4.237660638269567e-26,4.8437545551609595e-98,9.056968640998322e-112,6.2966437694040055e-83,1.63039699759655e-64,1.250167590516404e-92,5.07638568638452e-98,8.629606596522887e-80,2.804231454022015e-132
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,1.0400909592461767e-106,3.154527637137352e-48,3.162629081393823e-32,2.471105440572713e-77,2.0969459626691786e-48,3.4303059121644436e-117,7.020572974779191e-18,6.008168039839636e-95,7.020572974779059e-18,2.0486266467493887e-64,2.3709555913706421e-63,3.548928469542532e-99,4.114974464428013e-100,1.1391803933807966e-33,6.747789840340078e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654508103425e-20,9.593054299184446e-34,3.552143788697188e-33,4.544654506385119e-20,8.553929318480762e-30,3.016325065960469e-36,7.401020213510827e-41,7.723709311219512e-68,2.560108464358966e-48,1.6558211471597585e-46,3.195729510057718e-33,3.2913880644644955e-66,6.2499970432889876e-93,8.535006694797639e-26,6.3747592953262065e-96,2.384427493349577e-109,4.111948808457972e-81,2.654678857741794e-63,8.425977159852766e-91,6.680920045296591e-96,2.8154137103200412e-78,1.483385081059235e-129
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,2.702805512911562e-104,2.5390382806221156e-47,1.2716792468571042e-31,1.599771735077428e-75,1.6912628859697293e-47,8.883977048093679e-115,1.409024086546598e-17,3.8932034754979715e-93,1.4090240865465445e-17,3.306491667270264e-63,3.8290996101069828e-62,4.595427042256676e-97,5.328387172025284e-98,4.580594258810528e-33,2.322962399925654e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089818697659e-20,3.857324935793141e-33,1.4283013944297162e-32,9.121089811788419e-20,3.439496141876611e-29,2.4277999394629064e-35,5.965700308133656e-40,2.4997635208044345e-66,2.0605980129139563e-47,1.3327489153296337e-45,1.284988780506267e-32,1.0637193650328384e-64,8.092979520502224e-91,1.712969898052388e-25,8.282390949626569e-94,6.196527077296546e-107,2.6582408193298699e-79,4.2846623792347405e-62,5.799558933871363e-89,8.680169613301279e-94,9.096605933921557e-77,7.727596101180185e-127
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,6.9860327107366555e-102,2.0374183180395257e-46,5.10000257621722e-31,1.031942591605159e-73,1.3585143248203619e-46,2.2923637517757146e-112,2.822957664683971e-17,2.5071140539052164e-91,2.822957664683755e-17,5.313443344063102e-62,6.155165780128152e-61,5.928786032179128e-95,6.874413878719905e-96,1.837023169868745e-32,8.393619562075471e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960445108803e-19,1.5469598174159938e-32,5.728127414197294e-32,1.827396041739965e-19,1.3793908131471048e-28,1.9481551288355535e-34,4.801085858727662e-39,8.061981252450435e-65,1.6535001276481242e-46,1.0694470756294268e-44,5.153379733834307e-32,3.420759601094791e-63,1.0441150188778636e-88,3.431908424265674e-25,1.070366553961513e-91,1.601662042168209e-104,1.7098351937267495e-77,6.885337418502429e-61,4.188242935411924e-87,1.1217730922752314e-91,2.9249578203532642e-75,3.99935185269625e-124
