Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CO2X(24),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-2.0750918353127057e-121,5.482669591351367e-54,3.6121709764811935e-36,1.0785815491282908e-88,2.4396382377617374e-54,4.4611858943516773e-132,6.136864488443326e-20,-1.191545740343393e-105,6.136864488443325e-20,3.8837537269109855e-72,2.9062184413966938e-71,2.6687101222961296e-112,3.094363298877825e-113,1.3011055857368604e-37,2.012564477929142e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937528643e-22,1.095662866445786e-37,4.057052027946889e-37,3.972600093733239e-22,9.769803928901847e-34,5.2424710028130645e-42,1.2844712077400081e-46,1.9720008683277972e-77,4.449550129036878e-54,2.8778699314031458e-52,8.415414241078177e-76,3.649976369595166e-37,4.699849692274987e-106,-7.353688106963169e-109,7.460670089482661e-28,-4.720258905158781e-124,1.7972968414843833e-92,4.298274185412243e-102,5.032697843620814e-71,-7.706863868213601e-109,-3.6661123718334975e-146,-4.639434801356454e-148
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.7594125982945264e-119,6.509025338872705e-53,2.181751269869549e-35,1.1918871358303654e-86,3.686781272737951e-53,1.6097581629370793e-129,1.718322056764132e-19,2.300296185357607e-104,1.718322056764131e-19,1.0952806818308938e-70,9.137615787136915e-70,5.334994368188457e-110,6.1859137995913035e-111,7.858677737850642e-37,1.0429050553047868e-83,9.384228476589003e-18,2.7785032631604824e-19,1.1123280262539897e-21,6.617803713014214e-37,2.450459424877166e-36,1.112328026242136e-21,5.9009615424678396e-33,6.223861541778296e-41,1.5249563728259744e-45,1.1996892436975736e-75,5.282505912939523e-53,3.4166071826692286e-51,5.119507128482693e-74,2.2045857272314807e-36,9.395427187867654e-104,7.442279316882192e-107,2.0889876254767026e-27,8.715886915810055e-122,1.986063036366123e-90,4.052218454146523e-100,1.4193013031221014e-69,7.799709853430505e-107,1.4243684744333646e-143,1.5082955855130073e-145
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5870784383726914e-116,6.390599675742271e-52,1.050419320073093e-34,1.0783778586074517e-84,3.966071053535377e-52,5.828808564681708e-127,3.927593272603731e-19,2.4288698745211798e-102,3.927593272603726e-19,2.3824747202313467e-69,2.038551816179078e-68,9.658892031183638e-108,1.1199463276041148e-108,3.783615043322794e-36,4.563802979730661e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640600241466e-21,3.1861876151468416e-36,1.1797907297228233e-35,2.542464059967076e-21,2.841058936641342e-32,6.110624099318644e-40,1.4972793202314643e-44,5.416213468799199e-74,5.186395629620897e-52,3.354445192376487e-50,2.3111902094762507e-72,1.0614131282722751e-35,1.7010217917995057e-101,1.5585969210448938e-104,4.774828860219807e-27,3.633190111943158e-119,1.7968404771578404e-88,3.549444074345632e-98,3.0872903459116886e-68,1.6334516948896884e-104,1.312081090636999e-140,1.2789134809201806e-142
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.105292871605896e-114,5.652413042032151e-51,4.587457141292188e-34,8.162055482492134e-83,3.6455025918825816e-51,1.7675502181670764e-124,8.346135704282929e-19,1.9198192091342285e-100,8.346135704282909e-19,4.41670660672013e-68,3.8179819405662595e-67,1.4637126234193654e-105,1.697171447792657e-106,1.6524040938858165e-35,1.7064749243078845e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127615464e-21,1.3914918398927255e-35,5.15245607544985e-35,5.402736127366221e-21,1.2407650515577767e-31,5.404777691783609e-39,1.3244477653554006e-43,2.0452433188105552e-72,4.587308199384427e-51,2.966968785178644e-49,8.726614277747096e-71,4.6354699893238674e-35,2.5777356878135567e-99,2.5049776652848255e-102,1.0146511336450942e-26,1.1695364752664649e-116,1.3598759326523783e-86,2.6595723167069587e-96,5.723315992343293e-67,2.625284291747851e-102,8.797607547195524e-138,8.231069680495737e-140
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.4606495769007053e-111,4.751193745392109e-50,1.915173052775293e-33,5.671392152029896e-81,3.1188042183548735e-50,4.917116340591561e-122,1.7183220567641335e-18,1.3606998662264806e-98,1.7183220567641252e-18,7.591190183455562e-67,6.594614336431806e-66,2.0353312855768092e-103,2.359961982564238e-104,6.898461815576865e-35,5.930658538723735e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263002108e-20,5.809204513454747e-35,2.15104898517901e-34,1.1123280261961566e-20,5.179949616388957e-31,4.543041104557178e-38,1.1134819797287603e-42,7.097177803898959e-71,3.855908946032374e-50,2.4939160379037134e-48,3.0276677487371936e-69,1.935217471103562e-34,3.584409949973266e-97,3.582043165332161e-100,2.0889876315892918e-26,3.347509002660719e-114,9.447388360256005e-85,1.8505322640732568e-94,9.836917877180153e-66,3.7540780459128765e-100,5.1339663163558023e-135,4.710813093056365e-137
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.9510745600819235e-109,3.8953156877193784e-49,7.824106830744686e-33,3.7813102358848846e-79,2.57868763949144e-49,1.311968806183159e-119,3.4857390294358155e-18,9.156886312875138e-97,3.485739029435783e-18,1.2581841017493664e-65,1.0957050347977885e-64,2.714884497982557e-101,3.1479023821103548e-102,2.818246742929495e-34,2.0024184476523227e-77,1.9036577766794548e-16,5.636392333839833e-18,2.2564368534591438e-20,2.3732495914763414e-34,8.787736974288693e-34,2.2564368530340477e-20,2.116178248930686e-30,3.7246592359332093e-37,9.132340624068848e-42,2.3645082657769056e-69,3.1613071155326837e-49,2.044663045050553e-47,1.008339679782617e-67,7.90599481512551e-34,4.781167113334707e-95,4.843754555160966e-98,4.237660638269567e-26,9.056968640998318e-112,6.2966437694040055e-83,1.250167590516404e-92,1.63039699759655e-64,5.0763856863797205e-98,2.8042314540190585e-132,2.548819450157237e-134
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,1.0400909592442133e-106,3.1545276371371925e-48,3.162629081393823e-32,2.471105440572711e-77,2.0969459626691786e-48,3.430305912164441e-117,7.020572974779191e-18,6.008168039839636e-95,7.020572974779059e-18,2.0486266467493887e-64,1.7862757474780517e-63,3.548928469542529e-99,4.11497446442801e-100,1.1391803933807577e-33,6.747789840340078e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654508103425e-20,9.593054282980615e-34,3.552143788697188e-33,4.544654506385119e-20,8.553929318480762e-30,3.016325065960469e-36,7.401020213510827e-41,7.723709311219505e-68,2.5601084603193634e-48,1.6558211471597585e-46,3.2913880644644955e-66,3.195729510057718e-33,6.2499970432889824e-93,6.374759295326223e-96,8.535006694797639e-26,2.384427493349575e-109,4.111948808457972e-81,8.425977159852766e-91,2.654678857741794e-63,6.680920045283956e-96,1.483385081056112e-129,1.341984681890037e-131
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,2.7028055129013586e-104,2.5390382806218603e-47,1.2716792468571042e-31,1.5997717350774259e-75,1.6912628859697293e-47,8.883977048093668e-115,1.409024086546598e-17,3.8932034754979715e-93,1.4090240865465445e-17,3.306491667270264e-63,2.8848401006091074e-62,4.5954270422566703e-97,5.328387172025277e-98,4.580594258810217e-33,2.322962399925654e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089818697659e-20,3.8573249227508884e-33,1.4283013944297162e-32,9.121089811788419e-20,3.439496141876611e-29,2.4277999394629064e-35,5.965700308133656e-40,2.4997635208044314e-66,2.0605980064083e-47,1.3327489153296337e-45,1.0637193650328384e-64,1.284988780506267e-32,8.092979520502212e-91,8.282390949626613e-94,1.712969898052388e-25,6.196527077296535e-107,2.6582408193298699e-79,5.799558933871363e-89,4.2846623792347405e-62,8.680169613268448e-94,7.727596101147675e-127,6.9748063998908e-129
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,6.9860327106839115e-102,2.0374183180391158e-46,5.10000257621722e-31,1.031942591605156e-73,1.3585143248203619e-46,2.2923637517757076e-112,2.822957664683971e-17,2.5071140539052164e-91,2.822957664683755e-17,5.313443344063102e-62,4.6372961972440624e-61,5.92878603217911e-95,6.874413878719885e-96,1.8370231698684958e-32,8.393619562075471e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960445108803e-19,1.5469598069504075e-32,5.728127414197294e-32,1.827396041739965e-19,1.3793908131471048e-28,1.9481551288355535e-34,4.801085858727662e-39,8.06198125245041e-65,1.6535001172051043e-46,1.0694470756294268e-44,3.420759601094791e-63,5.153379733834307e-32,1.0441150188778604e-88,1.0703665539615248e-91,3.431908424265674e-25,1.601662042168204e-104,1.7098351937267495e-77,4.188242935411924e-87,6.885337418502429e-61,1.1217730922667456e-91,3.999351852662612e-124,3.605646918138725e-126
