Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40),HX(39),CH3X(38),CH2X(175),CHX(176),H2X(44),CX(177)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5599389854574704e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.3572248141314017e-84,6.6790267544427704e-42,0.0,2.2388456931679694e-52,0.0,6.6705167972195438e-25,-3.6222662101847671e-113,6.670516797183783e-25,6.6100477563294518e-75,2.6846121434364626e-106,0.0,0.0,1.1843161916437688e-67,3.8850752835211865e-90,2.6454317779320117e-18,2.9074969772189948e-20,2.9074969772187745e-20,1.099603264187512e-33,2.4578697830556759e-42,4.2002203090657805e-58,1.5508953295805791e-59
1.8367829159280918e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,5.2730176202385473e-83,4.0341321597001939e-41,0.0,3.3833436108381446e-51,0.0,1.8677447032330734e-24,6.9928378222103616e-112,1.8677447032114733e-24,1.8641392276890665e-73,1.633180575950723e-104,0.0,0.0,1.4060201827248321e-66,2.0110268565379304e-88,7.4072089782096315e-18,8.1409915362135394e-20,8.1409915362122105e-20,6.6416037013580341e-33,2.917983000676311e-41,4.9865015509418496e-57,3.469290809908061e-58
4.198360950692781e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,1.0418594238206127e-81,1.9422609802166217e-40,0.0,3.6396466656932776e-50,0.0,4.2691307503017172e-24,7.3836983032041752e-110,4.2691307501977219e-24,4.0549099990875558e-72,7.3729577965924352e-103,0.0,0.0,1.3804389529962567e-65,8.780930290890549e-87,1.6930763378764859e-17,1.8607980654204058e-19,1.8607980654197651e-19,3.197646270755475e-32,2.8648930012507951e-40,4.8957767923047543e-56,6.8547339865504774e-57
8.921517020222159e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,1.8539331783819902e-80,8.4823639783949489e-40,0.0,3.3454623416686638e-49,0.0,9.071902844624619e-24,5.836198137421996e-108,9.0719028441704462e-24,7.5171197545377895e-71,2.7838885766546195e-101,0.0,0.0,1.2209826209709411e-64,3.2689201831191588e-85,3.5977872179875249e-17,3.9541958890190787e-19,3.9541958890162813e-19,1.3964961232996038e-31,2.5339653939933891e-39,4.3302591299545021e-55,1.2197632780767361e-55
1.8367829159280917e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,3.126929282007719e-79,3.5412199854319674e-39,0.0,2.8621134673807232e-48,0.0,1.8677447034012893e-23,4.1364905546521894e-106,1.8677447032116806e-23,1.2920008225641593e-69,9.6586027195604607e-100,0.0,0.0,1.0263094626806233e-63,1.1261925669780355e-83,7.4072089782095769e-17,8.1409915362187026e-19,8.1409915362070219e-19,5.8300963067553604e-31,2.1299505599609097e-38,3.6398437165282967e-54,2.057309018649728e-54
3.7260453437398434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054285,0.0,5.1359907355952591e-78,1.4467039113106203e-38,0.0,2.3664507626748019e-47,0.0,3.7888535415759306e-23,2.7836685139848698e-104,3.788853540801318e-23,2.1413966125401799e-68,3.216717968990648e-98,0.0,0.0,8.4143050456519779e-63,3.7374225246701146e-82,1.5026052498653585e-16,1.6514582830627061e-18,1.6514582830579346e-18,2.3817844850554757e-30,1.7462620952946135e-37,2.9841637890946283e-53,3.3791361285703584e-53
7.504570199363346e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054285,0.0,8.3256623082923343e-77,5.8478085183708354e-38,0.0,1.9243584591822231e-46,0.0,7.6310712191131614e-23,1.8264667300830263e-102,7.6310712159820524e-23,3.4867092626700006e-67,1.0499903208592698e-96,0.0,0.0,6.8141223824279308e-62,1.2177847158380042e-80,3.0263739539541189e-16,3.3261765419480218e-18,3.3261765419287352e-18,9.6275529948564148e-30,1.4141682225650607e-36,2.4166532063875921e-52,5.4777249172666383e-52
1.5061619910610352e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054285,0.0,1.3408222484944027e-75,2.3513780862829945e-37,0.0,1.5520648119947382e-45,0.0,1.5315506578939419e-22,1.1835232597219874e-100,1.5315506566349369e-22,5.6275628072730924e-66,3.3933872832248719e-95,0.0,0.0,5.4845985100256584e-61,3.9321530533060242e-79,6.0739113621314796e-16,6.675613059733231e-18,6.67561305965568e-18,3.871196146091073e-29,1.138245459054457e-35,1.9451327450735038e-51,8.8217059379604072e-51
3.0175719333104363e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.1186699660299641,0.022821567693054285,0.0,2.152316657230527e-74,9.430077810700062e-37,0.0,1.2467028618859053e-44,0.0,3.0684377317599107e-22,7.6215584876036126e-99,3.0684377267107374e-22,9.0433423551939135e-65,1.0912624968483964e-93,0.0,0.0,4.40104489859047e-60,1.263955462632707e-77,1.2168986178485558e-15,1.3374486095361962e-17,1.3374486095050952e-17,1.5525223411715031e-28,9.1337004582077867e-35,1.560846528535185e-50,1.4160787979508831e-49
