Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),C2H4X(215),C2H4X(70),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.953329266492073e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,5.482671163430592e-54,3.612172013168931e-36,1.5500409250213347e-88,2.4241203128942476e-54,6.411219237187188e-132,6.136866250465416e-20,-1.183966518773619e-105,6.136866250465416e-20,3.859049238485829e-72,1.3318316237103178e-70,3.8352326226744008e-112,4.446942146468609e-113,1.3011059590610445e-37,1.9987700538107625e-85,3.3515101695656458e-18,9.923225937949986e-20,3.9726000929929453e-22,1.0956628660758407e-37,4.0570536936024005e-37,3.9726000929647894e-22,4.4495501266785754e-54,1.4040379067616417e-33,1.0827345543949015e-41,3.81241371151966e-46,5.853056965592567e-77,2.877870756793966e-52,3.64997741687761e-37,4.074645523072638e-76,7.460670173823551e-28,6.754203582437999e-106,7.275834052343908e-55,2.661495137002291e-87,-1.5190962692510266e-108,5.000686118211656e-71,-6.783535824441173e-124,8.702301892200036e-93,4.268813157259577e-102,-8.906881589517425e-124
1.9469321946177806e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,6.509027205245212e-53,2.1817518961763702e-35,1.7128628656515807e-86,3.663330579445686e-53,2.313386775322467e-129,1.7183225501303167e-19,2.285664710590615e-104,1.718322550130316e-19,1.0883136193238164e-70,4.187491710868964e-69,7.666931276668927e-110,8.889786665529005e-111,7.858679992728775e-37,1.0351747143387956e-83,9.384228474783804e-18,2.778503262625996e-19,1.112328026042596e-21,6.617803711080611e-37,2.450460430933095e-36,1.1123280260255902e-21,5.2825059103596805e-53,8.480388893664063e-33,1.2854224535439832e-40,4.526163952534628e-45,3.5607515575896413e-75,3.416608162784634e-51,2.2045863597900768e-36,2.4788056964503867e-74,2.088987649092152e-27,1.3502183515259013e-103,8.637870186929234e-54,1.5328849277931993e-85,1.5373872972848056e-106,1.4102734824261765e-69,1.2525617878072638e-121,9.616285794013565e-91,4.022206124394972e-100,2.8674976568349967e-121
4.450130730554927e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.390601508157978e-52,1.0504196217630284e-34,1.549717513729116e-84,3.940843867446258e-52,8.376479875375922e-127,3.9275944002978675e-19,2.413420565266121e-102,3.9275944002978626e-19,2.367319837159999e-69,9.342063652753226e-68,1.38806260000732e-107,1.6094549366843705e-108,3.783616128949615e-36,4.5248543594144936e-82,2.1449665085220105e-17,6.350864600287989e-19,2.5424640595474843e-21,3.18618761452234e-36,1.1797912140954456e-35,2.5424640594656078e-21,5.186395627553852e-52,4.082942138098473e-32,1.2620353673584004e-39,4.4439552442214473e-44,1.6075435859576955e-73,3.35444615510744e-50,1.0614134328220095e-35,1.1190513632990033e-72,4.774828914197977e-27,2.444508145382451e-101,8.480712171370352e-53,6.874099407535914e-84,3.2196248316312916e-104,3.0676528635585486e-68,5.22119412994312e-119,8.700092173554475e-89,3.5191979454763685e-98,1.497502641542305e-118
9.45652780242922e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,5.652414662783296e-51,4.587458460170743e-34,1.1729224879463792e-82,3.622314461575181e-51,2.5400471509283557e-124,8.346138100632968e-19,1.907607817589604e-100,8.34613810063295e-19,4.388612007533168e-68,1.7496651314978317e-66,2.1034190196451022e-105,2.4389088251930117e-106,1.6524045680076278e-35,1.6881142195769967e-80,4.5580538306092636e-17,1.3495587275611977e-18,5.402736126630403e-21,1.391491839889239e-35,5.152458190832346e-35,5.402736126272826e-21,4.5873081983848805e-51,1.7831280436640945e-31,1.1162559547859465e-38,3.93087826637065e-43,6.070158983774669e-72,2.9669696374999333e-49,4.63547131937257e-35,4.225324890122872e-71,1.0146511451154556e-26,3.704317749512104e-99,7.501093874516898e-52,2.586208001356338e-82,5.174441215176474e-102,5.6869114095329034e-67,1.6806748555765085e-116,6.584360718152579e-87,2.6310362615709008e-96,5.283610221988773e-116
1.9469321946177804e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,4.751195107731441e-50,1.9151736044837475e-33,8.14959123220345e-81,3.098966284680575e-50,7.065729658893641e-122,1.7183225501303174e-18,1.352044864355122e-98,1.71832255013031e-18,7.54290274564338e-67,3.022111403544936e-65,2.9247015590558705e-103,3.391183771181212e-104,6.898463794942569e-35,5.840790501343428e-79,9.384228474783739e-17,2.778503262625995e-18,1.1123280261088805e-20,5.809204515690395e-35,2.151049868309561e-34,1.1123280259595991e-20,3.855908946586349e-50,7.444208100341563e-31,9.382803296649908e-38,3.304560905813426e-42,2.106284150472244e-70,2.493916755671321e-48,1.9352180263727127e-34,1.465961398499985e-69,2.088987655204742e-26,5.150673163981355e-97,6.305121376257502e-51,8.955217210145981e-81,7.398892172132512e-100,9.774347700726043e-66,4.81025510256014e-114,4.574315216537979e-85,1.8226085564113235e-94,1.5766500479076685e-113
3.9494910233674975e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,3.8953168046480246e-49,7.824109093664472e-33,5.433019104856176e-79,2.562285252302093e-49,1.885050949398546e-119,3.485740030264359e-18,9.098642118001694e-97,3.485740030264329e-18,1.25018081305548e-65,5.0212832960628065e-64,3.900773780497104e-101,4.5229369466527105e-102,2.818247551565356e-34,1.9549284319210543e-77,1.9036577763132576e-16,5.636392332755588e-18,2.256436853117587e-20,2.3732495942285684e-34,8.787740582165153e-34,2.2564368525077233e-20,3.1613071182731555e-49,3.0412015213874066e-30,7.692588047033452e-37,2.709968873226277e-41,7.016564314028861e-69,2.044663635717625e-47,7.905997083581171e-34,4.882262907791298e-68,4.2376606861751994e-26,6.8696276949113e-95,5.169319443504359e-50,2.979457172546916e-79,1.000392892107869e-97,1.6200264497174567e-64,1.3013139499421139e-111,3.048761339644793e-83,1.2206778450121052e-92,4.35123715613247e-111
7.954608680866932e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,0.0,3.154528541655867e-48,3.162630003387028e-32,3.549734170928054e-77,2.083607813812118e-48,4.92763601688866e-117,7.020574990532451e-18,5.969951893198168e-95,7.020574990532328e-18,2.0355953658298706e-64,8.185959077660319e-63,5.098033147431641e-99,5.911156035956069e-100,1.1391807202446139e-33,6.477920909118283e-76,3.8341276339829775e-16,1.1352170473014766e-17,4.544654507603104e-20,9.593054308972338e-34,3.5521452470585346e-33,4.5446545051379365e-20,2.5601084662417524e-48,1.2293019674007195e-29,6.229655655939001e-36,2.1957209473670236e-40,2.2914716003242436e-67,1.6558216290570582e-46,3.1957304270037636e-33,1.5936515287337224e-66,8.535006791283648e-26,8.978113489285241e-93,4.186248908780481e-49,9.720494765335665e-78,1.3163079892633853e-95,2.637793108911417e-63,3.4252254235618983e-109,1.9909574265457535e-81,8.091042249923976e-91,1.1565272375246433e-108
1.59648439958658e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,0.0,2.5390390086586276e-47,1.2716796234449752e-31,2.297069740160111e-75,1.6805051857111248e-47,1.2756334709013542e-114,1.409024491106866e-17,3.8684399812166755e-93,1.409024491106816e-17,3.285459127332292e-63,1.3220345771739424e-61,6.598475791064704e-97,7.650915337637057e-98,4.5805955731179175e-33,2.1614732306978054e-74,7.69506734932223e-16,2.2783726753533097e-17,9.121089818446558e-20,3.857324945157885e-33,1.428301980830398e-32,9.12108980853423e-20,2.0605980171363132e-47,4.9429666337652735e-29,5.014166282776689e-35,1.769106805632772e-39,7.413061484392406e-66,1.33274930893299e-45,1.284989149206237e-32,5.150403776089455e-65,1.7129699174170689e-25,1.1620533407496074e-90,3.3694573168459654e-48,3.140693322611902e-76,1.7094653887107979e-93,4.2574087125497974e-62,8.897446070203456e-107,1.287088872436921e-79,5.3988898020412864e-89,3.0187125322664433e-106
3.1985314625863537e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,0.0,2.0374189022450907e-46,5.1000041334931165e-31,1.4804586342872803e-73,1.3498731549474184e-46,3.2887342189974304e-112,2.822958475214117e-17,2.491167056810705e-91,2.822958475213917e-17,5.2796446170303925e-62,2.1251319698606863e-60,8.505690368179302e-95,9.862325626760146e-96,1.837023696966681e-32,7.396542333702674e-73,1.5416946779999983e-15,4.564683931456967e-17,1.8273960447623153e-19,1.5469598255262892e-32,5.728129765926289e-32,1.8273960407870266e-19,1.6535001353805832e-46,1.9823486860882554e-28,4.023548557237571e-34,1.422484869750393e-38,2.3887025894671828e-64,1.069447400668036e-44,5.15338121248608e-32,1.6562910052760864e-63,3.431908463062534e-25,1.497931676741267e-88,2.7037772951739714e-47,1.0098706672067835e-74,2.207294135498726e-91,6.841541507801856e-61,2.2978051764711918e-104,8.278818140335901e-78,3.6936045741506755e-87,7.814429315792281e-104
6.4026255885859006e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,0.0,1.6324144456323137e-45,2.0426618581946235e-30,9.536394182614814e-72,1.0820904144579308e-45,8.473826973060153e-110,5.650826443428657e-17,1.5992816566009662e-89,5.650826443427854e-17,8.465801330672702e-61,3.408133221677501e-59,1.0957952319870028e-92,1.2705716913273056e-93,7.357676652608333e-32,2.66001177018018e-71,3.086070564135249e-15,9.137306443664241e-17,3.65797017359352e-19,6.195908197249661e-32,2.29423968228832e-31,3.657970157671615e-19,1.3248122400446566e-45,7.939718490125277e-28,3.2237285014338324e-33,1.1443468418207745e-37,7.693364512086409e-63,8.568593466610447e-44,2.064040473340782e-31,5.313220600154047e-62,6.869785830625692e-25,1.929797955808325e-86,2.166312045006223e-46,3.2393660510662554e-73,2.8461423711390313e-89,1.097027080466442e-59,5.9257183556917295e-102,5.311739886036244e-76,2.654759329420149e-85,2.0175040803640096e-101
1.2810813840584995e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,0.0,1.306924136652161e-44,8.175971217637425e-30,6.159217585140994e-70,8.665499454876327e-45,2.1891099984483902e-107,1.1306562379857887e-16,1.0251222282001924e-87,1.1306562379854678e-16,1.355999486073855e-59,5.459359113475389e-58,1.4154411852926066e-90,1.6412003337004348e-91,2.944988126930681e-31,1.0365565925989694e-69,6.1748223364045495e-15,1.8282551468078635e-16,7.31911844323956e-19,2.479977975605699e-31,9.182937684688088e-31,7.319118379510317e-19,1.0606553308964117e-44,3.1779436340122577e-27,2.580932437161147e-32,9.235835628068183e-37,2.4845390711927026e-61,6.860085200799069e-43,8.261540929901603e-31,1.7023228458014052e-60,1.374554167084092e-24,2.492724392215267e-84,1.734366844968417e-45,1.0378436697039384e-71,3.6781305020098343e-87,1.75714985415889e-58,1.5315361057277527e-99,3.4037646300818244e-74,2.066780587462871e-83,5.216742483443227e-99
