Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CH4OX(63),C2H4X(70),C2H6X(52),CO2X(24),OH(D)X(68)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.159038114058185e-121,5.48266959135139e-54,3.612170976733984e-36,1.5500394165346246e-88,2.424118925254646e-54,6.411211082112505e-132,6.136864488443326e-20,-1.1839657808913935e-105,6.136864488443325e-20,3.8590479378084934e-72,7.487035910163726e-71,3.8352277435184593e-112,4.44693781959758e-113,1.3011055857368652e-37,1.998769962849701e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937571347e-22,1.0956628664941835e-37,4.057052027946889e-37,3.972600093728979e-22,1.4040376513018614e-33,1.0827341890695803e-41,3.812413017256061e-46,5.853055899613828e-77,4.449550129233427e-54,2.8778699316045475e-52,3.649976369595166e-37,4.074644116028839e-76,6.754197010603468e-106,-1.519095050824955e-108,7.460670089482661e-28,-6.783527277283152e-124,8.702298888822496e-93,1.4961883555356749e-87,4.268812963813389e-102,5.000683256630011e-71,-2.287458679968854e-108,7.275831966100427e-55
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1158164997179724e-118,6.50902533887276e-53,2.1817512701696626e-35,1.7128611993754237e-86,3.6633284876787163e-53,2.313383833587622e-129,1.7183220567641317e-19,2.2856632876190456e-104,1.718322056764131e-19,1.0883132540117911e-70,2.354043898751941e-69,7.666921525825721e-110,8.88977801922088e-111,7.858677737850698e-37,1.0351746684612323e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026256569e-21,6.617803713588792e-37,2.4504594248771657e-36,1.112328026239563e-21,8.48038735068701e-33,1.2854220198297667e-40,4.5261631282824914e-45,3.5607509104936644e-75,5.282505913379196e-53,3.416607183119757e-51,2.2045857272314807e-36,2.4788048405519577e-74,1.3502170382880928e-103,1.5373860643982676e-106,2.0889876254767026e-27,1.2525602099193058e-121,9.616282475485995e-91,8.617278937066921e-86,4.022205946859099e-100,1.4102726773578528e-69,2.315001353565035e-106,8.63786771014094e-54
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.710481892807354e-116,6.390599675742383e-52,1.050419320367746e-34,1.5497160061690058e-84,3.940841617580704e-52,8.37646922379522e-127,3.9275932726037305e-19,2.4134190630050566e-102,3.927593272603726e-19,2.367319042848373e-69,5.251742443393563e-68,1.3880608346718326e-107,1.6094533713214308e-108,3.783615043322851e-36,4.524854158129522e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640600365655e-21,3.186187615710965e-36,1.179790729722823e-35,2.542464059954689e-21,4.082941395221464e-32,1.2620349415352204e-39,4.4439544349183876e-44,1.607543293821146e-73,5.186395630489614e-52,3.354445193266656e-50,1.061413128272275e-35,1.1190509769061011e-72,2.4445057678430814e-101,3.2196222496984906e-104,4.774828860219807e-27,5.221187552674843e-119,8.700089171206934e-89,3.864349566344079e-84,3.519197789610442e-98,3.067651112776126e-68,4.8481185301695544e-104,8.480709739644848e-53
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5152202870690742e-113,5.652413042032352e-51,4.58745714389836e-34,1.1729213469202187e-82,3.6223123935915023e-51,2.540043920966112e-124,8.346135704282928e-19,1.907606630205893e-100,8.346135704282909e-19,4.388610535075303e-68,9.835932374709478e-67,2.1034163445010836e-105,2.438906453076921e-106,1.6524040938858667e-35,1.6881141434221016e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127669701e-21,1.3914918403916871e-35,5.152456075449849e-35,5.402736127312124e-21,1.7831277192302071e-31,1.1162555781501835e-38,3.930877550466896e-43,6.070157880595425e-72,4.587308200930265e-51,2.966968786762652e-49,4.635469989323867e-35,4.2253234311769074e-71,3.7043141466419626e-99,5.174437065556976e-102,1.0146511336450942e-26,1.680672738372818e-116,6.584358445930926e-87,1.4538648884989715e-82,2.6310361434068094e-96,5.6869081639577276e-67,7.79168557077717e-102,7.501091723683094e-52
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.334884020655884e-111,4.751193745392451e-50,1.9151730549659382e-33,8.149583304074188e-81,3.098964515479801e-50,7.06572067386988e-122,1.7183220567641327e-18,1.3520440227819995e-98,1.7183220567641252e-18,7.542900214876671e-67,1.698912715277654e-65,2.9246978393424156e-103,3.391180472804356e-104,6.898461815577291e-35,5.840790230369214e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263228536e-20,5.80920451764882e-35,2.151048985179009e-34,1.112328026173572e-20,7.444206745894105e-31,9.382800130799665e-38,3.3045603039112595e-42,2.106283767639195e-70,3.855908948639655e-50,2.4939160405753742e-48,1.935217471103561e-34,1.4659608923238994e-69,5.15066815426723e-97,7.398886238481485e-100,2.0889876315892918e-26,4.8102490428244384e-114,4.5743136379704824e-85,5.034272519363509e-81,1.822608472238823e-94,9.774342122427301e-66,1.1141268980487102e-99,6.305119568351873e-51
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.172463546929966e-108,3.8953156877199405e-49,7.824106848704915e-33,5.433013819267737e-79,2.56228378949295e-49,1.885048552230949e-119,3.485739029435814e-18,9.098636454602333e-97,3.485739029435783e-18,1.2501803935996986e-65,2.822768885520664e-64,3.900768819239127e-101,4.522932547321765e-102,2.818246742929844e-34,1.9549283362723697e-77,1.9036577766794548e-16,5.636392333839833e-18,2.2564368535516462e-20,2.373249594914895e-34,8.787736974288693e-34,2.2564368529417833e-20,3.0412009680515564e-30,7.692585451478624e-37,2.709968379517771e-41,7.016563038442589e-69,3.16130711981515e-49,2.0446630494387632e-47,7.905994815125509e-34,4.882261222013897e-68,6.869621013021583e-95,1.0003920897892585e-97,4.237660638269567e-26,1.3013123105572256e-111,3.0487602875364265e-83,1.6749341768119032e-79,1.2206777855693952e-92,1.620025525155662e-64,1.5063939367377345e-97,5.169317961273733e-50
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.0857510629589666e-106,3.154527637138105e-48,3.1626290959384793e-32,3.54973071724606e-77,2.083606624280044e-48,4.927629750171525e-117,7.020572974779182e-18,5.969948177234862e-95,7.020572974779059e-18,2.0355946828549158e-64,4.601825712494653e-63,5.098026663029912e-99,5.911150285890468e-100,1.1391803933810407e-33,6.477920560166467e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654508477336e-20,9.593054310826917e-34,3.5521437886971845e-33,4.544654506012171e-20,1.2293017437336269e-29,6.229653553992172e-36,2.1957205471721026e-40,2.291471183564907e-67,2.560108467261426e-48,1.6558211542732343e-46,3.1957295100577146e-33,1.5936509784680978e-66,8.978104755842668e-93,1.3163069334779068e-95,8.535006694797639e-26,3.4252211082268866e-109,1.9909567394789383e-81,5.464481599967025e-78,8.091041816240981e-91,2.6377916035022745e-63,1.9820996259987782e-95,4.186247708431107e-49
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,8.015222632810623e-104,2.539038280623332e-47,1.271679258563903e-31,2.297067504893185e-75,1.6805042263104152e-47,1.2756318484203302e-114,1.4090240865465944e-17,3.868437573327764e-93,1.4090240865465445e-17,3.28545802500797e-63,7.43196081459771e-62,6.598467397175568e-97,7.650907894051007e-98,4.5805942588124935e-33,2.1614730939386766e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089820201135e-20,3.857324945164014e-33,1.428301394429713e-32,9.12108981028881e-20,4.9429657344105783e-29,5.014164590948247e-35,1.7691064829142396e-39,7.413060134998533e-66,2.0605980175882777e-47,1.3327489267856613e-45,1.284988780506264e-32,5.150401997727305e-65,1.1620522101863088e-90,1.7094640173171337e-93,1.712969898052388e-25,8.897434859221053e-107,1.2870884282707844e-79,1.765574827760676e-76,5.398889462252242e-89,4.257406282813382e-62,2.5741169595988964e-93,3.3694563506994215e-48
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,2.0699279758143265e-101,2.0374183180414778e-46,5.100002670156809e-31,1.4804571932061222e-73,1.349872384304594e-46,3.2887300350456864e-112,2.822957664683956e-17,2.491165506197651e-91,2.822957664683755e-17,5.279642845624801e-62,1.194665994048173e-60,8.50567954553146e-95,9.862316028674977e-96,1.8370231698703224e-32,7.396541739266287e-73,1.5416946782965665e-15,4.564683932335053e-17,1.827396045113842e-19,1.5469598249355294e-32,5.728127414197268e-32,1.827396041138554e-19,1.9823483254074777e-28,4.0235471996537705e-34,1.422484609815188e-38,2.3887021539145988e-64,1.6535001351514455e-46,1.0694470940188693e-44,5.153379733834283e-32,1.6562904333822847e-63,1.4979302189435402e-88,2.207292364049101e-91,3.431908424265674e-25,2.2978022804810888e-104,8.278815283369907e-78,5.677097525461466e-75,3.6936042789487225e-87,6.841537603280666e-61,3.3237486675258363e-91,2.703776519900703e-47
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,5.3380670364309046e-99,1.6324139775566852e-45,2.042661272096818e-30,9.536384894052332e-72,1.0820897966923209e-45,8.473816187454962e-110,5.650824820958718e-17,1.5992806611370108e-89,5.650824820957914e-17,8.465798490260345e-61,1.915919067345421e-59,1.0957938370301613e-92,1.2705704540256707e-93,7.35767454146477e-32,2.660011480215485e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579701742971846e-19,6.195908190131606e-32,2.2942387403700563e-31,3.657970158375282e-19,7.939717045526306e-28,3.223727413717925e-33,1.1443466319956816e-37,7.693363104558329e-63,1.3248122389127303e-45,8.56859100968548e-44,2.0640398811088023e-31,5.313218765575843e-62,1.9297960765423265e-86,2.8461400852424186e-89,6.869785752964392e-25,5.925710883729349e-102,5.3117380529910766e-76,1.8210447717058418e-73,2.654759041605992e-85,1.097026454384517e-59,4.2857278923940194e-89,2.166311423841764e-46
1.2810813843049348e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999355,0.11866996602995904,0.022821567693054195,1.3796876618120605e-96,1.3069237619041274e-44,8.175968871718704e-30,6.159211578561152e-70,8.66549450774115e-45,2.189107209493745e-107,1.130655913350839e-16,1.0251215901185748e-87,1.1306559133505181e-16,1.3559990311142427e-59,3.0690379551635023e-58,1.4154393817232276e-90,1.641198733503424e-91,2.9449872819160247e-31,1.0365564360720332e-69,6.174822337592369e-15,1.828255147159556e-16,7.319118444647497e-19,2.4799779689525976e-31,9.182933914560329e-31,7.319118380918265e-19,3.177943055800552e-27,2.5809315663321164e-32,9.235833923202996e-37,2.4845386136180083e-61,1.060655328471689e-44,6.860083233765113e-43,8.261538559430282e-31,1.702322258014943e-60,2.492721961768442e-84,3.6781275434438553e-87,1.3745541515450424e-24,1.5315341727124752e-99,3.4037634554678512e-74,5.834350787933742e-72,2.066780276888553e-83,1.75714885133974e-58,5.538537733109458e-87,1.7343663476552796e-45
2.562719034951296e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998717,0.11866996602995275,0.022821567693054105,3.590497569960777e-94,1.0459362139771276e-43,3.271452881604207e-29,4.006188697241177e-68,6.935907775239e-44,5.695053457218775e-105,2.261802775860835e-16,6.565845036230367e-86,2.2618027758595513e-16,2.170776138945302e-58,4.913316531756679e-57,1.8412121639176287e-88,2.1348813021013375e-89,1.1783785151290853e-30,4.499632255410981e-68,1.23523258833145e-14,3.6573041523942165e-16,1.4641415033283308e-18,9.923142137689111e-31,3.674369693851803e-30,1.4641414778282337e-18,1.2715808354155318e-26,2.065512798371646e-31,7.510082136909516e-36,8.081092203140445e-60,8.488466092358065e-44,5.490152075930686e-42,3.305691532460939e-30,5.450748442419303e-59,3.242547896303875e-82,4.786104144052388e-85,2.749705746077686e-24,3.98543533664378e-97,2.1797569644961214e-72,1.868114230777332e-70,1.7919743813071343e-81,2.81296425122812e-57,7.206933310643979e-85,1.3880201850543417e-44
5.125994336244018e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997446,0.11866996602994016,0.02282156769305392,9.479905245929368e-92,8.369078912907442e-43,1.3087944678239303e-28,2.643919352369584e-66,5.550131430541981e-43,1.5031496556088162e-102,4.52409650088107e-16,4.203762948407432e-84,4.524096500875932e-16,3.474184241629931e-57,7.863591761387505e-56,2.429977709426821e-86,2.8175536061540133e-87,4.714281374564821e-30,2.1961861923980643e-66,2.470733297473954e-14,7.315402162863289e-16,2.928600840230109e-18,3.9699029640646725e-30,1.4699871345209174e-29,2.9286007382122907e-18,5.087068668542588e-26,1.6526970938070763e-30,6.199011163586101e-35,2.6671944554026894e-58,6.7920624350660855e-43,4.3929567182767275e-41,1.3224918614553793e-29,1.7447494246710956e-57,4.279419416008122e-80,6.318667332098126e-83,5.500010703284724e-24,1.052145360315317e-94,1.3954594092866379e-70,5.979761259218862e-69,1.747002608079473e-79,4.501964020784588e-56,9.514673713114241e-83,1.110627032983742e-43
1.0252544938829462e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679994903,0.118669966029915,0.022821567693053556,2.572980327274331e-89,6.695898948628272e-42,5.235606277963092e-28,1.793703108660613e-64,4.4406672965535014e-42,4.07783740103825e-100,9.04868395092252e-16,2.6909274832299264e-82,9.04868395090196e-16,5.559448827854218e-56,1.2583575107589137e-54,3.296436421330443e-84,3.822210498131763e-85,1.88586602358912e-29,1.186698868368167e-64,4.941734715751277e-14,1.4631598183800437e-15,5.8575195907364695e-18,1.5880903882893268e-29,5.880427064486698e-29,5.85751918262538e-18,2.0349269334203076e-25,1.3222400640621776e-29,5.263381318679995e-34,9.051256795599395e-57,5.434165667280457e-42,3.5147005271963618e-40,5.290397942010827e-29,5.5838796132258585e-56,5.805334705514619e-78,8.57576355367405e-81,1.1000627690265799e-23,2.855070642142533e-92,8.932054748637494e-69,1.913810920499868e-67,1.886073080116641e-77,7.204119546311968e-55,1.291342089216055e-80,8.885859847472644e-43
2.050564614400035e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679989813,0.11866996602986467,0.022821567693052824,7.333069865643609e-87,5.35697361173496e-41,2.094329592173145e-27,1.2777598260310244e-62,3.5527587107775135e-41,1.1613395392044856e-97,1.809785885100932e-15,1.7223597497926996e-80,1.809785885092707e-15,8.895721395382172e-55,2.0135182095990565e-53,4.6948337034803416e-82,5.4436489336231365e-83,7.543771053005818e-29,6.894076350599313e-63,9.883737552275174e-14,2.9263990225670727e-15,1.1715357398595085e-17,6.352619740984494e-29,2.3522665171739264e-28,1.1715355766031474e-17,8.139509830266779e-25,1.0577732285839227e-28,4.696804387639403e-33,3.2261677320345005e-55,4.3475385759654187e-41,2.8118962400017597e-39,2.116245253978172e-28,1.7868643986170873e-54,8.268043785805283e-76,1.222273874858356e-78,2.2001889954495944e-23,8.134126272145643e-90,5.716598372664964e-67,6.124654385580607e-66,2.1899734490428648e-75,1.1527373016468054e-53,1.8405059936147116e-78,7.109025255396357e-42
4.101184855434213e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767997963,0.11866996602976401,0.02282156769305136,2.2590327613128852e-84,4.2856808523242744e-40,8.377503704292033e-27,9.83789611397601e-61,2.8422969191183522e-40,3.573790408521945e-95,3.619620865119854e-15,1.1023634129649505e-78,3.619620865086954e-15,1.4233636849993638e-53,3.2217458292740534e-52,7.225603609083962e-80,8.378070791873947e-81,3.017569814180059e-28,4.1875514404094164e-61,1.976774322519998e-13,5.852877430939531e-15,2.343103424197333e-17,2.5410993535170153e-28,9.40925731638788e-28,2.343102771116345e-17,3.2554469422067876e-24,8.461282219164266e-28,4.534842946244871e-32,1.2432889914284311e-53,3.4781128693171e-40,2.2495741202864382e-38,8.465152972286357e-28,5.717451687490562e-53,1.2724967311785268e-73,1.8831689520530665e-76,4.400452764402822e-23,2.5044680735064956e-87,3.658299804770866e-65,1.9599627196061023e-64,2.6594209093947147e-73,1.844442223052514e-52,2.835687639110975e-76,5.687355040414005e-41
