Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167948023109e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-7.329160496214289e-121,5.852214219507818e-54,3.772712991540745e-36,1.7660352053630093e-88,2.5875108873427055e-54,7.629255587483678e-132,6.271758546012731e-20,-1.3489487520094102e-105,6.27175854601273e-20,4.2096986395502295e-72,3.59607961521388e-71,4.4657105973125105e-112,5.177979701078161e-113,1.3589328905748574e-37,2.228336099181549e-85,3.4251785341464446e-18,1.0141344872170399e-19,4.059920416422938e-22,1.1443589934319149e-37,4.237367191095731e-37,4.05992041639353e-22,1.4664395912579114e-33,1.1557130393465195e-41,4.069379542188855e-46,6.5252367120293716e-77,4.749458748296125e-54,3.07184503006287e-52,3.812198635405345e-37,4.5425863680063937e-76,7.8645343013029835e-106,7.624660537174144e-28,-1.7688221192448066e-108,-8.072306775110718e-124,9.914941994384509e-93,-2.6634969293193315e-108,4.863710092847676e-102,5.455069434903929e-71,7.344264755353202e-88,-1.1481834286795091e-145,-1.6746524250863093e-147,-7.178560451334072e-212
1.9897270254464707e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.3278048740293102e-118,6.947748721421899e-53,2.278718647127932e-35,1.9515465793921088e-86,3.9102464227659204e-53,2.7528967244399047e-129,1.756092392883565e-19,2.604165347234688e-104,1.7560923928835642e-19,1.1872023626913445e-70,1.1306649659498725e-69,8.927309040496257e-110,1.0351191370237464e-110,8.207954659072147e-37,1.1540818800876833e-83,9.590499895610041e-18,2.8395765642077116e-19,1.1367777166031973e-21,6.911928320164291e-37,2.5593697834188814e-36,1.1367777165854353e-21,8.857295063763325e-33,1.3720625100213632e-40,4.831239819562441e-45,3.969678447958223e-75,5.638557425832077e-53,3.6468944200384475e-51,2.3025679757805593e-36,2.7634769452901194e-74,1.5721826714295755e-103,2.134904950849054e-27,1.7901206005132937e-106,1.4905303746815e-121,1.095628685491387e-90,2.695568235820385e-106,4.582789485644262e-100,1.5384168502986865e-69,4.229920464093052e-86,4.139110229923922e-143,5.444317060849715e-145,1.3357107157577258e-208
4.5479474867347896e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.605406483417205e-116,6.821340894327185e-52,1.097104938296031e-34,1.765668479266556e-84,4.206464664774573e-52,9.96789636573408e-127,4.013925469448149e-19,2.7497236031924304e-102,4.0139254694481447e-19,2.5824244543905904e-69,2.5224513410226145e-68,1.6162492862573468e-107,1.8740367996844505e-108,3.951776845791696e-36,5.044729098323404e-82,2.192114261853721e-17,6.490460718189055e-19,2.598349066544102e-21,3.327795952653292e-36,1.2322263791662278e-35,2.5983490664585857e-21,4.2644062302263153e-32,1.3470990867607472e-39,4.743493318306867e-44,1.7921597161275013e-73,5.5359691165642046e-52,3.580542568119484e-50,1.1085873631694707e-35,1.2475655701602726e-72,2.8463662555300213e-101,4.8797827468735084e-27,3.748906121612505e-104,6.213149553973863e-119,9.912424352486585e-89,5.64511254650923e-104,4.0097702914763024e-98,3.346392679215963e-68,1.8968738767088515e-84,3.691927495965208e-140,4.61628471931762e-142,1.1786788085643956e-203
9.664388409311428e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.8030930680154537e-113,6.033398771888409e-51,4.7913455029352285e-34,1.3363694200476056e-82,3.866465736795228e-51,3.0226254385036737e-124,8.529591622577318e-19,2.173427340959248e-100,8.529591622577299e-19,4.78737971585664e-68,4.724272196416456e-67,2.4492080659690475e-105,2.8398503156224557e-106,1.7258447710300797e-35,1.88215559861456e-80,4.658242806439148e-17,1.3792229026151741e-18,5.521491766502303e-21,1.4533359214035906e-35,5.381456332645997e-35,5.521491766128833e-21,1.8623781763741368e-31,1.1914938480514218e-38,4.195839033056389e-43,6.767287354067991e-72,4.896501990198877e-51,3.1669493544578424e-49,4.841492266898615e-35,4.710570063991308e-71,4.313284621979668e-99,1.0369538345967119e-26,6.025087384005098e-102,1.9999828025341713e-116,7.501871955095137e-87,9.072592188144445e-102,2.9979399286936076e-96,6.203648051169387e-67,7.136513609355667e-83,2.437762968110835e-137,2.9709577378930317e-139,3.435164170093155e-199
1.9897270254464706e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,5.158471544778796e-111,5.071435207460356e-50,2.000292431425537e-33,9.285263423043953e-81,3.307842840902713e-50,8.408155821879684e-122,1.7560923928835656e-18,1.5404483286900118e-98,1.7560923928835583e-18,8.228282550676198e-67,8.160005375070195e-66,3.405513634689817e-103,3.948684109233677e-104,7.205062185827986e-35,6.512773509981061e-79,9.59049989560997e-17,2.839576564207711e-18,1.1367777166724274e-20,6.067391380881536e-35,2.2466520846779336e-34,1.1367777165165113e-20,7.775061772138811e-31,1.001522306944146e-37,3.527314637286454e-42,2.3481871562542178e-70,4.115804958219862e-50,2.6620117576399563e-48,2.021227716432357e-34,1.6343154784045978e-69,5.997428227658802e-97,2.1349049572333148e-26,8.615247976636569e-100,5.724161156037759e-114,5.211732536940764e-85,1.2972862723113765e-99,2.0769681284087063e-94,1.0662485960935887e-65,2.471148084707945e-81,1.4123962533432561e-134,1.7002532400449027e-136,7.417930408914282e-195
4.0363033944771257e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.3952283229078285e-108,4.157868986516404e-49,8.17184727622694e-33,6.190161912441735e-79,2.7349884282633038e-49,2.243206149423567e-119,3.5623588541352356e-18,1.03665110630143e-96,3.562358854135204e-18,1.3637774894020957e-65,1.3557970971506131e-64,4.5420738958572626e-101,5.266522744975984e-102,2.943502998300842e-34,2.1802458866690368e-77,1.9455014073951494e-16,5.760283887392782e-18,2.306034796839049e-20,2.478727352190604e-34,9.178306830253675e-34,2.3060347962020805e-20,3.176366015780044e-30,8.211083896854564e-37,2.8926585540085805e-41,7.822447389253408e-69,3.374385569702131e-49,2.1824780745049248e-47,8.257374731729146e-34,5.442952199147399e-68,7.999017216348913e-95,4.330807213778044e-26,1.164860890577332e-97,1.5485605714718349e-111,3.473597221777874e-83,1.7540505484892226e-97,1.391288322825365e-92,1.7672288530496596e-64,8.221665328684574e-80,7.687324120245898e-132,9.198391977804438e-134,1.3908812174976491e-190
8.129456132538437e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.6720752696282827e-106,3.367150105688222e-48,3.303191337374465e-32,4.044467508313192e-77,2.2240471683217618e-48,5.8639388136981886e-117,7.174891776638581e-18,6.801847082660392e-95,7.174891776638452e-18,2.2205581052432414e-64,2.2102914530996134e-63,5.936231240473453e-99,6.883044521908258e-100,1.1898109744770984e-33,7.227144436928062e-76,3.918404243063405e-16,1.1601698533762919e-17,4.6445489576612005e-20,1.0019412263833299e-33,3.710018369143784e-33,4.644548955086471e-20,1.2839375960874794e-29,6.649546893711612e-36,2.343769363857692e-40,2.5546852489294858e-67,2.7326649187558285e-48,1.7674273351554164e-46,3.337762890417093e-33,1.7766697961494736e-66,1.0454258776708521e-92,8.722611771953593e-26,1.5327303112910478e-95,4.07605470960347e-109,2.2683914472865124e-81,2.3079892799785385e-95,9.225201384509601e-91,2.877474063004866e-63,2.682322656351411e-78,4.0587320048713694e-129,4.842065777284736e-131,2.4345507738837336e-186
1.631576160866106e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,9.53840521231193e-104,2.7101753410987257e-47,1.3281987182256228e-31,2.6172738866860044e-75,1.7937746128877011e-47,1.5180501935669612e-114,1.4399957621645296e-17,4.4074956836186875e-93,1.4399957621644776e-17,3.5839897344568424e-63,3.569626598241597e-62,7.683537542267987e-97,8.909041586389921e-98,4.78417759858492e-33,2.413118249905882e-74,7.86420991439972e-16,2.3284527826503163e-17,9.321577281261141e-20,4.028761597775262e-33,1.4917820688622817e-32,9.321577270908266e-20,5.162653924540613e-29,5.352131048316114e-35,1.8884325670011218e-39,8.264756640640846e-66,2.1994864591572476e-47,1.422579291463171e-45,1.342099778052556e-32,5.741886830956884e-65,1.353142870027203e-90,1.7506221068649068e-25,1.990572730946878e-93,1.0588285993577304e-106,1.466440878765025e-79,2.9974095944922986e-93,6.159867678652629e-89,4.6442547387758505e-62,8.666588539216483e-77,2.111733540115305e-126,2.515568714526544e-128,4.11682653452506e-182
3.26883725609063e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,2.4633965968003722e-101,2.174745031316907e-46,5.326670987122985e-31,1.6869031726580888e-73,1.4408573187105954e-46,3.913882459551465e-112,2.885008931165883e-17,2.838303839112447e-91,2.885008931165674e-17,5.759375288401956e-62,5.738070493677644e-61,9.904805959820077e-95,1.1484596478005979e-95,1.9186691946057097e-32,8.267954931681221e-73,1.5755821257071567e-15,4.665018641198355e-17,1.867563393628359e-19,1.6157135862318915e-32,5.982713311038267e-32,1.867563389476391e-19,2.0704529797203026e-28,4.294743624441942e-34,1.5184987005764663e-38,2.6632601064881944e-64,1.76494935834386e-46,1.1415303056140106e-44,5.382420377426952e-32,1.8465028597711263e-63,1.744329026431395e-88,3.507344038341749e-25,2.570377487720231e-91,2.734590823946562e-104,9.43244661887339e-78,3.8704811332406094e-91,4.219436562881579e-87,7.463192686780149e-61,2.786688366299731e-75,1.0915672669104322e-123,1.2993625225012417e-125,6.834771621137563e-178
