Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),CO2X(24),C2H6X(52),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.725030268993211e-121,5.666436824168801e-54,3.692441442887934e-36,1.6556890488926803e-88,2.5053701358369164e-54,7.000376977023806e-132,6.204677204385183e-20,-1.264663841306733e-105,6.204677204385183e-20,4.0324668571053735e-72,2.7530147183694267e-71,4.141902309052041e-112,4.802526278740547e-113,1.3300190431976794e-37,2.1116812800040915e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.0164975599985396e-22,1.120010930143965e-37,4.147208739678988e-37,4.016497559969758e-22,1.4352384878750961e-33,1.1190250984384558e-41,3.9401975826110605e-46,6.1836663296656926e-77,4.5986894307685284e-54,2.9743299106250037e-52,4.304799986612182e-76,3.7310869555860913e-37,7.29427978332939e-106,-1.6405657530127846e-108,7.54311093570893e-28,-7.406907600476318e-124,9.295439940248714e-93,4.55979524502897e-102,-2.4703696928269254e-108,5.225405286541683e-71,-1.042272261178749e-145,-1.5201781429424873e-147,-6.175290049495182e-212
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.2183559838520385e-118,6.727193797674478e-53,2.230234631734101e-35,1.8296089395100727e-86,3.7861153380123028e-53,2.5259753937860845e-129,1.7373096172278516e-19,2.4414520898790772e-104,1.7373096172278508e-19,1.1372201699098976e-70,8.655918745639992e-70,8.279989359311053e-110,9.600628773601312e-111,8.033315020913988e-37,1.0936585687190103e-83,9.487924756866138e-18,2.809205888724897e-19,1.1246193168042639e-21,6.764866017740542e-37,2.5049140787632624e-36,1.12461931678688e-21,8.668840401471818e-33,1.328506587008564e-40,4.677871947912347e-45,3.7618808639626643e-75,5.459564091943965e-53,3.5311244702271716e-51,2.6188198870454948e-74,2.253576521169866e-36,1.4581840536813706e-103,1.6603196288838982e-106,2.1120710624294257e-27,1.3676659402975234e-121,1.0271719844979524e-90,4.296403478285074e-100,2.5001151481767457e-106,1.473647893060401e-69,3.757307721909342e-143,4.942118346618724e-145,1.1490329410935407e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.14335981902548e-116,6.604798762317111e-52,1.0737619719364931e-34,1.6553444200011197e-84,4.07293010953034e-52,9.146239393279543e-127,3.9709934108065187e-19,2.5779155873891116e-102,3.970993410806515e-19,2.473702268810984e-69,1.9310878558828656e-68,1.4990544538208137e-107,1.7381502195231107e-108,3.867695377618856e-36,4.780550131207349e-82,2.168668515855115e-17,6.421042031371192e-19,2.570558438431776e-21,3.25699178436514e-36,1.2060083014943792e-35,2.57055843834808e-21,4.173673424800136e-32,1.3043356241813946e-39,4.592909373581236e-44,1.698346385481232e-73,5.360232399684054e-52,3.4668789448573165e-50,1.1822604605620925e-72,1.085000086678235e-35,2.6399759773799354e-101,3.4770731744273054e-104,4.8275910018701954e-27,5.700997651215767e-119,9.293079607999005e-89,3.7591492305508594e-98,5.235789039944591e-104,3.2055060514633388e-68,3.3513729659521036e-140,4.190464570432801e-142,1.0139483522192992e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.654465229265606e-113,5.841869708383573e-51,4.689400636029386e-34,1.2528683530025986e-82,3.743724474657699e-51,2.7734675570494637e-124,8.438360997963854e-19,2.0376274233876327e-100,8.438360997963835e-19,4.585827107234679e-68,3.616713836245468e-67,2.271613547490033e-105,2.633930726246366e-106,1.6891241848610566e-35,1.7835503786349056e-80,4.608420596192111e-17,1.3644714316663785e-18,5.462436681761566e-21,1.4224138807728745e-35,5.266955099348185e-35,5.4624366813960435e-21,1.8227527783960433e-31,1.153670051313326e-38,4.062637749463158e-43,6.41303899654615e-72,4.7410648538236567e-51,3.0664151668268565e-49,4.463990405376497e-71,4.7384804335302644e-35,4.00052525106036e-99,5.588204865002687e-102,1.0258630887646548e-26,1.8351223367338778e-116,7.033142532274781e-87,2.8104955846218155e-96,8.414738581556382e-102,5.942467987577792e-67,2.2128947879232446e-137,2.6969057205004868e-139,2.95507394524492e-199
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.733255501290075e-111,4.910443489086784e-50,1.957732456224721e-33,8.705075636924985e-81,3.202835107006619e-50,7.715053138646626e-122,1.7373096172278524e-18,1.4441981563936977e-98,1.737309617227845e-18,7.881865113414593e-67,6.246973738269714e-66,3.158572169782962e-103,3.662357225428402e-104,7.051760967034129e-35,6.171285217421851e-79,9.48792475686607e-17,2.8092058887248964e-18,1.1246193168720215e-20,5.938297947033646e-35,2.1988500737380805e-34,1.1246193167194227e-20,7.609633551865847e-31,9.697291294774306e-38,3.415331603466833e-42,2.225263149994711e-70,3.985150678549876e-50,2.5775067152040645e-48,1.5487655466011627e-69,1.9782223037940796e-34,5.562542861353841e-97,7.990540533523867e-100,2.1120710686778503e-26,5.2523060365370724e-114,4.8860948329633794e-85,1.9470170572203145e-94,1.2032184103767999e-99,1.0213584163475334e-65,1.2821098965714026e-134,1.5434135554192916e-136,6.381233003819082e-195
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.2802152914978704e-108,4.025878249074043e-49,7.9979758900932e-33,5.80335514057425e-79,2.648166003228606e-49,2.058288197283391e-119,3.524256652090789e-18,9.71879152751753e-97,3.524256652090758e-18,1.3063613396822643e-65,1.0379440295426674e-64,4.2127064829526453e-101,4.884623556792541e-102,2.880874448327929e-34,2.0657378562064047e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706143833776e-20,2.4259884712431216e-34,8.983020018157982e-34,2.2813706137599613e-20,3.1087832030924964e-30,7.95042426439179e-37,2.800816399322362e-41,7.412933927881674e-69,3.2672672961888994e-49,2.1131957349841476e-47,5.15803525132794e-68,8.081683588789458e-34,7.418972596948692e-95,1.0803917417766661e-97,4.2844870395359414e-26,1.4209054839812116e-111,3.256561103227538e-83,1.3041197132662175e-92,1.6268576948512551e-97,1.6928266722118234e-64,6.978188698125121e-132,8.349864526031998e-134,1.1965032225562094e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,3.36935629239848e-106,3.260260584400605e-48,3.232909742762658e-32,3.791718886373349e-77,2.1534446141941317e-48,5.3805179196158845e-117,7.098150721816667e-18,6.376854603887904e-95,7.098150721816541e-18,2.1270707895904477e-64,1.6921107310154995e-63,5.505737053479679e-99,6.383889553524305e-100,1.1644955132336638e-33,6.846343284939785e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.594873209884596e-20,9.806233266692105e-34,3.631080317331829e-33,4.5948732073646486e-20,1.256619553220792e-29,6.438458038233708e-36,2.269341865162926e-40,2.420931500087101e-67,2.6459177616264926e-48,1.7113207000989917e-46,1.683668187475508e-66,3.266745721387874e-33,9.69612112519423e-93,1.4215775935026895e-95,8.629319025378926e-26,3.7400261918983814e-109,2.12665859125043e-81,8.645676117190196e-91,2.1406165574636947e-95,2.7563293990175444e-63,3.6843047065831565e-129,4.3953740369379403e-131,2.0943372645388606e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,8.751981919557102e-104,2.624141355162781e-47,1.2999387978425253e-31,2.453687457526496e-75,1.73683109523084e-47,1.392887692591405e-114,1.424593886126845e-17,4.1321068821660456e-93,1.4245938861267935e-17,3.4331008300819396e-63,2.732763348231952e-62,7.12625209991878e-97,8.26287305285064e-98,4.682385242339334e-33,2.285191505777038e-74,7.780098300629731e-16,2.3035488287544083e-17,9.22187840280106e-20,3.943043254082045e-33,1.4600414254145687e-32,9.221878392668462e-20,5.052809360731488e-29,5.182228490542108e-35,1.828444193771357e-39,7.831959331985812e-66,2.1296647970325381e-47,1.3774197900059426e-45,5.44132188624599e-65,1.313544086736149e-32,1.2550000635876267e-90,1.846197442629609e-93,1.73189831735721e-25,9.715286255856548e-107,1.3748152304563017e-79,5.7709538424505744e-89,2.780010634928048e-93,4.448726762682681e-62,1.916900578983519e-126,2.2834768846126195e-128,3.5415894574037484e-182
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,2.2602452749896127e-101,2.1057081757935907e-46,5.21333606442721e-31,1.5814331349895678e-73,1.3951171886076485e-46,3.591107545715347e-112,2.854151514017212e-17,2.660961160067934e-91,2.854151514017005e-17,5.516900869797088e-62,4.39283726174068e-61,9.186214480580411e-95,1.0651394733318934e-95,1.8778459069766859e-32,7.82480511228346e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888796290116e-19,1.5813366913201868e-32,5.855419134492935e-32,1.8475888755653842e-19,2.0264004649457295e-28,4.158407710377904e-34,1.4702291706717743e-38,2.5237391886678776e-64,1.7089218665118374e-46,1.1052926491036952e-44,1.7498457963324078e-63,5.267899283446257e-32,1.6177788258344783e-88,2.3838974806200206e-91,3.469831217598727e-25,2.509070803404109e-104,8.843091870314961e-78,3.9506070326145717e-87,3.589681278689166e-91,7.148984478291222e-61,9.908356322829794e-124,1.17945496188088e-125,5.879971415757065e-178
