Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-2.8149382044906127e-121,1.3111130713278033e-65,2.9700080996874508e-36,8.616087948897025e-89,1.8073321667379766e-54,2.9301968496101054e-132,5.5646936881172801e-20,-6.5812298722321015e-106,5.5646936881172801e-20,2.6089078075736631e-72,4.7681462749587923e-73,1.9330953429451545e-112,2.2414189697025406e-113,5.3346431429516648e-54,1.2247034985472789e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135338550224e-22,9.0087835619510109e-38,3.3357997036290013e-37,3.6022135338318717e-22,1.1544311686122296e-33,8.0724583482388832e-42,2.8423867273495013e-46,3.5880220589339126e-77,2.1456313279491909e-52,2.0331234496794995e-98,3.4043618145411388e-106,-7.6567922077784835e-109,3.3174158779948432e-54,-1.1529617526053036e-108
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.0997414652334474e-119,2.9329137118695437e-64,1.7938848923769857e-35,9.5211405080902711e-87,2.7312403893919489e-53,1.0573136610428696e-129,1.5581142326728387e-19,1.270516041148883e-104,1.558114232672838e-19,7.3575374920203282e-71,1.4991814872179128e-71,3.8644043176781302e-110,4.4807666501525559e-111,6.333288337083042e-53,6.3394180648405985e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894831651e-21,5.4413052693270043e-37,2.0148230209898635e-36,1.0086197894691819e-21,6.9727642113160466e-33,9.583622487253106e-41,3.3745264084798483e-45,2.1827974748967642e-75,2.5472935127568297e-51,1.9146570996899583e-96,6.805577667462064e-104,7.7489750520376733e-107,3.9384361289554346e-53,1.1668426699415116e-106
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.1528782730235796e-116,5.7949487488401372e-63,8.6367835563775819e-35,8.6142538869308229e-85,2.9381437785954675e-52,3.8283875613875224e-127,3.5614039603950602e-19,1.3415307749337647e-102,3.5614039603950569e-19,1.6004251142964874e-69,3.3445914260676703e-70,6.9963059210564151e-108,8.1121983281881083e-109,6.2180600405140109e-52,2.7680380287075108e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166616935249e-21,2.6197542566782416e-36,9.7005055381223277e-36,2.3054166616262042e-21,3.357085767671636e-32,9.4092572530013588e-40,3.3132251152852475e-44,9.8544698292459209e-74,2.5009478765257806e-50,1.6734201904319602e-94,1.2321149501131913e-101,1.6227999729921886e-104,3.8667799430506503e-52,2.4436164017967853e-104
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,6.9251213937749436e-114,1.0311806151879963e-61,3.7719102891724208e-34,6.5197647037496349e-83,2.7006603302361735e-51,1.1608968246475842e-124,7.5679834158395048e-19,1.0603682719562027e-100,7.5679834158394914e-19,2.9669184386080007e-68,6.2640495779705283e-69,1.0601883508156617e-105,1.2292856064447569e-106,5.4998036801454967e-51,1.0304711551864913e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104061743847e-21,1.1441155091260943e-35,4.2364656235769958e-35,4.8990104058803757e-21,1.4661275111297134e-31,8.3223812435180078e-39,2.93067922678207e-43,3.7210716845030724e-72,2.2120600752657254e-49,1.2484233838691378e-92,1.867090907269532e-99,2.6080784718071236e-102,3.4201230644632694e-51,3.9272513175350313e-102
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.9811805311377809e-111,1.7392371884003888e-60,1.5746982967667071e-33,4.5299499163658123e-81,2.3104717711968197e-50,3.2292662682553729e-122,1.5581142326728395e-18,7.5155147889150087e-99,1.5581142326728331e-18,5.0993747450666822e-67,1.0819587852266118e-67,1.4741231706973917e-103,1.7092419422130103e-104,4.6229163670627927e-50,3.5501293713428351e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.0086197895376654e-20,4.7764570153712627e-35,1.7686410028354438e-34,1.0086197894149228e-20,6.1207933989117097e-31,6.9954624919908712e-38,2.4636970055171584e-42,1.2911593828441343e-70,1.8593697812453747e-48,8.6115543035827309e-91,2.5960688646070493e-97,3.7292271721740226e-100,2.8748195046803441e-50,5.6154799362461978e-100
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,5.3584086410136486e-109,2.8567025831123807e-59,6.4331563638255e-33,3.019873419922895e-79,1.9103427405684185e-49,8.6150920860491817e-120,3.1607460148506196e-18,5.0575969185525607e-97,3.1607460148505942e-18,8.4518396694957136e-66,1.7976906922279658e-66,1.9660427322963966e-101,2.2796213810375434e-102,3.7901461193875417e-49,1.1781585021056217e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572874743412e-20,1.9513385299511968e-34,7.2254755898059663e-34,2.0460572869728976e-20,2.5005435321413451e-30,5.7353021360025991e-37,2.0203542576143742e-41,4.3010774126663417e-69,1.5244236872961277e-47,5.7189761015340765e-89,3.4623852505251392e-95,5.0421136668448024e-98,2.3569507046616512e-49,7.5924278263674044e-98
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.4101886277869678e-106,4.6308381734842179e-58,2.6003846677700335e-32,1.9729824332007607e-77,1.553458990458842e-48,2.2519329200689222e-117,6.3660095792061853e-18,3.31847432917775e-95,6.3660095792060813e-18,1.3761629905296545e-64,2.9306895045759995e-65,2.5693590717676126e-99,2.9791650910126054e-100,3.0693585561208886e-48,3.8388579488175509e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322837325776e-20,7.8876222269081713e-34,2.9206527587134098e-33,4.1209322817056639e-20,1.0107594431985539e-29,4.644595293672949e-36,1.636891010057341e-40,1.4045815145415974e-67,1.2345178289547477e-46,3.7279609672425546e-87,4.5248817875775165e-93,6.6340593374321763e-96,1.9087197651357581e-48,9.9895837571357657e-96
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,3.6626181777802524e-104,7.4578221302905751e-57,1.0456032445902116e-31,1.2766192380787676e-75,1.252920953718332e-47,5.8291171941085055e-115,1.277653670791734e-17,2.1503219793556796e-93,1.2776536707916922e-17,2.221132614974296e-63,4.7330712571651928e-64,3.3252610740392733e-97,3.8556314759215141e-98,2.4704867337052359e-47,1.2395439693226047e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822777885973e-20,3.171578123308695e-33,1.1743816286995431e-32,8.2706822696384614e-20,4.0642173945609267e-29,3.7383726344044018e-35,1.3187288853485168e-39,4.5434899347751578e-66,9.9364735520888741e-46,2.407819167050733e-85,5.8560959566757069e-91,8.6147326458791598e-94,1.5363036839006872e-47,1.2972086799711266e-93
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,9.456947789329937e-102,1.1971455758258806e-55,4.1933367211227911e-31,8.226277257052213e-74,1.0064142467854262e-46,1.5025398097378533e-112,2.5597590965339744e-17,1.3847471597137421e-91,2.5597590965338071e-17,3.5693004843115464e-62,7.6082734222462631e-63,4.2856022758240603e-95,4.9691445751992543e-96,1.9824099210114667e-46,3.9844033279695728e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182272058819e-19,1.2719446130850024e-32,4.7097955854517512e-32,1.6570182239373118e-19,1.6299314504923671e-28,2.9998058304361293e-34,1.0601493601427878e-38,1.4637714682680045e-64,7.9733943420666108e-45,1.5480557084257012e-83,7.5473466882113401e-89,1.1121445696712023e-91,1.2327868924032529e-46,1.6746701920856978e-91
