Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-4.673688390034364e-121,4.9436445721064605e-54,3.371359578272987e-36,1.2602387428316845e-88,2.1857932628708553e-54,4.865045843844429e-132,5.928774356156224e-20,-9.626080360768225e-106,5.928774356156224e-20,3.3616595056149253e-72,1.8152308888909816e-71,3.0124485013035013e-112,3.492927165192684e-113,1.2143652133544025e-37,1.6820844881158502e-85,3.2378664363469204e-18,9.586747042136973e-20,3.8378963080383465e-22,1.0226186749666432e-37,3.786581892750577e-37,3.8378963080120666e-22,1.3104351415578994e-33,9.762858967059602e-42,3.437596229947737e-46,4.925772708386006e-77,2.5949340607719003e-52,3.4291116416006967e-76,3.4066446116223703e-37,5.305205328806708e-106,-1.1932004882074697e-108,7.207692069672048e-28,4.012095562023364e-54,-5.147572086939517e-124,7.0752913064040576e-93,-1.7967254979552082e-108,3.4706475024522068e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,8.467192344640009e-119,5.869094836022524e-53,2.036301185477361e-35,1.3926181358049318e-86,3.3031707785857764e-53,1.755473789688653e-129,1.660056819723743e-19,1.8583289046593026e-104,1.6600568197237423e-19,9.480417670621923e-71,5.707376375612364e-70,6.022118297241602e-110,6.982632427844197e-111,7.334765888660591e-37,8.711456184264034e-84,9.066026021771375e-18,2.684289171798353e-19,1.0746109662550036e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109662391312e-21,7.91502819804461e-33,1.1590466083515678e-40,4.0811720809159336e-45,2.9966296946871885e-75,3.080705717226144e-51,2.0860959375873654e-74,2.057613345416306e-36,1.0605517095921001e-103,1.2075668975265318e-106,2.018153779901628e-27,4.763159849430144e-53,9.504849876643411e-122,7.81839381529038e-91,1.818358489781806e-106,3.270091436294544e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.574468979832749e-116,5.7623121133022635e-52,9.803913656624996e-35,1.2599738673794123e-84,3.553400391280569e-52,6.3563411282541515e-127,3.7944155879399845e-19,1.9621990839017243e-102,3.7944155879399806e-19,2.0621979215697126e-69,1.2732842732975552e-68,1.090275643769143e-107,1.2641721217851637e-108,3.531374040434601e-36,3.807727423084392e-82,2.0722345192620263e-17,6.135518106967663e-19,2.456253637174408e-21,2.9737751030089688e-36,1.1011380144081425e-35,2.4562536370979894e-21,3.8107453062027176e-32,1.1379588157254481e-39,4.007041459462545e-44,1.3528626399083886e-73,3.024655142096728e-50,9.417634094946806e-73,9.906522530543759e-36,1.9200780204732045e-101,2.528906218932157e-104,4.6129229273442896e-27,4.676498581502041e-52,3.9620093009590595e-119,7.073494729141437e-89,3.8080358967041684e-104,2.8610372519568564e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.1497966873164379e-113,5.09669980817432e-51,4.281626667514082e-34,9.53624486665879e-83,3.26618715656172e-51,1.9274650666314676e-124,8.063133124372469e-19,1.5509548424356557e-100,8.063133124372452e-19,3.822967399400875e-68,2.3847205266624534e-67,1.6521601482214444e-105,1.9156759229091072e-106,1.5422438209600898e-35,1.420468213567826e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979081482e-21,1.2987257132871385e-35,4.8089590037547317e-35,5.219538978747742e-21,1.6642525414826247e-31,1.0065116545704374e-38,3.544400726270168e-43,5.10846109290023e-72,2.6752732211014996e-49,3.5559193344307776e-71,4.3264386567045124e-35,2.909609514814871e-99,4.064339656031192e-102,9.802461228524878e-27,4.136310028879576e-51,1.2753472168409526e-116,5.35332729293698e-87,6.1200969785551874e-102,2.138825425951701e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,3.289432085374619e-111,4.284083288083751e-50,1.7874948511969876e-33,6.625857264257904e-81,2.7942918774934256e-50,5.361668186426226e-122,1.6600568197237439e-18,1.0992618662247303e-98,1.660056819723737e-18,6.57070418717302e-67,4.11901167122391e-66,2.297238458894699e-103,2.6636427525559644e-104,6.43856436120503e-35,4.914038889857512e-79,9.06602602177131e-17,2.684289171798352e-18,1.074610966316869e-20,5.421924179388648e-35,2.007645719501704e-34,1.0746109661775396e-20,6.947926325876861e-31,8.460336404512215e-38,2.979649000785069e-42,1.7725771162776872e-70,2.2487283414003683e-48,1.2337135314097697e-69,1.806202973031871e-34,4.045653131695027e-97,5.811542216438163e-100,2.018153785606711e-26,3.47681779921342e-50,3.650152568730598e-114,3.719086422372707e-85,8.751040755280676e-100,1.4814249849729153e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,8.896908459198279e-109,3.512350313165544e-49,7.30249972460072e-33,4.417167021519486e-79,2.310374560616574e-49,1.4304160346677852e-119,3.3675438342967394e-18,7.397528424126445e-97,3.3675438342967105e-18,1.089046031757893e-65,6.8437994951917056e-65,3.063879209549542e-101,3.552560954033431e-102,2.6303636267341588e-34,1.644272946514828e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251032435348e-20,2.2150329248505396e-34,8.201887842680067e-34,2.179925102674329e-20,2.8384542612053726e-30,6.936294082153163e-37,2.4434975051831577e-41,5.904851752646362e-69,1.8436433596110717e-47,4.1087806575535524e-68,7.37892849413256e-34,5.395779646183795e-95,7.857630823291555e-98,4.093969121187579e-26,2.8505052735256273e-49,9.874641553818854e-112,2.4787550517311794e-83,1.1832048201063122e-97,9.918919444001127e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,2.341495505684642e-106,2.8443923477314174e-48,2.951787155515064e-32,2.8859652870655104e-77,1.8787582229609456e-48,3.7391305072299294e-117,6.782517863442736e-18,4.853788977284566e-95,6.782517863442621e-18,1.7732291459539426e-64,1.1157120457825284e-63,4.004204426082569e-99,4.642865897440151e-100,1.0632350338220108e-33,5.445489892358813e-76,3.704119203180764e-16,1.0967238616204684e-17,4.3905533775337635e-20,8.953517110557482e-34,3.31533420279264e-33,4.3905533752329423e-20,1.147348313876512e-29,5.61718939965664e-36,1.9797814404801852e-40,1.928375443460481e-67,1.4930301969714447e-46,1.3411741144518066e-66,2.982680876066355e-33,7.0517808512087764e-93,1.0338825232955376e-95,8.245599832639005e-26,2.3084130444666753e-48,2.599088756586478e-109,1.6187215956640598e-81,1.5568239516176032e-95,6.570945249128429e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,6.081817569530834e-104,2.289414418476489e-47,1.1869006407675705e-31,1.8674751856464952e-75,1.5152865695042674e-47,9.679287317327564e-115,1.3612465921734751e-17,3.145183022582421e-93,1.3612465921734287e-17,2.861998990674775e-63,1.8018779324957784e-62,5.182539948480202e-97,6.009143247430859e-98,4.27522130822263e-33,1.815059008805771e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809927861811e-20,3.600169750645058e-33,1.333081301474655e-32,8.811809918610309e-20,4.613434844214709e-29,4.521200485919652e-35,1.5950679599508214e-39,6.238209950129409e-66,1.2017206007421416e-45,4.334440884042828e-65,1.1993228618158976e-32,9.126940604618285e-91,1.342639185840002e-93,1.6548861416700607e-25,1.858011596686765e-47,6.751227325547159e-107,1.0464505974677923e-79,2.0217508297344293e-93,4.379965584770438e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,1.570521313029602e-101,1.8371108893148854e-46,4.760002487662832e-31,1.203504715229327e-73,1.2171605774373455e-46,2.495268491556884e-112,2.7272362038318872e-17,2.0254098219294568e-91,2.7272362038317002e-17,4.59915554552582e-62,2.896466145279402e-61,6.68004785048207e-95,7.745500243183251e-96,1.7145549585437378e-32,6.1991381826471e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323035508283e-19,1.443829010917128e-32,5.346252253306339e-32,1.7654322998405597e-19,1.8501918977788571e-28,3.627975080061858e-34,1.2824574155990353e-38,2.00999554691169e-64,9.643051124571227e-45,1.393889878479719e-63,4.8098210849926547e-32,1.1764192955782624e-88,1.733524405055323e-91,3.3155385229458826e-25,1.4909372143858447e-46,1.7434178472361196e-104,6.730983902865003e-78,2.610347189917095e-91,2.990774885393975e-87
