Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HX(19),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.385647472141475e-66,7.3793705729106491e-42,5.9916113823523137e-92,2.0246688661733908e-58,2.6401951969354949e-141,7.0115251188461167e-25,-3.8048758619555054e-119,7.0115251188460818e-25,6.2832914401776365e-81,4.9109406776077917e-71,1.2378319328131161e-119,7.4795505130287484e-121,3.6518614711922581e-53,3.8818146267990277e-96,2.780669898587693e-18,1.3369707978709934e-19,5.1534078279672356e-23,1.0012182119674515e-34,5.1534078279872537e-23,2.8093349762046239e-42,4.3408079903532247e-48,5.8844176563041604e-38,2.0530302630553361e-54,1.2719914140425136e-78
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6522087375757124e-64,4.4571423565847855e-41,6.623179033068974e-90,3.0596795905402299e-57,9.5298479732236141e-139,1.9632270332769241e-24,7.3440941137529556e-118,1.9632270332769028e-24,1.7719887187814054e-79,1.5440783242350643e-69,2.4753365396216216e-117,1.4957123171615599e-118,4.3354899385975986e-52,2.0093390470793843e-94,7.785875716045541e-18,3.7435182340387818e-19,1.442954191827584e-22,6.0473578364314101e-34,1.4429541918396754e-22,3.3352423991719909e-41,5.1552293461415388e-47,3.554188264406056e-37,2.4373575282905033e-53,7.7408355232313553e-77
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.2645469995953405e-63,2.1459247584223403e-40,5.99662539647616e-88,3.2914636823090451e-56,3.4530931213985116e-136,4.4873760760615943e-24,7.7546534928845022e-116,4.4873760760614914e-24,3.8544625140688334e-78,3.4447538017318688e-68,4.4846774412907473e-115,2.7098486125285886e-116,4.2566097308159563e-51,8.7735606543747714e-93,1.7796287350961222e-17,8.5566131063743596e-19,3.298181009876336e-22,2.9115423146233644e-33,3.2981810099345511e-22,3.2745605860718876e-40,5.0652943032367109e-46,1.7111886544507635e-36,2.3930120745900438e-52,3.4972087860890236e-75
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.8091367710366307e-62,9.3718398510648346e-40,4.5451294093950494e-86,3.0254221932453928e-55,1.048594297190039e-133,9.5356741616311125e-24,6.1294077883401796e-114,9.5356741616306629e-24,7.1455238991076288e-77,6.4516426322927867e-67,6.8056266266712703e-113,4.1122729813013733e-114,3.7649231023283104e-50,3.2661766521779397e-91,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346459219644e-22,1.2715468752281064e-32,7.008634646176205e-22,2.8963114364643092e-39,4.4870612748004613e-45,7.4732104234805788e-36,2.1165920799422871e-51,1.322471410494504e-73
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.7979987830395346e-61,3.9125775788710972e-39,3.1670545296508246e-84,2.5883123823139104e-54,2.9252181681235968e-131,1.963227033277087e-23,4.3443071754846744e-112,1.9632270332768993e-23,1.2281329892906391e-75,1.1143608236857416e-65,9.4899039306302174e-111,5.7342369292098011e-112,3.164644721129789e-49,1.1252473789346864e-89,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541917805719e-21,5.308456674116905e-32,1.4429541918867123e-21,2.4345237420672503e-38,3.7831955665160818e-44,3.11991824134933e-35,1.7791231773756894e-50,4.6020968366925182e-72
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6093275205586721e-59,1.5984310718382658e-38,2.1234161507769301e-82,2.1400667306020508e-53,7.8484540417663381e-129,3.9825462675053263e-23,2.9235195725031184e-110,3.9825462675045576e-23,2.0355403626003801e-74,1.85152717515801e-64,1.2729037992941345e-108,7.6914708795766515e-110,2.5945669421436081e-48,3.7342857899233382e-88,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356460743217e-21,2.1686767605955822e-31,2.9271356465079384e-21,1.9959687722593205e-37,3.1206336020156747e-43,1.2745884020065149e-34,1.4586326708160492e-49,1.541902526960582e-70
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6087918996824566e-58,6.4612390012297868e-38,1.4031127652549751e-80,1.7402667237545432e-52,2.0747904574191725e-126,8.0211847359629528e-23,1.9182281243774013e-108,8.0211847359598495e-23,3.3143498006476654e-73,3.0184565966041141e-63,1.6824084964799064e-106,1.0165886821452987e-107,2.1011475784073033e-47,1.216762656330936e-86,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985543298188e-21,8.7661301115024005e-31,5.8954985560825663e-21,1.6163858367034531e-36,2.5578490179820731e-42,5.1520901099806335e-34,1.1812385542845835e-48,5.093167413589984e-69
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2013810463595908e-57,2.5981363429395452e-37,9.2832371890835665e-79,1.4035881578089332e-51,5.4907987723584277e-124,1.6098461672882804e-22,1.242983276959613e-106,1.6098461672870327e-22,5.3493739392565684e-72,4.8748154654675031e-62,2.2262018095089107e-104,1.3451736415093171e-105,1.6911863667600101e-46,3.928852884070229e-85,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224369512799e-20,3.5248158518927067e-30,1.1832224376560525e-20,1.3010056513516469e-35,2.1081658477238281e-41,2.0716327734417821e-33,9.5076355368156322e-48,1.6848966398508352e-67
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7441487384338607e-56,1.0420495343635303e-36,6.2446279304409382e-77,1.1274383381229046e-50,1.4771406104580707e-121,3.2253015546740903e-22,8.0044643451795827e-105,3.2253015546690842e-22,8.596300307936643e-71,7.8361234838557928e-61,2.9946608842645825e-102,1.8095119991179187e-103,1.3570705520471572e-45,1.2628946520644855e-83,1.2791081533501516e-15,6.1500656702065314e-17,2.3705675994566701e-20,1.4136035853808107e-29,2.3705676022831282e-20,1.0439714217088955e-34,1.7709290225687703e-40,8.308173981376911e-33,7.6292787444981035e-47,5.6683931187792563e-66
