Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.9995974495758616e-123,8.3685740967624638e-66,7.855456562265595e-42,7.22778949729104e-92,2.2237315330096475e-58,3.3903925633527712e-141,7.2341660732108381e-25,-4.5898127154922094e-119,7.2341660732107995e-25,7.1201932687756067e-81,4.1736800490480107e-72,1.5406341108504587e-119,9.3092240120754515e-121,3.0081025782618878e-54,4.5385342399829839e-96,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719139944e-23,5.3170486719353061e-23,1.0658127465054973e-34,3.0855440615013463e-42,4.7676501303316074e-48,6.264057505058979e-38,2.2548814833208158e-54,1.4872029151897826e-78,-5.7008313551579164e-111,1.3637349305851015e-109
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,9.0608046159685281e-121,1.8720946741973018e-64,4.7446985429546531e-41,7.9897483657165294e-90,3.3605030926616357e-57,1.2237836147711178e-138,2.0255665004990466e-24,8.8592106729331474e-118,2.0255665004990235e-24,2.0080084248740282e-79,1.3122717922776378e-70,3.0808943403242672e-117,1.8616188859910576e-118,3.5712193808913246e-53,2.3492760323863944e-94,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281324673e-22,1.4887736281453388e-22,6.4375088089315536e-34,3.663157813970952e-41,5.6622190279016287e-47,3.7834907330311112e-37,2.6769952969738051e-53,9.050627265648428e-77,5.7714799597533706e-109,2.727138909714868e-107
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.8278746414386115e-118,3.6990126751617074e-63,2.2843709373259529e-40,7.2340882179326425e-88,3.6150758785259553e-56,4.4344236079397299e-136,4.6298662868550197e-24,9.3544676846917535e-116,4.629866286854911e-24,4.367856927967425e-78,2.9276061809691706e-69,5.5819250993255169e-115,3.3728573710184036e-116,3.5062443651563712e-52,1.0257858569943892e-92,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500007969e-22,3.402911150062768e-22,3.0993831968955243e-33,3.5965098609713028e-40,5.5635738503956284e-46,1.8215879224343825e-36,2.6282898568822753e-52,4.0890530607309984e-75,1.2095648077469111e-106,4.9409955187946087e-105
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.2331404625176328e-115,6.5822518613930441e-62,9.9764729139367272e-40,5.4833215236520409e-86,3.3228775550334552e-55,1.3466565217778547e-133,9.8384658595671583e-24,7.393927658231518e-114,9.8384658595666793e-24,8.0972706188575775e-77,5.4830823723465127e-68,8.4711312519192552e-113,5.1186493862755313e-114,3.1012334339469381e-51,3.8187435503475433e-91,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861936822346e-22,7.2311861939528776e-22,1.3535819091214687e-32,3.1810718817046954e-39,4.9286983796989494e-45,7.9553530310449613e-36,2.3246926138838463e-51,1.5463514865186867e-73,1.946852226308701e-104,7.4984563228134368e-103
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,3.5383485332847029e-113,1.1101975782577111e-60,4.1650018411780744e-39,3.8211491370493791e-84,2.842791706823102e-54,3.7570619782723124e-131,2.0255665004992201e-23,5.2405540777919782e-112,2.0255665004990203e-23,1.3917139331748808e-75,9.4706612512874314e-67,1.1813427949557303e-110,7.1382196693156627e-112,2.606773564430242e-50,1.3156150534547666e-89,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736280824223e-21,1.4887736281954099e-21,5.6509366715080882e-32,2.6738819829855704e-38,4.1559565833114883e-44,3.3212032888403224e-35,1.9540442150507441e-50,5.3816938280610616e-72,2.7920621510892551e-102,1.0456982764955577e-100
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,9.6268233526201708e-111,1.8235065707657559e-59,1.7015561400439557e-38,2.5624464861552453e-82,2.3504751572340388e-53,1.0082192594530916e-128,4.1090063295845352e-23,3.5266526509920216e-110,4.1090063295837164e-23,2.306663780606527e-74,1.5735645312549102e-65,1.5848590043335879e-108,9.5764512774188896e-110,2.1371904625247041e-49,4.366046694342215e-88,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836454224637e-21,3.0200836458840546e-21,2.3085909159154739e-31,2.1922090024735843e-37,3.4287684763567575e-43,1.3568199115362772e-34,1.6020435056210053e-49,1.8034413700311827e-70,3.7974710914240941e-100,1.4028818191822756e-98
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,2.5634037522888501e-108,2.9559857205059222e-58,6.8780993090963948e-38,1.6938379036735063e-80,1.911367361884696e-52,2.6662679394783076e-126,8.2758859877563878e-23,2.3139657978147756e-108,8.2758859877530811e-23,3.7558040026360419e-73,2.5653073324143582e-64,2.0954894612830001e-106,1.2661916721576178e-107,1.7307522466003404e-48,1.4226127490792373e-86,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036797491249e-21,6.0827036816149507e-21,9.3316847016298293e-31,1.7753060733267035e-36,2.811470893293195e-42,5.4844830180578587e-34,1.2973763662193499e-48,5.9592810015931562e-69,5.055494376113896e-98,1.85488050311702e-96
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,6.8128306549693819e-106,4.7605262715140414e-57,2.765763926015641e-37,1.1214676626071363e-78,1.5415870209551506e-51,7.0610848459584393e-124,1.6609645304104988e-22,1.499415399849495e-106,1.6609645304091695e-22,6.0618828008313438e-72,4.1429781918315933e-63,2.7747602993396182e-104,1.6766385363269692e-105,1.3930599795321011e-47,4.5935303594391511e-85,6.5871483190285983e-16,3.167159448973023e-17,1.2207943746988753e-20,1.2207943754491169e-20,3.7522222250241205e-30,1.4289181781982732e-35,2.3188807754219676e-41,2.2052864989543548e-33,1.0442413680577086e-47,1.9728292022308834e-67,6.7180171338169409e-96,2.4561558883895042e-94
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.8389214704192146e-103,7.6417008765924821e-56,1.10928362248453e-36,7.5538593093299008e-77,1.2382865296184573e-50,1.9020846123493923e-121,3.3277163936821765e-22,9.6558154312923076e-105,3.3277163936768468e-22,9.7412829198873748e-71,6.6597164356435165e-62,3.7375038957888891e-102,2.2583727548759776e-103,1.117842900799747e-46,1.4765492870590704e-83,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423875813244e-20,2.4458423905901337e-20,1.5048031985425255e-29,1.1466126788305981e-34,1.950571252697594e-40,8.844185191487835e-33,8.3793793276906212e-47,6.6459205916740409e-66,9.0671730367381562e-94,3.308355032065523e-92
