Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),COX(50),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.3264022833611573e-123,9.4128633425787362e-66,8.33154498968063e-42,8.6232932895876544e-92,2.4289216794497588e-58,4.2901428505863338e-141,7.450158747785614e-25,-5.4758968887194083e-119,7.4501587477855727e-25,8.0094001415676901e-81,3.5210972873248692e-73,1.8929721438201253e-119,1.143821340291149e-120,2.4641915316182578e-55,5.257761444879501e-96,2.9546266505694332e-18,1.4206107501034378e-19,5.475801395015203e-23,5.4758013950378042e-23,1.130407457437758e-34,3.3702561420194619e-42,5.2076391564572889e-48,6.6436973532824322e-38,1.7229030406374636e-78,5.8518134913313754e-58,2.4629459256704263e-54,-7.0045930353221022e-111,1.6756166938084406e-109,-1.2270176458948034e-111
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1465506729410085e-120,2.1056393208863071e-64,5.0322562095716506e-41,9.5324683334853998e-90,3.6705864419915458e-57,1.5485704683547173e-138,2.0860444493799847e-24,1.0569573113232056e-117,2.0860444493799605e-24,2.2587789903285487e-79,1.107089328936555e-71,3.7855248656651948e-117,2.2873892463545988e-118,2.9254881860986827e-54,2.7215687474041948e-94,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243906005961e-22,1.5332243906142478e-22,6.8276608463568246e-34,4.0011679839926303e-41,6.1848318618531404e-47,4.0127932010253371e-37,1.0485132888656108e-76,6.9472768149640305e-57,2.9240094027076577e-53,7.0914754196411696e-109,3.3508621245402409e-107,1.2422371183986345e-109
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.8438879401250914e-118,4.160405657449748e-63,2.4228178367056897e-40,8.6310977814161711e-88,3.9486493958207079e-56,5.6114285408399945e-136,4.7681015985828828e-24,1.1160441964955397e-115,4.7681015985827667e-24,4.9133376829723399e-78,2.4698553918011196e-70,6.8587225950995704e-115,4.1443574838889453e-116,2.8722616485148488e-53,1.1883434264177594e-92,1.8909610563644341e-17,9.0919088006620029e-19,3.5045128927841065e-22,3.5045128928498326e-22,3.2872245913781674e-33,3.9283702249179909e-40,6.077224431810778e-46,1.9319871897986518e-36,4.7372689460614649e-75,6.8208857034669934e-56,2.8708097701917995e-52,1.4862384568224111e-106,6.0711881658933751e-105,2.6034928817688429e-107
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.5605185272905581e-115,7.4032336225187747e-62,1.0581109191856818e-39,6.5425328110910923e-86,3.6294890870762925e-55,1.7041701149297699e-133,1.0132215896988879e-23,8.8213999041513611e-114,1.0132215896988372e-23,9.1085000074290918e-77,4.6257658029419149e-69,1.040927610377394e-112,6.2897661660469532e-114,2.5404828998844333e-52,4.4239046232567697e-91,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898970925589e-22,7.4470898973796015e-22,1.4356171662667939e-32,3.4745985703146867e-39,5.3839881482216662e-45,8.4374956331312652e-36,1.7915693662558669e-73,6.0330106227596183e-55,2.5391987299129183e-51,2.3922820357421269e-104,9.2140588889029577e-103,4.1906392752900629e-105
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.478131298962932e-113,1.2486647007362357e-60,4.4174275029851446e-39,4.5596965185514714e-84,3.1051043277550277e-54,4.754928494916269e-131,2.0860444493801687e-23,6.2522958534369298e-112,2.0860444493799565e-23,1.5655184280401422e-75,7.9898600718743132e-68,1.4517594210866207e-110,8.7722020208591098e-112,2.1354289514187885e-51,1.5241022186130252e-89,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243905475182e-21,1.5332243906673536e-21,5.9934175972231863e-32,2.9206087751984217e-38,4.5402896417179396e-44,3.5224883317266604e-35,6.2356892284421542e-72,5.0711332738268747e-54,2.1343495291188118e-50,3.4311869544483772e-102,1.2850650385145216e-100,6.0105232534497838e-103
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.2185914965156025e-110,2.0509364421142397e-59,1.8046818268015092e-38,3.0582678897027962e-82,2.5673603048282044e-53,1.2762299780816795e-128,4.2316901687430549e-23,4.2075084845886911e-110,4.2316901687421874e-23,2.5947319846017541e-74,1.3275271987953209e-66,1.9479948986474278e-108,1.1770686338126544e-109,1.7507536690767023e-50,5.0579395818917206e-88,1.678227937523407e-16,8.0690690605875229e-18,3.1102551921303326e-21,3.1102551926198991e-21,2.4485054474548786e-31,2.3944904089086376e-37,3.7465484954952497e-43,1.4390514172908663e-34,2.0900028988917981e-70,4.1576613406483372e-53,1.7498686933577691e-49,4.6675916664922818e-100,1.724321607729545e-98,8.1763741212876944e-101
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2459894443286259e-108,3.3246570881539306e-58,7.2949624956923187e-38,2.0223075989569874e-80,2.0877347619366158e-52,3.3762261088378099e-126,8.5229816074701233e-23,2.7607002137210567e-108,8.5229816074666179e-23,4.2248483959513635e-73,2.1642043781025723e-65,2.5765390342878236e-106,1.5568640771440453e-107,1.4178057085565377e-49,1.6480559730537543e-86,3.380092888251302e-16,1.625178698118331e-17,6.2643167949211198e-21,6.2643167969000264e-21,9.8972407879914512e-31,1.9391185992261798e-36,3.0731590587498274e-42,5.8168758955627516e-34,6.9086716754292661e-69,3.3670465703167242e-52,1.4170890321104601e-48,6.2160893855397768e-98,2.2806948475388312e-96,1.0888928576560145e-98
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.6328944559481144e-106,5.3542583136192512e-57,2.9333929709578998e-37,1.339862750403061e-78,1.6838337183895752e-51,8.9473772430028706e-124,1.7105564484929455e-22,1.7888926529062028e-106,1.710556448491536e-22,6.8189223424198738e-72,3.4951958305279514e-64,3.4140810182534667e-104,2.0629456879649775e-105,1.1411733740905064e-48,5.321472868224631e-85,6.7838227897068914e-16,3.2617222822374839e-17,1.2572439999003325e-20,1.2572440006960428e-20,3.9796291800777937e-30,1.5607684259893645e-35,2.5364992945982561e-41,2.3389401998596556e-33,2.2887089347957776e-67,2.7101960333441371e-51,1.1405965302727095e-47,8.2659737215579524e-96,3.0220683165158481e-94,1.4479778444264793e-96
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.3331814311609128e-103,8.5947707630821754e-56,1.1765185409856285e-36,9.0364526071172119e-77,1.3525468126162112e-50,2.4132754960163278e-121,3.4270730239868879e-22,1.1519967905029371e-104,3.4270730239812361e-22,1.0957825139087285e-70,5.6184251489722117e-63,4.6045124570480875e-102,2.7822594298449174e-103,9.1571975374374444e-48,1.7105399017134749e-83,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686401170255e-20,2.5188686433081867e-20,1.5960030292745629e-29,1.2524136783931277e-34,2.1364130015218217e-40,9.3801962041409152e-33,7.7199688032261732e-66,2.1749285843309682e-50,9.1525687248374333e-47,1.1170747815984324e-93,4.0758116503227723e-92,1.9568166742889406e-94
