Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-5.6337464839628262e-123,8.7496462937083076e-74,8.0935034339552755e-42,7.9050298712187113e-92,2.3255722656479387e-58,3.8204378450107917e-141,7.3429590430279021e-25,-5.019828993766922e-119,7.3429590430278635e-25,7.5582569249856879e-81,1.4016912153490656e-76,1.7103310178667054e-119,1.0334607553107902e-120,9.9527557823277027e-59,4.89021383690696e-96,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778858051e-23,5.397008777907761e-23,1.0981102955399745e-34,3.2268543295219958e-42,4.9860269248973341e-48,6.4538760390684542e-38,1.6024535385113065e-78,5.6028232698700812e-58,-1.1086297676299052e-111,-6.328754307992025e-111,1.5139463069939996e-109
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.0210130286466484e-120,2.7312452847980024e-72,4.8884789807419757e-41,8.7384306153911328e-90,3.5144048077919682e-57,1.3790184882930679e-138,2.0560285320478247e-24,9.6892479802494021e-118,2.0560285320478016e-24,2.1315493849244716e-79,4.4071405670853482e-75,3.4202651591801735e-117,2.0666816994733815e-118,1.1815909413851642e-57,2.5313155201039368e-94,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578044693e-22,1.5111624578177312e-22,6.6325859968579968e-34,3.8309213582683138e-41,5.9216029941510049e-47,3.8981403166991476e-37,9.7520572034066248e-77,6.6516754078615149e-57,1.1223747783818062e-109,6.4072176672699419e-109,3.0275413077520095e-107
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.3134714747169205e-118,6.080810827207987e-71,2.3535951585434333e-40,7.9120525164375991e-88,3.7806363207220615e-56,4.996980208363604e-136,4.6994937875379433e-24,1.023090537408797e-115,4.6994937875378316e-24,4.6365855007914192e-78,9.83208397379726e-74,6.1968642224935094e-115,3.7444307053617065e-116,1.1600925162007755e-56,1.1052714216270657e-92,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178220245e-22,3.4540856178858726e-22,3.1933044571250892e-33,3.7612210910962418e-40,5.8185076529111065e-46,1.8767859358143104e-36,4.406008813205069e-75,6.5306620311624e-56,2.3522574737625792e-107,1.3428149184711985e-106,5.4853239554688658e-105
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.3896047587126648e-115,1.1379669758016994e-69,1.0278794413926915e-39,5.9973463067608358e-86,3.4750561249602155e-55,1.5175300091350068e-133,9.9864242985183774e-24,8.0866786520661689e-114,9.9864242985178851e-24,8.5954481033876671e-77,1.841438936302827e-72,9.4045799397664803e-113,5.6826802446943151e-114,1.0260878447826119e-55,4.1146483780613876e-91,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319378002377e-22,7.33993193807908e-22,1.3945997836204718e-32,3.3267570772354144e-39,5.1546631223261955e-45,8.1964100007104321e-36,1.6662530762634143e-73,5.7763102566865333e-55,3.7861585454239786e-105,2.1613721059945136e-104,8.3247213074599927e-103
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.9874781059670057e-113,1.9648551864500548e-68,4.2912160681972789e-39,4.1795490592185733e-84,2.9729836772985958e-54,4.2339791895557665e-131,2.0560285320480032e-23,5.7315514492573525e-112,2.0560285320477972e-23,1.4773379142721037e-75,3.1806223731914465e-71,1.3115772498121148e-110,7.9251536741617901e-112,8.6248723312387882e-55,1.4175587531546289e-89,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624577529078e-21,1.5111624578693196e-21,5.8221781615158702e-32,2.7963391306414652e-38,4.3466988378624724e-44,3.4218337639169545e-35,5.7992511297318126e-72,4.8553597784080639e-54,5.4301395696207438e-103,3.0998496493060405e-102,1.1609784963123594e-100
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.0849713019735554e-110,3.2640751315380366e-67,1.7531195480216336e-38,2.8030440587793003e-82,2.4581203960786482e-53,1.1363047072458405e-128,4.1708007364406493e-23,3.8570713731308352e-110,4.1708007364398071e-23,2.4485792498970963e-74,5.2846335113423961e-70,1.7597383457011869e-108,1.06331493749057e-109,7.0711680310632869e-54,4.7043606653692503e-88,1.6540795139779909e-16,7.952961294213526e-18,3.0655009856076433e-21,3.065500986083222e-21,2.3785486016823539e-31,2.2926067093725349e-37,3.5864710770184531e-43,1.3979257881071641e-34,1.9435465504615412e-70,3.9807549453217726e-53,7.3861857088900995e-101,4.2164566857940777e-100,1.5576805547858994e-98
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.8895213153946877e-108,5.3207922400081958e-66,7.0865331380268356e-38,1.8532110461960863e-80,1.9989026823693596e-52,3.0055301518205383e-126,8.4003451452272018e-23,2.5307656070484092e-108,8.4003451452237976e-23,3.9868765551508769e-73,8.6152272757508163e-69,2.3271295772141992e-106,1.4061588452948071e-107,5.726377305308726e-53,1.5328474309447795e-86,3.3314559225189871e-16,1.601793612778216e-17,6.1741780409529816e-21,6.1741780428753486e-21,9.6144644455202481e-31,1.8566106400752073e-36,2.9413214696300957e-42,5.6505994764498681e-34,6.4234048156126354e-69,3.2237795448533982e-52,9.8348465844107936e-99,5.6142348553433105e-98,2.0599224302061873e-96
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,7.6820686290668206e-106,8.5926266975812312e-65,2.8495793099762737e-37,1.2274111417158674e-78,1.6121874280835523e-51,7.9622938486586105e-124,1.6859433962805352e-22,1.6398984497461732e-106,1.685943396279166e-22,6.4348348320741144e-72,1.3913424106210059e-67,3.0825510839368715e-104,1.8626193026309948e-105,4.6090256314444354e-52,4.9494714671729701e-85,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532150187127e-20,1.2391532157916887e-20,3.8659263888225395e-30,1.4943590070288032e-35,2.4268390037087781e-41,2.2720489751070836e-33,2.1272194562525516e-67,2.5948764078408142e-51,1.3073621040007847e-96,7.4629410506840423e-96,2.7286044480340463e-94
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.0748019534089179e-103,1.381173871513164e-63,1.1429013971942362e-36,8.2727955171903218e-77,1.2949966159950708e-50,2.1462253244540752e-121,3.3777611597981826e-22,1.0560486945958817e-104,3.3777611597926917e-22,1.0340606821507538e-70,2.2364809002440516e-66,4.15475681414963e-102,2.5104953722063294e-103,3.698354897326093e-51,1.5909633754996267e-83,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240362829293e-20,2.4826240393829155e-20,1.5504033910781663e-29,1.1991245661482121e-34,2.0427267849444312e-40,9.1116741482767292e-33,7.170673759489333e-66,2.0823824437940169e-50,1.7656626851321325e-94,1.0078690894898992e-93,3.6776966865271481e-92
