Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CH2OX(54),CHO2X(213),CH2OH(40)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.229704167735006e-54,3.93325284220316e-36,4.954601440388777e-82,2.7458762024240156e-54,2.4481362469916093e-64,6.40380821026975e-20,-1.5290989669295053e-105,6.403808210269749e-20,4.598087639791339e-72,2.1650426800426585e-70,1.685396567429475e-84,1.4832652508140162e-106,1.4167594155801635e-37,2.4845617973254554e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401799970053e-22,1.193055121298746e-37,4.417678874875279e-37,4.1454017999260373e-22,5.0558182511062097e-54,2.197127328806061e-33,2.5408733188222684e-41,1.2857366954975606e-45,2.149405390959827e-76,3.269990651882844e-52,7.785197223024305e-28,3.974418713558856e-37,2.4409719135285596e-76,8.267191733465875e-55,2.252845919909209e-99,4.514759281796056e-87,8.519574045625175e-83,5.910825815024677e-71,7.870147299091439e-118,1.917737039171731e-40,5.439999727859871e-93,2.3774435158821384e-56,5.537145030365492e-102,5.273682577647314e-81,-5.3410617739245964e-123,2.801861756119787e-85
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.395904787959268e-53,2.3756847174405414e-35,2.0445321311792573e-80,4.1495681192137467e-53,5.476382811404491e-63,1.7930662988755308e-19,2.969024323924964e-104,1.7930662988755298e-19,1.2979226817408906e-70,6.807240576453747e-69,6.95483606753435e-83,1.1165661221961112e-104,8.557226870104344e-37,1.2875825120086002e-83,9.792427302019744e-18,2.899363680328186e-19,1.160712503998758e-21,7.206052932634764e-37,2.6682780404215386e-36,1.1607125039721725e-21,6.002267427681786e-53,1.3270648917729473e-32,3.016524771617346e-40,1.5264428554361105e-44,1.3076018823918828e-74,3.882132903037398e-51,2.1798552229058346e-27,2.400548902985005e-36,1.4849623186739182e-74,9.81481002595482e-54,1.6958877930369435e-97,2.600270184468632e-85,3.515626054664285e-81,1.6669474538677757e-69,1.6446852423730445e-115,1.1583131716597257e-39,6.011351085676595e-91,2.8225009163389124e-55,5.22053015418398e-100,2.1761998634949613e-79,1.719504659911999e-120,1.1571345531442184e-83
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.261343177987157e-52,1.1437899276374267e-34,8.087981819181172e-79,4.463916027172766e-52,1.0820409379788436e-61,4.0984372545726415e-19,3.1348032326082506e-102,4.098437254572637e-19,2.823907998042739e-69,1.5186579258956678e-67,2.7512639333863163e-81,8.828369973245759e-103,4.1199363805073484e-36,5.626484488289336e-82,2.2382690976045108e-17,6.627116983607283e-19,2.653057152030835e-21,3.4694042927222574e-36,1.284661016809036e-35,2.6530571519028365e-21,5.893061753391722e-52,6.389246049779326e-32,2.9616418397050365e-39,1.4987050689491764e-43,5.903273535347263e-73,3.811501107313104e-50,4.982526225948761e-27,1.155760961896099e-35,6.703829579758995e-73,9.636238684478637e-53,1.3408901248505097e-95,1.1660702907159554e-83,1.3907466793261255e-79,3.625974819207991e-68,2.976488257224168e-113,5.576779309911397e-39,5.4386183266882804e-89,2.771148082391497e-54,4.566352558404583e-98,8.60883008331858e-78,8.979750688437439e-118,4.579258647269301e-82
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.422575808926073e-51,4.995231121220406e-34,2.8865546531584973e-77,4.103107893990647e-51,1.92543396221889e-60,8.709179165966864e-19,2.4780285441924905e-100,8.709179165966845e-19,5.2355398336416996e-68,2.8442782219964393e-66,9.819065184330587e-80,6.310174419865219e-101,1.7992844577870485e-35,2.0970669431262316e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448209275e-21,1.515180004034426e-35,5.610452171043083e-35,5.637746447650275e-21,5.212346383955329e-51,2.790351477782051e-31,2.619538545273198e-38,1.3256488946075388e-42,2.2290651125623644e-71,3.3712295697699073e-49,1.058786823937909e-26,5.047511766149306e-35,2.5312383770925683e-71,8.523143989430694e-52,9.584159466837492e-94,4.3870478693890754e-82,4.963475924584059e-78,6.721946220570634e-67,4.519558046557605e-111,2.4355260397481015e-38,4.1160281564804535e-87,2.451048999720335e-53,3.4106311197532582e-96,3.0724301919259426e-76,3.168255518077883e-115,1.6345917983269032e-80
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.398561956779115e-50,2.0854106673962672e-33,9.753092714541618e-76,3.5102951885745304e-50,3.247525555943458e-59,1.793066298875531e-18,1.7564197921175214e-98,1.7930662988755233e-18,8.998965198680651e-67,4.912783306224725e-65,3.317639953795606e-78,4.267607415871462e-99,7.511658421408193e-35,7.240667329057041e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125041023304e-20,6.325578252991113e-35,2.3422533394152048e-34,1.1607125038689587e-20,4.381291202944456e-50,1.1649167029115102e-30,2.20187978039723e-37,1.1143907836452028e-41,7.734366010473195e-70,2.833721592324182e-48,2.1798552295617645e-26,2.1072368018655073e-34,8.782041000036777e-70,7.164216080966405e-51,6.481822417753134e-92,1.5190953922059572e-80,1.677046207470302e-76,1.1553308088482321e-65,6.291713942648298e-109,1.0167841781688552e-37,2.8595045875801474e-85,2.0602542080312827e-52,2.357790921125761e-94,1.038104643224866e-74,9.453882978625118e-113,5.523384454507179e-79
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,4.4260672597949894e-49,8.519583074888331e-33,3.2066540969882686e-74,2.9023799443650815e-49,5.334069660366091e-58,3.637363063433221e-18,1.1820173328048196e-96,3.63736306343319e-18,1.4915465130867212e-65,8.162662939406314e-64,1.0907672667260141e-76,2.807418650250441e-97,3.06875756452509e-34,2.413336088262637e-77,1.9864638241239738e-16,5.88156632295146e-18,2.3545882228479947e-20,2.5842051148237682e-34,9.568869149765122e-34,2.3545882218945943e-20,3.592047234311286e-49,4.759063928198997e-30,1.805233738214674e-36,9.13813822719747e-41,2.576335519306883e-68,2.323256179299158e-47,4.4219920525606353e-26,8.608749909780248e-34,2.924785779284935e-68,5.87365718671547e-50,4.264026038263249e-90,5.05412605393094e-79,5.513760177151677e-75,1.9148760877123667e-64,8.395278247648445e-107,4.153895136327566e-37,1.905847349145117e-83,1.689120607730436e-51,1.5725599755557315e-92,3.4130604286051704e-73,2.608907287601926e-110,1.816043657124644e-77
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,0.0,3.584344020933596e-48,3.443751732335144e-32,1.0401034094854252e-72,2.3601671692487856e-48,8.646754131366446e-57,7.325956592548605e-18,7.755738211471472e-95,7.325956592548479e-18,2.4286246564904124e-64,1.330720073845663e-62,3.5378764171226653e-75,1.8216060692168352e-95,1.240440872793889e-33,7.931154031156524e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339661070758e-20,1.0445770252489614e-33,3.8678899032351696e-33,4.74233965721696e-20,2.908932979928326e-48,1.923688998070834e-29,1.4619245380369523e-35,7.403037394850304e-40,8.412648206374515e-67,1.8814331073732876e-46,8.906265745563011e-26,3.479794355377486e-33,9.546984399157711e-67,4.7566398743813824e-49,2.766732246784846e-88,1.648911295056487e-77,1.7883743538787856e-73,3.1178793096067885e-63,1.0970750974556825e-104,1.679070829172756e-36,1.2445908580872593e-81,1.3678932285575893e-50,1.0338362053724346e-90,1.1070176351018905e-71,6.933359952984365e-108,5.890414737592945e-76
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.8849918995874353e-47,1.3847174551982732e-31,3.351043505324048e-71,1.903560324922404e-47,1.3925322432500884e-55,1.470314365077939e-17,5.025632248618886e-93,1.4703143650778873e-17,3.919832500665815e-63,2.1491164729781432e-61,1.1397733270452776e-73,1.1739094875143664e-93,4.9877581929388166e-33,2.6045648681675197e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842540442031e-20,4.200198275975344e-33,1.5552615183686565e-32,9.517842524946074e-20,2.3413623328419476e-47,7.735062962832319e-29,1.1766831721987343e-34,5.963013125257588e-39,2.7208003980742233e-65,1.5143410762082996e-45,1.7874813319586312e-25,1.3992100054251088e-32,3.0854181150163353e-65,3.828557588788676e-48,1.7829833179585493e-86,5.3276348773956725e-76,5.761482703934352e-72,5.032269776035388e-62,1.4188959219041598e-102,6.75146995588585e-36,8.0458710455991e-80,1.1009987773426509e-49,6.790266999396101e-89,3.5664026220674243e-70,1.8092299449343575e-105,1.8976940964909473e-74
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.3150243100311184e-46,5.553336564360055e-31,1.0760861131195913e-69,1.5290431730221942e-46,2.2353199108057028e-54,2.9457517767241015e-17,3.2363759389564544e-91,2.9457517767238957e-17,6.299083716378881e-62,3.4546419603296024e-60,3.659568708044429e-72,7.539709673712678e-92,2.0003141183109907e-32,8.65264424574722e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848310887592e-19,1.6844673668173765e-32,6.237294295376081e-32,1.906884824874182e-19,1.878795816885739e-46,3.1021014817363554e-28,9.44212727562836e-34,4.792011285800821e-38,8.762407355543957e-64,1.215163392596738e-44,3.58119092197071e-25,5.6114579322766e-32,9.92222764364961e-64,3.0721763501778335e-47,1.1451629540809519e-84,1.7130683053510924e-74,1.8498890204134572e-70,8.086722435121156e-61,1.825789648136376e-100,2.707641419184496e-35,5.175265948518096e-78,8.834810617048009e-49,4.510811593019191e-87,1.145095706866192e-68,4.6809943163618e-103,6.093121966650872e-73
