Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CHO2X(213),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,5.482669591351415e-54,3.612170977484293e-36,2.2275807464229237e-88,2.4166046575405268e-54,9.213630450569949e-132,6.136864488443326e-20,-1.1802956539350113e-105,6.136864488443325e-20,3.8470856866894546e-72,9.879721136550035e-71,5.511653051190595e-112,6.39074913954243e-113,1.301105585736871e-37,1.9920908216676405e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937632726e-22,1.0956628664973752e-37,4.057052027946889e-37,3.9726000937228497e-22,2.0177699968154993e-33,2.2361846586245482e-41,1.1315570940676851e-45,1.737237517377706e-76,4.4495501292463887e-54,2.8778699322023295e-52,3.649976369595166e-37,1.972894521965984e-76,7.460670089482661e-28,9.70653975497239e-106,7.27583196610046e-55,1.9743358917751737e-87,-3.1383982068489422e-108,4.985182171946269e-71,-9.748690642589459e-124,-1.839531803512102e-123,4.2135502677964545e-93,4.2545481884790294e-102
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,6.509025338872818e-53,2.1817512710604294e-35,2.4615632202332612e-86,3.651972926308309e-53,3.3245780530835564e-129,1.7183220567641317e-19,2.278578211476233e-104,1.718322056764131e-19,1.0849397077999664e-70,3.1063424238112715e-69,1.1018179674033344e-109,1.277555419709332e-110,7.858677737850769e-37,1.0314317065074875e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026260276e-21,6.617803713626681e-37,2.4504594248771657e-36,1.1123280262358607e-21,1.2187330650284964e-32,2.65479839931835e-40,1.3433982877607857e-44,1.0568569651513902e-74,5.282505913408189e-53,3.4166071844569716e-51,2.2045857272314807e-36,1.2002080027538787e-74,2.0889876254767026e-27,1.940405138710107e-103,8.637867710141013e-54,1.1371163959155093e-85,3.1761727207285212e-106,1.405901123459375e-69,1.800061833552009e-121,5.922197395937959e-121,4.6560903042129873e-91,4.0076742455113027e-100
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.3905996757424966e-52,1.0504193212423064e-34,2.2270852736821815e-84,3.9286258228423755e-52,1.2037762169457717e-126,3.92759327260373e-19,2.40593796266035e-102,3.927593272603726e-19,2.3599808429629977e-69,6.930079069385104e-68,1.9947719407568417e-107,2.3129335147818074e-108,3.78361504332292e-36,4.5059955990162076e-82,2.1449665089346273e-17,6.350864601509674e-19,2.542464060054413e-21,3.186187615748166e-36,1.1797907297228227e-35,2.5424640599368644e-21,5.867674955018499e-32,2.6064967531505615e-39,1.3189854364636252e-43,4.771261002183645e-73,5.1863956305469016e-52,3.3544451959087677e-50,1.0614131282722748e-35,5.4183125169070796e-73,4.774828860219807e-27,3.5129811265545e-101,8.480709739644995e-53,5.099307198543099e-84,6.651536922709828e-104,3.0581420281801354e-68,7.503329723499757e-119,3.0927399450173704e-118,4.2124803097180614e-89,3.504552895998939e-98
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,5.652413042032555e-51,4.587457151633747e-34,1.6855645847432354e-82,3.61108397363108e-51,3.65020970156881e-124,8.346135704282926e-19,1.901693443811971e-100,8.346135704282909e-19,4.3750067492125645e-68,1.297927113005966e-66,3.0227470500405644e-105,3.504868308947077e-106,1.652404093885928e-35,1.679224070335313e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127747645e-21,1.391491840424591e-35,5.152456075449847e-35,5.402736127234277e-21,2.5625676937106864e-31,2.305416757276926e-38,1.1666793256946452e-42,1.8016158700299865e-71,4.5873082010322044e-51,2.9669687914641482e-49,4.6354699893238653e-35,2.045851620333044e-71,1.0146511336450942e-26,5.323342042319928e-99,7.501091723683357e-52,1.9184868150191794e-82,1.068985816511575e-101,5.669279923706006e-67,2.4152366401716855e-116,1.0911853439298923e-115,3.1880684679302674e-87,2.6172192655821844e-96
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,4.751193745392792e-50,1.9151730614679956e-33,1.1711040033379065e-80,3.089358365805156e-50,1.0153521773717261e-121,1.7183220567641323e-18,1.3478529656773832e-98,1.7183220567641252e-18,7.519518782761783e-67,2.2418463159302098e-65,4.2028238209056145e-103,4.8731646327254816e-104,6.898461815577803e-35,5.79727705802001e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263553935e-20,5.809204517925396e-35,2.1510489851790086e-34,1.1123280261410727e-20,1.0698214702910954e-30,1.9378415225797067e-37,9.807511506103255e-42,6.25118738439059e-70,3.855908948811591e-50,2.493916048505134e-48,1.9352174711035606e-34,7.098009038312535e-70,2.0889876315892918e-26,7.401568299172196e-97,6.305119568352311e-51,6.643110737491882e-81,1.5284761730398412e-99,9.74404368147054e-66,6.912381219250606e-114,3.256019111764305e-113,2.214828494293391e-85,1.80908810238786e-94
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,3.895315687720501e-49,7.824106902012698e-33,7.806708976821475e-79,2.5543412391778256e-49,2.708632537327691e-119,3.485739029435812e-18,9.070432561600139e-97,3.485739029435783e-18,1.2463050926982484e-65,3.724861183196229e-64,5.605026109060087e-101,6.499014987050933e-102,2.8182467429302644e-34,1.9319341862674335e-77,1.9036577766794548e-16,5.636392333839833e-18,2.256436853684583e-20,2.37324959514165e-34,8.787736974288688e-34,2.2564368528090115e-20,4.370568982795752e-30,1.5887592748249265e-36,8.042215227748194e-41,2.082269439693115e-68,3.1613071200975568e-49,2.044663062463415e-47,7.905994815125505e-34,2.363932946316841e-68,4.237660638269567e-26,9.870978497219483e-95,5.169317961274455e-50,2.2102047856684984e-79,2.0664721624318067e-97,1.6150037807656935e-64,1.869858918589956e-111,8.985291423988508e-111,1.4761735529816768e-83,1.206399170948714e-92
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,0.0,3.1545276371390144e-48,3.1626291391084864e-32,5.0998436929767135e-77,2.0771478742712856e-48,7.079462425469301e-117,7.020572974779174e-18,5.951442571429456e-95,7.020572974779059e-18,2.029284759944019e-64,6.072463833825783e-63,7.324265251632487e-99,8.492468850759853e-100,1.139180393381381e-33,6.347253053145224e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654509014689e-20,9.593054312663237e-34,3.552143788697181e-33,4.5446545054754864e-20,1.7666532174878753e-29,1.2866179907677046e-35,6.515102053469503e-40,6.799244362248122e-67,2.56010846771922e-48,1.6558211753867482e-46,3.195729510057712e-33,7.716268133399086e-67,8.535006694797639e-26,1.2898720433457366e-92,4.1862477084322764e-49,7.210804789128281e-78,2.718632437064796e-95,2.6296149945666654e-63,4.920965481573233e-109,2.3878710422612537e-108,9.639975299211296e-82,7.928870092396165e-91
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,0.0,2.539038280624795e-47,1.2716792933108526e-31,3.299164222904342e-75,1.6752950104456212e-47,1.8321332395946007e-114,1.409024086546592e-17,3.8564462161720225e-93,1.4090240865465445e-17,3.275273783993066e-63,9.807045308110432e-62,9.477073948291108e-97,1.0988645623152031e-97,4.5805942588152325e-33,2.0832818923369844e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089822361808e-20,3.857324946642047e-33,1.4283013944297107e-32,9.121089808130829e-20,7.103629702270533e-29,1.0355813495305554e-34,5.2476357507276606e-39,2.1989302445099377e-65,2.0605980183255411e-47,1.3327489607882984e-45,1.2849887805062622e-32,2.4937627647563912e-65,1.712969898052388e-25,1.6690019158728608e-90,3.369456350701303e-48,2.329812113201852e-76,3.529567458592607e-93,4.2442092030295275e-62,1.2778959664999152e-106,6.23086154947113e-106,6.231927544673992e-80,5.2048900685392884e-89
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,0.0,2.0374183180438254e-46,5.1000029489787555e-31,2.1250254254609408e-73,1.345688058835179e-46,4.72062557811931e-112,2.822957664683945e-17,2.4834434078735354e-91,2.822957664683755e-17,5.263277043726734e-62,1.5764538894510165e-60,1.2208978612226252e-94,1.4156282848013474e-95,1.8370231698725207e-32,6.913768594176708e-73,1.5416946782965665e-15,4.564683932335053e-17,1.827396045980371e-19,1.5469598261215578e-32,5.72812741419725e-32,1.8273960402731071e-19,2.8488690693662624e-28,8.309876224643319e-34,4.2168590141535206e-38,7.081283194270544e-64,1.6535001363349166e-46,1.0694471486005488e-44,5.153379733834267e-32,8.019556001392024e-64,3.431908424265674e-25,2.1501160380885143e-88,2.703776519903724e-47,7.491367896446504e-75,4.554686046159615e-91,6.820330250365449e-61,3.2982376785852076e-104,1.6120070121726963e-103,4.008501279515187e-78,3.4541061628313926e-87
