Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CH4OX(63),C2H4X(70),C2H6X(52),CO2X(24),OH(D)X(68),CHO2X(213),HOCO(73)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-2.1753588409062754e-120,5.852212541467368e-54,3.772711909842904e-36,2.537988204269481e-88,2.5794886617116702e-54,1.0964082054398717e-131,6.271756745260255e-20,-1.3447663654066395e-105,6.271756745260253e-20,4.1966480292191147e-72,6.35114080787853e-71,6.417718852025335e-112,7.441330368671733e-113,1.3589325006585034e-37,2.2208778934829563e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.059920417210333e-22,1.1443589938937828e-37,4.237365451411085e-37,4.059920417168115e-22,2.1074486628269976e-33,2.3869079985276335e-41,1.2078266228555834e-45,1.936746017155988e-76,4.749458751126656e-54,3.0718441499061256e-52,3.812197541577014e-37,2.19946586978382e-76,1.130220690505228e-105,-3.654322417238958e-108,7.624660450979385e-28,-1.1600795634757376e-123,4.800696069384971e-93,1.297091961012834e-87,4.84743133298456e-102,5.4381567350011e-71,-7.905486498037318e-108,7.766237664364145e-55,-1.0598953217664088e-123,-1.6033049977136225e-137
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.941022856213979e-118,6.947746729252305e-53,2.2787179942495106e-35,2.804576119680101e-86,3.8981232409791867e-53,3.9561988703496776e-129,1.756091888672872e-19,2.5960913651259926e-104,1.756091888672871e-19,1.1835218834043087e-70,1.9969002882502028e-69,1.2829471293875947e-109,1.4875742698336664e-110,8.207952303977398e-37,1.149895849299728e-83,9.590499897454917e-18,2.839576564753946e-19,1.136777716825745e-21,6.911928323079939e-37,2.5593687326493557e-36,1.1367777168002447e-21,1.2728989784199756e-32,2.8337371459615495e-40,1.4339467176937125e-44,1.1782291963647035e-74,5.638557429286591e-53,3.6468933758009094e-51,2.302567315108248e-36,1.3380424086677842e-74,2.2593906400199505e-103,3.69830753928886e-106,2.134904926714522e-27,2.142047050509068e-121,5.304902753610942e-91,7.470585584339851e-86,4.566180637498083e-100,1.53364720044301e-69,8.00064060150298e-106,9.220077355118403e-54,3.412232715041373e-121,9.275006637479556e-135
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.663710097447236e-115,6.821338938403316e-52,1.0971046244389104e-34,2.5374254376545017e-84,4.193423099407248e-52,1.4324766262057781e-126,4.0139243169665647e-19,2.7411983219791486e-102,4.0139243169665603e-19,2.5744186083751913e-69,4.454974693691592e-68,2.3226959609074268e-107,2.6931606680775043e-108,3.951775711914979e-36,5.0235854234097017e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490670625742e-21,3.3277959541853544e-36,1.2322258732659328e-35,2.5983490669398e-21,6.128460502587948e-32,2.7821798704233915e-39,1.4078890598220882e-43,5.319207689486697e-73,5.535969120155203e-52,3.5805415443308836e-50,1.1085870450841922e-35,6.040562894855918e-73,4.090486188759585e-101,7.744994661133784e-104,4.879782691708862e-27,8.928855983633777e-119,4.799477012645414e-89,3.3501241360088423e-84,3.992990366266115e-98,3.3360176494130364e-68,1.6754939412883207e-103,9.05232662153724e-53,1.7819658131762795e-118,9.713369915601382e-132
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.351558377135806e-113,6.033397041895992e-51,4.791344136418619e-34,1.9204466793168471e-82,3.854478291391464e-51,4.343701881379794e-124,8.52958917355395e-19,2.1666888166386241e-100,8.529589173553932e-19,4.772538226656546e-68,8.343674559444183e-67,3.519665013569242e-105,4.081043554075175e-106,1.725844275836351e-35,1.8721543228999244e-80,4.658242807335231e-17,1.3792229028804885e-18,5.5214917676458556e-21,1.4533359221854103e-35,5.381454123246501e-35,5.5214917671096684e-21,2.6764595859135706e-31,2.46080647557518e-38,1.2453182663602796e-42,2.008521051925117e-71,4.89650199372967e-51,3.166948451507853e-49,4.841490877736636e-35,2.2808015107329773e-71,6.1984613437498555e-99,1.2447194439742376e-101,1.0369538228742246e-26,2.874100082831693e-116,3.632316399569828e-87,1.2604004295539321e-82,2.9820549408217143e-96,6.184414494531565e-67,2.692732504869994e-101,8.006680382357083e-52,6.287165502491179e-116,6.857347622798823e-129
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.5309687362730586e-110,5.07143375329765e-50,2.0002918644250226e-33,1.3342989585903303e-80,3.2975873289840817e-50,1.2082581164756113e-121,1.7560918886728725e-18,1.5356723012944773e-98,1.756091888672865e-18,8.20277382277232e-67,1.4411622875292495e-65,4.89374722009943e-103,5.674288737933633e-104,7.205060118491848e-35,6.463636506747611e-79,9.590499897454848e-17,2.8395765647539465e-18,1.1367777169250903e-20,6.067391385087582e-35,2.2466511622971357e-34,1.1367777167012437e-20,1.117369086741846e-30,2.068455927959922e-37,1.0468598128415699e-41,6.969113521158895e-70,4.1158049617842305e-50,2.6620110029953967e-48,2.0212271364845763e-34,7.913159266037233e-70,8.618349431698116e-97,1.7797501278028236e-99,2.134904933098781e-26,8.225659051511251e-114,2.5234583032014216e-85,4.364366521305706e-81,2.0613653376186645e-94,1.0629428391288828e-65,3.850177680470188e-99,6.730097299961568e-51,1.876048765280346e-113,4.093435242116228e-126
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,4.140539140442129e-108,4.157867794306221e-49,8.171844988392234e-33,8.894618433882877e-79,2.7265089726877577e-49,3.2232556240545635e-119,3.562357831307828e-18,1.0334370588125208e-96,3.562357831307797e-18,1.359549604824764e-65,2.3945126948612065e-64,6.526489325721209e-101,7.56744948468957e-102,2.9435021537267343e-34,2.154193450866948e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347974214945e-20,2.478727354678809e-34,9.178303062027147e-34,2.3060347965070085e-20,4.564816456649635e-30,1.6958448298639224e-36,8.584343440653331e-41,2.3214194068414484e-68,3.3743855736026694e-49,2.1824774629178155e-47,8.257372362453229e-34,2.6354119478983113e-68,1.1493761945607692e-94,2.4061991916172093e-97,4.3308071648194144e-26,2.2251203755816586e-111,1.6818739710530516e-83,1.4520522316768877e-79,1.3747555419213277e-92,1.7617498033141488e-64,5.205390512503808e-97,5.517740381707683e-50,5.1771525596789674e-111,2.2595611601501628e-123
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,1.0895718734059531e-105,3.3671491402059273e-48,3.303190435674621e-32,5.8105801767020404e-77,2.217151815872042e-48,8.424579248163414e-117,7.174889716577742e-18,6.780758541491878e-95,7.174889716577618e-18,2.2136740912176836e-64,3.903660035530483e-63,8.52843499412146e-99,9.888700920153496e-100,1.1898106330868716e-33,7.078744088947341e-76,3.9184042438171695e-16,1.160169853599468e-17,4.644548959115884e-20,1.0019412280115359e-33,3.7100168459663714e-33,4.644548955419384e-20,1.8451711087124852e-29,1.3733386076984752e-35,6.9543412189316834e-40,7.580199952934513e-67,2.7326649234990496e-48,1.7674268514021844e-46,3.3377619327178843e-33,8.602420430675681e-67,1.5019376680727758e-92,3.165598452774557e-95,8.72261167334676e-26,5.8559624457976125e-109,1.0983277257450724e-81,4.737328076479514e-78,9.036977002442904e-91,2.8685528508629194e-63,6.848217818698983e-95,4.468409217939163e-49,1.3758557354968962e-108,1.2010645680069518e-120
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.8293433119907036e-103,2.71017456399526e-47,1.3281983742165772e-31,3.7590072233564433e-75,1.7882132613374048e-47,2.180276369664482e-114,1.4399953487117585e-17,4.393830622787789e-93,1.4399953487117092e-17,3.5728789080686616e-63,6.3044213817036396e-62,1.1035350117911473e-96,1.2795463286942975e-97,4.784176225870882e-33,2.324184776868497e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577285310993e-20,4.028761609327814e-33,1.491781456399342e-32,9.321577270447521e-20,7.419346340062063e-29,1.1053815790770936e-34,5.601511187718112e-39,2.4515350701557837e-65,2.19948646552565e-47,1.422578920650603e-45,1.342099392965915e-32,2.780151629387086e-65,1.9434290150662072e-90,4.109920650735423e-93,1.7506220870745773e-25,1.5207227544672358e-106,7.10032804992399e-80,1.5306314147835705e-76,5.934368489633569e-89,4.629855866415399e-62,8.891093531158394e-93,3.596564481014828e-48,3.5901830542864643e-106,6.268377950095967e-118
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,7.302575442031478e-101,2.174744407741407e-46,5.326669756364596e-31,2.4212883719736863e-73,1.4363901387088528e-46,5.617811096330489e-112,2.8850081028197336e-17,2.829503922475045e-91,2.885008102819535e-17,5.74152048868499e-62,1.0134173234117807e-60,1.4216879688722733e-94,1.6484439565463982e-95,1.9186686440868263e-32,7.718401832222834e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675633948926547e-19,1.6157135948799346e-32,5.982710854787936e-32,1.8675633889317335e-19,2.9754852815781003e-28,8.869978025097206e-34,4.5013634804145596e-38,7.894995452181017e-64,1.764949367547573e-46,1.1415300378372699e-44,5.382418833057279e-32,8.940538092585631e-64,2.5037263149436554e-88,5.303756884460817e-91,3.5073439986921074e-25,3.92509007370438e-104,4.5670738294972665e-78,4.921651396527179e-75,3.9408190713985173e-87,7.44005408545875e-61,1.1473749213573939e-90,2.8860164916550495e-47,9.288558377029314e-104,3.2435758924554846e-115
