Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531407515e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-8.354984079504854e-121,1.3111416841482734e-65,2.9700073791885938e-36,1.238228505826785e-88,1.801728939913494e-54,4.211020768938499e-132,5.564692336215776e-20,-6.560824231212134e-106,5.564692336215775e-20,2.600819491657101e-72,6.852390168875986e-73,2.778074325360949e-112,3.2211705343532606e-113,1.101763148662317e-53,1.221160961788449e-85,3.039031115899591e-18,8.998030997900935e-20,3.602213534446389e-22,9.008783566733485e-38,3.3357984490676632e-37,3.6022135344131528e-22,1.65905523957598e-33,1.6672140477055176e-41,8.436451150783979e-46,1.0649561700314138e-76,2.1456308077864074e-52,1.2094196527705334e-76,3.3174158802959275e-54,4.892449878182549e-106,-3.422090813836481e-108,-1.5818668802012936e-108
1.7654093887941043e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.513641980763733e-118,2.932984340969204e-64,1.7938844575219189e-35,1.3682893115240665e-86,2.722772796315481e-53,1.5194720953805916e-129,1.5581138541404175e-19,1.266576798433414e-104,1.5581138541404168e-19,7.334727155581347e-71,2.1545010983900407e-71,5.55355962706231e-110,6.439339101959216e-111,1.3080132098689947e-52,6.322571336946891e-84,8.509287124518851e-18,2.519448679412262e-19,1.0086197896503826e-21,5.441305273294428e-37,2.0148222632348143e-36,1.008619789630308e-21,1.0020693549757519e-32,1.979316498911764e-40,1.0015847463375285e-44,6.478707044551926e-75,2.5472928956438122e-51,7.357489876868021e-75,3.938436132402367e-53,9.780340242448592e-104,3.4632766518726587e-106,1.6009050975940312e-106
4.03522146010081e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,6.389851915878417e-116,5.79509415795974e-63,8.636781466060557e-35,1.237949459114898e-84,2.929034728590471e-52,5.501752962697968e-127,3.5614030951780975e-19,1.337371345810039e-102,3.5614030951780946e-19,1.595463368065003e-69,4.806573429090023e-70,1.0054349330750625e-107,1.1657993996268663e-108,1.2842151253897813e-51,2.7619945429940017e-82,1.9449799141757354e-17,5.758739838656599e-19,2.3054166620834444e-21,2.6197542596872003e-36,9.700501889857957e-36,2.3054166619867932e-21,4.8245324907648514e-32,1.9433046365804485e-39,9.833814698558246e-44,2.9248555655860246e-73,2.500947271539183e-50,3.321522559671188e-73,3.866779947949559e-52,1.770665374541037e-101,7.252775087546473e-104,3.352606729285399e-104
8.57484560271422e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,2.055375809556176e-113,1.0312069692497791e-61,3.771909379195641e-34,9.369355452575942e-83,2.692287543949765e-51,1.6682894442539017e-124,7.567981577253457e-19,1.0570805898653479e-100,7.567981577253445e-19,2.9577201973454938e-68,9.002180071780313e-69,1.5235642796886182e-105,1.7665691375164872e-106,1.1358737342937692e-50,1.0291967941802335e-80,4.133082317623431e-17,1.2237322157145273e-18,4.8990104070358674e-21,1.1441155114056248e-35,4.2364640302840954e-35,4.8990104066137645e-21,2.1070000034753314e-31,1.7188308740297684e-38,8.698246876517847e-43,1.104413444583418e-71,2.2120595417605014e-49,1.254143668792385e-71,3.4201230714907996e-51,2.683139830506281e-99,1.1656076508407287e-101,5.38803975868582e-102
1.7654093887941043e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,5.879940874431817e-111,1.7392820304612752e-60,1.5746979193093048e-33,6.509629648855215e-81,2.3033086762533656e-50,4.6405217188107333e-122,1.5581138541404184e-18,7.492212862575798e-99,1.558113854140412e-18,5.083565318504705e-67,1.5549027365485207e-67,2.1183449049850821e-103,2.456215849662699e-104,9.547703137876143e-50,3.5524624616197646e-79,8.509287124518795e-17,2.5194486794122616e-18,1.0086197897285903e-20,4.7764570329563396e-35,1.768640337667022e-34,1.0086197895523707e-20,8.796309523156483e-31,1.44478079952722e-37,7.311987957670754e-42,3.8320262341357315e-70,1.859369335491324e-48,4.351206647248226e-70,2.8748195151202988e-50,3.7306043893398623e-97,1.6666162172981826e-99,7.703959760164376e-100
3.581259045839469e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.590211389691524e-108,2.8567765599927315e-59,6.433154841728721e-33,4.339321239461531e-79,1.904420155149066e-49,1.2379218660557081e-119,3.160745246970564e-18,5.041915790360379e-97,3.160745246970539e-18,8.425636704380826e-66,2.58349414419306e-66,2.8250500843750775e-101,3.275638814511997e-102,7.827783857185422e-49,1.1833959589794048e-77,1.726169673830943e-16,5.110881606807728e-18,2.046057287916675e-20,1.9513385437289332e-34,7.225472872375925e-34,2.04605728719676e-20,3.593578862140858e-30,1.1845183968663006e-36,5.9957727006515e-41,1.2764265316284759e-68,1.5244233262501355e-47,1.4491332517928197e-68,2.356950720654504e-49,4.975178602795861e-95,2.2531985289146767e-97,1.0415445743557135e-97
7.212958359930197e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,4.1844319969907394e-106,4.630958374937577e-58,2.600384068634833e-32,2.8346319525379656e-77,1.5486428423563026e-48,3.23541136524957e-117,6.366008032630858e-18,3.308185367406134e-95,6.36600803263076e-18,1.371896516928826e-64,4.2117474688141035e-65,3.69146394674506e-99,4.280243615172814e-100,6.339142279018766e-48,3.885009963359545e-76,3.476651596589031e-16,1.0293747461598658e-17,4.120932284845152e-20,7.88762233590731e-34,2.920651660284737e-33,4.120932281935141e-20,1.4525815517633813e-29,9.592533965994719e-36,4.857092271361094e-40,4.167786243779302e-67,1.2345175437133529e-46,4.730210777483818e-67,1.9087197901272328e-48,6.501014810866809e-93,2.964192059476129e-95,1.3702024535665588e-95
1.4476356988111654e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,1.0865047865384664e-103,7.458016005496737e-57,1.0456030166447748e-31,1.8336471826651438e-75,1.249036555797741e-47,8.37256392806789e-115,1.2776533603951464e-17,2.1436548852510138e-93,1.2776533603951068e-17,2.2142465093832617e-63,6.801983326768403e-64,4.776183177465812e-97,5.5379729680948175e-98,5.102293138650854e-47,1.2732300921879759e-74,6.977615442105055e-16,2.0659479171180505e-17,8.270682280911342e-20,3.171578210006441e-33,1.174381187026204e-32,8.270682269210314e-20,5.840762667031236e-29,7.720900846580227e-35,3.9119218170280525e-39,1.3478080529382568e-65,9.936471371204816e-46,1.5287214076749347e-65,1.5363037233978601e-47,8.411307281095409e-91,3.848125707042007e-93,1.7788021711362676e-93
2.900315424447457e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,2.803838004164865e-101,1.1971767426212823e-55,4.193335910944059e-31,1.1809190817992233e-73,1.0032940871346766e-46,2.1569767703797346e-112,2.559758474659274e-17,1.3804537377476995e-91,2.559758474659115e-17,3.5582346974951085e-62,1.0933989263298353e-62,6.15219970124348e-95,7.1334608352077484e-96,4.094268815606459e-46,4.213442921484743e-73,1.397954313313648e-15,4.1390942590344106e-17,1.6570182281880686e-19,1.2719446822400587e-32,4.709793814144111e-32,1.6570182234954296e-19,2.3424039632949214e-28,6.195528626207379e-34,3.143101371523412e-38,4.339825665406911e-64,7.97339277658375e-45,4.916132651741563e-64,1.2327869552027276e-46,1.0834601649305282e-88,4.965124691183695e-91,2.2951366989826667e-91
