Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.8280556799917995e-120,5.482669591351363e-54,3.612170977484293e-36,2.2275807464229206e-88,2.4166046575405268e-54,9.213630450569937e-132,6.136864488443326e-20,-1.1802956539350113e-105,6.136864488443325e-20,3.8470856866894546e-72,2.114640776067652e-71,5.51165305119059e-112,6.390749139542421e-113,1.3011055857368598e-37,1.9920908216676405e-85,3.3515101702103593e-18,9.923225939858866e-20,3.9726000937632726e-22,1.0956628662674886e-37,4.057052027946889e-37,3.9726000937228497e-22,2.0177699968154993e-33,2.2361846586245482e-41,1.1315570940676851e-45,1.7372375173777037e-76,2.8778699322023295e-52,1.972894521965984e-76,3.649976369595166e-37,9.706539754972382e-106,-3.138398206848939e-108,7.460670089482661e-28,4.449550128312792e-54,-9.748690642589445e-124,4.2135502677964545e-93,-6.789374826434306e-108,4.2545481884790294e-102,-2.595268828495396e-145,-4.0871155643085603e-147,-7.609385943986907e-212
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.3118249187339237e-118,6.5090253388727005e-53,2.1817512710604294e-35,2.4615632202332548e-86,3.651972926308309e-53,3.324578053083548e-129,1.7183220567641317e-19,2.278578211476233e-104,1.718322056764131e-19,1.0849397077999664e-70,6.648768944840463e-70,1.1018179674033315e-109,1.2775554197093287e-110,7.858677737850635e-37,1.0314317065074875e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026260276e-21,6.617803710897468e-37,2.4504594248771657e-36,1.1123280262358607e-21,1.2187330650284964e-32,2.65479839931835e-40,1.3433982877607857e-44,1.0568569651513872e-74,3.4166071844569716e-51,1.2002080027538787e-74,2.2045857272314807e-36,1.940405138710102e-103,3.1761727207285135e-106,2.0889876254767026e-27,5.2825059113197705e-53,1.8000618335520043e-121,4.6560903042129873e-91,6.871093373632279e-106,4.0076742455113027e-100,8.917393767802726e-143,1.328720264736133e-144,1.4159138823747322e-208
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.3980923659447793e-115,6.390599675742264e-52,1.0504193212423064e-34,2.2270852736821705e-84,3.9286258228423755e-52,1.2037762169457654e-126,3.92759327260373e-19,2.40593796266035e-102,3.927593272603726e-19,2.3599808429629977e-69,1.483303776753338e-68,1.9947719407568318e-107,2.312933514781796e-108,3.783615043322788e-36,4.5059955990162076e-82,2.1449665089346273e-17,6.350864601509674e-19,2.542464060054413e-21,3.186187613068607e-36,1.1797907297228227e-35,2.5424640599368644e-21,5.867674955018499e-32,2.6064967531505615e-39,1.3189854364636252e-43,4.771261002183622e-73,3.3544451959087677e-50,5.4183125169070796e-73,1.0614131282722748e-35,3.512981126554484e-101,6.651536922709802e-104,4.774828860219807e-27,5.186395626420538e-52,7.50332972349972e-119,4.2124803097180614e-89,1.4389435114782616e-103,3.504552895998939e-98,7.776528066062228e-140,1.1266224241325627e-141,1.249543103132525e-203
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.497157167309904e-113,5.652413042032135e-51,4.587457151633747e-34,1.6855645847432188e-82,3.61108397363108e-51,3.6502097015687746e-124,8.346135704282926e-19,1.901693443811971e-100,8.346135704282909e-19,4.3750067492125645e-68,2.77806381333575e-67,3.022747050040535e-105,3.5048683089470425e-106,1.6524040938858111e-35,1.679224070335313e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127747645e-21,1.3914918380545517e-35,5.152456075449847e-35,5.402736127234277e-21,2.5625676937106864e-31,2.305416757276926e-38,1.1666793256946452e-42,1.8016158700299686e-71,2.9669687914641482e-49,2.045851620333044e-71,4.6354699893238653e-35,5.323342042319876e-99,1.0689858165115667e-101,1.0146511336450942e-26,4.5873081936895614e-51,2.4152366401716615e-116,3.1880684679302674e-87,2.3125635814608942e-101,2.6172192655821844e-96,5.077645860699059e-137,7.25059179367451e-139,3.6421975744257547e-199
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.2865399990249647e-110,4.75119374539208e-50,1.9151730614679956e-33,1.1711040033378844e-80,3.089358365805157e-50,1.015352177371707e-121,1.7183220567641323e-18,1.347852965677384e-98,1.7183220567641252e-18,7.519518782761787e-67,4.79841438145976e-66,4.202823820905535e-103,4.8731646327253887e-104,6.898461815576823e-35,5.797277058020013e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280263553935e-20,5.809204498003786e-35,2.1510489851790086e-34,1.1123280261410727e-20,1.0698214702910954e-30,1.9378415225797067e-37,9.807511506103255e-42,6.251187384390469e-70,2.493916048505134e-48,7.098009038312535e-70,1.9352174711035606e-34,7.401568299172055e-97,1.5284761730398179e-99,2.0889876315892918e-26,3.8559089364271524e-50,6.912381219250474e-114,2.214828494293391e-85,3.3065904894456347e-99,1.809088102387861e-94,2.9261995438707174e-134,4.149281889524843e-136,7.867181441475001e-195
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.479462907315553e-108,3.895315687719331e-49,7.824106902012698e-33,7.806708976821175e-79,2.554341239177827e-49,2.7086325373275873e-119,3.485739029435812e-18,9.070432561600145e-97,3.485739029435783e-18,1.2463050926982492e-65,7.972637259828088e-65,5.6050261090598716e-101,6.4990149870506845e-102,2.818246742929461e-34,1.9319341862674347e-77,1.9036577766794548e-16,5.636392333839833e-18,2.256436853684583e-20,2.3732495788087097e-34,8.787736974288688e-34,2.2564368528090115e-20,4.370568982795752e-30,1.5887592748249265e-36,8.042215227748194e-41,2.082269439693035e-68,2.044663062463415e-47,2.363932946316841e-68,7.905994815125505e-34,9.870978497219105e-95,2.0664721624317438e-97,4.237660638269567e-26,3.1613070997560786e-49,1.8698589185898845e-111,1.4761735529816768e-83,4.470450586444008e-97,1.2063991709487145e-92,1.588412857743806e-131,2.2445844388622597e-133,1.475934656984861e-190
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,9.156044472308427e-106,3.154527637137116e-48,3.1626291391084864e-32,5.099843692976319e-77,2.077147874271288e-48,7.079462425468755e-117,7.020572974779174e-18,5.951442571429464e-95,7.020572974779059e-18,2.0292847599440218e-64,1.299741091894726e-63,7.324265251631922e-99,8.492468850759197e-100,1.13918039338073e-33,6.347253053145232e-76,3.834127634720529e-16,1.1352170475198528e-17,4.544654509014689e-20,9.593054180394854e-34,3.552143788697181e-33,4.5446545054754864e-20,1.7666532174878753e-29,1.2866179907677046e-35,6.515102053469503e-40,6.799244362247591e-67,1.6558211753867482e-46,7.716268133399086e-67,3.195729510057712e-33,1.2898720433456376e-92,2.7186324370646306e-95,8.535006694797639e-26,2.5601084347448062e-48,4.920965481572855e-109,9.639975299211296e-82,5.881285125346834e-95,7.928870092396174e-91,8.374396311941218e-129,1.1813652079959636e-130,2.5862871155514904e-186
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,2.377557619186887e-103,2.539038280621737e-47,1.2716792933108526e-31,3.2991642229038318e-75,1.675295010445625e-47,1.8321332395943193e-114,1.409024086546592e-17,3.856446216172031e-93,1.4090240865465445e-17,3.2752737839930735e-63,2.0990853337995574e-62,9.477073948289648e-97,1.098864562315034e-97,4.5805942588099934e-33,2.0832818923369884e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089822361808e-20,3.8573248401809446e-33,1.4283013944297107e-32,9.121089808130829e-20,7.103629702270533e-29,1.0355813495305554e-34,5.2476357507276606e-39,2.1989302445095953e-65,1.3327489607882984e-45,2.4937627647563912e-65,1.2849887805062622e-32,1.669001915872604e-90,3.5295674585921774e-93,1.712969898052388e-25,2.0605979652212655e-47,1.2778959664997177e-106,6.231927544673992e-80,7.635601036927753e-93,5.204890068539299e-89,4.3529805939507636e-126,6.135483179828258e-128,4.383085460632419e-182
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,6.136323810732292e-101,2.037418318038917e-46,5.1000029489787555e-31,2.1250254254602835e-73,1.3456880588351859e-46,4.720625578117859e-112,2.822957664683945e-17,2.4834434078735473e-91,2.822957664683755e-17,5.263277043726759e-62,3.374218363454877e-61,1.2208978612222491e-94,1.4156282848009113e-95,1.8370231698683168e-32,6.913768594176741e-73,1.5416946782965665e-15,4.564683932335053e-17,1.827396045980371e-19,1.5469597406932304e-32,5.72812741419725e-32,1.8273960402731071e-19,2.8488690693662624e-28,8.309876224643317e-34,4.2168590141535206e-38,7.081283194268338e-64,1.0694471486005488e-44,8.019556001392024e-64,5.153379733834267e-32,2.1501160380878524e-88,4.5546860461585095e-91,3.431908424265674e-25,1.6535000510907955e-46,3.2982376785841896e-104,4.008501279515187e-78,9.853265623578307e-91,3.4541061628314087e-87,2.2479260517161364e-123,3.1671003820701506e-125,7.308895758175593e-178
