Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CO2X(24),C2H4X(215),CHO2X(213),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163966571696e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.924445777895339e-120,5.666438448940727e-54,3.6924425054318653e-36,3.4194893127805964e-88,2.4938451714488866e-54,1.4457860566990325e-131,6.204678985877722e-20,-1.2588461979050427e-105,6.204678985877722e-20,4.0139161434345344e-72,7.823501241814132e-71,8.554260188334628e-112,9.918642206593885e-113,1.3300194248179566e-37,2.101199911633112e-85,3.3885445553717847e-18,1.0032878172087514e-19,4.0164975592411964e-22,1.1200109297663812e-37,4.147210442349067e-37,4.0164975591818485e-22,2.9642167842813005e-33,4.773221624371041e-41,3.4711370431938714e-45,5.4475322138537816e-76,4.5986894283335725e-54,2.9743307659516464e-52,3.73108802614148e-37,1.0092098830901592e-76,7.54311102098179e-28,1.5064852772572275e-105,7.519704281610474e-55,1.580702604862113e-87,-7.003283398991819e-108,5.20136787526829e-71,-1.52974670342521e-123,-2.1762847083501034e-107,2.1792069045577604e-93,-4.148345271029393e-123,4.5371626176741626e-102
1.968445910640075e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.0733079919834656e-117,6.727195726603765e-53,2.2302352753051962e-35,3.778657292179914e-86,3.768698806420546e-53,5.216851831349596e-129,1.7373101160457621e-19,2.4302212891209916e-104,1.7373101160457614e-19,1.1319885702763585e-70,2.459833968489067e-69,1.7100513677931162e-109,1.9828000667017365e-110,8.033317325900527e-37,1.0877802603293018e-83,9.487924755040992e-18,2.809205888184504e-19,1.1246193165971617e-21,6.764866015770894e-37,2.504915107175989e-36,1.1246193165613155e-21,1.790386909853698e-32,5.66676862876282e-40,4.120963445975483e-44,3.3140230531177775e-74,5.459564089283006e-53,3.5311254882729535e-51,2.2535771677853194e-36,6.139516124049511e-75,2.112071086305827e-27,3.011560499925765e-103,8.927392923113895e-54,9.104037691688209e-86,7.087555248166479e-106,1.4668689564522244e-69,2.8246157092973314e-121,2.202472357853978e-105,2.4080842639822804e-91,1.3355164407638964e-120,4.273329485116464e-100
4.4993049386058854e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.530958649908575e-115,6.604800656151447e-52,1.0737622836161108e-34,3.418696735856376e-84,4.054194199231946e-52,1.8889260698821482e-126,3.9709945509617427e-19,2.566057034794262e-102,3.9709945509617383e-19,2.462322396547616e-69,5.487754268483392e-68,3.0959204002448344e-107,3.589711567568742e-108,3.8676964873707186e-36,4.750895471739419e-82,2.168668515437939e-17,6.421042030136009e-19,2.570558437981753e-21,3.256991783733562e-36,1.2060087966308378e-35,2.57055843780917e-21,8.619941990906924e-32,5.563666865926407e-39,4.046048937260664e-43,1.4961312234463504e-72,5.3602323975583136e-52,3.466879949892232e-50,1.0850003979957416e-35,2.771670966343948e-73,4.8275910564448265e-27,5.452205567539781e-101,8.764967310601588e-53,4.082632621354841e-84,1.4842654528294222e-103,3.1907603832000245e-68,1.177397777304336e-118,4.612385395779929e-103,2.1786535028568115e-89,6.974403145052866e-118,3.735866288075127e-98
9.561022994537506e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.4574266581083428e-112,5.841871383458818e-51,4.689402013275888e-34,2.5873998511511002e-82,3.7265029451493575e-51,5.7277159082769735e-124,8.438363420793703e-19,2.0282542257506455e-100,8.438363420793686e-19,4.5647307418713325e-68,1.0277956403045204e-66,4.691295426683899e-105,5.43954471784564e-106,1.6891246695189093e-35,1.76954687559651e-80,4.608420595305612e-17,1.3644714314039018e-18,5.4624366809049645e-21,1.422413880775325e-35,5.266957261739182e-35,5.462436680151248e-21,3.7645548843280777e-31,4.921000021036599e-38,3.57879580543838e-42,5.64927982622269e-71,4.741064852809448e-51,3.0664160655733973e-49,4.738481793135604e-35,1.046530153451348e-71,1.025863100361764e-26,8.261810297883348e-99,7.75251432607762e-52,1.535988429313057e-82,2.3853708842033472e-101,5.915132003657212e-67,3.7898611544914636e-116,7.412589042309938e-101,1.6488377139737043e-87,2.460688847359623e-115,2.7884913646655452e-96
1.9684459106400749e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.16927700165195e-110,4.910444897088831e-50,1.9577330446196486e-33,1.7976388808415236e-80,3.188101725934472e-50,1.5931961929783594e-121,1.7373101160457622e-18,1.4375547658513791e-98,1.7373101160457557e-18,7.84560585148848e-67,1.7752613737965096e-65,6.52260443889481e-103,7.562942704538175e-104,7.051762990385748e-35,6.102612976383711e-79,9.487924755040925e-17,2.8092058881845035e-18,1.1246193167367504e-20,5.938297949369533e-35,2.198850976493755e-34,1.124619316422089e-20,1.571627350487737e-30,4.136396499665912e-37,3.0083808182840444e-41,1.9601177148395747e-69,3.985150679154197e-50,2.5775074871486072e-48,1.978222871402545e-34,3.6308988060314034e-70,2.112071092554253e-26,1.1486916857772147e-96,6.516455415009099e-51,5.318640267655135e-81,3.410605089332292e-99,1.016660059147545e-65,1.0846263483704832e-113,1.0598525406717436e-98,1.1454875108008216e-85,7.342334771035246e-113,1.925443926973897e-94
3.993133133012723e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.1275279043692262e-107,4.025879403439799e-49,7.997978403561483e-33,1.1982643889982902e-78,2.6359841588432735e-49,4.2499170474979845e-119,3.524257663978547e-18,9.674084554704494e-97,3.524257663978518e-18,1.3003516329311109e-65,2.9496233234935947e-64,8.698317576751606e-101,1.0085676369725066e-101,2.8808752749334835e-34,2.0293874209382327e-77,1.9246933074511432e-16,5.698674801745704e-18,2.2813706142757046e-20,2.425988474097961e-34,8.98302370620947e-34,2.2813706129902095e-20,6.420608833801982e-30,3.3912668909868883e-36,2.466759517572401e-40,6.528810455770839e-68,3.2672672990734205e-49,2.1131963949195005e-47,8.081685907655242e-34,1.209240593121317e-68,4.284487087970934e-26,1.531855131489748e-94,5.342583856731452e-50,1.7695451178093988e-79,4.610838480604473e-97,1.685039489714381e-64,2.933857583552733e-111,1.4328275345079993e-96,7.634623834163896e-84,2.0260843720512555e-110,1.2812982237327366e-92
8.04250757775802e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.9667316299377645e-105,3.2602615192369165e-48,3.232910847421377e-32,7.827028213228677e-77,2.1435385406526115e-48,1.110673156875229e-116,7.098152759844117e-18,6.347520723790109e-95,7.098152759844003e-18,2.1172855400625917e-64,4.8086304626448654e-63,1.136520384433815e-98,1.317792398783369e-99,1.1644958473611682e-33,6.639526335077635e-76,3.8764949713451965e-16,1.1477612628868099e-17,4.5948732103393985e-20,9.806233293597104e-34,3.6310818081012046e-33,4.5948732051432196e-20,2.5953113710653104e-29,2.746334443739958e-35,1.998143322773669e-39,2.1316348010349642e-66,2.6459177678319977e-48,1.7113212783420505e-46,3.266746658710496e-33,3.9471607049597006e-67,8.62931912293111e-26,2.0015187620860232e-92,4.326562922784872e-49,5.7731502946379905e-78,6.065352382376379e-95,2.743649991017827e-63,7.720331787732809e-109,1.8848207212868714e-94,4.985699271169702e-82,5.383844298588647e-108,8.386161618711381e-91
1.6141256467248613e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,7.702151550060729e-103,2.6241421076019693e-47,1.2999393133328504e-31,5.062380540359398e-75,1.7288414880501976e-47,2.8737857808631402e-114,1.4245942951575266e-17,4.113098964419393e-93,1.42459429515748e-17,3.4173073978981337e-63,7.7659510380008e-62,1.4702751065180773e-96,1.704780121832252e-97,4.6823865858539285e-33,2.1613398734059253e-74,7.780098299133111e-16,2.303548828311286e-17,9.22187840640994e-20,3.9430432772571615e-33,1.4600420248463756e-32,9.221878385516323e-20,1.0435621809262206e-28,2.210486617656278e-34,1.6090804631608076e-38,6.892451495184556e-65,2.1296648082563948e-47,1.37742032595122e-45,1.3135444636294512e-32,1.2756528450721182e-65,1.7318983369358717e-25,2.589292062963855e-90,3.482394242343647e-48,1.8653057294016116e-76,7.872950043125737e-93,4.42826214705844e-62,2.0044357502398304e-106,2.4465354162928955e-92,3.223089922357199e-80,1.4045665645764994e-105,5.460273251081928e-89
3.23387542462298e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,1.98705951466368e-100,2.1057087795812124e-46,5.213338703758746e-31,3.25939458454854e-73,1.388699501631105e-46,7.401502486684682e-112,2.8541523335037594e-17,2.6487205931448626e-91,2.8541523335035727e-17,5.491521248280931e-62,1.2483539468457916e-60,1.893330008915623e-94,2.1953111691764326e-95,1.8778464457882095e-32,7.059790730068382e-73,1.5587304954708177e-15,4.6151239591602303e-17,1.8475888814323689e-19,1.5813367105256728e-32,5.855421538482567e-32,1.8475888730530856e-19,4.185142212708035e-28,1.77377265865438e-33,1.2924710486375351e-37,2.2186805476379585e-63,1.7089218855152488e-46,1.1052931923495026e-44,5.267900794956955e-32,4.1023000859999276e-64,3.4698312568242954e-25,3.334331338319423e-88,2.7944020653404314e-47,5.997776119793411e-75,1.0155368903422642e-90,7.116098390392469e-61,5.171313794473437e-104,3.1558017864987974e-90,2.0731550849014002e-78,3.6323413704357103e-103,3.566900002869252e-87
