Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),acetyl(44),C2H4X(215),CO2X(24),C2H4X(70),CH4OX(63),C2H6X(52),OH(D)X(68),CHO2X(213),HOCO(73),S(216),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-7.627830440833438e-120,6.229704167734916e-54,3.933252844733589e-36,4.133097836005131e-88,2.741742147915102e-54,1.861472332728302e-131,6.40380821026975e-20,-1.5215532049826996e-105,6.403808210269749e-20,4.554541282024108e-72,5.5295430014242406e-71,1.0671264512334546e-111,1.2373306858511757e-112,1.4167594155801428e-37,2.460733254550095e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401799979657e-22,1.193055121293374e-37,4.417678874875279e-37,4.145401799916438e-22,3.157534694077542e-33,5.247697895607858e-41,3.8161827733342666e-45,6.379629557427839e-76,5.0558182510834444e-54,3.269990653986568e-52,3.974418713558856e-37,1.1818897481277036e-76,1.8793101137311874e-105,-8.73645682158077e-108,7.785197223024305e-28,-1.969573012839026e-123,2.6339835671771043e-93,-2.714873595198739e-107,5.484040254565006e-102,1.1530745245760519e-87,5.90192676994375e-71,8.267191733465755e-55,-2.5860694928471406e-123,-2.779390535609413e-137,-1.984842520133505e-211,-1.7796569378926508e-146
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.381903653009935e-117,7.395904787959074e-53,2.3756847204446674e-35,4.5672211175412585e-86,4.1433207360401773e-53,6.716780450850049e-129,1.7930662988755308e-19,2.937381089589403e-104,1.7930662988755298e-19,1.2844535148224341e-70,1.7385767953079797e-69,2.1332545620275086e-109,2.473503798236917e-110,8.5572268701041e-37,1.2739140185263826e-83,9.792427302019744e-18,2.899363680328186e-19,1.160712504004559e-21,7.206052932570989e-37,2.6682780404215386e-36,1.160712503966375e-21,1.907150924602014e-32,6.2300668467031066e-40,4.530605716590341e-44,3.881068235450491e-74,6.002267427630861e-53,3.882132907743346e-51,2.400548902985005e-36,7.190011992407291e-75,3.756862055979821e-103,8.841586302926091e-106,2.1798552229058346e-27,3.6367381080492613e-121,2.910625128648987e-91,2.7475428180610056e-105,5.165167717043028e-100,6.641118898547646e-86,1.6644377807703512e-69,9.814810025954555e-54,8.325582485960856e-121,1.6078532984219907e-134,3.6932733764852494e-208,5.786113592469165e-144
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.833694872206946e-115,7.261343177986768e-52,1.1437899305868955e-34,4.132142796898848e-84,4.457195377439151e-52,2.43202380366865e-126,4.0984372545726415e-19,3.1015642252655844e-102,4.098437254572637e-19,2.793966954616938e-69,3.8786691915051675e-68,3.862100074902609e-107,4.478096226525933e-108,4.119936380507108e-36,5.563883147346142e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571520587635e-21,3.4694042926596405e-36,1.284661016809036e-35,2.6530571518749245e-21,9.18211043106518e-32,6.116716372736646e-39,4.448246577667578e-43,1.7521272829904855e-72,5.893061753291101e-52,3.8115011166112646e-50,1.155760961896099e-35,3.245914997906416e-73,6.80152171523234e-101,1.8515929679238489e-103,4.982526225948761e-27,1.5159192880395115e-118,2.6333146728029318e-89,5.753866769038651e-103,4.5155736695571285e-98,2.978156459455528e-84,3.6205157320400106e-68,9.636238684478109e-53,4.347830881300908e-118,1.6838345387625724e-131,3.2592976555533955e-203,4.9068726562362607e-141
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.876466193187346e-112,6.422575808925383e-51,4.995231147308119e-34,3.127366043132186e-82,4.0969304590196416e-51,7.374536863593162e-124,8.709179165966864e-19,2.4515280297139914e-100,8.709179165966845e-19,5.1795438599009614e-68,7.264318134847997e-67,5.852304864567533e-105,6.785734140023921e-106,1.7992844577868357e-35,2.0723912117316635e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448331248e-21,1.515180003979042e-35,5.610452171043083e-35,5.6377464475283755e-21,4.010068586855784e-31,5.410166004249779e-38,3.934550059827942e-42,6.615908341104671e-71,5.212346383776281e-51,3.3712295863154837e-49,5.047511766149305e-35,1.2255956624065477e-71,1.0306459658802782e-98,2.9757077957434177e-101,1.058786823937909e-26,4.8795142350784484e-116,1.9929321164926536e-87,9.247078866492223e-101,3.3705284878020272e-96,1.1204568930558867e-82,6.71182599299459e-67,8.523143989429747e-52,1.5339906453376855e-115,1.1887217232447854e-128,9.500166334078738e-199,3.1589743596254054e-138
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,5.368038655459324e-110,5.398561956777949e-50,2.0854106893245587e-33,2.1727935709322657e-80,3.505010262899776e-50,2.0512726246367787e-121,1.793066298875531e-18,1.7375562481329302e-98,1.7930662988755233e-18,8.902312515994381e-67,1.254730306884608e-65,8.136845028587829e-103,9.434653248616883e-104,7.511658421406406e-35,7.147263125877128e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125041532512e-20,6.325578252525575e-35,2.3422533394152044e-34,1.1607125038180684e-20,1.6741244676395415e-30,4.547569911565083e-37,3.3074389326044785e-41,2.2955111162214523e-69,4.381291202642462e-50,2.8337216202307105e-48,2.107236801865507e-34,4.2521601452178605e-70,1.4329749897969027e-96,4.25467758454656e-99,2.1798552295617645e-26,1.396478603390436e-113,1.3845382239803362e-85,1.322150623951443e-98,2.3274144934283817e-94,3.8797864852602944e-81,1.1535914003009369e-65,7.16421608096481e-51,4.577211945583353e-113,7.095794823660829e-126,2.0519969398342226e-194,1.80899488380409e-135
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.4517234128339642e-107,4.4260672597930766e-49,8.519583254669661e-33,1.4483394559211823e-78,2.898010265617241e-49,5.471876186949538e-119,3.63736306343322e-18,1.1692957000528428e-96,3.63736306343319e-18,1.4754930130535908e-65,2.0847531707125985e-64,1.085105464393901e-100,1.2581773105791134e-101,3.0687575645236263e-34,2.376935335356189e-77,1.9864638241239738e-16,5.88156632295146e-18,2.3545882230560234e-20,2.5842051144420923e-34,9.568869149765118e-34,2.3545882216866914e-20,6.839342832136163e-30,3.728371578936309e-36,2.711986799233387e-40,7.64597748337039e-68,3.592047233815259e-49,2.3232562251357037e-47,8.608749909780246e-34,1.4161464940383587e-68,1.9109728479069025e-94,5.751972878291986e-97,4.4219920525606353e-26,3.7774163430046156e-111,9.227886240078307e-84,1.7874385035609407e-96,1.5488926550264682e-92,1.2908294014267894e-79,1.9119931456077234e-64,5.873657186712851e-50,1.2630659505795959e-110,3.91665584918407e-123,3.8495001602394834e-190,9.79902644413932e-133
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,3.81977901616002e-105,3.584344020930494e-48,3.4437518779266416e-32,9.460585087057132e-77,2.3566138190616238e-48,1.4300310002121804e-116,7.325956592548599e-18,7.67217677947093e-95,7.325956592548479e-18,2.4024578751517436e-64,3.398673831961631e-63,1.4178075824217299e-98,1.6439446574372182e-99,1.2404408727927034e-33,7.777608341068593e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339661911642e-20,1.0445770249398694e-33,3.867889903235166e-33,4.742339656376584e-20,2.764570211367184e-29,3.019330370280774e-35,2.1968017419157976e-39,2.496405729912588e-66,2.908932979124244e-48,1.881433181676262e-46,3.4797943553774835e-33,4.622535610289608e-67,2.496892590002002e-92,7.566523043978821e-95,8.906265745563011e-26,9.940201141579418e-109,6.026160025815133e-82,2.3513140500464945e-94,1.0138890972274635e-90,4.2113377410386816e-78,3.113185185744358e-63,4.756639874377135e-49,3.3563273527470563e-108,2.0816804238922972e-120,6.744865617270691e-186,5.171227961524187e-130
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,9.916965907532732e-103,2.8849918995824394e-47,1.3847175723828384e-31,6.11903102236084e-75,1.9006944192687893e-47,3.70015824921243e-114,1.4703143650779366e-17,4.9714563748029466e-93,1.4703143650778873e-17,3.8775766964577023e-63,5.488867314248913e-62,1.834194610022236e-96,2.126744465998317e-97,4.987758192929276e-33,2.532466924692322e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842543823197e-20,4.200198273487502e-33,1.5552615183686546e-32,9.517842521566957e-20,1.1116203061656776e-28,2.4302171839252614e-34,1.7690859107133468e-38,8.07203267302661e-65,2.341362331546997e-47,1.514341195870813e-45,1.399210005425107e-32,1.4939220752025186e-65,3.230189333633679e-90,9.821653633352623e-93,1.7874813319586312e-25,2.5808223112637376e-106,3.895713312915718e-80,3.0521009594147183e-92,6.603170145115495e-89,1.3606838581609046e-76,5.024693441199427e-62,3.828557588781838e-48,8.75630299873829e-106,1.0862148530233888e-117,1.142865908322866e-181,2.7000594206379455e-127
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,2.558533942484909e-100,2.3150243100230985e-46,5.5533375046901715e-31,3.9398376560373955e-73,1.526741121748636e-46,9.53013905047424e-112,2.9457517767240935e-17,3.20147873702253e-91,2.9457517767238957e-17,6.231161654795036e-62,8.823193890484876e-61,2.362036446168615e-94,2.738775870705929e-95,2.000314118303334e-32,8.276193091480257e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848324447627e-19,1.6844673648210402e-32,6.237294295376067e-32,1.9068848235190052e-19,4.458084852213561e-28,1.9500921096177184e-33,1.4210384591309101e-37,2.5984693320385867e-63,1.878795814807057e-46,1.2151635846811346e-44,5.611457932276586e-32,4.8042194895124556e-64,4.159768484054714e-88,1.2669410174603503e-90,3.58119092197071e-25,6.658560495362167e-104,2.5057995708827906e-78,3.937047730533453e-90,4.315642697849518e-87,4.375195455687636e-75,8.074547468442515e-61,3.0721763501668557e-47,2.264531480476539e-103,5.61837412518386e-115,1.9050436192423714e-177,1.4085660450508476e-124
