Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.924448442825874e-120,5.666436824168802e-54,3.692441445965029e-36,3.419485985024924e-88,2.4938437378763212e-54,1.4457842176846857e-131,6.204677204385183e-20,-1.2588454096627532e-105,6.204677204385183e-20,4.013914780869986e-72,2.2559662292591906e-71,8.55424930582111e-112,9.918632555944188e-113,1.330019043197679e-37,2.1011998111650336e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.01649756001383e-22,1.1200109300838493e-37,4.147208739678988e-37,4.016497559954481e-22,2.9642162449524487e-33,4.773220013838994e-41,3.4711364110833737e-45,5.4475312218300233e-76,2.9743299131036615e-52,1.009209534627739e-76,3.7310869555860913e-37,4.5986894305216946e-54,1.506483811475778e-105,7.54311093570893e-28,-7.003277780978444e-108,-2.1762843131505742e-107,-1.5297447759855355e-123,5.2013648862924196e-71,2.1792061525351516e-93,4.537162401604246e-102,-8.175462282946544e-145,-1.3392080182721392e-146,-1.2754347356649066e-211
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.0733084750485839e-117,6.727193797674479e-53,2.2302346353872283e-35,3.778653616305965e-86,3.768696645413887e-53,5.2168451975437354e-129,1.7373096172278516e-19,2.430219770367888e-104,1.7373096172278508e-19,1.1319881875781938e-70,7.093118767324612e-70,1.7100491929459e-109,1.9827981382135675e-110,8.033315020913983e-37,1.0877802097524815e-83,9.487924756866138e-18,2.809205888724897e-19,1.1246193168134991e-21,6.7648660170268505e-37,2.5049140787632624e-36,1.1246193167776531e-21,1.7903865840990813e-32,5.666766716739216e-40,4.1209626955239374e-44,3.3140224508688756e-74,3.531124475771828e-51,6.139514004160261e-75,2.253576521169866e-36,5.459564091391808e-53,3.0115575708564545e-103,2.1120710624294257e-27,7.087549563407437e-106,2.2024719584507244e-105,2.8246121510559802e-121,1.4668681155435675e-69,2.4080834329676953e-91,4.2733292871883223e-100,2.7340141199673777e-142,4.3537487327884504e-144,2.3732501835918553e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.530960689149557e-115,6.604798762317116e-52,1.0737619755231548e-34,3.4186934101761785e-84,4.0541918748935364e-52,1.8889236679219647e-126,3.9709934108065183e-19,2.5660554313459416e-102,3.970993410806515e-19,2.4623215644317233e-69,1.5824357776905866e-68,3.095916462874054e-107,3.58970807621707e-108,3.867695377618852e-36,4.750895251237406e-82,2.168668515855115e-17,6.421042031371192e-19,2.570558438476239e-21,3.256991783664433e-36,1.206008301494379e-35,2.570558438303656e-21,8.619940422538764e-32,5.563664988690381e-39,4.046048200441781e-43,1.4961309515639877e-72,3.466878955812622e-50,2.7716700093244853e-73,1.0850000866782349e-35,5.360232398593083e-52,5.452200264727351e-101,4.8275910018701954e-27,1.4842642623394039e-103,4.612384559348133e-103,1.1773962941128009e-118,3.190758554475687e-68,2.1786527510171363e-89,3.735866115397904e-98,2.3523407707304643e-139,3.691521843673244e-141,2.094382573776472e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.4574273140347457e-112,5.84186970838358e-51,4.689400667753002e-34,2.5873973341381256e-82,3.7265008087133044e-51,5.727708624883043e-124,8.438360997963851e-19,2.0282529583882604e-100,8.438360997963835e-19,4.564729199333499e-68,2.9637270799583375e-67,4.6912894603052434e-105,5.439539427323259e-106,1.6891241848610534e-35,1.7695467932267797e-80,4.608420596192111e-17,1.3644714316663785e-18,5.4624366819557466e-21,1.4224138801531074e-35,5.266955099348183e-35,5.462436681202032e-21,3.7645541993805827e-31,4.920998360642748e-38,3.578795153692876e-42,5.6492787995891055e-71,3.0664151863212378e-49,1.0465297920990405e-71,4.7384804335302623e-35,4.741064851882333e-51,8.261802262414427e-99,1.0258630887646548e-26,2.3853689709496102e-101,7.41258769799859e-101,3.789856380310689e-116,5.915128613594452e-67,1.6488371449701512e-87,2.788491235406931e-96,1.5254416370109767e-136,2.3757181807609555e-138,6.104680394532512e-199
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.1692788779799206e-110,4.910443489086797e-50,1.957732482890328e-33,1.797637132088144e-80,3.188099898171346e-50,1.593194167046703e-121,1.737309617227852e-18,1.4375538675923644e-98,1.737309617227845e-18,7.845603200272759e-67,5.119101503447977e-66,6.522596143400357e-103,7.562935348719636e-104,7.051760967034099e-35,6.102612690461118e-79,9.48792475686607e-17,2.8092058887248964e-18,1.124619316953088e-20,5.938297941824128e-35,2.1988500737380796e-34,1.1246193166384264e-20,1.5716270645357108e-30,4.136395104005092e-37,3.0083802703895163e-41,1.9601173586122346e-69,2.577506748084184e-48,3.63089755233261e-70,1.9782223037940787e-34,3.9851506752755495e-50,1.1486905685444164e-96,2.1120710686778503e-26,3.4106023537283745e-99,1.059852348439555e-98,1.084624982029944e-113,1.0166594764840179e-65,1.1454871155002877e-85,1.9254438371409783e-94,8.761793425787962e-134,1.3595125825067326e-135,1.3185842743721864e-194
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.1275284117505654e-107,4.025878249074064e-49,7.9979761087139e-33,1.198263223297236e-78,2.635982647613652e-49,4.249911643161398e-119,3.524256652090786e-18,9.674078509835191e-97,3.524256652090758e-18,1.300351193511799e-65,8.50546370959909e-65,8.69830651400634e-101,1.0085666560072722e-101,2.8808744483279047e-34,2.029387324618386e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706147145608e-20,2.4259884669720453e-34,8.983020018157977e-34,2.2813706134290658e-20,6.420607665595228e-30,3.391265746740251e-36,2.4667590682717824e-40,6.52880926911551e-68,2.1131957889898285e-47,1.2092401755874263e-68,8.081683588789451e-34,3.267267290810808e-49,1.531853641558304e-94,4.2844870395359414e-26,4.6108347822209637e-97,1.432827274566256e-96,2.933853887617746e-111,1.6850385239926406e-64,7.63462119950353e-84,1.2812981631774008e-92,4.748179885190983e-131,7.354004514868474e-133,2.473628332592151e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.9667329646997545e-105,3.26026058440064e-48,3.2329099198072744e-32,7.827020598607994e-77,2.1435373117458093e-48,1.1106717444644676e-116,7.098150721816655e-18,6.347516757530431e-95,7.098150721816541e-18,2.1172848245822046e-64,1.3866052511524186e-63,1.1365189389350952e-98,1.3177911170067015e-99,1.1644955132336443e-33,6.639526011894412e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.5948732112232914e-20,9.806233232103825e-34,3.6310803173318245e-33,4.594873206027114e-20,2.5953108988579265e-29,2.74633351710005e-35,1.9981429587506103e-39,2.1316344135149238e-66,1.7113207876444836e-46,3.947159342060526e-67,3.266745721387869e-33,2.6459177529083766e-48,2.0015168152694656e-92,8.629319025378926e-26,6.065347517088168e-95,1.8848203791853976e-94,7.720322061733427e-109,2.743648418590386e-63,4.98569755063681e-82,8.386161212279409e-91,2.5010626258387225e-128,3.870146876011348e-130,4.3341231733309755e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,7.702155014032864e-103,2.6241413551628374e-47,1.2999389403432844e-31,5.062375614978596e-75,1.7288404968923433e-47,2.8737821261379497e-114,1.42459388612684e-17,4.113096394342158e-93,1.4245938861267935e-17,3.4173062431099137e-63,2.239371183349021e-62,1.4702732364185296e-96,1.7047784635163646e-97,4.6823852423391785e-33,2.1613397630208143e-74,7.780098300629731e-16,2.3035488287544083e-17,9.221878408183906e-20,3.943043226242387e-33,1.4600414254145644e-32,9.221878387290293e-20,1.043561991054082e-28,2.21048587181697e-34,1.6090801698933102e-38,6.892450241649286e-65,1.3774199309951138e-45,1.2756524046072935e-65,1.313544086736145e-32,2.1296647829922805e-47,2.5892895442436215e-90,1.73189831735721e-25,7.872943727287507e-93,2.4465349718238016e-92,2.0044332249202366e-106,4.428259609154221e-62,3.2230888100899906e-80,5.460272973464893e-89,1.2992588174977102e-125,2.0095683043304406e-127,7.343767476215143e-182
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,1.9870604076540135e-100,2.105708175793681e-46,5.213337207903646e-31,3.2593914128700304e-73,1.388698705479216e-46,7.40149307274674e-112,2.854151514017192e-17,2.64871893808707e-91,2.854151514017005e-17,5.491519392567265e-62,3.5997237704362996e-61,1.8933276004323293e-94,2.195309033369848e-95,1.8778459069765608e-32,7.059790336471768e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888817877797e-19,1.5813366689806144e-32,5.855419134492901e-32,1.8475888734084981e-19,4.185141451238831e-28,1.7737720601670805e-33,1.2924708128754094e-37,2.2186801437882235e-63,1.1052928754220776e-44,4.102298669535167e-64,5.267899283446227e-32,1.708921843974114e-46,3.3343280943661447e-88,3.469831217598727e-25,1.0155360755047636e-90,3.1558012121067233e-90,5.17130727853622e-104,7.116094312048525e-61,2.0731543694697905e-78,3.5668998049515895e-87,6.705439699094281e-123,1.036901754777026e-124,1.2241086375912288e-177
