Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.4258353880363516e-120,5.482669591351367e-54,3.6121709797112864e-36,3.201288651703738e-88,2.4129663379132276e-54,1.3241042170868907e-131,6.136864488443326e-20,-1.1785186218340658e-105,6.136864488443325e-20,3.8412937060615445e-72,2.0838109778158958e-71,7.92087667000997e-112,9.184238429585699e-113,1.3011055857368598e-37,1.988856860438539e-85,3.3515101702103593e-18,9.923225939858866e-20,3.972600093772092e-22,1.0956628662674886e-37,4.057052027946889e-37,3.9726000937140354e-22,2.8997767618771353e-33,4.618420541787619e-41,3.358564288699462e-45,5.1562788280619965e-76,2.8778699339766086e-52,9.552522080632648e-77,3.649976369595166e-37,1.3949409292930195e-105,-6.484741988843643e-108,7.460670089482661e-28,4.449550128312792e-54,-2.0151481488832806e-107,-1.400998494584702e-123,2.0401512358031293e-93,4.247641352837185e-102,-7.405567583443148e-145,-1.2130929292893333e-146,-1.0935559031866372e-211
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,9.829766793604055e-118,6.509025338872705e-53,2.181751273704316e-35,3.537537539591255e-86,3.646474697687961e-53,4.7777850457317855e-129,1.7183220567641317e-19,2.2751477013363518e-104,1.718322056764131e-19,1.0833062765913288e-70,6.551835125995789e-70,1.5834338312160793e-109,1.8359879151259985e-110,7.858677737850635e-37,1.0296194085631716e-83,9.384228476589003e-18,2.7785032631604824e-19,1.1123280262656034e-21,6.617803710897468e-37,2.4504594248771657e-36,1.112328026230537e-21,1.751465137224862e-32,5.482988787118986e-40,3.987315801085914e-44,3.136837921031189e-74,3.4166071884259617e-51,5.81126526112628e-75,2.2045857272314807e-36,2.788576002386412e-103,6.562773623769448e-106,2.0889876254767026e-27,5.2825059113197705e-53,2.0393966555911522e-105,2.5868871263942525e-121,2.2544238812345101e-91,4.0006381674518356e-100,2.476548001713983e-142,3.943749829314858e-144,2.0348210985982353e-208
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.14962526126616e-115,6.3905996757422725e-52,1.0504193238380895e-34,3.200545882947243e-84,3.922711079391232e-52,1.729947779928103e-126,3.92759327260373e-19,2.4023157022819573e-102,3.927593272603726e-19,2.356427773298275e-69,1.461678375007638e-68,2.866688325738216e-107,3.3239185741293232e-108,3.783615043322788e-36,4.4968645075735453e-82,2.1449665089346273e-17,6.350864601509674e-19,2.542464060080062e-21,3.186187613068607e-36,1.1797907297228227e-35,2.5424640599112307e-21,8.432550419304802e-32,5.383230735224706e-39,3.914830195285331e-43,1.416139930139916e-72,3.3544452037508224e-50,2.6234828416556686e-73,1.0614131282722748e-35,5.04850794131962e-101,1.3743662258977807e-103,4.774828860219807e-27,5.186395626420538e-52,4.2708739406674803e-103,1.0783040827427395e-118,2.0396331477727622e-89,3.497462011592921e-98,2.130817042645759e-139,3.3438852689976765e-141,1.795720325321258e-203
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.3347666424976517e-112,5.652413042032154e-51,4.587457174593154e-34,2.4222941755095443e-82,3.605647305379066e-51,5.245650587415814e-124,8.346135704282925e-19,1.8988303488396234e-100,8.346135704282909e-19,4.368419956861737e-68,2.7375618292296504e-67,4.343935129074425e-105,5.036782872655704e-106,1.6524040938858111e-35,1.674919602032362e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736127859659e-21,1.3914918380545517e-35,5.152456075449847e-35,5.40273612712233e-21,3.682716069875614e-31,4.761406320367211e-38,3.462729525858492e-42,5.347236883728377e-71,2.9669688054186644e-49,9.905771414022131e-72,4.635469989323864e-35,7.650078593708985e-99,2.208750517146753e-101,1.0146511336450942e-26,4.5873081936895614e-51,6.863741882312013e-101,3.470892743457059e-116,1.5436250209637514e-87,2.610529296662479e-96,1.381787876609118e-136,2.1519922457362226e-138,5.234142266836206e-199
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,3.818379558887322e-110,4.751193745392112e-50,1.9151730807667574e-33,1.682927861215159e-80,3.0847071816542724e-50,1.4591060658662508e-121,1.718322056764132e-18,1.345823705355538e-98,1.7183220567641252e-18,7.508197769644024e-67,4.7284572761669507e-66,6.039643472945921e-103,7.002952829055135e-104,6.898461815576823e-35,5.776208494557829e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280264021576e-20,5.809204498003786e-35,2.1510489851790086e-34,1.1123280260943367e-20,1.5374612632097898e-30,4.00224840082663e-37,2.9108120615340916e-41,1.8553173226867785e-69,2.493916072041462e-48,3.436771843698693e-70,1.93521747110356e-34,1.0636380579480542e-96,3.1580710486961248e-99,2.0889876315892918e-26,3.8559089364271524e-50,9.813776776307027e-99,9.933396164302206e-114,1.0723937051594288e-85,1.8025416991979415e-94,7.936673287071017e-134,1.2314838560951337e-135,1.1305513668037776e-194
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.0326307818043414e-107,3.895315687719383e-49,7.824107060235565e-33,1.1217991930721002e-78,2.550495550177205e-49,3.8922209203716403e-119,3.485739029435811e-18,9.056776569911055e-97,3.485739029435783e-18,1.2444287177985577e-65,7.856402483480532e-65,8.054247033120009e-101,9.338881061240045e-102,2.818246742929461e-34,1.920800691062255e-77,1.9036577766794548e-16,5.636392333839833e-18,2.2564368538756294e-20,2.37324957880871e-34,8.787736974288686e-34,2.2564368526180805e-20,6.281029274359905e-30,3.281284212086573e-36,2.3867535460408284e-40,6.179730340501454e-68,2.0446631011218942e-47,1.1445882290263263e-68,7.905994815125502e-34,1.4184287053848015e-94,4.269428945962626e-97,4.237660638269567e-26,3.161307099756079e-49,1.3267346431884077e-96,2.6869281817567965e-111,7.147456856790324e-84,1.199485634791815e-92,4.3010261221920263e-131,6.6614504990696184e-133,2.1208819043444505e-190
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.717032754174434e-105,3.1545276371371986e-48,3.1626292672413946e-32,7.327540307669078e-77,2.0740206238442402e-48,1.0171901786209346e-116,7.02057297477917e-18,5.9424823757910585e-95,7.020572974779059e-18,2.0262295698389605e-64,1.280791889864085e-63,1.0523634752031044e-98,1.2202130487898012e-99,1.13918039338073e-33,6.283985396846813e-76,3.834127634720529e-16,1.1352170475198528e-17,4.5446545097869286e-20,9.593054180394856e-34,3.552143788697179e-33,4.544654504703713e-20,2.5388911260873684e-29,2.6572676794734536e-35,1.9333310168117652e-39,2.0176559074644666e-66,1.655821238053775e-46,3.7361247477264346e-67,3.19572951005771e-33,1.8533111233240585e-92,5.616228387786718e-95,8.535006694797639e-26,2.5601084347448068e-48,1.7452555993126765e-94,7.070527953629302e-109,4.6675607614551596e-82,7.850348468125218e-91,2.265522238107069e-128,3.5056713810037503e-130,3.716058610870752e-186
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,7.053852291724406e-103,2.53903828062187e-47,1.2716793964432483e-31,4.739295619970348e-75,1.6727727696848658e-47,2.6318915025748233e-114,1.40902408654659e-17,3.850640142747475e-93,1.4090240865465445e-17,3.270342694847967e-63,2.0684823223185683e-62,1.3613971730135583e-96,1.5785369163764175e-97,4.5805942588099934e-33,2.0454226448636515e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089825466959e-20,3.8573248401809474e-33,1.428301394429709e-32,9.121089805027556e-20,1.0208758844601236e-28,2.138798034694664e-34,1.556879438058662e-38,6.523875973090246e-65,1.3327490617115024e-45,1.2074497525830617e-65,1.284988780506261e-32,2.397548549711591e-90,7.2899391603816025e-93,1.712969898052388e-25,2.060597965221267e-47,2.26536498981768e-92,1.8357169483936993e-106,3.017423915646364e-80,5.110957875235217e-89,1.1768934098664219e-125,1.8203052269530456e-127,6.296493446047075e-182
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,1.8197870169303328e-100,2.037418318039131e-46,5.10000377654941e-31,3.0513452272695416e-73,1.3436620578925445e-46,6.7784266681827785e-112,2.822957664683938e-17,2.479704459123381e-91,2.822957664683755e-17,5.255352915855855e-62,3.325024917626702e-61,1.753105176482652e-94,2.032721452698063e-95,1.8370231698683168e-32,6.680015649462763e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960472256803e-19,1.546959740693232e-32,5.728127414197238e-32,1.8273960390285568e-19,4.094160305088636e-28,1.716247242177562e-33,1.2505277374031299e-37,2.1000136234503443e-63,1.0694473106042882e-44,3.882969690687278e-64,5.153379733834256e-32,3.0873832088103576e-88,9.403239322014455e-91,3.431908424265674e-25,1.653500051090797e-46,2.922077780085908e-90,4.73598015001543e-104,1.9408666905931312e-78,3.3381440581169405e-87,6.07385075359913e-123,9.392353633074595e-125,1.0495348671632018e-177
