Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C4H7X(141),C2H2X(348),C2H6(343),C4H6(54),C4H7X(140),C4H7X(143),C4H9X(153),C4H9X(171),C4H7X(142),SX(175),SX(150),C4H5X(384),SX(176),SX(168),C4H5X(374),C4H7X(523),C4H7X(145),SX(524),SX(782),SX(174),C4H7X(146),SX(155),SX(178),SX(152),SX(154),SX(177),SX(157),SX(167),SX(172),SX(156),C6H10(477),C6H9X(433),C6H8(701)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25818160175427e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,4.9277028886605967e-75,3.8430936206804596e-104,4.9493270774547264e-42,1.8256172038132297e-65,1.7318838963290144e-99,6.4560909057255203e-196,-6.9106634329241273e-150,6.9705316004456852e-118,6.7269933070944019e-194,2.5248762345553168e-18,2.5248762345553168e-18,4.9493270774547264e-42,1.4292066484202778e-40,2.3764690371867945e-79,2.7611045537655173e-60,1.988467829214721e-60,6.5654547567169514e-93,9.7017977294799054e-66,3.8978455795530698e-84,3.7964976138402769e-84,-3.8609316940542588e-116,1.3159230426682557e-107,7.4933976799576351e-78,3.8978455795530688e-84,1.286977260845664e-116,3.7466988399788991e-78,7.2484924863602834e-108,1.5361107109643544e-121,7.4419918816263366e-108,2.9899340274559709e-126,1.5660190601454519e-102,5.1203690365478444e-122,9.7017977294799054e-66,7.5829915005841644e-136,3.8978455795530698e-84,1.8840544479732656e-117,3.7914957502921532e-136,1.8840544191811437e-117,5.1706279259251366e-135,2.9899340252497324e-126,9.4202720959057184e-118,4.3642433455342405e-128,1.4687532645766025e-101,6.979707716597762e-121
1.1922908484911956e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.5493485318938021e-73,1.5858633432359303e-102,2.9893935547826559e-41,1.1026727911031907e-64,1.0535894187524571e-97,2.5613133012280613e-193,1.2083081474538872e-147,7.9284761805223099e-116,2.6687879223405676e-191,7.0696534567548861e-18,7.0696534567548861e-18,2.9893935547826559e-41,8.6324081564584808e-40,7.4719984079666806e-78,3.2779926020583375e-59,2.360709006843718e-59,3.7813655498469944e-91,1.1517974264438549e-64,8.7193246476370401e-83,8.4926133138196479e-83,2.0008076161458501e-114,5.4301933186605448e-106,1.6762476186980802e-76,8.7193246476370401e-83,1.3470891045922694e-114,8.3812380934906544e-77,2.9911107242495213e-106,1.1563458018906209e-119,3.0709587916104511e-106,2.2507477100661482e-124,6.4622215002238978e-101,3.8544860063020684e-120,1.1517974264438549e-64,1.5601019051821902e-133,8.7193246476370401e-83,2.0819324678354882e-115,7.8005095259110476e-134,2.0819324456172408e-115,9.7935518880988133e-133,2.2507477059494908e-124,1.0409662228086204e-115,3.2852934864397006e-126,8.9358961920593657e-100,7.7134157297538522e-119
2.7252362251227327e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,3.456511338132605e-72,6.2735176775770481e-101,1.4392643141238348e-40,5.3088948286888688e-64,4.7564062639265911e-96,2.2999457208931376e-190,5.002481618737306e-145,7.1776193502087584e-114,2.3964531629205543e-188,1.6159207901154026e-17,1.6159207901154026e-17,1.4392643141238348e-40,4.1561329336061688e-39,1.6669617380515259e-76,3.2183566395450146e-58,2.3177581017326807e-58,1.6957230211730252e-89,1.1308415433481782e-63,1.7227916171861122e-81,1.6779972827794614e-81,2.0999289816318841e-112,2.1481304897353021e-104,3.3119871915848586e-75,1.7227916171861131e-81,1.2101107856631429e-112,1.655993595792486e-75,1.1832536603174622e-104,9.1428785518512718e-118,1.2148407617938881e-104,1.7795985411402886e-122,2.5563905610776077e-99,3.0476261839504222e-118,1.1308415433481782e-63,2.8265799619619025e-131,1.7227916171861122e-81,1.8835759535378457e-113,1.4132899809809665e-131,1.8835759293232709e-113,1.7600433910908339e-130,1.7795985337535069e-122,9.4178796466163547e-114,2.5975827994448829e-124,4.0341012257626803e-98,6.9785418533870092e-117
5.7911269783858074e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,6.4736631962133072e-71,2.238973897934055e-99,6.2856453883675036e-40,2.3185338488427966e-63,1.7959285047247512e-94,1.5312716656000031e-187,1.6043321134787564e-142,5.4399967269405242e-112,1.5955249695600347e-185,3.4338316789952297e-17,3.4338316789952297e-17,6.2856453883675036e-40,1.8150924434937527e-38,3.1220348488612411e-75,2.8466016151844045e-57,2.05003079320721e-57,6.3797338166015143e-88,1.0002165387184606e-62,3.0656156343797555e-80,2.9859065264666522e-80,1.6765704980348234e-110,7.6665252350417008e-103,5.8935077940268333e-74,3.065615634379757e-80,9.1251277965229064e-111,2.9467538970135231e-74,4.222948289823296e-103,6.534947290320237e-116,4.3356804119656939e-103,1.2719826324164338e-120,9.1235763304461696e-98,2.1783157634400784e-116,1.0002165387184606e-62,4.2892095757714737e-129,3.0656156343797555e-80,1.4255186814510634e-111,2.1446047878857589e-129,1.4255186616420268e-111,2.6572353578846419e-128,1.271982621275094e-120,7.1275933082101341e-112,1.85664360663023e-122,1.5232007934731054e-96,5.2814690578197863e-115
1.1922908484911957e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,1.1181643285058614e-69,7.5649867677372968e-98,2.6241332164664948e-39,9.6794224146176929e-63,6.2309102773387426e-93,8.894378962382179e-185,4.5820992782759969e-140,3.7826364353144365e-110,9.2675937536202297e-183,7.0696534567548821e-17,7.0696534567548821e-17,2.6241332164664948e-39,7.5776536499243072e-38,5.3925388061474278e-74,2.3927408181979975e-56,1.7231744053122094e-56,2.2090992697888956e-86,8.4074226836036133e-62,5.1706088471824162e-79,5.0361678428120226e-79,1.1942429317531705e-108,2.5903456726574542e-101,9.9402651440096565e-73,5.1706088471824168e-79,6.3269307713544479e-109,4.9701325720050123e-73,1.4268387995287575e-101,4.4195880168606402e-114,1.4649284361491286e-101,8.602424796846846e-119,3.0826502389309808e-96,1.4731960056202129e-114,8.4074226836036133e-62,5.9684843288114607e-127,5.1706088471824162e-79,9.9034249278290855e-110,2.9842421644057603e-127,9.9034247852619754e-110,3.6869676484250273e-126,8.602424642344193e-119,4.9517123926309877e-110,1.2556490194796005e-120,5.2846926085382268e-95,3.6691660113748112e-113
2.4186471497964253e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837714,0.66999999999999993,1.857846755373512e-68,2.4872021371141831e-96,1.072044042285002e-38,3.954359888147563e-62,2.0751532736130881e-91,4.8443879651822772e-182,1.2380148453855871e-137,2.5222744281871814e-108,5.0476621061592192e-180,1.4341297012274173e-16,1.4341297012274173e-16,1.072044042285002e-38,3.0957187687442521e-37,8.9597838786510839e-73,1.9617137407601397e-55,1.4127624872873887e-55,7.3498124171663101e-85,6.8929130711015984e-61,8.4927405578633658e-78,8.2719209905519462e-78,8.0568024434471593e-107,8.5164902840806553e-100,1.6326917614186523e-71,8.4927405578633649e-78,4.2125689971169159e-107,8.1634588070935663e-72,4.6911339028395823e-100,2.9073526164691794e-112,4.8163642973001741e-100,5.6589624858649975e-117,1.0135079541636728e-94,9.6911753882305949e-113,6.8929130711015984e-61,7.9620936615194749e-125,8.4927405578633658e-78,6.6005907751937048e-108,3.9810468307597763e-125,6.6005906785570635e-108,4.911166011786388e-124,5.6589622801216291e-117,3.3002953392785318e-108,8.2600792988107998e-119,1.7600235190808349e-93,2.4454839397546697e-111
4.871359752406885e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771372,0.66999999999999982,3.0287591075682719e-67,8.0671805129093438e-95,4.3333734240113186e-38,1.598415491564229e-61,6.7736459090467217e-90,2.557423445139855e-179,3.2553092680174893e-135,1.6475264750599388e-106,2.6647348449826083e-177,2.8884584123312736e-16,2.8884584123312736e-16,4.3333734240113186e-38,1.2513390226110719e-36,1.4606709054889584e-71,1.5886467497306511e-54,1.1440916905463118e-54,2.397880184389576e-83,5.5820597158177346e-60,1.3767098421331287e-76,1.340914099018031e-76,5.2929904008763166e-105,2.7623034990880528e-98,2.6466638838946563e-70,1.3767098421331286e-76,2.7495481218895512e-105,1.3233319419473778e-70,1.5215581039899908e-98,1.8863895748947258e-110,1.5621762840513268e-98,3.671728102903125e-115,3.2872887553057157e-93,6.2879652496490851e-111,5.5820597158177324e-60,1.0403182559638616e-122,1.3767098421331284e-76,4.3104385797330468e-106,5.2015912798193584e-123,4.3104385161031392e-106,6.4120281338589602e-122,3.6717278343234966e-115,2.1552192580515696e-106,5.3594221201153557e-117,5.7450102831827383e-92,1.5969947817973498e-109
9.776784957627803e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771317,0.66999999999999948,4.8914540489483805e-66,2.5989496615603001e-93,1.7424303949262366e-37,6.4271583907123287e-61,2.1891253109762496e-88,1.3294948552027894e-176,8.4454854934176211e-133,1.0651974071024849e-104,1.3852814533379868e-174,5.7971158345389713e-16,5.7971158345389713e-16,1.7424303949262366e-37,5.0315791740294807e-36,2.3589874140145664e-70,1.2786811539104555e-53,9.2086452627923284e-54,7.7475544904211188e-82,4.4929272875099248e-59,2.217148759155575e-75,2.1595010126821079e-75,3.4319338613814472e-103,8.8991305430014639e-97,4.2623707377834797e-69,2.2171487591555745e-75,1.7770326729794516e-103,2.1311853688918201e-69,4.9019025460251072e-97,1.2155821069090901e-108,5.0327594352463919e-97,2.3660475199846785e-113,1.0590438610343739e-91,4.0519403563636316e-109,4.4929272875099239e-59,1.345329356963865e-120,2.2171487591555745e-75,2.786558979758418e-104,6.7266467848193893e-121,2.7865589384556997e-104,8.2888248277035571e-120,2.3660471728175125e-113,1.3932794692278499e-104,3.4535918588641025e-115,1.8566881120535976e-90,1.032405453714283e-107
1.9587635368069642e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.273322825837712,0.66999999999999893,7.8628695232788e-65,8.344682314133406e-92,6.9879252046957831e-37,2.5775779763604358e-60,7.0398989291778805e-87,6.8589161910821103e-174,2.1764846771972474e-130,6.8519761508273224e-103,7.146721442601143e-172,1.1614430678954316e-15,1.1614430678954316e-15,6.9879252046957815e-37,2.017888291664665e-35,3.792003371153362e-69,1.0260611137089734e-52,7.3893578831691673e-53,2.4911786110971332e-80,3.6052911935495873e-58,3.559014782826133e-74,3.4664780064484922e-74,2.210764530236951e-101,2.8573253842869165e-95,6.8420491227383588e-68,3.5590147828261306e-74,1.1428762261000961e-101,3.4210245613693083e-68,1.5738983840301249e-95,7.8063806136565832e-107,1.6159137942817191e-95,1.5194589185767404e-111,3.40036773615673e-90,2.6021268712188607e-107,3.6052911935495866e-58,1.7308593347679341e-118,3.5590147828261322e-74,1.7923733557082919e-102,8.6542966738397552e-119,1.7923733290876043e-102,1.0662118935102558e-117,1.5194584720235617e-111,8.9618666454380213e-103,2.2178731748739724e-113,5.9708308152156623e-89,6.6406491719311277e-106
