Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CH4OX(63),CHOX(53),C2H6X(52),acetyl(44),CH2(T)(34),C2H4X(222),CH2O2(186),C2H4X(70),CHO2X(213),CH2OX(54),CH2OH(40)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,6.229704167735015e-54,3.933252852244161e-36,4.95460450415928e-82,2.739740487576494e-54,2.4481362469916093e-64,6.40380821026975e-20,-1.5256938306516423e-105,6.403808210269749e-20,4.587895081534527e-72,1.171417811363361e-70,1.6853965674294704e-84,1.483266168018461e-106,1.4167594155801635e-37,2.4786044087286781e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401799993458e-22,1.1930551212987475e-37,4.417678874875279e-37,4.1454017999026407e-22,4.53775490912213e-33,1.083813700536417e-40,1.132678814845306e-44,1.8935338466282666e-75,5.055818251106216e-54,3.2699906602306365e-52,7.785197223024305e-28,3.974418713558856e-37,5.722570447996919e-77,8.267191733465875e-55,2.2528473129986353e-99,2.442755279360014e-87,8.519574045625177e-83,5.8976179574809325e-71,7.870132699099033e-118,1.917737039171731e-40,1.275343706628763e-93,2.3774435158821384e-56,5.523868272790731e-102,-2.278224537381634e-122,5.273682577647314e-81,2.7992242691993854e-85
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,7.395904787959292e-53,2.3756847293612174e-35,2.0445355167308567e-80,4.140295826936503e-53,5.476382811404491e-63,1.7930662988755308e-19,2.962450797723081e-104,1.7930662988755298e-19,1.2950482172316385e-70,3.683125018195946e-69,6.954836067534319e-83,1.1165679557336695e-104,8.557226870104344e-37,1.2842337739459417e-83,9.792427302019744e-18,2.899363680328186e-19,1.160712504012895e-21,7.206052932634788e-37,2.6682780404215386e-36,1.1607125039580408e-21,2.740803901866187e-32,1.2867035973934155e-39,1.3447231989253833e-43,1.1519348655195275e-73,6.002267427681804e-53,3.8821329217110756e-51,2.1798552229058346e-27,2.400548902985005e-36,3.481318790859265e-75,9.81481002595482e-54,1.6958905778924336e-97,1.4069019689936597e-85,3.515626054664285e-81,1.6632226267148493e-69,1.644687938183849e-115,1.1583131716597257e-39,1.4092902716701932e-91,2.8225009163389124e-55,5.20696386806473e-100,7.334492024586452e-120,2.1761998634949613e-79,1.1556154957216258e-83
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,7.261343177987204e-52,1.1437899393412164e-34,8.088012449104315e-79,4.45394131825998e-52,1.0820409379788436e-61,4.098437254572641e-19,3.1278622759316185e-102,4.098437254572637e-19,2.817655409873641e-69,8.216849306478698e-68,2.751263933386292e-81,8.828403167572089e-103,4.1199363805073484e-36,5.609528874051608e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571520989003e-21,3.469404292722283e-36,1.2846610168090357e-35,2.6530571518348e-21,1.3195790327073503e-31,1.2632931629066534e-38,1.3202718473999239e-42,5.20044142415954e-72,5.893061753391762e-52,3.811501144209144e-50,4.982526225948761e-27,1.1557609618960987e-35,1.571633640278963e-73,9.636238684478637e-53,1.3408951665471725e-95,6.309138941820541e-84,1.3907466793261258e-79,3.6178725065464977e-68,2.976499494128435e-113,5.5767793099113965e-39,1.2750198105971837e-89,2.771148082391497e-54,4.552613349730902e-98,3.830240373051249e-117,8.60883008331858e-78,4.5724465561991363e-82
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,6.422575808926159e-51,4.995231224739091e-34,2.8865778343430392e-77,4.0939394180090765e-51,1.92543396221889e-60,8.709179165966862e-19,2.472542296358743e-100,8.709179165966845e-19,5.2239485889403064e-68,1.5389249374054781e-66,9.819065184330414e-80,6.310224718205257e-101,1.7992844577870485e-35,2.089020269038466e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448506535e-21,1.5151800040344496e-35,5.610452171043083e-35,5.63774644735314e-21,5.7629477543097544e-31,1.117368391183992e-37,1.1677915346629128e-41,1.9636308263153737e-70,5.212346383955404e-51,3.37122963542443e-49,1.058786823937909e-26,5.047511766149305e-35,5.934189036855647e-72,8.523143989430694e-52,9.584235862113845e-94,2.3736557540626995e-82,4.96347592458406e-78,6.706925898398969e-67,4.5195942153109524e-111,2.4355260397481015e-38,9.649541267127034e-88,2.451048999720335e-53,3.397581980793123e-96,1.351362986525151e-114,3.0724301919259426e-76,1.6320289194117902e-80
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,0.0,5.398561956779261e-50,2.0854107544099422e-33,9.753253759824718e-76,3.502451364343211e-50,3.247525555943458e-59,1.793066298875531e-18,1.7525313339447484e-98,1.7930662988755233e-18,8.979042810616022e-67,2.658110125555313e-65,3.3176399537954883e-78,4.267677344578079e-99,7.511658421408193e-35,7.200990143915858e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125042264307e-20,6.325578252991311e-35,2.3422533394152044e-34,1.1607125037449105e-20,2.4059167705688988e-30,9.392152825346922e-37,9.816429513714588e-41,6.81304672740411e-69,4.381291202944584e-50,2.83372170306011e-48,2.1798552295617645e-26,2.107236801865507e-34,2.0588454662389043e-70,7.164216080966405e-51,6.481928628472336e-92,8.219216260962462e-81,1.677046207470303e-76,1.1527491992379738e-65,6.291817448266426e-109,1.0167841781688552e-37,6.703769731608769e-86,2.0602542080312827e-52,2.34492717459705e-94,4.0322009697853587e-112,1.038104643224866e-74,5.514510018515526e-79
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,0.0,4.426067259795229e-49,8.51958378827873e-33,3.2067614329303115e-74,2.8958945188067656e-49,5.334069660366089e-58,3.637363063433219e-18,1.1794005787137807e-96,3.63736306343319e-18,1.4882445233692998e-65,4.4164897283175755e-64,1.0907672667259364e-76,2.8075118933892453e-97,3.06875756452509e-34,2.392232551316883e-77,1.9864638241239738e-16,5.88156632295146e-18,2.354588223354985e-20,2.5842051148239316e-34,9.568869149765116e-34,2.3545882213878175e-20,9.828951173660824e-30,7.70025143762186e-36,8.048820309376511e-40,2.2692283200139214e-67,3.592047234311498e-49,2.323256361183184e-47,4.4219920525606353e-26,8.608749909780244e-34,6.856812463999728e-69,5.87365718671547e-50,4.264167659942172e-90,2.734585020666521e-79,5.513760177151681e-75,1.9105972591101824e-64,8.395558190813181e-107,4.153895136327564e-37,4.4680324923182155e-84,1.6891206077304354e-51,1.5588861876968407e-92,1.1126302238068215e-109,3.413060428605169e-73,1.813091076372053e-77
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,0.0,3.5843440209339846e-48,3.4437523100567346e-32,1.0401735038919513e-72,2.354893328893333e-48,8.646754131366438e-57,7.325956592548597e-18,7.738568730758393e-95,7.325956592548479e-18,2.4232482222218992e-64,7.199992919353977e-63,3.537876417122161e-75,1.821727870878805e-95,1.240440872793889e-33,7.810671634944382e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339663120095e-20,1.044577025249094e-33,3.8678899032351655e-33,4.7423396551684874e-20,3.9730160907507984e-29,6.235858561904117e-35,6.519306805677676e-39,7.408440323367215e-66,2.908932979928671e-48,1.881433402214909e-46,8.906265745563011e-26,3.479794355377482e-33,2.2381761316767006e-67,4.7566398743813824e-49,2.766917244373803e-88,8.92159807493221e-78,1.7883743538787894e-73,3.110912346443779e-63,1.097148745455453e-104,1.6790708291727542e-36,2.9177941974473344e-82,1.3678932285575878e-50,1.0182333190751594e-90,2.956354460749307e-107,1.1070176351018897e-71,5.880781927288018e-76
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.8849918995880615e-47,1.384717920198142e-31,3.351496642002431e-71,1.8993067816199167e-47,1.3925322432500859e-55,1.4703143650779354e-17,5.014506680640605e-93,1.4703143650778873e-17,3.911154914084602e-63,1.162800778962628e-61,1.1397733270449527e-73,1.174066981286428e-93,4.9877581929388166e-33,2.532261597050442e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842548682344e-20,4.200198275976413e-33,1.5552615183686535e-32,9.517842516709252e-20,1.5975297829750368e-28,5.019153920490663e-34,5.249178164668888e-38,2.395120909146384e-64,2.3413623328425033e-47,1.5143415510409223e-45,1.7874813319586312e-25,1.399210005425106e-32,7.233387783012213e-66,3.828557588788676e-48,1.7832225262553457e-86,2.8825696807988815e-76,5.761482703934373e-72,5.021025069407174e-62,1.4190870416287633e-102,6.751469955885835e-36,1.886256702719714e-80,1.1009987773426488e-49,6.603077415136479e-89,7.711657728292109e-105,3.566402622067418e-70,1.894581734029613e-74
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.3150243100321226e-46,5.553340295679474e-31,1.0763775789215658e-69,1.525626495727521e-46,2.2353199108056944e-54,2.945751776724088e-17,3.2292113846287797e-91,2.9457517767238957e-17,6.285139067712849e-62,1.8691682889378785e-60,3.659568708042342e-72,7.541735811591204e-92,2.0003141183109907e-32,8.205507406357662e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848343935082e-19,1.6844673668182353e-32,6.237294295376056e-32,1.9068848215708488e-19,6.406788784671853e-28,4.027542797019036e-33,4.215140623653521e-37,7.707759023353207e-63,1.8787958168866334e-46,1.2151641548059476e-44,3.58119092197071e-25,5.611457932276577e-32,2.3261422116624286e-64,3.0721763501778335e-47,1.1454706925931422e-84,9.268725934456188e-75,1.8498890204134714e-70,8.068652493459799e-61,1.8262822446432933e-100,2.7076414191844856e-35,1.2132764227024927e-78,8.834810617047975e-49,4.279346500303173e-87,1.9937699012494818e-102,1.1450957068661876e-68,6.083114356117931e-73
