Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),C2H6X(52),C2H4X(215),CHO2X(213),C2H4X(70),S(216),HOCO(73)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.181367588000227e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-2.0847752620783692e-119,6.039975259040535e-54,3.852982385758027e-36,5.583453818145422e-88,2.6563002553669024e-54,2.4633662422434e-131,6.338126389779387e-20,-1.4292408780861504e-105,6.338126389779387e-20,4.36734778201134e-72,6.624277236124544e-71,1.4268085604978555e-111,1.6543812710279303e-112,1.3878459581193303e-37,2.335253549321555e-85,3.461424819698535e-18,1.0248663681527157e-19,4.102883734500195e-22,1.1687070575970962e-37,4.327522163143183e-37,4.1028837344112298e-22,4.445147667168381e-33,1.0508055859536898e-40,1.0981824218488191e-44,1.7983985346955528e-75,4.901840653847419e-54,3.170401379057e-52,3.893308127567936e-37,5.435056226321753e-77,7.705346935541175e-28,2.5127441597971073e-105,8.015410072038127e-55,-7.496960962764452e-107,-1.6798320133615142e-107,1.3671910795922586e-87,-2.6064205123409542e-123,5.659355178103039e-71,1.1988441146425465e-93,-1.0157604852660842e-122,5.151013820298012e-102,-2.4690730321126858e-211,-7.518485532520976e-137
2.0107829246400634e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.776895557159923e-117,7.170658627556157e-53,2.3272013674024105e-35,6.1699024963959564e-86,4.0142009455875286e-53,8.88858399334793e-129,1.7746753891382287e-19,2.7591708066517493e-104,1.774675389138228e-19,1.231661951996086e-70,2.0827787524004398e-69,2.852275880575081e-109,3.3072073768433263e-110,8.382589587040823e-37,1.2088707820100513e-83,9.691989495155894e-18,2.869625830827604e-19,1.1488074456744806e-21,7.058990627867227e-37,2.6138233865354477e-36,1.1488074456207457e-21,2.684869129652238e-32,1.247516364887287e-39,1.3037688019994914e-43,1.0940590632418729e-73,5.819465224209971e-53,3.76390052670237e-51,2.3515581090466276e-36,3.3064098634592755e-75,2.1574971424011904e-27,5.023126268969455e-103,9.515894837508352e-54,7.587157623151982e-105,1.7000422343053594e-105,7.874320620051149e-86,4.812640730316787e-121,1.5960287097840536e-69,1.324756094804403e-91,3.270128420996961e-120,4.85117662054806e-100,4.5942843325335155e-208,4.3493691582076774e-134
4.5960752563201454e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.5944056113400333e-114,7.040195162009684e-52,1.1204472873852767e-34,5.582123776305905e-84,4.318294198775e-52,3.21837863961292e-126,4.056400889458808e-19,2.913392984510785e-102,4.0564008894588043e-19,2.679133774193984e-69,4.646564823088245e-68,5.1638100016466956e-107,5.987425917091076e-108,4.03585604621112e-36,5.279074724010569e-82,2.2153118846070593e-17,6.559144756177379e-19,2.625845590181107e-21,3.3986001234635013e-36,1.258443445037485e-35,2.6258455899223964e-21,1.2926488496363743e-31,1.2248189080411312e-38,1.280061986325835e-42,4.939158980099226e-72,5.713585466007727e-52,3.695419876835128e-50,1.1321740034901464e-35,1.4926713939730074e-73,4.931422041893984e-27,9.093955407259088e-101,9.342761979920187e-53,1.5888844771940811e-102,3.5601879527736534e-103,3.531175871897976e-84,2.0060667613579517e-118,3.4717110600325303e-68,1.1985396478148553e-89,1.7077360640064326e-117,4.240489665607517e-98,4.054422633080994e-203,4.554882661972746e-131
9.766659919680309e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.128514416993567e-112,6.226972893211709e-51,4.89328772918339e-34,4.2247264871125075e-82,3.9692563452475435e-51,9.7588767185783e-124,8.619851890099967e-19,2.3027943464236974e-100,8.619851890099952e-19,4.966662496479573e-68,8.702501668046871e-67,7.824731246350919e-105,9.072758030147603e-106,1.7625643668116605e-35,1.965766460164907e-80,4.707537754789992e-17,1.393818260687693e-18,5.579921879425176e-21,1.4842579631184942e-35,5.495953147144798e-35,5.579921878295319e-21,5.6453365868832905e-31,1.0833383527072029e-37,1.1322253160049556e-41,1.864972961953857e-70,5.053601640245199e-51,3.2685570675058056e-49,4.944501321942981e-35,5.636042652143044e-72,1.0479271848074156e-26,1.3780088152919534e-98,8.263567167768783e-52,2.5534820302068206e-100,5.721546211489677e-101,1.3285166176099625e-82,6.457161388310974e-116,6.435967209463941e-67,9.07072792646174e-88,6.025133093187778e-115,3.1643343956312355e-96,1.1817679266980668e-198,3.215539210995522e-128
2.0107829246400635e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.4670939666568708e-109,5.234145920154847e-50,2.0428513502725143e-33,2.935146794930073e-80,3.395782370564673e-50,2.7144384122808624e-121,1.7746753891382284e-18,1.6321390807256987e-98,1.774675389138222e-18,8.536423843691284e-67,1.5031407471156535e-65,1.0879026726150747e-102,1.2614206671389435e-103,7.35835926994969e-35,6.775804940708567e-79,9.691989495155825e-17,2.869625830827603e-18,1.148807445883658e-20,6.196484819111436e-35,2.2944522508561765e-34,1.1488074454119647e-20,2.3568164377543314e-30,9.106109918720483e-37,9.517456319800809e-41,6.470738818123624e-69,4.247856680728598e-50,2.7474192207066603e-48,2.0642319691750516e-34,1.9554046579707403e-70,2.1574971489212853e-26,1.9158989948977784e-96,6.946026121686304e-51,3.650905755392903e-98,8.180525942018277e-99,4.600231254178613e-81,1.8479526193463917e-113,1.10617832363371e-65,6.301654114779915e-86,1.7977802489255108e-112,2.183840539353051e-94,2.5525230723137714e-194,1.9194036505368364e-125
4.079016789984129e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.9674284190866006e-107,4.291269059361171e-49,8.345714723289593e-33,1.9564316393011844e-78,2.8076985319744937e-49,7.24062285748449e-119,3.600055789394693e-18,1.098354779036092e-96,3.600055789394663e-18,1.4148496489200413e-65,2.49749083234809e-64,1.450737953761104e-100,1.6821273479052672e-101,3.006129859125643e-34,2.2509271202412254e-77,1.9660892975887364e-16,5.82124097110742e-18,2.330437962135245e-20,2.531466234810391e-34,9.37358610589619e-34,2.3304379602082238e-20,9.628360410792716e-30,7.465736297886728e-36,7.803675002195977e-40,2.1552135393635504e-67,3.4826495511602574e-49,2.2525003678219604e-47,8.43306113611682e-34,6.512311536619162e-69,4.3766370886603634e-26,2.554886073323334e-94,5.694771875621368e-50,4.935528746310996e-96,1.105896006127266e-96,1.530525913912974e-79,4.99843893813305e-111,1.8334094481424167e-64,4.200024251074159e-84,4.960722205952063e-110,1.451761218164399e-92,4.788299039836794e-190,1.0594098190428187e-122
8.215484520672259e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,1.0438288901706157e-104,3.475180943325578e-48,3.3734716441199927e-32,1.2778451697392462e-76,2.2831738171232505e-48,1.8921311742352998e-116,7.250816589907621e-18,7.206707448734128e-95,7.250816589907504e-18,2.3037158774271924e-64,4.0715403897060966e-63,1.8953978109549894e-98,2.197709437916956e-99,1.2151257529401622e-33,7.349206363220445e-76,3.959869993734994e-16,1.1724471251667048e-17,4.6936989961156444e-20,1.0232591266781117e-33,3.788953374600815e-33,4.6936989883263146e-20,3.8919341924041576e-29,6.045942311199343e-35,6.320734777369226e-39,7.036199042905714e-66,2.820339899682165e-48,1.8241333575938365e-46,3.408778144047752e-33,2.1257253907182647e-67,8.81491701418388e-26,3.337973930990772e-92,4.6117739115519085e-49,6.492007368750429e-94,1.45465367262044e-94,4.993348879041219e-78,1.3152269497136389e-108,2.9852320059169454e-63,2.7427747005929626e-82,1.3181043645279762e-107,9.482482262474788e-91,8.389153568595907e-186,5.630270724700616e-120
1.6488419982048522e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996452,0.022821567693054275,2.709577941438564e-102,2.797127957727445e-47,1.3564583655360972e-31,8.263704629097058e-75,1.8414623971596836e-47,4.8950640394017794e-114,1.4552338190933477e-17,4.669839175660578e-93,1.4552338190933008e-17,3.7182067140351e-63,6.575548601263138e-62,2.451662311390863e-96,2.8426968571162983e-97,4.885967209403096e-33,2.3826288151299493e-74,7.947431386027309e-16,2.353093181278628e-17,9.420221069985372e-20,4.114479943036825e-33,1.5235214873840352e-32,9.420221038664793e-20,1.5649271848003798e-28,4.866293104907062e-34,5.089274456927131e-38,2.274768512683024e-64,2.270054914268654e-47,1.4682214793142824e-45,1.370654699195566e-32,6.869967062664239e-66,1.7691477049412342e-25,4.3176080687796e-90,3.711956858864747e-48,8.42556203787018e-92,1.8879021623765417e-92,1.613351774458081e-76,3.414252652510873e-106,4.818176493092245e-62,1.77311245790267e-80,3.438266372803871e-105,6.149175038763791e-89,1.421268070500228e-181,2.937408009104848e-117
3.3034290904801046e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.1186699660299637,0.022821567693054264,6.988398980942394e-100,2.2445190301214105e-46,5.440006777967287e-31,5.31905416057001e-73,1.4791627404166223e-46,1.2603816404203323e-111,2.9155381392985207e-17,3.0072457040919863e-91,2.9155381392983315e-17,5.975058371452823e-62,1.0570002318203156e-60,3.156213111082985e-94,3.6596219018847786e-95,1.9594913811975012e-32,7.720557968060422e-73,1.5922554170611143e-15,4.7143852935024646e-17,1.8873265241360646e-19,1.6500904811577923e-32,6.110002575082299e-32,1.8873265115750924e-19,6.27603839803513e-28,3.904882109355695e-33,4.086706537914584e-37,7.320399295150091e-63,1.8215761039963876e-46,1.178155684414281e-44,5.496938382667374e-32,2.2092719680673616e-64,3.5444597856595e-25,5.558388334692292e-88,2.978611607695686e-47,1.0865108801201166e-89,2.4345274850151085e-90,5.187633636275751e-75,8.806069755309761e-104,7.74268027693982e-61,1.1404999127519767e-78,8.889222403176249e-103,3.9851378581876844e-87,2.3684136625349555e-177,1.5188888504608792e-114
6.6126032750306096e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996208,0.02282156769305424,1.7975616463506405e-97,1.7983465669901364e-45,2.1788418388399987e-30,3.4174477679454514e-71,1.1857320200601802e-45,3.239208959769135e-109,5.836146779708867e-17,1.9305942884609977e-89,5.836146779708113e-17,9.580882953578541e-61,1.6951406562772146e-59,4.055739682511855e-92,4.702620908828457e-93,7.848186177582378e-32,2.5157774220567736e-71,3.1872799739775597e-15,9.436969517950093e-17,3.777935367865551e-19,6.608968745967796e-32,2.4471879896788224e-31,3.777935317555989e-19,2.513673268156358e-27,3.1286388638701915e-32,3.2789601754436136e-36,2.3515798771306434e-61,1.459477545222323e-45,9.43958899066073e-44,2.201642539777924e-31,7.087102432418604e-63,7.0950842417863225e-25,7.142539282556057e-86,2.3865139390630665e-46,1.397351371286452e-87,3.131022770057534e-88,1.6640392494735476e-73,2.2651222970941565e-101,1.2415228248742978e-59,7.317488521900683e-77,2.289194694086664e-100,2.596925661097136e-85,3.9154045595447016e-173,7.823088920745454e-112
1.3230951644131618e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999333,0.11866996602995883,0.02282156769305419,4.622245929229531e-95,1.4397707278871447e-44,8.721058670837964e-30,2.195938398227324e-69,9.495472870232052e-45,8.325622549858882e-107,1.1677364060529574e-16,1.2374900384791666e-87,1.1677364060526554e-16,1.5346063360008399e-59,2.7153814042647544e-58,5.212162997451715e-90,6.043491102881868e-91,3.1413197673930688e-31,8.313546764279958e-70,6.377329087809171e-15,1.8882137966845187e-16,7.559153093143079e-19,2.645309841417348e-31,9.795129508470145e-31,7.55915289177247e-19,1.0061118572358454e-26,2.504783574628977e-31,2.6325623532541923e-35,7.555249483997822e-60,1.1684694568004747e-44,7.557421453759365e-43,8.81230779615348e-31,2.2706460228243417e-61,1.4196334332801135e-24,9.179109567747316e-84,1.910662252185628e-45,1.796570859295523e-85,4.025547430366757e-86,5.331328941521894e-72,5.824505841611096e-99,1.988594164665824e-58,4.689013080361346e-75,5.889635524049157e-98,1.7159721702251096e-83,6.450444452531582e-169,4.02545299244028e-109
2.6467648382333635e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999868,0.11866996602995233,0.022821567693054098,1.190808656053185e-92,1.1522541621778057e-43,3.489569913694818e-29,1.414002138549212e-67,7.600226859928492e-44,2.1443516981662673e-104,2.3359798622171037e-16,7.926052777628793e-86,2.335979862215894e-16,2.4567029478068003e-58,4.3471369556843425e-57,6.712291503610616e-88,7.782886679624082e-89,1.2569370828171427e-30,2.824487567505453e-68,1.2757427315467267e-14,3.7772474864634706e-16,1.5121588694978922e-18,1.0584685009835593e-30,3.919327673126441e-30,1.5121587889224171e-18,4.0256576636818834e-26,2.0045403174891408e-30,2.1186948041297927e-34,2.4325575524641916e-58,9.351306804296317e-44,6.048250962746251e-42,3.526070967500438e-30,7.270379673088068e-60,2.8398839229875422e-24,1.182097702726402e-81,1.529110488278119e-44,2.314229827267489e-83,5.18545746871439e-84,1.7070505020717687e-70,1.50051413640847e-96,3.183477763600256e-57,3.00277985125192e-73,1.5175973292650087e-95,1.1655003787868944e-81,1.061913412514321e-164,2.0744912256172566e-106
