Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),H2OX(23),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),HOCO(73),C2H4X(70),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.7584319654429438e-119,5.66643682416881e-54,3.6924414527965216e-36,4.9141980925756756e-88,2.4920230604337578e-54,2.0777596621061487e-131,6.204677204385183e-20,-1.2579263469721505e-105,6.204677204385183e-20,4.010984347023267e-72,2.209669082425219e-71,1.2293448724801976e-111,1.4254225752302552e-112,1.330019043197679e-37,2.0995441877916721e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.016497560026786e-22,1.1200109300838493e-37,4.147208739678988e-37,4.016497559941529e-22,4.259933183157842e-33,9.858191821927455e-41,1.0302659024815442e-44,1.6168784530219066e-75,2.9743299186065544e-52,4.886473268155817e-77,3.7310869555860913e-37,4.5986894305216946e-54,2.1649920208099456e-105,7.54311093570893e-28,-1.4473510520774847e-107,-6.45941633059543e-107,-2.1984207255671493e-123,5.197567532201948e-71,1.055145858693418e-93,-2.3793667432987388e-144,4.533587381236872e-102,-3.974895054261246e-146,-1.8329476794176705e-211
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.1856734319974055e-117,6.727193797674497e-53,2.230234643497576e-35,5.430352050720278e-86,3.765945237662683e-53,7.497195922926746e-129,1.7373096172278516e-19,2.4284455446884116e-104,1.7373096172278508e-19,1.1311617583464764e-70,6.947553130069786e-70,2.457533868914175e-109,2.84950491481795e-110,8.033315020913983e-37,1.0868516806843559e-83,9.487924756866138e-18,2.809205888724897e-19,1.124619316821325e-21,6.7648660170268505e-37,2.5049140787632624e-36,1.1246193167698294e-21,2.572999585102012e-32,1.1703645085255854e-39,1.2231377691533955e-43,9.836308826346684e-74,3.531124488081581e-51,2.972680087465979e-75,2.253576521169866e-36,5.459564091391808e-53,4.327948435106087e-103,2.1120710624294257e-27,1.4647641160107637e-105,6.53712949275054e-105,4.059286657911942e-121,1.4657972009323887e-69,1.1659655252332053e-91,7.844756125124337e-142,4.2696845527855766e-100,1.2922306356633112e-143,3.4106248574688783e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.344822587561186e-114,6.6047987623171486e-52,1.0737619834859422e-34,4.913025847799775e-84,4.0512320359887626e-52,2.714584213204861e-126,3.970993410806518e-19,2.5641820344138556e-102,3.970993410806515e-19,2.460523900338045e-69,1.5499608847806217e-68,4.449161176320617e-107,5.158792234401216e-108,3.867695377618852e-36,4.7462110497215185e-82,2.168668515855115e-17,6.421042031371192e-19,2.570558438513918e-21,3.256991783664433e-36,1.206008301494379e-35,2.570558438265987e-21,1.2387884833743184e-31,1.1490707625855774e-38,1.2008968140863045e-42,4.4406269865748403e-72,3.466878980134619e-50,1.3420098286336986e-73,1.0850000866782348e-35,5.360232398593083e-52,7.835391566357241e-101,4.8275910018701954e-27,3.067473429920517e-103,1.368989778514397e-102,1.6920436541342348e-118,3.188429081279403e-68,1.054877887929831e-89,6.700624872499601e-139,3.7321883799490405e-98,1.0956708961214727e-140,3.009851572422128e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.32571162793871e-112,5.841869708383639e-51,4.689400738182946e-34,3.7183304856670394e-82,3.7237802068245836e-51,8.231250481488608e-124,8.43836099796385e-19,2.0267721942312287e-100,8.438360997963835e-19,4.561396633068606e-68,2.9029051996291294e-67,6.7418194566432474e-105,7.817124280350808e-106,1.6891241848610534e-35,1.7673348262430926e-80,4.608420596192111e-17,1.3644714316663785e-18,5.462436682120303e-21,1.4224138801531076e-35,5.266955099348181e-35,5.462436681037524e-21,5.4101142509680575e-31,1.016339984099044e-37,1.062202578941889e-41,1.6767319112349298e-70,3.0664152296009257e-49,5.067173310153441e-72,4.7384804335302623e-35,4.7410648518823335e-51,1.1872978572518218e-98,1.0258630887646548e-26,4.929706863560794e-101,2.2000902246781983e-100,5.446376069240822e-116,5.910810162880434e-67,7.983474182783427e-88,4.328842150737382e-136,2.785015490264025e-96,7.051241142770458e-138,8.773000679302757e-199
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.2374382016218457e-109,4.910443489086894e-50,1.9577325420909273e-33,2.583323661760481e-80,3.1857723659772133e-50,2.2895260351450125e-121,1.7373096172278513e-18,1.4365043543981413e-98,1.737309617227845e-18,7.839875370338204e-67,5.014046830599717e-66,9.37340407128888e-103,1.0868440637752935e-103,7.051760967034099e-35,6.091765371420702e-79,9.48792475686607e-17,2.8092058887248964e-18,1.1246193170217868e-20,5.938297941824129e-35,2.1988500737380788e-34,1.1246193165697477e-20,2.2586157712322683e-30,8.542948399421193e-37,8.928838725830651e-41,5.81760945514594e-69,2.5775068210816898e-48,1.7580374995761793e-70,1.9782223037940787e-34,3.9851506752755505e-50,1.6507446751459027e-96,2.1120710686778503e-26,7.0483671080227206e-99,3.1456319828077256e-98,1.5586780626606217e-113,1.0159172451432266e-65,5.546312659223832e-86,2.4818046234761585e-133,1.9220361920266268e-94,4.035021001077365e-135,1.8948962837524862e-194
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.346369535376427e-107,4.025878249074222e-49,7.997976594075978e-33,1.72191965946774e-78,2.634058198985784e-49,6.10718023447636e-119,3.524256652090785e-18,9.667015767168349e-97,3.524256652090758e-18,1.2994018477062074e-65,8.330913799725398e-65,1.2499581801222482e-100,1.4493236583981625e-101,2.8808744483279047e-34,2.0236454973057352e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706149952185e-20,2.425988466972046e-34,8.983020018157975e-34,2.28137061314849e-20,9.227178877735727e-30,7.004022686539346e-36,7.3210344916874515e-40,1.9376717358811324e-67,2.113195908888403e-47,5.854996781383746e-69,8.08168358878945e-34,3.2672672908108097e-49,2.2012939954836464e-94,4.2844870395359414e-26,9.528417708497699e-97,4.25245947552913e-96,4.215986340956994e-111,1.6838083299781357e-64,3.696592581404742e-84,1.3436768015956578e-130,1.2776933355734172e-92,2.1825806771085096e-132,3.5546483208488147e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,8.804253339206296e-105,3.260260584400896e-48,3.232910312865746e-32,1.1246693658457129e-76,2.1419723820825484e-48,1.595932370589303e-116,7.098150721816652e-18,6.342882633735282e-95,7.098150721816541e-18,2.1157390610401056e-64,1.3581492105250556e-63,1.633071930465206e-98,1.8935431779222696e-99,1.1644955132336443e-33,6.606857743518607e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.594873212357757e-20,9.806233232103834e-34,3.631080317331823e-33,4.594873204892983e-20,3.72977038978233e-29,5.672035025601087e-35,5.929788880576113e-39,6.325959759316248e-66,1.711320982005084e-46,1.9111670937465288e-67,3.2667457213878675e-33,2.6459177529083787e-48,2.8759933665806703e-92,8.629319025378926e-26,1.2533273667424992e-94,5.593503561527795e-94,1.1093381017625046e-108,2.741645366545353e-63,2.414014815143826e-82,7.074016245887266e-128,8.345168975772804e-91,1.1485279339554173e-129,6.227772428885735e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.285397288782067e-102,2.6241413551632496e-47,1.2999392567104185e-31,7.2730783162904e-75,1.7275783244262392e-47,4.128749052827806e-114,1.4245938861268388e-17,4.110093551090301e-93,1.4245938861267935e-17,3.414811374522427e-63,2.1934146020304944e-62,2.112333325455526e-96,2.449245672033243e-97,4.6823852423391785e-33,2.1417764988266744e-74,7.780098300629731e-16,2.3035488287544083e-17,9.221878412745553e-20,3.9430432262423935e-33,1.4600414254145633e-32,9.221878382729999e-20,1.4997219836792726e-28,4.565340584020938e-34,4.774460539931501e-38,2.0451366886672768e-64,1.3774202440063713e-45,6.176552930230553e-66,1.313544086736144e-32,2.129664782992284e-47,3.7200177885862527e-90,1.73189831735721e-25,1.6266017472697017e-92,7.259398394547291e-92,2.879756321528973e-106,4.425026675079791e-62,1.5605801936850056e-80,3.6734672055683024e-125,5.411198719057085e-89,5.962828654697288e-127,1.055088818461329e-181
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,5.894289213562354e-100,2.105708175794343e-46,5.213339746542315e-31,4.6813551891169216e-73,1.3876848599158198e-46,1.063055447493659e-111,2.8541515140171864e-17,2.6467851910952014e-91,2.854151514017005e-17,5.487510205728583e-62,3.525849909159592e-61,2.7193295811477525e-94,3.153056445614611e-95,1.8778459069765608e-32,6.938950869548868e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888836172139e-19,1.5813366689806202e-32,5.855419134492891e-32,1.8475888715796163e-19,6.014537586471334e-28,3.663387614372104e-33,3.8338528456287625e-37,6.581328295246354e-63,1.1052933778728695e-44,1.986281151961158e-64,5.267899283446218e-32,1.70892184397412e-46,4.788995321354308e-88,3.469831217598727e-25,2.0975393180009686e-90,9.361156538799152e-90,7.427384743903793e-104,7.110899073787635e-61,1.0037951489834218e-78,1.8950948933459655e-122,3.5062905481075128e-87,3.0758008415608966e-124,1.7581966383653066e-177
