Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),H2OX(23),CO2X(24),acetyl(44),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.2220565267546695e-119,4.943644572106469e-54,3.371359586917668e-36,3.7404764490855946e-88,2.174148696995708e-54,1.4439795242076824e-131,5.928774356156224e-20,-9.57479738210409e-106,5.928774356156224e-20,3.343750645601539e-72,1.774491669676664e-71,8.941157171450227e-112,1.0367251343517464e-112,1.2143652133544025e-37,1.6724479611152232e-85,3.2378664363469204e-18,9.586747042136973e-20,3.837896308064137e-22,1.0226186749666432e-37,3.786581892750577e-37,3.8378963079862923e-22,3.8895042147140316e-33,8.600712944482868e-41,8.988483096935923e-45,1.2879704818789832e-75,2.5949340674257084e-52,3.892460145075438e-77,3.4066446116223703e-37,1.5746219280147327e-105,-1.0526739537169246e-107,7.207692069672048e-28,4.012095562023364e-54,-4.6980028156018146e-107,-1.527835282863102e-123,8.031318983863942e-94,3.450764441521955e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.213945285130171e-117,5.869094836022543e-53,2.036301195740326e-35,4.133349789863446e-86,3.2855735106364356e-53,5.2103211568250213e-129,1.660056819723743e-19,1.848428879303737e-104,1.6600568197237423e-19,9.429911819969855e-71,5.5792857511054066e-70,1.7873903765134588e-109,2.072475064127555e-110,7.334765888660591e-37,8.657583392284855e-84,9.066026021771375e-18,2.684289171798353e-19,1.074610966270581e-21,6.176616794269175e-37,2.2870954632188658e-36,1.074610966223563e-21,2.3492604954996952e-32,1.0210766202832296e-39,1.0671177899596321e-43,7.835389659114755e-74,3.080705732110444e-51,2.367973411534185e-75,2.057613345416306e-36,3.147762674120986e-103,1.0653384291078516e-105,2.018153779901628e-27,4.763159849430144e-53,4.754523399329473e-105,2.821079682787176e-121,8.874830895388007e-92,3.249884559119395e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,9.346099997976336e-115,5.762312113302302e-52,9.803913757387387e-35,3.7395816472430314e-84,3.53447005343022e-52,1.8865518690215005e-126,3.7944155879399835e-19,1.951745690786001e-102,3.7944155879399806e-19,2.0512117958672974e-69,1.244707959612086e-68,3.235920475831313e-107,3.752042409860443e-108,3.531374040434601e-36,3.780689776450171e-82,2.0722345192620263e-17,6.135518106967663e-19,2.456253637249407e-21,2.9737751030089688e-36,1.1011380144081422e-35,2.4562536370230353e-21,1.1310677503574728e-31,1.002499037303017e-38,1.047713327521525e-42,3.537305203892165e-72,3.024655171505595e-50,1.0690163438477936e-73,9.906522530543759e-36,5.6987605080889866e-101,2.231004819179821e-103,4.6129229273442896e-27,4.676498581502041e-52,9.956802764336218e-103,1.1759178786391202e-118,8.029279328176726e-90,2.840751928802186e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.006232628652943e-112,5.096699808174389e-51,4.281626756637267e-34,2.830228830018201e-82,3.2487869146676417e-51,5.720458558636604e-124,8.063133124372465e-19,1.5426923062955208e-100,8.063133124372452e-19,3.8026009738673005e-68,2.3312002538211487e-67,4.903389733711565e-105,5.685469210489575e-106,1.5422438209600898e-35,1.4077905043177255e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979409023e-21,1.2987257132871387e-35,4.8089590037547307e-35,5.219538978420398e-21,4.9396695747794185e-31,8.866989683620129e-38,9.267097026185331e-42,1.3356462781125983e-70,2.6752732734330027e-49,4.036401963455546e-72,4.326438656704511e-35,8.635330805800575e-99,3.5854228772274904e-101,9.802461228524878e-27,4.1363100288795773e-51,1.6001466291336392e-100,3.785058961617053e-116,6.076679131306579e-88,2.1197888581413253e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,8.599787547362445e-110,4.284083288083868e-50,1.7874949261103805e-33,1.966308107553628e-80,2.779405604215681e-50,1.591145159728623e-121,1.660056819723743e-18,1.0934056732206092e-98,1.660056819723737e-18,6.535699505326583e-67,4.026568709754531e-66,6.817353631533359e-103,7.904705983801906e-104,6.43856436120503e-35,4.852357230008756e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109664536114e-20,5.421924179388648e-35,2.007645719501703e-34,1.0746109660408797e-20,2.062214434524835e-30,7.453237806707285e-37,7.789875243919277e-41,4.634165821751169e-69,2.248728429665081e-48,1.4004151106393474e-70,1.80620297303187e-34,1.200600136328706e-96,5.126335043826641e-99,2.018153785606711e-26,3.47681779921342e-50,2.287843866290895e-98,1.0832298837935816e-113,4.2216160392468715e-86,1.4629080469966504e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,2.325607755450299e-107,3.5123503131657344e-49,7.302500338785763e-33,1.3106417623056e-78,2.298066301999361e-49,4.244273205681255e-119,3.3675438342967363e-18,7.35811892987168e-97,3.3675438342967105e-18,1.0832442624545536e-65,6.690204133146325e-65,9.091014331460377e-101,1.054101037855612e-101,2.6303636267341588e-34,1.611850888655746e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251038021722e-20,2.21503292485054e-34,8.20188784268006e-34,2.1799251021160286e-20,8.424815781587779e-30,6.11061253003804e-36,6.387138107657431e-40,1.5434962118613193e-67,1.8436435045860787e-47,4.663965415013211e-69,7.378928494132553e-34,1.6010131842002449e-94,6.930070010068107e-97,4.093969121187579e-26,2.8505052735256276e-49,3.0928368942781216e-96,2.929960582070482e-111,2.8136882534902416e-84,9.724405883370263e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,6.118596764996092e-105,2.8443923477317274e-48,2.951787652897689e-32,8.560373692224292e-77,1.8687493514656444e-48,1.1091079996533122e-116,6.7825178634427235e-18,4.82793096663374e-95,6.782517863442621e-18,1.7637824686556745e-64,1.0906721255606192e-63,1.1877332824821467e-98,1.3771740315181273e-99,1.0632350338220108e-33,5.2619552858415e-76,3.704119203180764e-16,1.0967238616204684e-17,4.3905533797918665e-20,8.953517110557486e-34,3.315334202792634e-33,4.3905533729762044e-20,3.405442760216439e-29,4.948529005924846e-35,5.1733248092514616e-39,5.039048086427835e-66,1.49303043198202e-46,1.5223949465776905e-67,2.9826808760663504e-33,2.0917100943182495e-92,9.115449393157063e-95,8.245599832639005e-26,2.3084130444666762e-48,4.068154883898883e-94,7.709447559505445e-109,1.8374449428096837e-82,6.350876267094383e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,1.5882339629754045e-102,2.289414418476988e-47,1.1869010411038196e-31,5.535789981359151e-75,1.5072140520499883e-47,2.869269638258901e-114,1.3612465921734695e-17,3.128427416508683e-93,1.3612465921734287e-17,2.8467520154346756e-63,1.7614383955449721e-62,1.5362771532960323e-96,1.7813098545661757e-97,4.27522130822263e-33,1.7054945182702386e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809936941564e-20,3.6001697506450616e-33,1.3330813014746503e-32,8.811809909536062e-20,1.3693115618604828e-28,3.983001103764491e-34,4.1653178699179197e-38,1.6290628854947016e-64,1.2017209792189172e-45,4.920110648416275e-66,1.1993228618158934e-32,2.7055286538555377e-90,1.183009558364968e-92,1.6548861416700607e-25,1.8580115966867662e-47,5.279680565846978e-92,2.001283272893089e-106,1.1878470456994755e-80,4.11733849949621e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,4.096105777717604e-100,1.8371108893156858e-46,4.760005700100144e-31,3.5630335754834046e-73,1.2106762924204802e-46,7.387472023532296e-112,2.727236203831865e-17,2.014619680673181e-91,2.7272362038317002e-17,4.574654065648561e-62,2.8314607742256884e-61,1.9776798974927515e-94,2.2931153293852032e-95,1.7145549585437378e-32,5.5235679916425044e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323071922288e-19,1.4438290109171308e-32,5.3462522533063e-32,1.7654322962013804e-19,5.49153580625524e-28,3.196098634087654e-33,3.3446135595910047e-37,5.242228431568703e-63,9.643057199945263e-45,1.582229506537872e-64,4.80982108499262e-32,3.482880428348374e-88,1.5254713574625846e-90,3.3155385229458826e-25,1.490937214385847e-46,6.808061172550679e-90,5.161497862127844e-104,7.640461272976301e-79,2.6669929054294587e-87
