Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(49),CO2X(24),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.0441370691337052e-121,8.8826694073770455e-66,8.0938536717051553e-42,3.2846346930762357e-91,1.3461830650297784e-59,1.5874371672950626e-140,7.3429566300639534e-25,-2.9057843527524235e-120,7.3429566300639433e-25,4.3751811482963199e-82,7.994248346046763e-74,7.1066279214140118e-119,4.2941533506226447e-120,2.3593412986319166e-55,2.8307555125763498e-97,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778511433e-23,5.3970087779424228e-23,4.5642348463132102e-34,5.5747250100245203e-41,3.5791736054338143e-46,6.453877428911496e-38,1.1503065457381802e-76,2.3581486926528312e-54,5.6030657260858615e-58,-4.5430397221455988e-109,-1.9154868676332519e-110
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,7.3271992105429735e-119,1.9870359632251299e-64,4.8888963340304952e-41,3.6299276749411451e-89,2.0343518478460411e-58,5.7284270587550802e-138,2.0560278564179098e-24,5.6087270544597247e-119,2.0560278564179042e-24,1.2338710867021612e-80,2.5135195895025916e-72,1.4207731693071582e-116,8.5849687541595489e-118,2.8010099895107323e-54,1.4652805790499106e-95,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624577835344e-22,1.5111624578386663e-22,2.7567975220306925e-33,6.6183128132860034e-40,4.2495731331133946e-45,3.898141966720492e-37,6.998488727401942e-75,2.7995941276831521e-53,6.6522197054141707e-57,4.5980807451559725e-107,1.9386938746017503e-108
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.0937000148824251e-116,3.9260644408460863e-63,2.3540057221393073e-40,3.2847026651663447e-87,2.1884628850466303e-57,2.0745146779641864e-135,4.6994922432409511e-24,5.9222715033292902e-117,4.6994922432409224e-24,2.6839391246388103e-79,5.6075239346784279e-71,2.5726467266555737e-114,1.5545121656677105e-115,2.7500482169876174e-53,6.3979884600912737e-94,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856177212305e-22,3.4540856179866675e-22,1.3272790055942663e-32,6.4978972439782586e-39,4.1730572633274757e-44,1.8767875558143852e-36,3.1600501104689749e-73,2.7486581154298421e-52,6.5317396438983114e-56,9.6308928615897585e-105,4.0606840184682058e-106
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,9.9546423437657191e-114,6.9862351573218836e-62,1.0282429263758418e-39,2.4868499926628624e-85,2.0115744301584527e-56,6.2926374033947062e-133,9.9864210168870763e-24,4.6810624079976106e-115,9.9864210168869529e-24,4.9755708059877945e-78,1.0502271728812985e-69,3.8997172936232725e-112,2.356389593865299e-113,2.4323865037722953e-52,2.3818106868246907e-92,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319373600433e-22,7.3399319385192772e-22,5.7965732151127799e-32,5.747313818153724e-38,3.692447087685467e-43,8.1964243294157889e-36,1.1936282869742468e-71,2.4311569746521352e-51,5.7782297306994743e-55,1.5483246623521443e-102,6.5282184133842515e-104
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.8497146310614442e-111,1.1783317502699505e-60,4.2942728046302941e-39,1.7289783428355794e-83,1.7209442756590708e-55,1.7515389557936907e-130,2.0560278564179519e-23,3.3177712606254933e-113,2.0560278564178999e-23,8.5517349504044583e-77,1.8140062666646477e-68,5.4257685981228224e-110,3.2785003885586709e-111,2.0445674172752303e-51,8.2056989489012178e-91,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624575691355e-21,1.5111624580530939e-21,2.4199527797850201e-31,4.8309590105375506e-37,3.1061218322325226e-42,3.4218458080372441e-35,4.144399458313621e-70,2.0435339239066612e-50,4.8585988549031291e-54,2.2153370507522044e-100,9.3405501296943761e-102
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.7173919185904023e-109,1.9354143079031721e-59,1.7556262204963452e-38,1.1540939796472754e-81,1.4229100064829906e-54,4.6787398853979901e-128,4.1707993658765134e-23,2.2327079609108332e-111,4.1707993658763012e-23,1.4173873521572408e-75,3.0139985380526701e-67,7.2456033707986932e-108,4.3781287449832272e-109,1.6762598939028033e-50,2.7231723039842575e-89,1.6540795139779909e-16,7.952961294213526e-18,3.0655009848568737e-21,3.0655009868340026e-21,9.8862768440642433e-31,3.960704600886178e-36,2.5505181339657135e-41,1.3979356625719629e-34,1.3823553436484892e-68,1.675412573502462e-49,3.9860764409502402e-53,2.9991079415232534e-98,1.2645172010921908e-99
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.0362160289707129e-106,3.1373906891605036e-58,7.1068350812556572e-38,7.5593654796463096e-80,1.1570867854793213e-53,1.2261049469974438e-125,8.4003423847939331e-23,1.464961357708013e-109,8.4003423847930739e-23,2.3078478679435275e-74,4.9135782954289365e-66,9.4931810866917082e-106,5.7362191743002481e-107,1.3574787182653714e-49,8.8730604757419305e-88,3.3314559225189871e-16,1.601793612778216e-17,6.1741780379182472e-21,6.1741780459101372e-21,3.9961751022311821e-30,3.2074691746471408e-35,2.0718439638902377e-40,5.6506794418964812e-34,4.5259300157507624e-67,1.3567925360818247e-48,3.2324069480605464e-52,3.956151405326282e-96,1.6680364956996644e-97
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,5.3155793706179966e-104,5.052671519641504e-57,2.8659208940965177e-37,4.9162211871344502e-78,9.3323240970531658e-53,3.189848639439812e-123,1.6859428422629956e-22,9.4927315695634688e-108,1.68594284226265e-22,3.7248757590333759e-73,7.9354420217244572e-65,1.2348438604593705e-103,7.461497848665936e-105,1.0926169643387746e-48,2.8650574562146828e-86,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532137984597e-20,1.2391532170119762e-20,1.6068315125965355e-29,2.5816307581518242e-34,1.6778516591503486e-39,2.2721133374030624e-33,1.4715523038610647e-65,1.0920646649713027e-47,2.6087713261074531e-51,5.1635925766732215e-94,2.1771312521629649e-95
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,1.386401896369168e-101,8.1106571472557928e-56,1.1560146661871729e-36,3.1999553614475195e-76,7.4962302101355462e-52,8.3049825556364997e-121,3.3777600498306749e-22,6.1130533820626172e-106,3.3777600498292883e-22,5.9857753337360799e-72,1.2755991124955586e-63,1.6075034698427028e-101,9.7132795911605256e-103,8.767562934782505e-48,9.2094711602610249e-85,1.3395714373763602e-15,6.4407785129193661e-17,2.482624031389169e-20,2.4826240442769117e-20,6.4440094090631948e-29,2.0715648403134551e-33,1.3628221408510977e-38,9.112190601490301e-33,4.7892105799029974e-64,8.7631310761779184e-47,2.1046872218880537e-50,6.7337814209858877e-92,2.8391717095305371e-93
