Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.5413295012560575e-121,9.4126600218333405e-66,8.3319135699524222e-42,3.583068369655542e-91,1.406008071325001e-59,1.7825991338839575e-140,7.4501587477855856e-25,-3.1697847649829782e-120,7.4501587477855727e-25,4.636329504073131e-82,6.3534051483426822e-75,7.8654968413874065e-119,4.7526970581910967e-120,1.8480985336559775e-56,3.0435131322458446e-97,2.9546266505694332e-18,1.4206107501034378e-19,5.4758013949795209e-23,5.4758013950734863e-23,4.6984770392966409e-34,5.82246839156322e-41,3.7382392516968493e-46,6.643697345726708e-38,1.2367646029041067e-76,5.8520723704480096e-58,-5.0281603304399006e-109,-2.1200288083704085e-110,2.462945922869374e-54,6.9623622595572306e-109
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,8.2280270373444925e-119,2.1055758522230691e-64,5.0326937880218559e-41,3.9597388273050154e-89,2.1247593973402637e-58,6.4326967839314858e-138,2.0860444493799667e-24,6.11831367881615e-119,2.0860444493799605e-24,1.3075191013933378e-80,1.9976122386454198e-73,1.5724899485106545e-116,9.5017117199463922e-118,2.1940625767711119e-55,1.575410050396339e-95,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243905790451e-22,1.5332243906357989e-22,2.8378797921432033e-33,6.9124337129556381e-40,4.4384384442919018e-45,4.0127931920551829e-37,7.5245109566504003e-75,6.9478559171314999e-57,5.0890853859124185e-107,2.145716705555049e-108,2.9240093964418154e-53,1.3919330070913824e-106
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.4740582193698861e-116,4.1602643439002876e-63,2.4232474537202476e-40,3.5831568860915418e-87,2.2857192012539785e-57,2.3295679914882907e-135,4.7681015985827961e-24,6.4603447737819922e-117,4.7681015985827667e-24,2.8441396433213031e-79,4.4565630055412699e-72,2.8473737140944261e-114,1.720514920645281e-115,2.1541436434350849e-54,6.8788568322311665e-94,1.8909610563644341e-17,9.0919088006620029e-19,3.5045128926803484e-22,3.5045128929535921e-22,1.3663166136396311e-32,6.7866667965311578e-39,4.3585341659901639e-44,1.931987180991701e-36,3.3975759996203423e-73,6.822029911497895e-56,1.065935395271572e-104,4.4943152099631624e-106,2.8708097578115525e-52,2.5204316630675368e-104
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.1178587936559347e-113,7.4029691375139862e-62,1.0584909103871761e-39,2.7128247538204459e-85,2.1009697405315762e-56,7.0663307499685946e-133,1.0132215896988499e-23,5.1063645111265182e-115,1.0132215896988372e-23,5.2725555686178708e-78,8.3466492509306125e-71,4.3161827283376408e-112,2.608037275649837e-113,1.9053156487298886e-53,2.5608259249490127e-92,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898966394181e-22,7.447089897832747e-22,5.9670605762349699e-32,6.0027270555509417e-38,3.8565843755671969e-43,8.4374955552347779e-36,1.283354745696386e-71,6.0350466788685464e-55,1.7136761865599895e-102,7.2253918854502902e-104,2.5391987078829293e-51,3.8205886209271598e-102
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.2001286868677767e-111,1.248619023411039e-60,4.4206215549233436e-39,1.8861076601091327e-83,1.7974238457624058e-55,1.9669159505924296e-130,2.0860444493800097e-23,3.6192103297055402e-113,2.0860444493799565e-23,9.0621758773364719e-77,1.4416760773797894e-69,6.0052725473524085e-110,3.6286634831177257e-111,1.6015325915173609e-52,8.8224335867106878e-91,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243903583407e-21,1.5332243908565333e-21,2.491127788934996e-31,5.0456489544753488e-37,3.2442322200661497e-42,3.5224882662499718e-35,4.4559882794599829e-70,5.0745673768540155e-54,2.4519484478247453e-100,1.0338177411410139e-101,2.1343494919620178e-50,5.3157332304942043e-100
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,8.6665485456269089e-109,2.0508605270657295e-59,1.8073004985187516e-38,1.2590055089635194e-81,1.4861447939885651e-54,5.2541730972301201e-128,4.231690168742406e-23,2.4355626354376624e-111,4.2316901687421874e-23,1.501989192368346e-75,2.395366317425777e-68,8.0196516407222702e-108,4.8458445178432986e-109,1.3130331542539174e-51,2.9278440443134744e-89,1.678227937523407e-16,8.0690690605875229e-18,3.1102551913574814e-21,3.1102551933927617e-21,1.0177049097133728e-30,4.136719942061319e-36,2.6639840569393909e-41,1.4390513636091224e-34,1.4863179812739595e-68,4.1633018546802543e-53,3.3195039263670679e-98,1.3996061227027819e-99,1.7498686323276256e-49,7.0988166448286152e-98
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.2867488945008479e-106,3.324533225868033e-58,7.3161690965925068e-38,8.2469007945305812e-80,1.2085082644602216e-53,1.3769620845873092e-125,8.5229816074675042e-23,1.5980617293574643e-109,8.5229816074666179e-23,2.4456000330298406e-74,3.9050515026478788e-67,1.0507795469758261e-105,6.3492961213228228e-107,1.0633282508370062e-50,9.5399535426038712e-88,3.380092888251302e-16,1.625178698118331e-17,6.2643167917971291e-21,6.2643168000240744e-21,4.1137091819876478e-30,3.3500102392455579e-35,2.1641117209876014e-40,5.8168754608340922e-34,4.8665253711820408e-67,3.3761900525796456e-52,4.3789807765053539e-96,1.8463145322380103e-97,1.417088933177972e-48,9.3012660270016414e-96
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,5.9701178566054692e-104,5.3540579227873382e-57,2.9504617569340602e-37,5.3638230603097593e-78,9.7470569530689645e-53,3.5826286811826937e-123,1.7105564484918917e-22,1.0355202168512502e-107,1.710556448491536e-22,3.9472083085291853e-73,6.3066681102786668e-66,1.3669396759092743e-103,8.2596818735343097e-105,8.5585901908987263e-50,3.0803931860312016e-86,6.7838227897068914e-16,3.2617222822374839e-17,1.2572439986441896e-20,1.2572440019522218e-20,1.6540908749579025e-29,2.6963590451781337e-34,1.7527286646684651e-39,2.3389398499522385e-33,1.5824309025340645e-65,2.7249212199816605e-51,5.715968757514235e-94,2.4100302868065384e-95,1.1405963709449995e-47,1.2099844916000321e-93
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.557383021050734e-101,8.5944474864696572e-56,1.1902149559636171e-36,3.4918920519082229e-76,7.8293661931429319e-52,9.3291889615095359e-121,3.4270730239826622e-22,6.6684603027205791e-106,3.4270730239812361e-22,6.3430577710420515e-72,1.013778319477649e-64,1.779765576513608e-101,1.0754166927246459e-102,6.8677285894471176e-49,9.9016486201793371e-85,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686350793306e-20,2.518868648346127e-20,6.6335359841303662e-29,2.1636251996115842e-33,1.423888198736329e-38,9.3801933963547101e-33,5.150950914901577e-64,2.1985654179422817e-50,7.4554013505829066e-92,3.1434292602397332e-93,9.1525661672752351e-47,1.575408762439777e-91
6.7463855215091425e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,4.0962740006946099e-99,1.3773521565902769e-54,4.8227205494120518e-36,2.2940188131158356e-74,6.2762060540688108e-51,2.4512911870592026e-118,6.860106174966154e-22,4.2810240929604728e-104,6.860106174960442e-22,1.0170962358155963e-70,1.6258239646666809e-63,2.3382919960581847e-99,1.4129041893502333e-100,5.5025385052110697e-48,3.1756474300551262e-83,2.7206202198434813e-15,1.3080983786952284e-16,5.042117897974364e-20,5.0421179511116168e-20,2.6567877309119173e-28,1.7334799860645578e-32,1.1687786024917238e-37,3.7569688251579148e-32,1.6922125682694137e-62,1.780736484945679e-49,9.8050162853854423e-90,4.1341002273630974e-91,7.333188412104761e-46,2.069803876252084e-89
