Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.0441123902468923e-121,8.7496337561731976e-74,8.0938536717051553e-42,3.2846346927576946e-91,1.3461830650297784e-59,1.587437167141114e-140,7.3429566300639534e-25,-2.9057843527524235e-120,7.3429566300639433e-25,4.3751811482963199e-82,3.3723258284069102e-77,7.1066279207248168e-119,4.2941533502061995e-120,9.9527401046561181e-59,2.8307555125763498e-97,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778511433e-23,5.3970087779424228e-23,4.5642348463132102e-34,5.5747250100245203e-41,3.5791736054338143e-46,6.4538760390705528e-38,1.1503065456266243e-76,5.6030657260858615e-58,-4.54301199876205e-109,-1.9154868674474968e-110,6.2906284276421069e-109
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,7.3271189735767809e-119,2.7312413739623329e-72,4.8888963340304952e-41,3.6299276743043084e-89,2.0343518478460411e-58,5.7284270577535682e-138,2.0560278564179098e-24,5.6087270544597247e-119,2.0560278564179042e-24,1.2338710867021612e-80,1.0603129848479831e-75,1.4207731690584544e-116,8.5849687526567685e-118,1.1815890801327602e-57,1.4652805790499106e-95,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624577835344e-22,1.5111624578386663e-22,2.7567975220306925e-33,6.6183128132860034e-40,4.2495731331133946e-45,3.8981403167016391e-37,6.9984887261691116e-75,6.6522197054141707e-57,4.5980305159407502e-107,1.9386938742587426e-108,1.2576366999839098e-106
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.0936319714888605e-116,6.0808021220365849e-71,2.3540057221393073e-40,3.2847026640132039e-87,2.1884628850466303e-57,2.0745146772389194e-135,4.6994922432409511e-24,5.9222715033292902e-117,4.6994922432409224e-24,2.6839391246388103e-79,2.3654989321795098e-74,2.5726467257549107e-114,1.5545121651234884e-115,1.1600906888137521e-56,6.3979884600912737e-94,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856177212305e-22,3.4540856179866675e-22,1.3272790055942663e-32,6.4978972439782586e-39,4.1730572633274757e-44,1.8767859358167567e-36,3.1600501093533932e-73,6.5317396438983114e-56,9.6306807854995291e-105,4.0606840170382101e-106,2.2772494644405187e-104
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,9.9542043009307333e-114,1.1379653468698317e-69,1.0282429263758418e-39,2.4868499909148855e-85,2.0115744301584527e-56,6.2926373989936138e-133,9.9864210168870763e-24,4.6810624079976106e-115,9.9864210168869529e-24,4.9755708059877945e-78,4.4303139080181056e-73,3.8997172908912849e-112,2.3563895922145053e-113,1.0260862284823729e-55,2.3818106868246907e-92,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319373600433e-22,7.3399319385192772e-22,5.7965732151127799e-32,5.747313818153724e-38,3.692447087685467e-43,8.1964100007320708e-36,1.193628286129639e-71,5.7782297306994743e-55,1.5482564238294873e-102,6.5282184087797583e-104,3.4519427105369555e-102
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.8494637966435057e-111,1.9648523740816051e-68,4.2942728046302941e-39,1.7289783404035791e-83,1.7209442756590708e-55,1.7515389533432633e-130,2.0560278564179519e-23,3.3177712606254933e-113,2.0560278564178999e-23,8.5517349504044583e-77,7.6522524084934093e-72,5.4257685905184101e-110,3.2785003839637325e-111,8.6248587453099858e-55,8.2056989489012178e-91,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624575691355e-21,1.5111624580530939e-21,2.4199527797850201e-31,4.8309590105375506e-37,3.1061218322325226e-42,3.4218337639351432e-35,4.1443994524415009e-70,4.8585988549031291e-54,2.2151417129879765e-100,9.3405501165076395e-102,4.8027692615515746e-100
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.7160333187706617e-109,3.2640704599749835e-67,1.7556262204963452e-38,1.1540939763995673e-81,1.4229100064829906e-54,4.678739872305751e-128,4.1707993658765134e-23,2.2327079609108332e-111,4.1707993658763012e-23,1.4173873521572408e-75,1.2714288200978504e-70,7.2456033504856568e-108,4.3781287327091511e-109,7.071156892577722e-54,2.7231723039842575e-89,1.6540795139779909e-16,7.952961294213526e-18,3.0655009848568737e-21,3.0655009868340026e-21,9.8862768440642433e-31,3.960704600886178e-36,2.5505181339657135e-41,1.3979257881220757e-34,1.3823553397288455e-68,3.9860764409502402e-53,2.9985789884247595e-98,1.26451719752032e-99,6.4136463740319641e-98
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.0354991931296449e-106,5.3207846260536109e-66,7.1068350812556572e-38,7.5593654370948768e-80,1.1570867854793213e-53,1.2261049401353218e-125,8.4003423847939331e-23,1.464961357708013e-109,8.4003423847930739e-23,2.3078478679435275e-74,2.0727356446647895e-69,9.4931810334596077e-106,5.7362191421349523e-107,5.7263682852034119e-53,8.8730604757419305e-88,3.3314559225189871e-16,1.601793612778216e-17,6.1741780379182472e-21,6.1741780459101372e-21,3.9961751022311821e-30,3.2074691746471408e-35,2.0718439638902377e-40,5.6505994765706257e-34,4.5259299900769241e-67,3.2324069480605464e-52,3.9547560204629437e-96,1.6680364862744806e-97,8.4031519731929191e-96
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,5.3118379839191004e-104,8.5926144053951249e-65,2.8659208940965177e-37,4.9162211317848499e-78,9.3323240970531658e-53,3.1898486037341614e-123,1.6859428422629956e-22,9.4927315695634688e-108,1.68594284226265e-22,3.7248757590333759e-73,3.3474276591889774e-68,1.2348438466104472e-103,7.4614977649843366e-105,4.6090183714867331e-52,2.8650574562146828e-86,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532137984597e-20,1.2391532170119762e-20,1.6068315125965355e-29,2.5816307581518242e-34,1.6778516591503486e-39,2.2720489752042778e-33,1.4715522871641258e-65,2.6087713261074531e-51,5.1599511807990356e-94,2.1771312275576264e-95,1.0930562118503537e-93
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,1.3844516179478588e-101,1.3811718968524528e-63,1.1560146661871729e-36,3.1999552893941413e-76,7.4962302101355462e-52,8.304982369712705e-121,3.3777600498306749e-22,6.1130533820626172e-106,3.3777600498292883e-22,5.9857753337360799e-72,5.3807444966416348e-67,1.6075034337861158e-101,9.7132793732899489e-103,3.6983490720007069e-51,9.2094711602610249e-85,1.3395714373763602e-15,6.4407785129193661e-17,2.482624031389169e-20,2.4826240442769117e-20,6.4440094090631948e-29,2.0715648403134551e-33,1.3628221408510977e-38,9.111674149056612e-33,4.7892104712230652e-64,2.1046872218880537e-50,6.7242906637771678e-92,2.8391716453565131e-93,1.4229261587948567e-91
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,3.6351141029374229e-99,2.214879999526418e-62,4.6833730797853067e-36,2.1015392188963553e-74,6.0091563314642053e-51,2.1814633942819028e-118,6.761394464967927e-22,3.9244634629174263e-104,6.7613944649623768e-22,9.5980673368480459e-71,8.6287758483969797e-66,2.1112798028458782e-99,1.2757329211072555e-100,2.9630228809057474e-50,2.9536529265054624e-83,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656568803466e-20,4.9695657084993695e-20,2.58088193314619e-28,1.6597226604525593e-32,1.1182779791769831e-37,3.6492152781448917e-32,1.5728517857926149e-62,1.7044377502512319e-49,8.8281367947683078e-90,3.7327237870811763e-91,1.8688577506628853e-89
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,9.7246687273900112e-97,3.5475252026831789e-61,1.9172214312608438e-35,1.4087280195100399e-72,4.812198658737653e-50,5.8478607351419733e-116,1.3528663295250015e-21,2.5155385705369846e-102,1.3528663295227801e-21,1.5373588094249647e-69,1.3820590830721159e-64,2.8300764863512112e-97,1.7100631196757113e-98,2.3719687977447921e-49,9.4622977092925928e-82,5.3652748178718675e-15,2.5796718113483488e-16,9.9434488691017342e-20,9.9434490757189954e-20,1.0329589268592853e-27,1.3287071189602223e-31,9.3750967861570463e-37,1.4604714382233113e-31,5.2733134810244609e-61,1.393608955094804e-48,1.1809365598782238e-87,5.0073034404809661e-89,2.50512051468564e-87
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,2.6963927070950115e-94,5.6780817423682872e-60,8.0126460986360378e-35,9.8161842315600046e-71,3.8517092610935004e-49,1.6292501304872453e-113,2.7063200955844519e-21,1.611188008333748e-100,2.7063200955755629e-21,2.4611092497881534e-68,2.2120948898502799e-63,3.9429393521567647e-95,2.3825063171415132e-96,1.8978940560203693e-48,3.0296335971861338e-80,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215138500646e-19,1.9891215965291988e-19,4.1326495722413583e-27,1.0632411830739987e-30,8.1783822749810945e-36,5.8424626065512729e-31,1.838311087986877e-59,1.1617560709673196e-47,1.6374280067115733e-85,6.9818406102469249e-87,3.4902018352766266e-85
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,7.9368649275828448e-92,9.0835765828266154e-59,3.4785367807414463e-34,7.3014738474728153e-69,3.0821476433816771e-48,4.8441754289266009e-111,5.4132276277154829e-21,1.0315583392590638e-98,5.4132276276799209e-21,3.9388431169000209e-67,3.5388270770780603e-62,5.8630022045793335e-93,3.5426970295429844e-94,1.5179608792101193e-47,9.6975454002986481e-79,2.1468088339816482e-14,1.0322047651573227e-15,3.9786747057123043e-19,3.9786750365252002e-19,1.6529037135840232e-26,8.505491892311411e-30,7.6245039052722025e-35,2.3363055828251429e-30,6.8431535385980493e-58,1.0038821595813899e-46,2.4104007721816398e-83,1.0392401423945395e-84,5.1897984625436005e-83
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.5428918793302387e-89,1.4523091198592819e-57,1.609753806151869e-33,5.9749258224316024e-67,2.4660301031173374e-47,1.5841738315603823e-108,1.0827042692026066e-20,6.6032469338576038e-97,1.0827042691883808e-20,6.3030034076294273e-66,5.6579799108917513e-61,9.5896966508479381e-91,5.7945379160882469e-92,1.2134568192034849e-46,3.1036492847512041e-77,4.2938506368982849e-14,2.0645215438537819e-15,7.9577808413666261e-19,7.9577821650658766e-19,6.608753391625644e-26,6.8017567655542154e-29,7.8280244218627166e-34,9.3375138004051282e-30,2.8034106873184665e-56,9.2199171861104628e-46,3.8624108719985676e-81,1.7020106533448683e-82,8.4885846747096556e-81
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,8.9593532432665192e-87,2.3197975221282597e-56,8.1826439571042063e-33,5.4876778130407929e-65,1.9729486558771719e-46,5.8141376508131852e-106,2.1654672820841324e-20,4.2264851513713177e-95,2.1654672820272266e-20,1.0085487901496091e-64,9.0375718414300131e-60,1.7603537506072482e-88,1.0636870138830722e-89,9.6917198830234701e-46,9.9323722740687618e-76,8.5879342426996336e-14,4.1291551012460408e-15,1.5915992120394767e-18,1.5915997418123223e-18,2.6408930736038475e-25,5.436418261573836e-28,9.0235268253750034e-33,3.7283991006767275e-29,1.2891343756393561e-54,9.2746838013185722e-45,6.8061338849023348e-79,3.1286330099747808e-80,1.5582255672236964e-78
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,3.4004776042941666e-84,3.6988658512210426e-55,4.6638410690192171e-32,5.6356367005697947e-63,1.5784083882134105e-45,2.3863151229215232e-103,4.330993307924818e-20,2.7050801761283897e-93,4.3309933076971923e-20,1.6137322986465099e-63,1.4410158345968277e-58,3.613540458480993e-86,2.1834676615690947e-87,7.7274546964592895e-45,3.1784695574394905e-74,1.7176101454174625e-13,8.2584222160279254e-15,3.1832410709330053e-18,3.1832431922341139e-18,1.0542122339304951e-24,4.3408682047525868e-27,1.1624053108087823e-31,1.4860104570626581e-28,6.6271593164578639e-53,1.0448994325450203e-43,1.2918806143516089e-76,6.4298219753773885e-78,3.198624196118952e-76
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,1.3214919862493249e-81,5.8772784249770985e-54,2.9717738019590497e-31,6.3098990167265804e-61,1.2627459084948793e-44,1.0681027595347937e-100,8.662045359916729e-20,1.7312920375217017e-91,8.6620453590062168e-20,2.5820139029906351e-62,2.2896722758437405e-57,8.088466249242264e-84,4.8874225783173766e-85,6.1406739752500344e-44,1.0171274765543968e-72,3.4352435876613784e-13,1.6516956445581179e-14,6.3665232010724344e-18,6.3665317035977343e-18,4.1996589255004881e-24,3.4594183553497684e-26,1.6308293885090955e-30,5.901497626995299e-28,3.7130448189969644e-51,1.3179027048062304e-42,2.5104049896125155e-74,1.4404199431405781e-75,7.15972456435398e-74
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,4.9413953425747409e-79,9.2750442189376887e-53,2.0636391141340939e-30,7.4604441873175048e-59,1.010203465571264e-43,5.0498700821660617e-98,1.7324149465142713e-19,1.1080389457566814e-89,1.7324149461500638e-19,4.1312523031509702e-61,3.6133232618582342e-56,1.9122077100399355e-81,1.1554429824312796e-82,4.8476566745173494e-43,3.254832588413771e-71,6.870510471944883e-13,3.3034024904645618e-14,1.273308111076712e-17,1.2733115257359388e-17,1.6662423574138964e-23,2.7464774084767733e-25,2.4137104235866729e-29,2.3272028422750986e-27,2.1960891447741702e-49,1.8170100768968761e-41,4.6930462117937294e-72,3.406960664401407e-73,1.6926411100687718e-71
