Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),OH(D)X(68),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),C2H6X(52),C2H4X(215),CHO2X(213),C2H4X(70),S(216),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-6.719803722977543e-119,6.229704167734979e-54,3.933252874536297e-36,8.536102356269893e-88,2.73877130729541e-54,3.8445057426686917e-131,6.40380821026975e-20,-1.5199044780273434e-105,6.403808210269749e-20,4.549606165767825e-72,5.529543018178194e-71,2.2039402347214373e-111,2.555463674479094e-112,1.4167594155801495e-37,2.4578487573943638e-85,3.497295465007052e-18,1.0354870286886379e-19,4.145401800013294e-22,1.1930551212970015e-37,4.417678874875279e-37,4.1454017998828083e-22,6.521296373540171e-33,2.238414171517165e-40,3.3618994819703737e-44,5.620190273488713e-75,5.0558182510988174e-54,3.2699906787636625e-52,3.974418713558856e-37,2.7708009551043923e-77,7.785197223024305e-28,3.8813461782187315e-105,8.267191733465791e-55,-2.391691560783644e-106,-3.732554203467859e-107,1.1530745280697505e-87,-4.067766479954299e-123,5.895531681406369e-71,6.17506344836745e-94,-2.2782204700371758e-122,5.477611805448488e-102,-4.099119127878705e-211,-1.1855485275402802e-136,-1.5677743569693494e-145
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.2173954003953293e-116,7.395904787959211e-53,2.3756847558264407e-35,9.43266347893819e-86,4.138831201695627e-53,1.3872140162368967e-128,1.7930662988755308e-19,2.9341982659066636e-104,1.7930662988755298e-19,1.2830617330762816e-70,1.7385767954693196e-69,4.405802184179448e-109,5.1085175819292755e-110,8.55722687010418e-37,1.2722925991319693e-83,9.792427302019744e-18,2.899363680328186e-19,1.1607125040248758e-21,7.2060529326140585e-37,2.6682780404215386e-36,1.160712503946062e-21,3.938862878994535e-32,2.6574452222870706e-39,3.991261273658782e-43,3.419047980661142e-73,6.002267427665252e-53,3.882132963168712e-51,2.400548902985005e-36,1.6856133848387692e-75,2.1798552229058346e-27,7.759032300470165e-103,9.814810025954641e-54,2.420462564260926e-104,3.777455198023288e-105,6.64111889950261e-86,7.510940494449905e-121,1.6626342634813638e-69,6.823616818670978e-92,7.334468084376039e-120,5.158599081630979e-100,7.627073890698602e-208,6.858270466931658e-134,5.096996912774356e-143
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,5.1391832840912785e-114,7.261343177987044e-52,1.1437899653249277e-34,8.534028779107516e-84,4.452365741260555e-52,5.022808636461276e-126,4.098437254572641e-19,3.0982034960683165e-102,4.098437254572637e-19,2.790939525315955e-69,3.878669191484798e-68,7.976315506591911e-107,9.248519634113876e-108,4.1199363805071874e-36,5.555673439334381e-82,2.2382690976045108e-17,6.627116983607283e-19,2.653057152156581e-21,3.469404292701929e-36,1.2846610168090357e-35,2.6530571517771267e-21,1.8963927894899006e-31,2.609095303692287e-38,3.918674083038823e-42,1.5435333729528532e-71,5.893061753359056e-52,3.8115012261224406e-50,1.1557609618960987e-35,7.609664058990059e-74,4.982526225948761e-27,1.4047042301719038e-100,9.636238684478283e-53,5.068858759511617e-102,7.910631278947407e-103,2.9781564594497864e-84,3.130796711969477e-118,3.6165926879990863e-68,6.1734950058687724e-90,3.830215400406189e-117,4.508921307103912e-98,6.730280018814197e-203,7.182310314533111e-131,4.322049696172179e-140
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.6530426516416563e-111,6.422575808925872e-51,4.995231454562039e-34,6.458779082668656e-82,4.092491191298674e-51,1.5230232554112712e-123,8.709179165966862e-19,2.448871653347128e-100,8.709179165966845e-19,5.173931516197142e-68,7.264318134695816e-67,1.2086448402333057e-104,1.4014209350559754e-105,1.7992844577869052e-35,2.068495107272753e-80,4.756321832409575e-17,1.4082623590165477e-18,5.637746448758445e-21,1.5151800040164464e-35,5.610452171043083e-35,5.637746447101266e-21,8.282044369728607e-31,2.30771493954835e-37,3.4660763883138807e-41,5.82817693808599e-70,5.2123463838972033e-51,3.3712297811847457e-49,5.047511766149305e-35,2.873263977884949e-72,1.058786823937909e-26,2.1285373158025268e-98,8.523143989430057e-52,8.146064686673338e-100,1.2713022235600965e-100,1.120456893032981e-82,1.007739600539627e-115,6.704553330503104e-67,4.672193482259314e-88,1.3513453183394233e-114,3.364210248994664e-96,1.9613885884205948e-198,5.070351078971372e-128,2.7819281766714135e-137
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.728732851791305e-109,5.398561956778774e-50,2.0854109475899187e-33,4.4872063340586844e-80,3.501212375902191e-50,4.23624539172635e-121,1.7930662988755306e-18,1.7356735026379347e-98,1.7930662988755233e-18,8.892666331128394e-67,1.254730306829101e-65,1.6804040484681811e-102,1.9484246608074664e-103,7.51165842140699e-35,7.128051902306579e-79,9.792427302019671e-17,2.899363680328186e-18,1.160712504331598e-20,6.325578252839983e-35,2.3422533394152044e-34,1.160712503639758e-20,3.457589515050806e-30,1.93977293627726e-36,2.9135361191327282e-40,2.0221268477805573e-68,4.381291202846418e-50,2.833721948906113e-48,2.107236801865507e-34,9.968684870258423e-71,2.1798552295617645e-26,2.95934968129319e-96,7.16421608096533e-51,1.1646891492754351e-97,1.817653017193545e-98,3.8797864850913257e-81,2.8839777659558566e-113,1.1523414154360916e-65,3.245885573712056e-86,4.0320953641971783e-112,2.321186019566434e-94,4.235023331532423e-194,3.026530375440184e-125,1.592455313398725e-134
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.2787471775370802e-106,4.426067259794431e-49,8.519585372083928e-33,2.9908845814541676e-78,2.8948700992042795e-49,1.1299672918193618e-118,3.637363063433218e-18,1.1680286986457942e-96,3.63736306343319e-18,1.4738942286541105e-65,2.084753170524279e-64,2.2407915354059266e-100,2.5981926735206217e-101,3.068757564524104e-34,2.366717252941972e-77,1.9864638241239738e-16,5.88156632295146e-18,2.3545882237846286e-20,2.584205114699863e-34,9.568869149765115e-34,2.3545882209582352e-20,1.4125373368989453e-29,1.5903421954531687e-35,2.388840642414282e-39,6.734936495813666e-67,3.592047234150258e-49,2.3232567649857445e-47,8.608749909780243e-34,3.319986516201919e-69,4.4219920525606353e-26,3.94624478678862e-94,5.873657186713705e-50,1.5744606498044937e-95,2.457156189505051e-96,1.2908294013120018e-79,7.800532517766698e-111,1.9099213873641624e-64,2.16336785375846e-84,1.11257189725641e-109,1.5422719690402018e-92,7.93920321146367e-190,1.6704431987977183e-122,8.619333577198765e-132
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,3.364204486051154e-104,3.584344020932692e-48,3.4437535926616834e-32,1.953398014598698e-76,2.354060287886106e-48,2.952696766776844e-116,7.325956592548594e-18,7.663863519813121e-95,7.325956592548479e-18,2.3998546692159255e-64,3.3986738313414855e-63,2.927456665190757e-98,3.3943793250131275e-99,1.2404408727930905e-33,7.719272198851388e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339664856787e-20,1.0445770251486194e-33,3.8678899032351634e-33,4.742339653432046e-20,5.709695306537785e-29,1.287898959310646e-34,1.9347843207493705e-38,2.198662993197663e-65,2.908932979667293e-48,1.8814340567954883e-46,3.4797943553774815e-33,1.0836977486255265e-67,8.906265745563011e-26,5.1555267058039325e-92,4.7566398743785216e-49,2.0708782639979523e-93,3.231882200282526e-94,4.2113377402823284e-78,2.05242895885991e-108,3.1098118645141916e-63,1.4127605836693483e-82,2.9560444185579476e-107,1.006334365387435e-90,1.389099805629179e-185,8.87717941981709e-120,4.5415922854530414e-129
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,8.73191923356712e-102,2.8849918995859777e-47,1.384718952547674e-31,1.2631134850574488e-74,1.8986349038692267e-47,7.638029446812329e-114,1.4703143650779348e-17,4.966069506267445e-93,1.4703143650778873e-17,3.8733751115849556e-63,5.48886731223603e-62,3.786221408353377e-96,4.3901150855316066e-97,4.987758192932389e-33,2.497458548480389e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842555665534e-20,4.200198275167704e-33,1.5552615183686527e-32,9.5178425097271e-20,2.2958381799259417e-28,1.0366109008508495e-33,1.5576678567721307e-37,7.107428211504404e-64,2.3413623324215615e-47,1.51434260522028e-45,1.3992100054251052e-32,3.502316457760122e-66,1.7874813319586312e-25,6.6678922406655135e-90,3.828557588784068e-48,2.68738164895517e-91,4.194018105684637e-92,1.3606838576697937e-76,5.327436200839815e-106,5.019248887137602e-62,9.133020593880173e-81,7.710040426201949e-105,6.5125351945999e-89,2.3471078263221053e-181,4.6309065300149314e-117,2.363975271955715e-126
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,2.251623698415139e-99,2.3150243100287778e-46,5.553348579593952e-31,8.128534188479392e-73,1.5250868069808837e-46,1.9662366329249668e-111,2.945751776724084e-17,3.1980097444877225e-91,2.9457517767238957e-17,6.2244098207087545e-62,8.823193883997862e-61,4.873290100805243e-94,5.6505687542134444e-95,2.0003141183058316e-32,8.05969488791439e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848371941016e-19,1.6844673661692973e-32,6.23729429537605e-32,1.9068848187706933e-19,9.207296306496127e-28,8.318113915775718e-33,1.2505484113724689e-36,2.2867546523140945e-62,1.8787958162109275e-46,1.2151658469893033e-44,5.61145793227657e-32,1.1262877227004908e-64,3.58119092197071e-25,8.582322515753314e-88,3.0721763501704374e-47,3.4647701362005164e-89,5.407236723013954e-90,4.3751954525218213e-75,1.3737735072229775e-103,8.065798216240597e-61,5.874526326648147e-79,1.9929341041155548e-102,4.203570122940299e-87,3.8905207128382924e-177,2.394086579308225e-114,1.2257093893818415e-123
