Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-5.688053389520369e-119,5.852212541467378e-54,3.7727119402168e-36,7.532947011537446e-88,2.5728142907853835e-54,3.254225098721721e-131,6.271756745260255e-20,-1.3412867393172771e-105,6.271756745260253e-20,4.185789293528651e-72,2.524397224195848e-71,1.9048290282013684e-111,2.208644912858575e-112,1.3589325006584988e-37,2.2146717171588935e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172518102e-22,1.1443589938721842e-37,4.237365451411085e-37,4.05992041712665e-22,6.255121015784933e-33,2.1027764953656463e-40,3.1581834623956185e-44,5.064136794508263e-75,4.749458751037013e-54,3.071844174637374e-52,3.812197541577014e-37,2.496662129475582e-77,3.354583192544715e-105,7.624660450979385e-28,-3.225984750113281e-107,-2.0670993872548893e-106,-3.443206657209101e-123,5.424085622480453e-71,5.449375794466769e-94,5.155570384844431e-88,4.833885332252341e-102,-7.705114440814055e-144,-1.2996720059818904e-145,-3.0619872264121243e-211
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.0304779429742642e-116,6.947746729252329e-53,2.2787180303093993e-35,8.324144438503022e-86,3.888036931635381e-53,1.1742228111301865e-128,1.756091888672872e-19,2.5893740422525676e-104,1.756091888672871e-19,1.1804595461998263e-70,7.937108785519185e-70,3.807861551127739e-109,4.4152067819430935e-110,8.207952303977341e-37,1.1464125341455884e-83,9.590499897454917e-18,2.839576564753946e-19,1.136777716850797e-21,6.911928322823521e-37,2.5593687326493557e-36,1.1367777167752001e-21,3.778092970825572e-32,2.4964161797283e-39,3.749408479e-43,3.0807721015812826e-73,5.638557429086064e-53,3.6468934311237215e-51,2.302567315108248e-36,1.518841365299928e-75,6.706002570204624e-103,2.134904926714522e-27,3.264791695838484e-105,2.0919655338249764e-104,6.357719537078083e-121,1.5296789215743863e-69,6.021711786036368e-92,2.9693445798044933e-86,4.552359942510122e-100,2.5222464049360138e-141,4.225202042484071e-143,5.697326141124429e-208
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.350118460086665e-114,6.82133893840336e-52,1.0971046598427208e-34,7.531115399855597e-84,4.182572708079983e-52,4.251611862214224e-126,4.013924316966564e-19,2.734105530841713e-102,4.0139243169665603e-19,2.56775735605743e-69,1.7707253081203373e-68,6.893795766206793e-107,7.993340464609903e-108,3.9517757119149255e-36,5.005991142604701e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490671831882e-21,3.3277959539336e-36,1.2322258732659328e-35,2.5983490668192213e-21,1.8189890073274777e-31,2.450996048731842e-38,3.681219168341909e-42,1.390818098480911e-71,5.5359691197589936e-52,3.5805416536394313e-50,1.1085870450841921e-35,6.856775502887555e-74,1.2140623157058144e-100,4.879782691708862e-27,6.837025976826901e-103,4.380929636282412e-102,2.650097463399384e-118,3.3273857760933866e-68,5.447991684736004e-90,1.3315787408103295e-84,3.979027290968478e-98,2.1463609712067332e-138,3.582500171703335e-140,5.027440988315608e-203
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.3992357764370283e-111,6.033397041896068e-51,4.791344449561272e-34,5.699745892678072e-82,3.844504912404244e-51,1.2891794621345114e-123,8.529589173553949e-19,2.1610825563151086e-100,8.529589173553932e-19,4.760189387496739e-68,3.316372532079312e-67,1.0446111482808867e-104,1.2112242434354878e-105,1.7258442758363042e-35,1.863831946303576e-80,4.658242807335231e-17,1.3792229028804885e-18,5.521491768172609e-21,1.4533359219627362e-35,5.381454123246499e-35,5.521491766583069e-21,7.94400178806504e-31,2.167877963702881e-37,3.2560459239850644e-41,5.2515427053746296e-70,4.896501993024637e-51,3.1669486460165487e-49,4.841490877736636e-35,2.588987629128049e-72,1.839658546170281e-98,1.0369538228742246e-26,1.098764852737845e-100,7.040504924777624e-100,8.530120527276768e-116,6.168412456147883e-67,4.123121713942085e-88,5.009732024196876e-83,2.9688365417998405e-96,1.3839236000763618e-135,2.305520097666843e-137,1.465139221110065e-198
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,4.0026844135688294e-109,5.071433753297777e-50,2.0002921276402217e-33,3.959869137118158e-80,3.2890548932853964e-50,3.585813385842192e-121,1.7560918886728717e-18,1.531698782519125e-98,1.756091888672865e-18,8.181549323400085e-67,5.728208825326362e-66,1.4523436959232124e-102,1.683989202290361e-103,7.205060118491454e-35,6.422747963654588e-79,9.590499897454848e-17,2.8395765647539465e-18,1.136777717145e-20,6.06739138321587e-35,2.246651162297135e-34,1.1367777164813982e-20,3.3164634507859704e-30,1.822231573905461e-36,2.7369856561430235e-40,1.8220584151031673e-68,4.1158049605950897e-50,2.6620113310626583e-48,2.021227136484576e-34,8.982398466368485e-71,2.5577139364659957e-96,2.134904933098781e-26,1.5709655538177996e-98,1.00662035994555e-97,2.4411725654167127e-113,1.0601924975847597e-65,2.8644321801146477e-86,1.734711145345821e-81,2.048381733761034e-94,7.926672290751396e-133,1.3193002489520738e-134,3.1635438613409205e-194
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,1.0824073113015396e-106,4.157867794306431e-49,8.171847146388317e-33,2.6393920675710035e-78,2.7194541898519374e-49,9.564712266704463e-119,3.5623578313078255e-18,1.0307630628354219e-96,3.562357831307797e-18,1.3560317997074048e-65,9.517504635099253e-65,1.9366743540051443e-100,2.245569495451204e-101,2.9435021537264127e-34,2.1325143046895308e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347983198987e-20,2.478727353144267e-34,9.17830306202714e-34,2.306034795608868e-20,1.3548827831940506e-29,1.4939747533104106e-35,2.24408209477049e-39,6.068576921326715e-67,3.3743855716495006e-49,2.182478001769001e-47,8.257372362453222e-34,2.991512170831245e-69,3.410665808242693e-94,4.3308071648194144e-26,2.123674250920211e-96,1.360776964600715e-95,6.602832568486675e-111,1.7571913139058835e-64,1.9091309363873619e-84,5.771493245801658e-80,1.3609980347303373e-92,4.2894739212053505e-130,7.136037951025676e-132,5.930626452409083e-190
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.847654730878481e-104,3.367149140206265e-48,3.3031921832739443e-32,1.723827934586246e-76,2.211414983634415e-48,2.499331202066808e-116,7.174889716577732e-18,6.763213475827555e-95,7.174889716577618e-18,2.2079462575170736e-64,1.5515934646775758e-63,2.5301399523017813e-98,2.9336915028007555e-99,1.1898106330866109e-33,6.955254783204555e-76,3.9184042438171695e-16,1.160169853599468e-17,4.644548962747381e-20,1.0019412267688242e-33,3.7100168459663666e-33,4.644548951788956e-20,5.476646773405214e-29,1.2098582167604728e-34,1.817535965042211e-38,1.9811206876274396e-65,2.73266492033288e-48,1.767427724902281e-46,3.33776193271788e-33,9.764783860932088e-68,4.4558145808429293e-92,8.72261167334676e-26,2.7932485070236216e-94,1.789816973755141e-93,1.737293072703719e-108,2.861130532574813e-63,1.2467343404606028e-82,1.8829527204169042e-78,8.880348675627865e-91,2.257628037875869e-127,3.754969486825411e-129,1.0376915407967708e-185
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,7.391158064660711e-102,2.7101745639958035e-47,1.328199780833567e-31,1.1146624792952356e-74,1.783586298309309e-47,6.465232423090326e-114,1.4399953487117545e-17,4.3824616813512115e-93,1.4399953487117092e-17,3.563634161387991e-63,2.5058275891388204e-62,3.272336249983912e-96,3.7942664167254193e-97,4.7841762258687844e-33,2.250179961851235e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577299913124e-20,4.028761599325386e-33,1.491781456399338e-32,9.321577255849732e-20,2.2021307042689295e-28,9.737970998832386e-34,1.4632653835597877e-37,6.404165840337954e-64,2.1994864604266314e-47,1.422580327392693e-45,1.3420993929659117e-32,3.155802875584669e-66,5.762892112456835e-90,1.7506220870745773e-25,3.624784429799725e-92,2.322636410466912e-91,4.509423820400247e-106,4.6178762147803075e-62,8.059717287349859e-81,6.083823075474189e-77,5.7467223178226976e-89,1.1721098097885894e-124,1.9492754278493384e-126,1.7534368009112601e-181
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,1.905874339298591e-99,2.1747444077422797e-46,5.326681043532198e-31,7.17313373833e-73,1.4326735103837721e-46,1.664310307377056e-111,2.8850081028197163e-17,2.8221826424538733e-91,2.885008102819535e-17,5.7266644289671386e-62,4.0280446613591705e-61,4.211820742959276e-94,4.8835965428435164e-95,1.9186686440851428e-32,7.261098455692898e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675634007487976e-19,1.6157135868536167e-32,5.982710854787907e-32,1.8675633830773672e-19,8.831489940222377e-28,7.814075578866772e-33,1.1747469482344859e-36,2.060465302293091e-62,1.7649493593625184e-46,1.141532295960599e-44,5.382418833057253e-32,1.0148547074063637e-64,7.417412722663589e-88,3.5073439986921074e-25,4.673292119474342e-90,2.994483837852396e-89,1.1628230258406435e-103,7.420803106904296e-61,5.1841584062468346e-79,1.9562159807919445e-75,3.708971193450723e-87,6.045194089868088e-122,1.0052896760060141e-123,2.906758289291573e-177
