Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),O(29),CO2X(24),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.030163967924054e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-5.21919520728452e-119,5.666436824168833e-54,3.692441473073083e-36,7.062278095902336e-88,2.4911415099320154e-54,2.9859839334540876e-131,6.204677204385183e-20,-1.2574813475025964e-105,6.204677204385183e-20,4.009565465585235e-72,2.2559662292665163e-71,1.7667125341046778e-111,2.0484991530280505e-112,1.3300190431976794e-37,2.0987425545199475e-85,3.3885445560236222e-18,1.0032878174017489e-19,4.016497560045407e-22,1.120010930143965e-37,4.147208739678988e-37,4.0164975599229098e-22,6.122033336800531e-33,2.0360248515021066e-40,3.0579282941776555e-44,4.799050767132108e-75,4.598689430768529e-54,2.9743299349397002e-52,2.365972586145079e-77,3.7310869555860913e-37,3.1113470475415037e-105,-2.9920731004547077e-107,7.54311093570893e-28,-1.9172168964755388e-106,-3.159388010690822e-123,5.108891503248333e-94,5.195728898226763e-71,4.5318563986235e-102,-6.994375703987167e-144,-1.1797870586504116e-145,-2.63404620392966e-211
1.968445911018735e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,9.455370714151543e-117,6.72719379767455e-53,2.2302346675699096e-35,7.80404013975703e-86,3.764613038544532e-53,1.0774332501557713e-128,1.7373096172278516e-19,2.4275864855990484e-104,1.7373096172278508e-19,1.1307616110788721e-70,7.093118767368636e-70,3.5317587003031335e-109,4.095066156264758e-110,8.033315020913988e-37,1.0864020978830386e-83,9.487924756866138e-18,2.809205888724897e-19,1.1246193168325724e-21,6.764866017740544e-37,2.5049140787632624e-36,1.1246193167585838e-21,3.6977080166143174e-32,2.4171686313150302e-39,3.630384992935247e-43,2.919506677615195e-73,5.459564091943967e-53,3.5311245246181736e-51,1.4393365412192607e-75,2.253576521169866e-36,6.21975946435392e-103,3.028066097389371e-105,2.1120710624294257e-27,1.9402799627191776e-104,5.8336615131901695e-121,5.645467177849022e-92,1.4652786767332742e-69,4.2679198154616643e-100,2.2895880990093327e-141,3.835458855677646e-143,4.901073822282164e-208
4.499304939471395e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.9915439002994715e-114,6.6047987623172524e-52,1.0737620071203002e-34,7.060560119598585e-84,4.049798916969223e-52,3.9011570759060755e-126,3.970993410806518e-19,2.5632749577585445e-102,3.970993410806515e-19,2.4596534926279366e-69,1.5824357777100493e-68,6.393935530141253e-107,7.413753661186247e-108,3.867695377618856e-36,4.7439430147126016e-82,2.168668515855115e-17,6.421042031371192e-19,2.570558438568068e-21,3.2569917843651427e-36,1.206008301494379e-35,2.5705584382118444e-21,1.7802871161217995e-31,2.3731903425072296e-38,3.5643600381623884e-42,1.3180145334245958e-71,5.360232399684056e-52,3.466879052324764e-50,6.4978527504644555e-74,1.0850000866782348e-35,1.1260322236770858e-100,6.341282038984869e-103,4.8275910018701954e-27,4.0632740771597445e-102,2.4316534061511137e-118,5.107593879484245e-90,3.1873011778865117e-68,3.730407663913765e-98,1.9483751243734514e-138,3.25204115595364e-140,4.3248147568452077e-203
9.561022996376713e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.2838984030891477e-111,5.841869708383825e-51,4.689400947226134e-34,5.34361645592491e-82,3.722462923541037e-51,1.182913905039921e-123,8.43836099796385e-19,2.0260552257254666e-100,8.438360997963835e-19,4.559783043866064e-68,2.963727080031184e-67,9.688675892458653e-105,1.1233997595227453e-105,1.6891241848610566e-35,1.76626381798356e-80,4.608420596192111e-17,1.3644714316663785e-18,5.46243668235679e-21,1.4224138807728758e-35,5.266955099348181e-35,5.462436680801069e-21,7.774980496132357e-31,2.0990597096570546e-37,3.1526832729398505e-41,4.976645410196535e-70,4.741064853823661e-51,3.066415358059413e-49,2.4534652480654714e-72,4.7384804335302623e-35,1.7062670100707544e-98,1.0190946683478763e-100,1.0258630887646548e-26,6.530005954767873e-100,7.826992648366729e-116,3.865503561323285e-88,5.9087192200784066e-67,2.7833325755623655e-96,1.2562667352646678e-135,2.0928526710092253e-137,1.2603760308324709e-198
1.9684459110187352e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,3.6727466413987416e-109,4.910443489087208e-50,1.9577327178042713e-33,3.712448869197133e-80,3.1846454023946856e-50,3.290237943025912e-121,1.7373096172278513e-18,1.4359961925122359e-98,1.737309617227845e-18,7.837102022773153e-67,5.119101503699714e-66,1.3470354921740535e-102,1.5618845802757394e-103,7.051760967034129e-35,6.08651322792331e-79,9.48792475686607e-17,2.8092058887248964e-18,1.1246193171205155e-20,5.938297947033654e-35,2.1988500737380788e-34,1.1246193164710328e-20,3.245900417728178e-30,1.7643857049366012e-36,2.6500996311923546e-40,1.726680380911437e-68,3.985150678549883e-50,2.5775070377456434e-48,8.512208515242201e-71,1.9782223037940783e-34,2.372256278537977e-96,1.4570561734373467e-98,2.1120710686778503e-26,9.336311710861103e-98,2.2399488532741153e-113,2.6854586383838994e-86,1.0155578654994163e-65,1.920386250592579e-94,7.195492271807075e-133,1.1976040354720595e-134,2.721425970482116e-194
3.9931331337808625e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,9.931847948675711e-107,4.02587824907474e-49,7.997978034679285e-33,2.474476191304367e-78,2.6331264037026202e-49,8.776295931870317e-119,3.524256652090784e-18,9.663596070634024e-97,3.524256652090758e-18,1.2989421856861692e-65,8.50546371043588e-65,1.796246615564288e-100,2.0827438530786016e-101,2.880874448327929e-34,2.020865372632733e-77,1.9246933078213872e-16,5.698674802841931e-18,2.2813706153985573e-20,2.4259884712431297e-34,8.983020018157973e-34,2.2813706127452087e-20,1.3260555055829264e-29,1.4465492481024938e-35,2.1728419609580895e-39,5.750905648602306e-67,3.267267296188911e-49,2.1131962647593935e-47,2.834919382650753e-69,8.081683588789447e-34,3.163359344440418e-94,1.9696871810192586e-96,4.2844870395359414e-26,1.26210737930698e-95,6.0585630510160684e-111,1.7898458998904196e-84,1.6832126845743052e-64,1.275947920808507e-92,3.893797521215888e-130,6.477784283830431e-132,5.101831130637994e-190
8.042507579305118e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.6129200778783595e-104,3.2602605844017365e-48,3.232911479502277e-32,1.6161167720003768e-76,2.1412146616334827e-48,2.2933092053246992e-116,7.09815072181665e-18,6.34063884575838e-95,7.098150721816541e-18,2.1149906206004004e-64,1.386605251425306e-63,2.3466772266457444e-98,2.720966890928504e-99,1.1644955132336638e-33,6.591040157391962e-76,3.8764949720908993e-16,1.1477612631075991e-17,4.594873213988121e-20,9.806233266692175e-34,3.631080317331822e-33,4.594873203262855e-20,5.360122500694983e-29,1.1714518666216997e-34,1.7598345912192442e-38,1.8774127410561654e-65,2.6459177616265102e-48,1.7113215588866357e-46,9.253639551005639e-68,3.266745721387866e-33,4.13271945432091e-92,2.590707492244039e-94,8.629319025378926e-26,1.6600357009966182e-93,1.5940865116012843e-108,1.1688367358743097e-82,2.740675512416629e-63,8.325321023481759e-91,2.049373768110894e-127,3.4085933392946395e-129,8.926875173522036e-186
1.614125647035363e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,6.7818813050936556e-102,2.624141355164603e-47,1.2999401957187777e-31,1.0450115917263767e-74,1.7269671954343062e-47,5.932282906308344e-114,1.4245938861268382e-17,4.108639609874847e-93,1.4245938861267935e-17,3.413603388636308e-63,2.239371184230537e-62,3.0350485598713743e-96,3.5191318813626914e-97,4.682385242339334e-33,2.132304201840428e-74,7.780098300629731e-16,2.3035488287544083e-17,9.221878419301199e-20,3.9430432540821e-33,1.4600414254145625e-32,9.221878376175327e-20,2.155276961495268e-28,9.428844142468944e-34,1.4168073811078175e-37,6.068904324151775e-64,2.129664797032566e-47,1.3774211730542045e-45,2.99061027539297e-66,1.3135440867361434e-32,5.345006157827573e-90,3.361939448375059e-92,1.73189831735721e-25,2.1542144430957858e-91,4.137697699324334e-106,7.556135695874262e-81,4.423461326607228e-62,5.38743755586484e-89,1.0639861747651636e-124,1.7694605477796438e-126,1.5084558610329084e-181
3.2338754252450648e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996374,0.022821567693054264,1.7487581782482067e-99,2.1057081757965155e-46,5.213347281457458e-31,6.724878760314151e-73,1.3871939678757574e-46,1.5271082846492895e-111,2.8541515140171834e-17,2.645848893654923e-91,2.854151514017005e-17,5.485569004842218e-62,3.599723773270473e-61,3.9063883324146257e-94,4.529448359618864e-95,1.8778459069766859e-32,6.880441883608375e-73,1.558730495770663e-15,4.6151239600480193e-17,1.8475888862463413e-19,1.5813366913202308e-32,5.855419134492885e-32,1.847588868950899e-19,8.64358671740418e-28,7.566022128675584e-33,1.1374433875056137e-36,1.9525888950227665e-62,1.7089218665118822e-46,1.105294869193582e-44,9.617315054518156e-65,5.267899283446212e-32,6.879517502041564e-88,4.334394427174692e-90,3.469831217598727e-25,2.7773299260112008e-89,1.0669624520228726e-103,4.860245677545453e-79,7.108383600819496e-61,3.47694429012426e-87,5.487515212479689e-122,9.125500513457462e-124,2.5007704181869724e-177
