Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),CO2X(24),H2OX(23),O(29),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-4.7799378503916836e-119,5.482669591351393e-54,3.612171005940204e-36,6.61163457385377e-88,2.4103517454561288e-54,2.734677866807819e-131,6.136864488443326e-20,-1.177241599690466e-105,6.136864488443325e-20,3.8371314359993543e-72,2.047431060515347e-71,1.6359019052779921e-111,1.8968245273117855e-112,1.3011055857368598e-37,1.9865328505934003e-85,3.3515101702103593e-18,9.923225939858866e-20,3.972600093802984e-22,1.0956628662674886e-37,4.057052027946889e-37,3.972600093683149e-22,5.988945657743918e-33,1.9699948823370484e-40,2.9587570242969165e-44,4.542469606100767e-75,2.8778699548735742e-52,2.23947600573256e-77,3.649976369595166e-37,2.880977218873717e-105,-2.770534536454472e-107,-1.7752626502883867e-106,4.449550128312792e-54,7.460670089482661e-28,-2.8934879333131436e-123,4.7828936715152273e-94,4.242677918555428e-102,-6.335705868273311e-144,-1.068684913158146e-145,-2.258428591458807e-211
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,8.659588484952186e-117,6.509025338872767e-53,2.1817513048432858e-35,7.306064572767078e-86,3.6425235255668576e-53,9.867543917170759e-129,1.7183220567641317e-19,2.2726824462584988e-104,1.718322056764131e-19,1.0821324498374885e-70,6.437450844771978e-70,3.270260709796293e-109,3.79185983280789e-110,7.858677737850635e-37,1.0283170434563138e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026284262e-21,6.617803710897468e-37,2.4504594248771657e-36,1.112328026211882e-21,3.617323062317333e-32,2.3387778550353796e-39,3.5126483228120687e-43,2.7634152092598403e-73,3.416607235171638e-51,1.3623825010129772e-75,2.2045857272314807e-36,5.759236892066024e-103,2.803862442709505e-105,1.796618019753511e-104,5.2825059113197705e-53,2.0889876254767026e-27,5.342689316849886e-121,5.2852305101532144e-92,3.995581856163405e-100,2.0739744100795802e-141,3.474268371267455e-143,4.202177270595751e-208
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,3.655607581069315e-114,6.390599675742396e-52,1.0504193544105132e-34,6.610025464640063e-84,3.918460588725738e-52,3.5728278964807575e-126,3.9275932726037295e-19,2.3997126504245902e-102,3.927593272603726e-19,2.3538744437128914e-69,1.4361598711011318e-68,5.920516168297122e-107,6.864824991104682e-108,3.783615043322788e-36,4.4903026644256703e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640601698948e-21,3.186187613068608e-36,1.1797907297228227e-35,2.542464059821416e-21,1.7415852248319513e-31,2.2962258200990662e-38,3.448764336575158e-42,1.2475467666702555e-71,3.3544452961123934e-50,6.150445454579622e-74,1.0614131282722748e-35,1.0426586184482441e-100,5.87176123796194e-103,3.7624213962488505e-102,5.186395626420539e-52,4.774828860219807e-27,2.2270005926328525e-118,4.781678853770398e-90,3.4923663150329284e-98,1.7648937957204044e-138,2.9457916931259795e-140,3.708096306148915e-203
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.1758427568750933e-111,5.65241304203237e-51,4.587457445002742e-34,5.002639253244136e-82,3.6017403721625946e-51,1.083357333620346e-123,8.3461357042829245e-19,1.8967728532686464e-100,8.346135704282909e-19,4.363686514129428e-68,2.6897684956404458e-67,8.971306149690042e-105,1.040220901497151e-105,1.6524040938858111e-35,1.67182629760505e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736128251984e-21,1.391491838054552e-35,5.152456075449846e-35,5.402736126730085e-21,7.605959203455204e-31,2.0309854729129623e-37,3.0504381547742456e-41,4.7105678528547444e-70,2.9669689697711244e-49,2.3222908833935556e-72,4.6354699893238653e-35,1.5799314468118394e-98,9.436387744503914e-101,6.046510698643808e-100,4.587308193689563e-51,1.0146511336450942e-26,7.168256151587059e-116,3.618846192577415e-88,2.6057217085880837e-96,1.1379620815457824e-135,1.8957653755145185e-137,1.0806482396731672e-198
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,3.3636393204423894e-109,4.751193745392477e-50,1.9151733080622486e-33,3.475555675739002e-80,3.081364718032796e-50,3.0133235031389137e-121,1.7183220567641315e-18,1.3443654253596794e-98,1.7183220567641252e-18,7.500062190987725e-67,4.645906177893944e-66,1.2472977815852304e-102,1.446238932372926e-103,6.898461815576823e-35,5.76106806965824e-79,9.384228476588936e-17,2.778503263160482e-18,1.1123280265659455e-20,5.809204498003788e-35,2.151048985179008e-34,1.1123280259305823e-20,3.175337384044614e-30,1.7071652269065453e-36,2.564153034988749e-40,1.6343624678209798e-68,2.4939163492458368e-48,8.057103846651578e-71,1.93521747110356e-34,2.1966087833345527e-96,1.3491722636531408e-98,8.645028949322033e-98,3.8559089364271533e-50,2.0889876315892918e-26,2.0514292967656216e-113,2.5140998169193e-86,1.7978372813546608e-94,6.517879135556516e-133,1.0848233924837621e-134,2.333362312959733e-194
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,9.095953555814984e-107,3.895315687719982e-49,7.824108923740324e-33,2.316577164134685e-78,2.5477319366185455e-49,8.037656380265491e-119,3.485739029435809e-18,9.046963014061109e-97,3.485739029435783e-18,1.2430803053000174e-65,7.719242599508103e-65,1.6632471862570963e-100,1.9285313182006932e-101,2.818246742929461e-34,1.9127998684702134e-77,1.9036577766794548e-16,5.636392333839833e-18,2.256436854544757e-20,2.3732495788087114e-34,8.787736974288681e-34,2.2564368519490898e-20,1.2972282274587574e-29,1.3996364754594906e-35,2.1023721506252647e-39,5.443426818219263e-67,2.044663556430674e-47,2.683350619273482e-69,7.905994815125498e-34,2.929134832140401e-94,1.8238456797788466e-96,1.1686571916274183e-95,3.1613070997560805e-49,4.237660638269567e-26,5.5486560736977654e-111,1.6756360384409936e-84,1.1945173858021436e-92,3.5271089755312422e-130,5.867755283672783e-132,4.374360880380509e-190
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,2.3930057461999014e-104,3.154527637138171e-48,3.1626307763542356e-32,1.5129886623800806e-76,2.0717732991960617e-48,2.1002947125472565e-116,7.020572974779165e-18,5.9360433428512115e-95,7.020572974779059e-18,2.0240340296389653e-64,1.2584313671912367e-63,2.1729195148508636e-98,2.5194952204885534e-99,1.13918039338073e-33,6.238519599880581e-76,3.834127634720529e-16,1.1352170475198528e-17,4.5446545124916534e-20,9.593054180394868e-34,3.552143788697176e-33,4.544654501999546e-20,5.243598223829993e-29,1.1334607394554884e-34,1.7027572445998546e-38,1.7770324050804033e-65,1.655821976128158e-46,8.758894467926471e-68,3.195729510057708e-33,3.826715770597868e-92,2.3988807200670117e-94,1.537119741769218e-93,2.56010843474481e-48,8.535006694797639e-26,1.4599215103550439e-108,1.094253410061111e-82,7.79392076968878e-91,1.8563767940025267e-127,3.087593689404929e-129,7.654092916003322e-186
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,6.21107376533943e-102,2.539038280623436e-47,1.2716806111059338e-31,9.7832451027387e-75,1.6709602209424575e-47,5.432983365795619e-114,1.4090240865465876e-17,3.846467745231754e-93,1.4090240865465445e-17,3.266799084115845e-63,2.0323700189629054e-62,2.810313826148989e-96,3.258552470297205e-97,4.5805942588099934e-33,2.0182160035703694e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089836342573e-20,3.8573248401809556e-33,1.4283013944297066e-32,9.12108979415422e-20,2.1084232153775143e-28,9.123059343279985e-34,1.3708519708306293e-37,5.7444011273605076e-64,1.332750250355063e-45,2.8307176045706977e-66,1.2849887805062586e-32,4.949227140822351e-90,3.1129994625235275e-92,1.9947023096023426e-91,2.0605979652212706e-47,1.712969898052388e-25,3.789442055045002e-106,7.073979780066115e-81,5.043455754485018e-89,9.637842641612434e-125,1.6028198853701038e-126,1.2934162196907406e-181
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,1.6015630366367452e-99,2.0374183180416442e-46,5.100013523410469e-31,6.295700609505347e-73,1.342206120174062e-46,1.3985698102230532e-111,2.822957664683929e-17,2.477017551926792e-91,2.822957664683755e-17,5.249658428547923e-62,3.2669754462548506e-61,3.61711553191667e-94,4.194037207377005e-95,1.8370231698683168e-32,6.512034779563253e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960515873153e-19,1.5469597406932389e-32,5.728127414197222e-32,1.8273960346678626e-19,8.455683467752046e-28,7.320650439130201e-33,1.1005436401707718e-36,1.8481748113311742e-62,1.0694492186324865e-44,9.1031267018185e-65,5.15337973383424e-32,6.37008087556451e-88,4.013426932608039e-90,2.571665048701391e-89,1.6535000510908039e-46,3.431908424265674e-25,9.77154946833597e-104,4.550114312454058e-79,3.2548107108997763e-87,4.970697820518649e-122,8.26605521455689e-124,2.144382140491109e-177
6.402625589817542e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999967,0.11866996602996219,0.02282156769305424,4.117684734341207e-97,1.6324139775569513e-45,2.0426699678359613e-30,4.043103812874811e-71,1.075944337108627e-45,3.592738012545275e-109,5.650824820958608e-17,1.5901979448066846e-89,5.650824820957914e-17,8.417719095527974e-61,5.239339351645443e-60,4.645904239774537e-92,5.3869153665677235e-93,7.357674541448699e-32,2.1043512193574896e-71,3.086070564728901e-15,9.13730644542194e-17,3.6579702002251214e-19,6.195907515168179e-32,2.2942387403700182e-31,3.657970132458765e-19,3.386654497300227e-27,5.865380518758501e-32,8.826094427067571e-36,5.9343042523651554e-61,8.568625058632405e-44,2.92017678478346e-63,2.064039881108768e-31,8.181874610833544e-86,5.159284556038805e-88,3.3058909010414664e-87,1.3248121041965269e-45,6.869785752964392e-25,2.5123301187295908e-101,2.91936325589235e-77,2.103523762775371e-85,2.5560604944325714e-119,4.250512060681148e-121,3.5093042483093255e-173
