Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),COX(50),CHOX(53),CO2X(24),H2OX(23),O(29),acetyl(44),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-3.6271815930547676e-119,4.943644572106488e-54,3.3713596046078175e-36,5.375503068676318e-88,2.1733795942088778e-54,2.075167821303007e-131,5.928774356156224e-20,-9.571410236079878e-106,5.928774356156224e-20,3.3425677973706187e-72,1.7681955553600658e-71,1.2849490824731051e-111,1.489895529871348e-112,1.2143652133544025e-37,1.6718114857114052e-85,3.2378664363469204e-18,9.586747042136973e-20,3.837896308081138e-22,1.0226186749666432e-37,3.786581892750577e-37,3.837896307969293e-22,5.58968262013269e-33,1.7763161459828065e-40,2.6678684436565685e-44,3.822820567023509e-75,2.5949340810418087e-52,1.884683184526104e-77,3.4066446116223703e-37,2.262916267823966e-105,-2.1761670454538395e-107,-1.3944125303371741e-106,4.012095562023364e-54,7.207692069672048e-28,-2.195678375009847e-123,3.888669703555899e-94,3.4494512008457327e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,6.571193466125091e-117,5.869094836022584e-53,2.0363012167420707e-35,5.940099645458964e-86,3.2844112425050203e-53,7.487831606799256e-129,1.660056819723743e-19,1.8477750002720474e-104,1.6600568197237423e-19,9.426575998703065e-71,5.559489760157598e-70,2.5686858256027876e-109,2.978385355035838e-110,7.334765888660591e-37,8.654025190561346e-84,9.066026021771375e-18,2.684289171798353e-19,1.0746109662808501e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109662132955e-21,3.376168198902366e-32,2.1088424681644217e-39,3.1673038553272746e-43,2.3256158509417343e-73,3.0807057625691154e-51,1.146544721410624e-75,2.057613345416306e-36,4.523697491953692e-103,2.2023448077548506e-105,1.4111863358328902e-104,4.763159849430144e-53,2.018153779901628e-27,4.054216349013667e-121,4.29708816312256e-92,3.2485499309601544e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,2.7740000424673916e-114,5.7623121133023815e-52,9.803913963583748e-35,5.374192897112427e-84,3.5332197384118066e-52,2.7111839960519365e-126,3.7944155879399835e-19,1.951055262832983e-102,3.7944155879399806e-19,2.0504861818783392e-69,1.2402915829317714e-68,4.650376104692242e-107,5.392100484831709e-108,3.531374040434601e-36,3.7789039881731646e-82,2.0722345192620263e-17,6.135518106967663e-19,2.4562536372988484e-21,2.9737751030089688e-36,1.1011380144081422e-35,2.456253636973601e-21,1.6254795504479272e-31,2.070473912683835e-38,3.1096998188805584e-42,1.0499015176250391e-71,3.0246552316867934e-50,5.1760506172764705e-74,9.906522530543759e-36,8.189749992657826e-101,4.612080652720051e-103,2.955261670240165e-102,4.676498581502041e-52,4.6129229273442896e-27,1.6899242091125998e-118,3.8876820238028056e-90,2.8394121194327978e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,8.922692553678848e-112,5.0966998081745305e-51,4.281626939015589e-34,4.067327017980321e-82,3.247637659755473e-51,8.220881941314585e-124,8.063133124372465e-19,1.5421465805347013e-100,8.063133124372452e-19,3.8012558078213174e-68,2.3229288690826542e-67,7.046670625890554e-105,8.17059851565914e-106,1.5422438209600898e-35,1.4069531642744263e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979624946e-21,1.2987257132871387e-35,4.8089590037547307e-35,5.219538978204506e-21,7.098895320873235e-31,1.8313105010076602e-37,2.750533608668372e-41,3.9642841665601375e-70,2.675273380522215e-49,1.9543779878774164e-72,4.326438656704511e-35,1.2409850172774791e-98,7.411977116434056e-101,4.749338424495285e-100,4.1363100288795773e-51,9.802461228524878e-27,5.439515247860429e-116,2.94225601090015e-88,2.1185315268519878e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,2.552440777052423e-109,4.284083288084105e-50,1.7874950794103063e-33,2.8257499534495723e-80,2.778422392442452e-50,2.286609583563319e-121,1.6600568197237427e-18,1.0930188821278655e-98,1.660056819723737e-18,6.533387508585186e-67,4.0122819496151286e-66,9.79711081679554e-103,1.1359727642597766e-103,6.43856436120503e-35,4.8482832667609574e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109665437547e-20,5.421924179388648e-35,2.0076457195017025e-34,1.0746109659507492e-20,2.963648279168951e-30,1.539326438299728e-36,2.3120554025696933e-40,1.375433079564753e-68,2.2487286102866422e-48,6.780643480870361e-71,1.8062029730318699e-34,1.7253634207657373e-96,1.0597300966701557e-98,6.790383703446014e-98,3.47681779921342e-50,2.018153785606711e-26,1.5566924200203715e-113,2.0440563007436763e-86,1.4616850363806123e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,6.902296853009166e-107,3.512350313166126e-49,7.302501595630465e-33,1.8834556495063125e-78,2.297253363491978e-49,6.09922772903495e-119,3.3675438342967355e-18,7.355516003135018e-97,3.3675438342967105e-18,1.0828610659501285e-65,6.666466467658464e-65,1.306423005013628e-100,1.5147944940507902e-101,2.6303636267341588e-34,1.6097094699699534e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251041704383e-20,2.2150329248505405e-34,8.201887842680058e-34,2.1799251017478155e-20,1.2107463899503126e-29,1.2620321889847714e-35,1.8956712244083287e-39,4.5810245009534104e-67,1.8436438012573733e-47,2.258236277240072e-69,7.378928494132553e-34,2.3007338663311828e-94,1.4325675112372815e-96,9.179396802609627e-96,2.8505052735256276e-49,4.093969121187579e-26,4.21049555749522e-111,1.3623542062444627e-84,9.711558612059408e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,1.81588120082817e-104,2.8443923477323606e-48,2.951788670721965e-32,1.2301061711821312e-76,1.868088283372664e-48,1.59376380238604e-116,6.78251786344272e-18,4.826223091195678e-95,6.782517863442621e-18,1.763158532485688e-64,1.0868022870306324e-63,1.7067462815536194e-98,1.9789684199415888e-99,1.0632350338220108e-33,5.2498331573498945e-76,3.704119203180764e-16,1.0967238616204684e-17,4.39055338128046e-20,8.953517110557489e-34,3.315334202792634e-33,4.390553371487826e-20,4.894025367839454e-29,1.0220253709718224e-34,1.5353394696571232e-38,1.4954911808949306e-65,1.493030912898448e-46,7.3712521104918e-68,2.9826808760663497e-33,3.0057408327441088e-92,1.8842301663899526e-94,1.2073494723993015e-93,2.308413044466677e-48,8.245599832639005e-26,1.1078302361303676e-108,8.896686109068517e-83,6.336341109213534e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,4.713103348952553e-102,2.2894144184780084e-47,1.1869018603354982e-31,7.954015845078322e-75,1.5066808766846189e-47,4.1226712927005636e-114,1.3612465921734686e-17,3.1273207386425392e-93,1.3612465921734287e-17,2.8457449799416317e-63,1.7551885961510365e-62,2.2073782164915684e-96,2.559450006370902e-97,4.27522130822263e-33,1.6982579852282634e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809942927152e-20,3.600169750645064e-33,1.3330813014746497e-32,8.811809903551361e-20,1.9678619565837984e-28,8.226132971211917e-34,1.236057716990182e-37,4.834258111043967e-64,1.2017217537183078e-45,2.382256645171829e-66,1.1993228618158928e-32,3.887400786896597e-90,2.4451242036029438e-92,1.566750943631094e-91,1.8580115966867674e-47,1.6548861416700607e-25,2.875514606562194e-106,5.751408344415085e-81,4.099992463585342e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,1.2152831803970577e-99,1.8371108893173236e-46,4.760012273888776e-31,5.118477250953187e-73,1.210248016972427e-46,1.061250030387125e-111,2.7272362038318613e-17,2.0139070111083128e-91,2.7272362038317002e-17,4.573035786648523e-62,2.821414404775204e-61,2.8410412029305305e-94,3.294180793420538e-95,1.7145549585437378e-32,5.478947863191438e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323095927346e-19,1.4438290109171327e-32,5.346252253306294e-32,1.7654322938012476e-19,7.891973554775598e-28,6.600927395876797e-33,9.923125551920512e-37,1.5553253893571939e-62,9.64306963232147e-45,7.660950361938404e-65,4.8098210849926153e-32,5.0033409422637027e-88,3.1523207828289114e-90,2.0198979941317225e-89,1.4909372143858484e-46,3.3155385229458826e-25,7.414757439216687e-104,3.699412467402585e-79,2.6456077202426886e-87
