Time (s),Volume (m^3),Ne,N2,X(1),He(2),CH4(3),H2(4),C2H6(5),CH3(6),C3H8(7),H(8),C2H5(9),C4H8(10),C2H4(11),C2H4X(64),C2H4(48),HeX(49),C4H8a(86),HX(12),C2H3X(58)
0.0,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2.3386488181314275e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,5.0006399045107295e-169,2.3653504383250267e-50,5.9226059129282122e-106,1.6820205846693208e-126,8.7985293284385331e-185,1.5498875064864872e-39,2.3985501953987066e-54,0.0,0.5,3.1104065959437842e-19,2.1550853646859127e-18,9.3931004103726696e-20,3.0363239146443272e-35,4.344192108328557e-21,4.344192108328557e-21
6.548216690767997e-25,0.004023131612903226,0.0,0.0,0.010942917987096774,0.5,7.45806092813649e-167,3.5745175845164324e-49,1.8103493557691166e-94,9.2545118597914759e-115,1.3122314156431856e-182,9.3613205391783684e-39,2.8475587919773413e-53,0.0,0.5,8.7091384686203379e-19,6.0342390211205436e-18,2.6300681149031078e-19,1.8339396444451705e-34,1.2163737903319961e-20,1.2163737903319961e-20
1.4967352436041138e-24,0.004023131612903226,0.0,0.0,0.010942917987096772,0.5,3.5885720943092759e-164,3.845302903003014e-48,3.4913880434081365e-93,3.6621425503675247e-113,1.4714589720322392e-179,4.5070728688626833e-38,2.7957501077567205e-52,0.0,0.5,1.9906602213884386e-18,1.3792546333989758e-17,6.011584262629832e-19,8.8296299437856563e-34,2.780282949330276e-20,2.780282949330276e-20
3.1805623926587416e-24,0.004023131612903226,0.0,0.0,0.010942917987096769,0.5,1.1494961395894613e-161,3.5344958552232537e-47,5.9767390888162544e-92,1.2587458205319462e-111,9.8017432857582405e-177,1.9683571332378159e-37,2.4728093094482242e-51,0.0,0.5,4.2301529704056303e-18,2.9309160959727992e-17,1.2774616558063451e-18,3.8561313715982447e-33,5.9081012673268344e-20,5.9081012673268344e-20
6.548216690767997e-24,0.004023131612903226,0.0,0.0,0.010942917987096764,0.5,3.2593994402940622e-159,3.0238356180694627e-46,9.8666626208557786e-91,4.1609475230905697e-110,5.6633588974159043e-174,8.2175035593911514e-37,2.0785452225293433e-50,0.0,0.49999999999999994,8.7091384682975289e-18,6.0342390211203701e-17,2.6300681148851364e-18,1.6098589395443762e-32,1.2163737903319945e-19,1.2163737903319945e-19
1.328352528698651e-23,0.004023131612903226,0.0,0.0,0.010942917987096751,0.5,8.7665091260978603e-157,2.5001657642673673e-45,1.6028910854708342e-89,1.3526469952008362e-108,3.0751348601128394e-171,3.3571183345498176e-36,1.704116953842382e-49,0.0,0.49999999999999989,1.766710946351141e-17,1.2240884871415203e-16,5.335281033010989e-18,6.5767990520758011e-32,2.4675011175306138e-19,2.4675011175306138e-19
2.675414247942353e-23,0.004023131612903226,0.0,0.0,0.010942917987096727,0.5,2.2994703173738674e-154,2.03309327779999e-44,2.5839972868742466e-88,4.3622735403578667e-107,1.6208303407175062e-168,1.357000906529088e-35,1.3800380914371314e-48,0.0,0.49999999999999972,3.558305145165948e-17,2.4654176572003648e-16,1.0745706869135774e-17,2.6584473308186836e-31,4.9697557719278398e-19,4.9697557719278398e-19
5.369537686429757e-23,0.004023131612903226,0.0,0.0,0.01094291798709668,0.5,5.9581223398528475e-152,1.6397633824077232e-43,4.1498922502973232e-87,1.4013355565149632e-105,8.4192198366273804e-166,5.4564409620847753e-35,1.1107747165890104e-47,0.0,0.49999999999999944,7.1414935418836882e-17,4.9480759973175622e-16,2.1566558540877672e-17,1.0689499794459275e-30,9.9742650807222447e-19,9.9742650807222447e-19
1.0757784563404565e-22,0.004023131612903226,0.0,0.0,0.010942917987096585,0.5,1.5344782057030873e-149,1.3171471229080123e-42,6.6522261032483544e-86,4.4929273751368198e-104,4.3417501944152146e-163,2.1882768710822963e-34,8.9132675591430738e-47,0.0,0.49999999999999889,1.4307870331671675e-16,9.9133926775499927e-16,4.3208261882330776e-17,4.2869675171406905e-30,1.9983283698310873e-18,1.9983283698310873e-18
