Time (s),Volume (m^3),N2,Ne,X(1),H2(2),H(3),NH3(4),H2X(49),HX(5)
0.0,0.03101298056,0.33333333333333331,0.0,0.089937643624000002,0.66666666666666663,0.0,0.0,0.0,0.0
3.1549601322322473e-25,0.03101298056,0.33333333333333331,0.0,0.089937643624000002,0.66666666666666663,7.0596655429216312e-64,0.0,1.0407636176747394e-18,9.5750252826076055e-19
8.833888370250293e-25,0.03101298056,0.33333333333333331,0.0,0.089937643624000002,0.66666666666666663,4.2640379878955713e-63,0.0,2.9141381294892701e-18,2.68100707913013e-18
2.0191744846286383e-24,0.03101298056,0.33333333333333331,0.0,0.089937643623999988,0.66666666666666663,2.0529507398612442e-62,0.0,6.6608871531183292e-18,6.1280161808688666e-18
4.290745779835856e-24,0.03101298056,0.33333333333333331,0.0,0.089937643623999974,0.66666666666666663,8.9657752394086398e-62,0.0,1.415438520037644e-17,1.3022034384346337e-17
8.833888370250292e-24,0.03101298056,0.33333333333333331,0.0,0.089937643623999947,0.66666666666666663,3.7430346708119507e-61,0.0,2.9141381294892627e-17,2.6810070791301272e-17
1.7920173551079164e-23,0.03101298056,0.33333333333333331,0.0,0.089937643623999891,0.66666666666666663,1.5291517952400545e-60,0.0,5.9115373483924878e-17,5.4386143605211119e-17
3.6092743912736906e-23,0.03101298056,0.33333333333333331,0.0,0.08993764362399978,0.66666666666666652,6.1810760466963368e-60,0.0,1.1906335786198881e-16,1.0953828923303065e-16
7.24378846360524e-23,0.03101298056,0.33333333333333331,0.0,0.089937643623999544,0.6666666666666663,2.4853834930163092e-59,0.0,2.3895932661811446e-16,2.1984258048866905e-16
1.4512816608268337e-22,0.03101298056,0.33333333333333331,0.0,0.089937643623999086,0.66666666666666596,9.9674994219312979e-59,0.0,4.7875126413035699e-16,4.4045116299994358e-16
2.9050872897594533e-22,0.03101298056,0.33333333333333331,0.0,0.08993764362399817,0.6666666666666653,3.9921987888647475e-58,0.0,9.5833513915480712e-16,8.8166832802248308e-16
5.812698547624692e-22,0.03101298056,0.33333333333333331,0.0,0.089937643623996325,0.66666666666666385,1.5979199125762193e-57,0.0,1.9175028892035672e-15,1.764102658067524e-15
