Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,1.3180828835191926e-65,2.9700073126975632e-36,5.281639460232971e-88,1.7967589324328686e-54,1.7962024963644929e-131,5.564692090377849e-20,-6.542727213208572e-106,5.564692090377849e-20,2.5936458149773724e-72,2.5749619710126622e-71,1.184982053510413e-111,1.3739839878362e-112,1.765982536789687e-51,1.2175533394060029e-85,3.0390311159895404e-18,8.998030998167262e-20,3.6022135346071855e-22,9.008783568992206e-38,3.335798334090026e-37,3.602213534465606e-22,7.076727710243157e-33,3.0334352115291142e-40,6.547435236565678e-44,8.265005543825881e-75,3.3174158812258835e-54,2.1456307598146115e-52,6.647121551574516e-78,2.086864921376679e-105,-2.888046624335624e-107,-3.159288248995939e-122
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,2.9487249477390805e-64,1.793884455053874e-35,5.836370790622358e-86,2.7152621216107907e-53,6.481233251323842e-129,1.5581137853057977e-19,1.2630832281382804e-104,1.558113785305797e-19,7.314496241115329e-71,8.096092483042703e-70,2.3688434119911904e-109,2.746668532338819e-110,2.0965744676744904e-50,6.302488707728454e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197897129588e-21,5.4413052756649806e-37,2.0148221937883227e-36,1.0086197896274452e-21,4.274343359957691e-32,3.601294144849665e-39,7.773131692865494e-43,5.0280167640741126e-73,3.938436134173423e-53,2.5472928877062837e-51,4.043768266552911e-76,4.171756193322261e-103,2.922784421601036e-105,1.0170950648461094e-119
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,0.0,5.826383646551731e-63,8.636781838092647e-35,5.280333213325491e-84,2.920955087516471e-52,2.3467104837010626e-126,3.5614029378418233e-19,1.3336825001218768e-102,3.561402937841821e-19,1.591062702303716e-69,1.8061936967146068e-68,4.2885687822181836e-107,4.972585719787726e-108,2.0584292448751565e-49,2.7519853606998305e-82,1.944979914233304e-17,5.758739838827048e-19,2.305416662309227e-21,2.6197542618534624e-36,9.70050155550299e-36,2.3054166618975155e-21,2.057912152594965e-31,3.5357716538974966e-38,7.631741909782435e-42,2.2698974036450784e-71,3.866779951101251e-52,2.500947367568465e-50,1.8255501426136123e-74,7.552573246120614e-101,6.120787456195397e-103,5.311471359350734e-117
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,0.0,1.036790186900636e-61,3.7719098789862087e-34,3.99627190799233e-82,2.684860961806912e-51,7.115686482920494e-124,7.567981242913874e-19,1.0541648647539455e-100,7.567981242913862e-19,2.949562104685585e-68,3.3828008983653304e-67,6.4983955344610525e-105,7.534874797888342e-106,1.8206573561141988e-48,1.0245487628201998e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407868914e-21,1.1441155132522224e-35,4.236463884262496e-35,4.8990104060708614e-21,8.987441448057226e-31,3.1273494654904383e-37,6.750251767359437e-41,8.570778776483668e-70,3.42012307679179e-51,2.2120598113883797e-49,6.892928854816726e-73,1.1444286135618893e-98,9.836539198051719e-101,1.873938846467781e-114
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,0.0,1.7487114949024287e-60,1.574698409866345e-33,2.7763574854072473e-80,2.296955078874478e-50,1.9791839278411264e-121,1.5581137853057976e-18,7.471547235572376e-99,1.5581137853057924e-18,5.069543641626175e-67,5.842947307784767e-66,9.034745521890442e-103,1.0475766822290739e-103,1.5303722106350499e-47,3.5300953610308827e-79,8.509287124770657e-17,2.519448679486833e-18,1.0086197900456891e-20,4.7764570481915694e-35,1.7686402767058782e-34,1.0086197892950375e-20,3.7520785624153064e-30,2.6287247861507297e-36,5.674098443487241e-40,2.9736555187599108e-68,2.874819523804252e-50,1.8593698728306877e-48,2.391476443383859e-71,1.5911037173017812e-96,1.4063688116487604e-98,5.591324769024995e-112
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,0.0,2.872274640753665e-59,6.433159149566475e-33,1.8504974456955907e-78,1.899166877970408e-49,5.279107078065732e-119,3.1607451073346185e-18,5.028008770765111e-97,3.1607451073345965e-18,8.402396803259062e-66,9.708144337323085e-65,1.204739618163926e-100,1.3968928389636508e-101,1.2546915994499413e-46,1.1717552466197969e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572891507263e-20,1.9513385561033955e-34,7.225472623329758e-34,2.0460572860840686e-20,1.5328454380604635e-29,2.1551859631088057e-35,4.6521410729484145e-39,9.903875531696864e-67,2.3569507347079304e-49,1.5244242763152215e-47,7.96460980802785e-70,2.1216598521244767e-94,1.901124058279244e-96,1.542771866749123e-109
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,0.0,4.6560896262660755e-58,2.6003876724277285e-32,1.2085331353659022e-76,1.5443709645999812e-48,1.379407409946411e-116,6.36600775139226e-18,3.299060463177181e-95,6.36600775139217e-18,1.3681125014872523e-64,1.5826725468422517e-63,1.5738425362770713e-98,1.8248668304831831e-99,1.0160817872735247e-45,3.8195925000999286e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932289710574e-20,7.887622435650394e-34,2.920651559616294e-33,4.120932277314643e-20,6.195997594022025e-29,1.745323141691757e-34,3.7677036160545043e-38,3.233025669132677e-65,1.9087198127386682e-48,1.2345191383668906e-46,2.599777880068287e-68,2.771684829054236e-92,2.500415133563709e-94,4.098868502064172e-107
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,0.0,7.498495751169463e-57,1.045605963524611e-31,7.813905826132171e-75,1.245591131629707e-47,3.567904831705262e-114,1.2776533039507543e-17,2.137742083111635e-93,1.2776533039507187e-17,2.2081390932077327e-63,2.556020387282014e-62,2.03533057183808e-96,2.3599611548913105e-97,8.178310194550366e-45,1.2343556541554377e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682300229408e-20,3.1715782901002864e-33,1.174381146547864e-32,8.270682250385847e-20,2.4913763468554213e-28,1.4047841562281225e-33,3.0330250386733157e-37,1.0450104066533275e-63,1.5363037596763495e-47,9.936497491305554e-46,8.402010803499889e-67,3.584408692422446e-90,3.244477096183129e-92,1.0689773597816844e-104
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,0.0,1.2036751908273018e-55,4.1933597429612335e-31,5.0275227917818414e-73,1.0005265350756623e-46,9.182992283805537e-112,2.559758361573811e-17,1.3766460586937168e-91,2.5597583615736684e-17,3.5484202436692373e-62,4.10872811017763e-61,2.619193315544058e-94,3.0369486741242074e-95,6.56257887817228e-44,3.974362915645811e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182358864e-19,1.2719447464349664e-32,4.70979365180785e-32,1.657018215896847e-19,9.99147702182363e-28,1.1272448003086397e-32,2.434532783030508e-36,3.3615768900456236e-62,1.2327870133282258e-46,7.973435056840726e-45,2.7019465639824913e-65,4.612645933530708e-88,4.182206523703576e-90,2.7626284632383772e-102
