Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),O(29),CH3X(55),C2H4(47),OH(D)X(68),COX(50),CO2X(24),CHOX(53),CH4OX(63),acetyl(44),CHO2X(213),C2H4X(222),C2H6X(52),C2H4X(70),CH2(T)(34),CH2O2(186),CH2OX(54),CH2OH(40),S(223),HOCO(73),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5461333116556e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-2.7299442516260624e-118,7.00788929424747e-54,4.254336038420905e-36,6.028498628724019e-82,3.080358654195296e-54,2.8641467466853196e-64,6.660062980905707e-20,-1.929655279226881e-105,6.660062980905705e-20,5.364718675350644e-72,8.076223535312861e-71,2.0506978960831262e-84,1.8769778993194165e-106,1.532413685116358e-37,3.014131233520701e-85,3.637242185090856e-18,1.0769227651896737e-19,4.3112829476782155e-22,1.2904473756021022e-37,4.778307683575685e-37,4.311282947475414e-22,1.013693604643598e-32,5.200511783941436e-40,1.1224906055010993e-43,2.029685735337306e-74,5.68736547706349e-54,3.6784624858165035e-52,8.096727419210087e-28,4.298862290988496e-37,1.632371976825734e-77,9.299890152487997e-55,2.850833321903739e-99,-9.342492134015474e-106,1.0366149264279156e-82,1.7515250908296134e-87,1.0357614746964161e-117,-1.3301114753213709e-121,3.783512044994942e-94,6.8961768195512e-71,6.986153884165458e-102,2.0742875436158994e-40,2.674422519004657e-56,6.416726995940916e-81,3.404389560364907e-85,-1.0203298719997523e-210,-5.003659118332648e-136,1.0784778091643904e-126
2.1129173272635684e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,4.9457072964839393e-116,8.319766170159128e-53,2.5696190326696806e-35,2.4876875651463434e-80,4.655037984244589e-53,6.406981648468001e-63,1.864817634653598e-19,3.746837049736846e-104,1.8648176346535973e-19,1.5143268390106345e-70,2.5392938874175814e-69,8.46226221298237e-83,1.4129481245446848e-104,9.25577865810298e-37,1.561631263902578e-83,1.0184278118254393e-17,3.015383742531086e-19,1.2071592253827704e-21,7.794302148625882e-37,2.886097840876193e-36,1.207159225260278e-21,6.122709068549072e-32,6.174047306168292e-39,1.3326242488433044e-42,1.2347599808558123e-72,6.752040294332958e-53,4.367070765045332e-51,2.2670836778753255e-27,2.5965128237519403e-36,9.930514883844268e-76,1.1040829589015193e-53,2.1460452981490294e-97,9.45486876473795e-104,4.2776204810707955e-81,1.0087887696793437e-85,2.1645348440852267e-115,4.2821364546449385e-119,4.180885955490552e-92,1.944832196310808e-69,6.585050113319595e-100,1.252869676344004e-39,3.1750743844759984e-55,2.6478803383223287e-79,1.4051949681058715e-83,1.898483015055148e-207,2.8996338818932118e-133,2.2537706702188824e-124
4.829525319459585e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,2.0878050484336423e-113,8.168395761463287e-52,1.237161018167969e-34,9.841131762179308e-79,5.0076774409517865e-52,1.2659115817835282e-61,4.262440307779653e-19,3.956045420389803e-102,4.2624403077796485e-19,3.294743515292344e-69,5.6650249754651995e-68,3.347586712018729e-81,1.1171854269202564e-102,4.4562589963186316e-36,6.820544182832264e-82,2.3278349984581452e-17,6.892305697213911e-19,2.759221086744148e-21,3.752620968234678e-36,1.3895318743785278e-35,2.7592210861543986e-21,2.9478205470562363e-31,6.06171565580857e-38,1.3083855959474985e-41,5.574327031014201e-71,6.6291931999510494e-52,4.287616189308013e-50,5.181905551769967e-27,1.2501091542117865e-35,4.483108668959868e-74,1.0839951961682472e-52,1.696828419205873e-95,1.9800055338171128e-101,1.6921840896795785e-79,4.523832257166323e-84,3.917319111164419e-113,2.2362181876419193e-116,3.782550871780102e-90,4.23043483025829e-68,5.756967546798442e-98,6.032028176835043e-39,3.117306794884205e-54,1.0474751091953627e-77,5.559490305151048e-82,1.6752505695982344e-202,3.035312592643407e-130,4.078779517415006e-122
1.0262741303851617e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,6.715495136410447e-111,7.224853546983078e-51,5.403007783477769e-34,3.512291954360898e-77,4.602918315002522e-51,2.2526219327268114e-60,9.057685654031761e-19,3.127212528640923e-100,9.057685654031744e-19,6.108472852265174e-68,1.0609964817824229e-66,1.1947298725899386e-79,7.985314012900087e-101,1.946165380098046e-35,2.539521134853132e-80,4.946649371723548e-17,1.4646149606579562e-18,5.863344809992822e-21,1.6388681669978904e-35,6.06845075808654e-35,5.863344807417232e-21,1.2873904074752026e-30,5.361517781710116e-37,1.1572650616115098e-40,2.1047827715835635e-69,5.863446311993636e-51,3.7923483476418776e-49,1.1011549307503274e-26,5.459555109476149e-35,1.6927361995836166e-72,9.587814751488197e-52,1.2128432242972485e-93,3.1820148905694672e-99,6.039284580860583e-78,1.701978759116484e-82,5.948215134536209e-111,7.889609398953946e-114,2.862690969258136e-88,7.842513209689562e-67,4.295563485556884e-96,2.634345180392197e-38,2.7572224443310377e-53,3.738364115429999e-76,1.984253878910338e-80,4.882087313069568e-198,2.1424838774359892e-127,6.193274090949252e-120
2.1129173272635683e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.921033962230918e-108,6.072924736503072e-50,2.2556498807853007e-33,1.186765892588689e-75,3.9378935265598536e-50,3.7993758371034258e-59,1.864817634653598e-18,2.216559888236486e-98,1.86481763465359e-18,1.0499383678390717e-66,1.8326075708488595e-65,4.0367219006442006e-78,5.400660565926802e-99,8.124857358489368e-35,8.750532162427407e-79,1.0184278118254318e-16,3.0153837425310854e-18,1.2071592258593845e-20,6.841951985291319e-35,2.5334587337827045e-34,1.2071592247841263e-20,5.374599258022522e-30,4.506676952677912e-36,9.727725797826146e-40,7.302628531663043e-68,4.928579924140619e-50,3.1876979381596457e-48,2.2670836850745997e-26,2.2792567866107822e-34,5.872885923850701e-71,8.059136007684434e-51,8.202751405146157e-92,4.549468468026784e-97,2.0405376041496777e-76,5.893412078845961e-81,8.28078485015726e-109,2.3540534644450402e-111,1.9887802524355555e-86,1.3479276436624574e-65,2.963561461566593e-94,1.099787255625154e-37,2.3176114088595246e-52,1.2631086443519675e-74,6.704526708698575e-79,1.0541155421613859e-193,1.2787843633520335e-124,8.621639407539067e-118
4.286203721020381e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996512,0.022821567693054285,5.194784304036369e-106,4.978950609939972e-49,9.215069764538191e-33,3.90210160242645e-74,3.255926519152782e-49,6.240485227197771e-58,3.782915773154441e-18,1.4916777782209478e-96,3.78291577315441e-18,1.7402356547005171e-65,3.0449048871366164e-64,1.3271856346264536e-76,3.552983330965709e-97,3.319269338511499e-34,2.904771930583418e-77,2.0659535611315723e-16,6.1169213062773426e-18,2.44880871642106e-20,2.795160633321301e-34,1.0350005574516362e-33,2.4488087120282786e-20,2.195697310789543e-29,3.694843098329316e-35,7.975730981017645e-39,2.43218633182544e-66,4.040747593684417e-49,2.613468421415796e-47,4.598941206433584e-26,9.311507676168887e-34,1.9559146783037913e-69,6.607366611395469e-50,5.396421169896838e-90,6.149998278703253e-95,6.70884014005058e-75,1.9607753194555684e-79,1.1049974824874004e-106,6.495406629345541e-109,1.3255125820649128e-84,2.234091217033053e-64,1.9686477017148967e-92,4.4929897909738156e-37,1.9001175444093523e-51,4.152824219793104e-73,2.204330827692367e-77,1.9760155702798356e-189,7.057745554928872e-122,1.1504005685850432e-115
8.632776508534008e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996491,0.02282156769305428,1.366628128454168e-103,4.032083292421527e-48,3.724881769849664e-32,1.2658157095523642e-72,2.647665372315032e-48,1.0116092251195315e-56,7.619112050156125e-18,9.787557585826296e-95,7.619112050156001e-18,2.8335551822877937e-64,4.963963457759582e-63,4.304693443303569e-75,2.3056192147107283e-95,1.3417017371779536e-33,9.469587065330595e-76,4.1610050597437974e-16,1.2319996433769849e-17,4.932107700910305e-20,1.1298486187084779e-33,4.183637735397195e-33,4.932107683153966e-20,8.875344595301323e-29,2.99217495915143e-34,6.459526531529971e-38,7.939754161394252e-65,3.272302164201566e-48,2.116456201842193e-46,9.262656299993316e-26,3.7638602806536916e-33,6.384421238368294e-68,5.350816789143284e-49,3.5018718581002265e-88,8.0887769942637e-93,2.175995531088336e-73,6.397039835884916e-78,1.4441418965294783e-104,1.7257372716802034e-106,8.656091333142096e-83,3.6376383965859403e-63,1.2839264363055696e-90,1.8161383102378393e-36,1.538763944767155e-50,1.3469581589592499e-71,7.149739471777969e-76,3.457076699492693e-185,3.7505040386641793e-119,1.5032685002353913e-113
1.7325922083561262e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996448,0.022821567693054275,3.546892004182559e-101,3.2453714178325664e-47,1.4977611783873965e-31,4.0791437473394366e-71,2.1354380410360417e-47,1.6291644328158928e-55,1.5291504604159488e-17,6.342228745164775e-93,1.5291504604158988e-17,4.573395827601111e-63,8.016814235348535e-62,1.3868134640491622e-73,1.4861476732878517e-93,5.3949236750133e-33,3.0607247633010317e-74,8.351108056968026e-16,2.4726146688754834e-17,9.898705683352455e-20,4.543071602848997e-33,1.6822223329560495e-32,9.898705611954873e-20,3.5687249663151145e-28,2.408355030321503e-33,5.200110995262495e-37,2.5664392048721937e-63,2.6338334646054914e-47,1.7035108402360466e-45,1.8590086690479838e-25,1.513431664588781e-32,2.0633281363971798e-66,4.3068028619392945e-48,2.257223864220313e-86,1.0496097758189853e-90,7.010255030993019e-72,2.0668845329384794e-76,1.868179754492484e-102,4.500816602382226e-104,5.595865328469919e-81,5.871163037937801e-62,8.300851495839568e-89,7.302612268801726e-36,1.23853027671996e-49,4.339402410319166e-70,2.3033899974491153e-74,5.840271701083253e-181,1.9563615466220627e-116,1.9441202622168128e-111
3.471221323361577e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999816,0.11866996602996363,0.02282156769305426,9.144809738575583e-99,2.604206177698687e-46,6.006713080444158e-31,1.3104662629045491e-69,1.7152999646607291e-46,2.6151663875235684e-54,3.06362897121662e-17,4.0842297365185843e-91,3.0636289712164186e-17,7.349345516287411e-62,1.2886794716413817e-60,4.452761607599393e-72,9.549274045886612e-92,2.1636056875447568e-32,9.857962510332762e-73,1.6731314051415603e-15,4.953844719872468e-17,1.9831901702092023e-19,1.8219749062410653e-32,6.746463946359073e-32,1.9831901415754822e-19,1.4312086532710023e-27,1.9325408973190484e-32,4.174241387115775e-36,8.256164322952046e-62,2.1134854807061612e-46,1.3669645976931635e-44,3.72449482849211e-25,6.069537872227639e-32,6.635312348226628e-65,3.455938062928663e-47,1.4503840797930884e-84,1.3530487328386182e-88,2.250843029185623e-70,6.645940386372492e-75,2.4049607421008465e-100,1.1632404954456137e-101,3.5993558445562395e-79,9.434801386324502e-61,5.34736898213557e-87,2.928674137106194e-35,9.938412384355059e-49,1.393289361078095e-68,7.395705186071853e-73,9.677372245249284e-177,1.0112619940624224e-113,2.501312679551718e-109
