Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CO2X(24),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-6.4842116869402373e-119,1.3146023043545323e-65,2.9700073126975632e-36,5.2816394602329709e-88,1.7967589324328686e-54,1.7962024963644936e-131,5.5646920903778486e-20,-6.5427272132085723e-106,5.5646920903778486e-20,2.5936458149773724e-72,1.2467661565470212e-71,1.184982053510413e-111,1.3739839878361999e-112,8.5506790492648035e-52,1.2175393936409189e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135346071855e-22,9.008783568980735e-38,3.3357983340900261e-37,3.6022135344656061e-22,7.0767277102431574e-33,3.0334352115291142e-40,6.5474352365656778e-44,8.2650055438258812e-75,3.3174158812216596e-54,2.1456307598146115e-52,2.0212293325809721e-98,2.0868649213766788e-105,-2.6558463480440962e-106,-2.8880466243356242e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.1747126209315753e-116,2.9409390313677431e-64,1.793884455053874e-35,5.8363707906223581e-86,2.7152621216107907e-53,6.4812332513238418e-129,1.5581137853057977e-19,1.2630832281382804e-104,1.558113785305797e-19,7.3144962411153288e-71,3.920032304069597e-70,2.3688434119911904e-109,2.7466685323388188e-110,1.0151366167264965e-50,6.3023346031472251e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197897129588e-21,5.441305275651357e-37,2.0148221937883227e-36,1.0086197896274452e-21,4.274343359957691e-32,3.601294144849665e-39,7.773131692865494e-43,5.0280167640741126e-73,3.9384361341639705e-53,2.5472928877062837e-51,1.9034560334686954e-96,4.1717561933222612e-103,2.6877912121954474e-104,2.9227844216010361e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,4.9589849048907385e-114,5.8109999878274313e-63,8.6367818380926463e-35,5.2803332133254908e-84,2.9209550875164711e-52,2.3467104837010626e-126,3.5614029378418233e-19,1.3336825001218768e-102,3.5614029378418209e-19,1.591062702303716e-69,8.7453764310870503e-69,4.2885687822181836e-107,4.9725857197877262e-108,9.9666714997541924e-50,2.751845938473576e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.305416662309227e-21,2.6197542618400829e-36,9.7005015555029895e-36,2.3054166618975155e-21,2.0579121525949648e-31,3.5357716538974966e-38,7.631741909782435e-42,2.2698974036450784e-71,3.8667799510825675e-52,2.5009473675684642e-50,1.663630401018563e-94,7.552573246120614e-101,5.6286733332596713e-102,6.1207874561953974e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.5950713244988008e-111,1.0340527470203378e-61,3.7719098789862083e-34,3.9962719079923297e-82,2.6848609618069121e-51,7.1156864829204944e-124,7.5679812429138743e-19,1.0541648647539455e-100,7.5679812429138618e-19,2.9495621046855849e-68,1.6379122184562009e-67,6.4983955344610525e-105,7.5348747978883416e-106,8.8154080724854217e-49,1.0244432459945447e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104078689141e-21,1.1441155132403871e-35,4.2364638842624962e-35,4.8990104060708614e-21,8.9874414480572265e-31,3.1273494654904383e-37,6.7502517673594365e-41,8.5707787764836683e-70,3.4201230767585418e-51,2.2120598113883797e-49,1.241119897240126e-92,1.1444286135618893e-98,9.0456769243309681e-100,9.8365391980517187e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.5628433844007858e-109,1.7440944024152029e-60,1.574698409866345e-33,2.7763574854072473e-80,2.296955078874478e-50,1.9791839278411269e-121,1.5581137853057976e-18,7.471547235572376e-99,1.5581137853057924e-18,5.0695436416261753e-67,2.829086036882617e-66,9.0347455218904436e-103,1.0475766822290739e-103,7.4098816529656996e-48,3.5293623102234864e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197900456891e-20,4.7764570480920832e-35,1.7686402767058782e-34,1.0086197892950375e-20,3.7520785624153064e-30,2.6287247861507297e-36,5.674098443487241e-40,2.9736555187599108e-68,2.8748195237481715e-50,1.8593698728306877e-48,8.5611752635102406e-91,1.5911037173017812e-96,1.2932961114995024e-97,1.4063688116487604e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.2338573158969275e-106,2.8646910524250038e-59,6.4331591495664749e-33,1.8504974456955907e-78,1.899166877970408e-49,5.2791070780657322e-119,3.1607451073346185e-18,5.028008770765111e-97,3.1607451073345965e-18,8.4023968032590617e-66,4.7005687611817973e-65,1.204739618163926e-100,1.3968928389636508e-101,6.0750686650631646e-47,1.1712666716794767e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572891507263e-20,1.9513385560218287e-34,7.2254726233297584e-34,2.0460572860840686e-20,1.5328454380604635e-29,2.1551859631088057e-35,4.6521410729484145e-39,9.903875531696864e-67,2.3569507346158162e-49,1.5244242763152215e-47,5.6855191301215644e-89,2.1216598521244767e-94,1.7482728053751844e-95,1.9011240582792449e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,3.2459481616526247e-104,4.643796302610808e-58,2.600387672427729e-32,1.208533135365902e-76,1.5443709645999812e-48,1.379407409946411e-116,6.3660077513922597e-18,3.2990604631771809e-95,6.3660077513921703e-18,1.3681125014872523e-64,7.6631134376150905e-64,1.5738425362770713e-98,1.8248668304831831e-99,4.9197481113856244e-46,3.8164019227727113e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322897105739e-20,7.8876224349898369e-34,2.9206515596162941e-33,4.120932277314643e-20,6.1959975940220253e-29,1.7453231416917571e-34,3.7677036160545043e-38,3.2330256691326764e-65,1.9087198125893465e-48,1.2345191383668906e-46,3.7061517690102503e-87,2.7716848290542356e-92,2.2993805931663337e-93,2.5004151335637085e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,8.4241637497326262e-102,7.4786977318394123e-57,1.045605963524611e-31,7.8139058261321671e-75,1.2455911316297071e-47,3.5679048317052612e-114,1.2776533039507543e-17,2.1377420831116351e-93,1.2776533039507187e-17,2.2081390932077327e-63,1.2375948653490501e-62,2.0353305718380796e-96,2.35996115489131e-97,3.959841287853471e-45,1.2322930545923513e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706823002294078e-20,3.1715782895686113e-33,1.1743811465478639e-32,8.2706822503858473e-20,2.4913763468554213e-28,1.4047841562281225e-33,3.0330250386733157e-37,1.0450104066533271e-63,1.5363037594358689e-47,9.9364974913055539e-46,2.3937330202365076e-85,3.5844086924224448e-90,2.9836196067636565e-91,3.2444770961831295e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,2.171844573375473e-99,1.2004971700833562e-55,4.1933597429612326e-31,5.0275227917818395e-73,1.0005265350756623e-46,9.1829922838055355e-112,2.5597583615738111e-17,1.3766460586937168e-91,2.5597583615736684e-17,3.5484202436692373e-62,1.9893975950843831e-61,2.6191933155440568e-94,3.0369486741242067e-95,3.1775232504425006e-44,3.9610959105035554e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182358863999e-19,1.2719447460083291e-32,4.7097936518078502e-32,1.6570182158968471e-19,9.9914770218236297e-28,1.1272448003086397e-32,2.4345327830305079e-36,3.3615768900456223e-62,1.2327870129422003e-46,7.973435056840724e-45,1.5389993223532982e-83,4.6126459335307052e-88,3.8459550918380367e-89,4.182206523703577e-90
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,5.5819655626042398e-97,1.9239261523487107e-54,1.679540890983974e-30,3.2275615200187956e-71,8.0204585820478398e-46,2.3581756746374026e-109,5.1239684768199266e-17,8.8378046879919731e-90,5.123968476819354e-17,5.6898187283433536e-61,3.1904522175605754e-60,3.3629907347008525e-92,3.8993800844258732e-93,2.5458853071220026e-43,1.2703989597293509e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182626523822e-19,5.0944134092784969e-32,1.8863740755231766e-31,3.3169181825894565e-19,4.001757137801982e-27,9.031579391941249e-32,1.951744456351571e-35,1.0789921278733205e-60,9.877297796558206e-46,6.3884854792554188e-44,9.8720851122658932e-82,5.9225431887519038e-86,4.9422804314546509e-87,5.3743836184668715e-88
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,1.4330556991220737e-94,3.0807888831608064e-53,6.7226186139467493e-30,2.0706221123050208e-69,6.4228717437489449e-45,6.0515412483228343e-107,1.0252388707312159e-16,5.6649371278406132e-88,1.0252388707309867e-16,9.1135983119584366e-60,5.1106641400761081e-59,4.3150351361711298e-90,5.0032733949702937e-91,2.0382562504761009e-42,4.0698394751956032e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367183763429844e-19,2.0390930035024259e-31,7.5504123306126333e-31,6.6367180558790192e-19,1.6017095625742983e-26,7.230600775939615e-31,1.5644327168084902e-34,3.4610664920599904e-59,7.9078440321744037e-45,5.1147282727304328e-43,6.3253401927243286e-80,7.5991829747710812e-84,6.3441204603845775e-85,6.8987867976781295e-86
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,3.6802171538863331e-92,4.9312688229029973e-52,2.6899855556889794e-29,1.3290917026364661e-67,5.1409006178333342e-44,1.5537368475985953e-104,2.0509229168296646e-16,3.6283597654728874e-86,2.050922916828747e-16,1.4589672486830193e-58,8.1818180743630203e-58,5.539450360483332e-88,6.4229800514830616e-89,1.6312244640968671e-41,1.3030791265756394e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318844377718e-18,8.1590280343629545e-31,3.0211484156355009e-30,1.3276317562075525e-18,6.4086350532206143e-26,5.786431149989596e-30,1.254983229810241e-33,1.1108045553581042e-57,6.328678540981889e-44,4.0934257834330389e-42,4.0505250089905463e-78,9.7554934030211121e-82,8.1461485483238805e-83,8.8583671637370371e-84
