Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),O(29),COX(50),CHOX(53),CO2X(24),OH(D)X(68),CH4OX(63),acetyl(44),CHO2X(213),C2H4X(215),C2H6X(52),C2H4X(70),S(216),HOCO(73),CHO3(123),CHO2(74)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32945260248422e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-2.162372335045462e-118,6.421379098821745e-54,4.0135234099129356e-36,1.3033881360166937e-87,2.822553849824658e-54,5.990024348761311e-131,6.468823158428327e-20,-1.614595159878118e-105,6.468823158428326e-20,4.736387572760157e-72,4.7623153869670444e-71,3.399389471619783e-111,3.941584337575777e-112,1.4456728730409689e-37,2.5846962241648843e-85,3.532801913027779e-18,1.0459998568806355e-19,4.1874881765044997e-22,1.2174031849969058e-37,4.507835586607371e-37,4.187488176313178e-22,9.563145487734837e-33,4.7652659207391465e-40,1.0285461951214333e-43,1.7545430187356403e-74,5.211375174633262e-54,3.3706014910533396e-52,4.055529299549772e-37,1.411088713186875e-77,7.864236784693333e-28,5.986644794665225e-105,-8.285016002444327e-107,-7.618896911845943e-106,8.521555883531953e-55,1.0031670362958039e-87,-6.337881093853221e-123,-5.101251431402568e-122,3.176708579086344e-94,6.1375692693423086e-71,5.818788423621924e-102,-6.786092946177823e-211,-1.8659259567991917e-136,2.9255355520746045e-171,-5.096129312045694e-145
2.0522467286955815e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.917464561346452e-116,7.623461266146501e-53,2.424168199572051e-35,1.440283657872979e-85,4.265443383348253e-53,2.1613798001418112e-128,1.811270484359932e-19,3.117000055213912e-104,1.8112704843599312e-19,1.3357370793786925e-70,1.4973481557242635e-69,6.795566247093641e-109,7.879443561288317e-110,8.731864153167532e-37,1.3379334218174116e-83,9.891845356477781e-18,2.928799599265779e-19,1.1724966894522696e-21,7.353115237360877e-37,2.7227326943076263e-36,1.1724966893367108e-21,5.776139596494225e-32,5.657323448585629e-39,1.2210930706082805e-42,1.0673767434676465e-72,6.186944607283733e-53,4.001578180854886e-51,2.449539696923378e-36,8.584340876750969e-76,2.201986300182531e-27,1.1967631729022504e-102,8.384672124744755e-105,7.710540636157073e-104,1.011679114491253e-53,5.777728511383381e-86,1.1702588533244595e-120,1.6422874145847234e-119,3.510351266745679e-92,1.7308927372129078e-69,5.479820252363873e-100,1.2627054604332245e-207,1.0794169268593181e-133,7.873282917612129e-168,1.6567694020732295e-142
4.6908496655899005e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.6537373810648904e-113,7.484759477665123e-52,1.1671326975796283e-34,1.303067175075766e-83,4.588569348872063e-52,7.825881483557083e-126,4.1400468213941296e-19,3.291222879814022e-102,4.140046821394125e-19,2.9055199094791953e-69,3.3405013664026834e-68,1.2302744186423531e-106,1.4265003818816202e-107,4.204016714803252e-36,5.842118944607308e-82,2.2609932243377766e-17,6.694399084036067e-19,2.679992433179946e-21,3.5402084619403473e-36,1.3108785885805834e-35,2.6799924326235793e-21,2.7809622906869064e-31,5.554393174414377e-38,1.1988828310890184e-41,4.8186742351734e-71,6.074378903425805e-52,3.928773379068463e-50,1.1793479203020471e-35,3.8753814439639165e-74,5.0331115454825164e-27,2.1666290390730545e-100,1.7558884275399385e-102,1.6147141913475363e-101,9.93272553779336e-53,2.590975970918936e-84,4.8779966470220125e-118,8.576355447190688e-117,3.175901572690669e-90,3.765069778166782e-68,4.7895362167667545e-98,1.114324109006061e-202,1.1304147381109345e-130,3.918328636190781e-164,1.4048106236512323e-139
9.968055539378538e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,5.3193002340170956e-111,6.620184995886108e-51,5.09717566035103e-34,9.86191246563613e-82,4.2176857725285146e-51,2.3729642317885936e-123,8.797599495462524e-19,2.601437389603504e-100,8.797599495462509e-19,5.386344237970069e-68,6.256389358521533e-67,1.864216686412442e-104,2.1615549951917083e-105,1.8360045487621493e-35,2.1750067093682714e-80,4.804610601717765e-17,1.4225598053576643e-18,5.694983921131449e-21,1.5461020449143917e-35,5.724951194941348e-35,5.694983918701648e-21,1.2145190458911432e-30,4.912796909767278e-37,1.0604096960351945e-40,1.8194589733143417e-69,5.372719349773774e-51,3.474955903519288e-49,5.1505222103556e-35,1.4632700161386326e-72,1.0695362043576851e-26,3.2830610363621016e-98,2.821841296693441e-100,2.5949639588156862e-99,8.785383253577986e-52,9.747899164534046e-83,1.570120445713446e-115,3.025826116868046e-114,2.4035697365201185e-88,6.979804832527385e-67,3.5733583124366967e-96,3.247955325172169e-198,7.980125655525759e-128,1.1762377099200185e-160,9.041375167817562e-137
2.0522467286955813e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.521637620615627e-108,5.56466438527241e-50,2.1279709487209594e-33,6.851454451314435e-80,3.6083189759450833e-50,6.600271668014281e-121,1.8112704843599315e-18,1.843806693478314e-98,1.811270484359924e-18,9.257749528179459e-67,1.0806356761633018e-65,2.591835564629739e-102,3.005227424609889e-103,7.664957572864284e-35,7.494139805418552e-79,9.89184535647771e-17,2.928799599265779e-18,1.1724966899019053e-20,6.454671686568475e-35,2.390054427974215e-34,1.1724966888875112e-20,5.0703758581378656e-30,4.129500220194633e-36,8.913574368043471e-40,6.312682176199394e-68,4.516094343851542e-50,2.9209103935007565e-48,2.150241634555939e-34,5.076761505807785e-71,2.2019863069742964e-26,4.56446636101665e-96,4.034509719325139e-98,3.7101332788328997e-97,7.384643983578495e-51,3.3753879931700054e-81,4.493374133463454e-113,9.028269658032186e-112,1.6698177107437037e-86,1.1996501159288993e-65,2.465180085449863e-94,7.015169752503745e-194,4.763353795737807e-125,2.8916351563181232e-157,5.174603805620869e-134
4.1631290782110363e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,4.114747337835321e-106,4.562248066170762e-49,8.693459331583074e-33,4.566657407081972e-78,2.9834279073586314e-49,1.7605106816541784e-118,3.674291553987289e-18,1.2407973789224115e-96,3.67429155398726e-18,1.5344040911720194e-65,1.7954923378666456e-64,3.456107601839394e-100,4.0073488801224125e-101,3.131385269922564e-34,2.4876371173953433e-77,2.0066314865997464e-16,5.941279187082006e-18,2.378493286273267e-20,2.6369439945892916e-34,9.764152193633919e-34,2.3784932821291337e-20,2.0714122806190877e-29,3.3856111494299847e-35,7.308201547352631e-39,2.10247584169874e-66,3.7025669935922255e-49,2.3947397571733655e-47,8.78443868344349e-34,1.6907722541007063e-69,4.4668865241984975e-26,6.08653075970353e-94,5.453867212712283e-96,5.015373765489549e-95,6.054377298962075e-50,1.1230128459496686e-79,1.2153377373335879e-110,2.491116367583246e-109,1.112925589537597e-84,1.988332088975358e-64,1.6375337176386367e-92,1.315924863010736e-189,2.629006894638908e-122,6.475897641149322e-154,2.7997952194282984e-131
8.384893777241946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,1.08249257659897e-103,3.6946267686802417e-48,3.5140382222925284e-32,2.982453000216452e-76,2.4260740267466238e-48,4.600190558653954e-116,7.400333693242002e-18,8.141325447593216e-95,7.400333693241887e-18,2.498379294168288e-64,2.9271056684417764e-63,4.515027770494758e-98,5.235164399956825e-99,1.2657559926460176e-33,8.10954841005406e-76,4.0415253885036456e-16,1.1966238362714453e-17,4.7904864821913594e-20,1.065894923619093e-33,3.946826431869415e-33,4.7904864654401e-20,8.372965887001518e-29,2.7417514350583218e-34,5.918880879321167e-38,6.863413081631006e-65,2.998434746254508e-48,1.939323869911049e-46,3.550810566707069e-33,5.518953814951432e-68,8.996687006610814e-26,7.951388836933916e-92,7.173173669106627e-94,6.596447160399691e-93,4.902991706751495e-49,3.663835341759657e-78,3.1976062572033396e-108,6.618526193370651e-107,7.267819341567215e-83,3.2374833654405334e-63,1.0679550762395628e-90,2.3053168032998733e-185,1.397074069806615e-119,1.3863317232097634e-150,1.4741669476444858e-128
1.6828423175303766e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.1186699660299645,0.022821567693054275,2.8094439606671397e-101,2.9737570493846624e-47,1.4129816975242911e-31,1.9283835803634695e-74,1.9567165931374762e-47,1.1898896188979105e-113,1.4852417971751424e-17,5.27545772982203e-93,1.4852417971750956e-17,4.032394253479569e-63,4.727283469520194e-62,5.839077897419623e-96,6.770397501446991e-97,5.0895491764616815e-33,2.6210717178754895e-74,8.111313192311236e-16,2.4016156713979316e-17,9.614472886729106e-20,4.285916607298314e-33,1.5870015493531913e-32,9.614472819372915e-20,3.366721706605625e-28,2.2067932377216918e-33,4.764850907491455e-37,2.2185125391635632e-63,2.4134011406049507e-47,1.56093902556245e-45,1.4277653116545305e-32,1.7836250605432338e-66,1.8056288163291107e-25,1.0283165722653665e-89,9.307953107975264e-92,8.559589266807804e-91,3.9463542757816715e-48,1.1837857501805154e-76,8.299336198440541e-106,1.7261391968738727e-104,4.698395655061178e-81,5.225311204366321e-62,6.904377225331642e-89,3.904934786291972e-181,7.287512339553013e-117,2.9028227895894763e-147,7.662229768714733e-126
3.371548197142741e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999982,0.11866996602996367,0.022821567693054264,7.243404840383216e-99,2.3862527525552768e-46,5.666707697390432e-31,1.2407940506216093e-72,1.5717411784195312e-46,3.062653859798138e-111,2.9756586528770255e-17,3.3972470996062303e-91,2.9756586528768363e-17,6.479949312749754e-62,7.598970099709795e-61,7.514449826426149e-94,8.712987430656253e-95,2.041136855414162e-32,8.441579290111632e-73,1.625088879992558e-15,4.8115993416508935e-17,1.9262445746611412e-19,1.7188442511805867e-32,6.364586015669173e-32,1.926244547648208e-19,1.350197120896428e-27,1.7708016102968808e-32,3.8248097948447366e-36,7.136822338431882e-62,1.9366024228622688e-46,1.252559207767842e-44,5.725977481884859e-32,5.735835864756865e-65,3.617549124407433e-25,1.3233653364466218e-87,1.1998734220125324e-89,1.1034030122173286e-88,3.1667007728811844e-47,3.806390441552862e-75,2.1398176923613271e-103,4.461180363813489e-102,3.022088613204909e-79,8.396934828137796e-61,4.44758283588932e-87,6.504981718894512e-177,3.7669589212945505e-114,6.012556172056332e-144,3.961451634484323e-123
