Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CHOX(53),O(29),CO2X(24),acetyl(44),CH4OX(63),C2H4X(215),C2H6X(52),C2H4X(70),CHO2X(213),HOCO(73),CHO3(123),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787892642773e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.9945033359804774e-118,6.229704167735022e-54,3.9332529407016156e-36,1.2267384522000884e-87,2.738302041656642e-54,5.52500758237935e-131,6.40380821026975e-20,-1.5196440493162366e-105,6.403808210269749e-20,4.548826628667436e-72,3.4458422171057032e-71,3.1673217112934412e-111,3.672502298875802e-112,1.4167594155801428e-37,2.4573931303269256e-85,3.497295465007052e-18,1.0354870286886379e-19,4.1454018000417995e-22,1.193055121293375e-37,4.417678874875279e-37,4.1454017998543044e-22,9.371882582676855e-33,4.623025136034049e-40,9.978445812434337e-44,1.6681273310130675e-74,5.0558182510834497e-54,3.2699907337715606e-52,3.974418713558856e-37,1.3415890581565245e-77,5.577951627563905e-105,-7.719418818693913e-107,7.785197223024305e-28,-7.098774001847842e-106,-5.8458595589060515e-123,7.185608060611605e-88,2.9898927025019534e-94,5.894521531185722e-71,5.476596385685175e-102,-2.2782176221723904e-122,-8.249469017243159e-137,2.617874221826221e-171,-4.653243640616705e-145,-5.891180557343492e-211
2.0316206099399765e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.613344387546624e-116,7.395904787959308e-53,2.3756848343779024e-35,1.3555833853968953e-85,4.1381220474623235e-53,1.9935878050986048e-128,1.7930662988755308e-19,2.9336955160620334e-104,1.7930662988755298e-19,1.282841891141379e-70,1.083427926245036e-69,6.331649894794636e-109,7.34153360909533e-110,8.5572268701041e-37,1.2720364842798751e-83,9.792427302019744e-18,2.899363680328186e-19,1.1607125040420933e-21,7.2060529325710036e-37,2.6682780404215386e-36,1.1607125039288454e-21,5.660616810140277e-32,5.488455198983368e-39,1.184643994713023e-42,1.0148057102273436e-72,6.002267427630872e-53,3.882133086219174e-51,2.400548902985005e-36,8.16154058148703e-76,1.1150631370920197e-102,7.812271474491047e-105,2.1798552229058346e-27,7.184161261001163e-104,1.0794094484882304e-120,4.138542338690561e-86,3.303914532573161e-92,1.6623493849567404e-69,5.157561518436136e-100,7.334451322014035e-120,4.772223443163859e-134,7.045295980263537e-168,1.5127705502768806e-142,1.0961868348798523e-207
4.6437042512913753e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.525354544686946e-113,7.261343177987234e-52,1.1437900424472102e-34,1.2264362717692204e-83,4.4516028654969554e-52,7.218343149007987e-126,4.098437254572641e-19,3.0976726447255405e-102,4.098437254572637e-19,2.7904613210880744e-69,2.4170681041032385e-68,1.146286593581759e-106,1.3291166903191047e-107,4.1199363805071085e-36,5.554376656930772e-82,2.2382690976045108e-17,6.627116983607283e-19,2.6530571522394763e-21,3.4694042926596566e-36,1.2846610168090357e-35,2.653057151694237e-21,2.7253430503476536e-31,5.388597346760963e-38,1.1630966582650473e-41,4.581341968002319e-71,5.893061753291126e-52,3.8115014692493913e-50,1.1557609618960987e-35,3.684509202038668e-74,2.0187185745886244e-100,1.6360182188171934e-102,4.982526225948761e-27,1.5044816024775894e-101,4.499308319577849e-118,1.8558960900713922e-84,2.989133158660263e-90,3.6159730149828008e-68,4.5078705186276395e-98,3.8301979151600244e-117,4.997690145511789e-131,3.506260841486316e-164,1.2826832995829513e-139,9.673732113961256e-203
9.867871533994172e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.906352133553644e-111,6.42257580892621e-51,4.995232136699742e-34,9.281951161739027e-82,4.0917899770400645e-51,2.188746193362876e-123,8.709179165966862e-19,2.448452059598398e-100,8.709179165966845e-19,5.173045006151634e-68,4.526901056715532e-67,1.736950990751182e-104,2.013990711394624e-105,1.7992844577868357e-35,2.067879689574834e-80,4.756321832409575e-17,1.4082623590165477e-18,5.6377464491204696e-21,1.5151800039790566e-35,5.610452171043083e-35,5.6377464467392656e-21,1.1902286698154383e-30,4.766152415465272e-37,1.0287567796473859e-40,1.7298456918826688e-69,5.2123463837763265e-51,3.3712302138160718e-49,5.047511766149305e-35,1.391200305782057e-72,3.0589341686349994e-98,2.629200813731531e-100,1.058786823937909e-26,2.417811859290848e-99,1.4482288018399788e-115,6.982344934548061e-83,2.2622206160383898e-88,6.703404561165988e-67,3.3632122377699783e-96,1.3513329474997592e-114,3.5281025279484473e-128,1.0525395317276445e-160,8.255006627410279e-137,2.8196329498554387e-198
2.0316206099399766e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.403509498844712e-108,5.398561956779345e-50,2.085411520967509e-33,6.448531396678642e-80,3.5006124723409533e-50,6.087877878755647e-121,1.7930662988755306e-18,1.7353761094484905e-98,1.7930662988755233e-18,8.891142646864704e-67,7.819095814142456e-66,2.4148965284445555e-102,2.800067015792347e-103,7.511658421406407e-35,7.12501735164446e-79,9.792427302019671e-17,2.899363680328186e-18,1.1607125044827362e-20,6.325578252525698e-35,2.342253339415204e-34,1.1607125034886303e-20,4.968968381675994e-30,4.006236750127271e-36,8.647504933140616e-40,6.0017642063736676e-68,4.381291202642541e-50,2.83372267860177e-48,2.1072368018655064e-34,4.826718314772438e-71,4.252860065603262e-96,3.7590824115474673e-98,2.1798552295617645e-26,3.4568504535794446e-97,4.144543485759063e-113,2.417764367387922e-81,1.5716190827545491e-86,1.1521439713382562e-65,2.3202021874111097e-94,4.0320214216973006e-112,2.105931381024964e-125,2.587537914945623e-157,4.724139080706774e-134,6.09004798714978e-194
4.1212875230210956e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.7953087188365428e-106,4.426067259795367e-49,8.519590072975722e-33,4.298097788065134e-78,2.894374087339016e-49,1.6238376343184628e-118,3.637363063433218e-18,1.1678285666627838e-96,3.63736306343319e-18,1.4736416891616574e-65,1.2991544637852065e-64,3.220165218094211e-100,3.733774224411538e-101,3.0687575645236267e-34,2.3651032336759305e-77,1.9864638241239738e-16,5.88156632295146e-18,2.3545882244020787e-20,2.5842051144421932e-34,9.568869149765115e-34,2.3545882203408287e-20,2.0299840683756994e-29,3.284552413352737e-35,7.090049285487895e-39,1.9989219359064545e-66,3.5920472338153894e-49,2.323257963512038e-47,8.608749909780241e-34,1.6074975076636526e-69,5.671014016125391e-94,5.08154126308463e-96,4.4219920525606353e-26,4.672982994656018e-95,1.120987887521977e-110,8.044054338943475e-80,1.0474766774020706e-84,1.909594138251971e-64,1.541226184291616e-92,1.1125310584047197e-109,1.1623125343061981e-122,5.794860936896536e-154,2.5556252693440423e-131,1.142387975132913e-189
8.300621349183333e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,9.984549955566251e-104,3.584344020934208e-48,3.4437573995590724e-32,2.807056160987339e-76,2.3536569392750975e-48,4.243062172813508e-116,7.325956592548594e-18,7.662550380671466e-95,7.325956592548479e-18,2.3994434741193205e-64,2.1179496650345004e-63,4.20679122903846e-98,4.877764833305861e-99,1.2404408727927039e-33,7.710057589986795e-76,4.0009060119679355e-16,1.1845971608198001e-17,4.742339667352626e-20,1.0445770249399518e-33,3.8678899032351634e-33,4.742339650936392e-20,8.205506839491419e-29,2.659911618823326e-34,5.742195334087068e-38,6.525361673759902e-65,2.9089329791244584e-48,1.881435999654967e-46,3.4797943553774815e-33,5.247131668420119e-68,7.408555277669908e-92,6.683468011867495e-94,8.906265745563011e-26,6.146114066895666e-93,2.949365225712023e-108,2.6243769773110463e-78,6.840413629920293e-83,3.109279024169127e-63,1.0051410417205393e-90,2.9558273344545647e-107,6.176611257179735e-120,1.2405373303485135e-150,1.3451427398715543e-128,2.0013043849203726e-185
1.6659289001507807e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,2.5913328813715028e-101,2.8849918995884203e-47,1.3847220166591562e-31,1.8149730649558307e-74,1.8983095886025725e-47,1.0975126108248022e-113,1.470314365077934e-17,4.965218611647034e-93,1.4703143650778873e-17,3.8727114410420747e-63,3.4204943644501754e-62,5.440440588083082e-96,6.308178450680692e-97,4.98775819292928e-33,2.491928729258891e-74,8.029790387655656e-16,2.3774782178691056e-17,9.517842565701248e-20,4.200198273488167e-33,1.5552615183686518e-32,9.517842499692184e-20,3.299387489976744e-28,2.140921704742293e-33,4.622606511928651e-37,2.109238052087639e-63,2.341362331547343e-47,1.5143457341249733e-45,1.3992100054251046e-32,1.6957771600891156e-66,9.581127903150129e-90,8.6724934006344e-92,1.7874813319586312e-25,7.975220822365797e-91,7.655017637994745e-106,8.479365964204727e-77,4.422092672609024e-81,5.018388880673519e-62,6.498218766705055e-89,7.708908030123177e-105,3.2218804460118306e-117,2.5975413384294884e-147,6.986809651091075e-126,3.3899736127111906e-181
3.3376624306156757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,6.681040756746274e-99,2.3150243100326994e-46,5.553373166986697e-31,1.1678175426100536e-72,1.524825496067997e-46,2.8248754278208318e-111,2.945751776724081e-17,3.1974617921730696e-91,2.9457517767238957e-17,6.223343319965805e-62,5.4983447853328106e-61,7.00141032503347e-94,8.118119299222535e-95,2.0003141183033372e-32,8.025497511144181e-73,1.6087559139030279e-15,4.763240331967707e-17,1.9068848412189158e-19,1.6844673648215744e-32,6.237294295376043e-32,1.9068848147462431e-19,1.3231933530090177e-27,1.717944288489322e-32,3.7106154718257556e-36,6.785269738295241e-62,1.8787958148076135e-46,1.215170869540244e-44,5.611457932276565e-32,5.45333224210026e-65,1.2330142518014086e-87,1.1179535309066841e-89,3.58119092197071e-25,1.028069520738254e-88,1.973686396481724e-103,2.726488096860231e-75,2.844365972419722e-79,8.064416208943861e-61,4.185867490584249e-87,1.9923488990805503e-102,1.6654038559259542e-114,5.38021494225856e-144,3.60731376885007e-123,5.647140786731948e-177
6.681129491545466e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999966,0.11866996602996205,0.02282156769305424,1.7172773504297564e-96,1.8548365884297e-45,2.224260748444329e-30,7.497790640756213e-71,1.22233637063265e-45,7.254856871537208e-109,5.896626600016369e-17,2.052709382926041e-89,5.896626600015625e-17,9.979002751423663e-61,8.817848386105073e-60,8.990448001009758e-92,1.0424403945716461e-92,8.011690056262414e-32,2.5838178015842364e-71,3.2203096641776252e-15,9.534764560164865e-17,3.817086030433216e-19,6.746655583942865e-32,2.49817107278073e-31,3.8170859244037563e-19,5.299606269956371e-27,1.3764290827056712e-31,2.9750346334595896e-35,2.1781133521613876e-60,1.5053229429472522e-45,9.736214995425212e-44,2.2475100926661583e-31,1.749358353579832e-63,1.5833025056139078e-85,1.4367623061228272e-87,7.168610402824538e-25,1.321245871928013e-86,5.073166622038189e-101,8.745766422004104e-74,1.824944188007583e-77,1.2931125184815284e-59,2.69530579055133e-85,5.127213035469469e-100,8.571743043783942e-112,1.1086550000967729e-140,1.8591214423789285e-120,9.329311811971227e-173
1.3368063613405046e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999933,0.11866996602995876,0.02282156769305419,4.4095272755763903e-94,1.4849970935073e-44,8.902958518397198e-30,4.810997705283845e-69,9.788604549197822e-45,1.862060431511613e-106,1.1798376246600915e-16,1.3157644920303633e-87,1.1798376246597937e-16,1.5983746929759748e-59,1.41249762648063e-58,1.1537593293345432e-89,1.337781309808167e-90,3.2067639291980667e-31,8.340847623497168e-70,6.443417164725512e-15,1.9077813016559007e-16,7.637488488532309e-19,2.700420454387506e-31,9.999194706431965e-31,7.637488064132642e-19,2.1211684857625013e-26,1.1019531282471649e-30,2.3850819342164612e-34,6.987925443978361e-59,1.205173648967563e-44,7.79498922264622e-43,8.995897541716082e-31,5.604722377507247e-62,2.031878761994134e-83,1.844611073933404e-85,1.4343450567850887e-24,1.696303277719723e-84,1.3026607516457894e-98,2.802010689346104e-72,1.169401427574412e-75,2.071227332272168e-58,1.7400767351320987e-83,1.317294525083125e-97,4.404555214969827e-109,2.2797705087351316e-137,9.595591533956314e-118,1.5348577840430405e-168
2.6741931857124205e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999866,0.1186699660299522,0.022821567693054094,1.1327998210301977e-91,1.1884490000771319e-43,3.5624382425235386e-29,3.089155081296072e-67,7.834851010938562e-44,4.782498303287096e-104,2.3601875539769896e-16,8.427396166890087e-86,2.3601875539757975e-16,2.5587877019964533e-58,2.2613105559898388e-57,1.481656194394948e-87,1.7179769759430465e-88,1.283123272029942e-30,2.7111325048391846e-68,1.2889632165816053e-14,3.8163909929346624e-16,1.5278293723441397e-18,1.0805199211039024e-30,4.000980332878152e-30,1.5278292025245872e-18,8.486995665606471e-26,8.818540900861777e-30,1.913984471161923e-33,2.2435079837792342e-57,9.645051861516477e-44,6.238515987834599e-42,3.599530779170829e-30,1.7945309471505064e-60,2.609335995936382e-81,2.3693915184651015e-83,2.8693135711178346e-24,2.1788907895982828e-82,3.346488610557355e-96,8.971822611758022e-71,7.48850192248793e-74,3.315762598957677e-57,1.131077736332414e-81,3.3849316065706875e-95,2.263596109011846e-106,4.687760422361219e-134,4.979578272848813e-115,2.519912707682138e-164
5.3489668344562525e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997335,0.11866996602993907,0.022821567693053903,2.916596043778666e-89,9.509397739605996e-43,1.4252834072603486e-28,1.9881589704240864e-65,6.269468144915139e-43,1.2311599071652013e-101,4.720887412610741e-16,5.395615578044932e-84,4.720887412605972e-16,4.095171193897222e-57,3.619148668467405e-56,1.9071330109114623e-85,2.2113163717748512e-86,5.1333286078634205e-30,8.937702589964551e-67,2.5782062167976213e-14,7.633610375491912e-16,3.0559905468334576e-18,4.3227832230916254e-30,1.6006526572476628e-29,3.0559898674094246e-18,3.3949979182311076e-25,7.055479434345486e-29,1.539789248855419e-32,7.219796043411297e-56,7.717506751424695e-43,4.992009536549999e-41,1.4400466930886746e-29,5.7437145719895145e-59,3.3586406993424006e-79,3.050238593524832e-81,5.739252525093231e-24,2.804996560516186e-80,8.615968993037884e-94,2.8718456380242717e-69,4.79368319651625e-72,5.306659662172828e-56,7.455952191700416e-80,8.715418845840852e-93,1.1656431112634065e-103,9.657917894174191e-131,2.615020299454993e-112,4.1328583862261255e-160
