Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),O(29),CHOX(53),CO2X(24),acetyl(44),C2H6X(52),C2H4X(215),CH4OX(63),C2H4X(70),HOCO(73),CHO2X(213),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.181367586618781e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.836602574436571e-118,6.039976990919395e-54,3.852983577052089e-36,1.1531554631936326e-87,2.654907145980667e-54,5.08761275981072e-131,6.338128209587975e-20,-1.4284913624628824e-105,6.338128209587976e-20,4.3650562780924743e-72,2.7825867717927258e-71,2.946800729469113e-111,3.4168077012191877e-112,1.3878463563317712e-37,2.3339282234951446e-85,3.461424819032677e-18,1.024866367955567e-19,4.102883733758297e-22,1.1687070571366724e-37,4.327523939842394e-37,4.102883733574627e-22,9.180621347856188e-33,4.482229994802095e-40,9.674548496576141e-44,1.5843172767629066e-74,4.901840650973344e-54,3.1704023586956594e-52,3.893309244669209e-37,1.2741851846380823e-77,5.189591871439534e-105,7.70534702264807e-28,-7.181960153884074e-107,-6.604523158446181e-106,-5.383063983529943e-123,5.656387101097061e-71,2.8105494141466017e-94,5.743008144508597e-88,5.148090465802803e-102,-3.6403610365513773e-137,-1.0157620974509047e-122,-4.240900105808201e-145,-5.0993918947438545e-211
2.0107829242532587e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.327283196586492e-116,7.170660683642801e-53,2.3272021369612654e-35,1.274271907536772e-85,4.012095672918263e-53,1.835762639550684e-128,1.7746758986846333e-19,2.7577238861405185e-104,1.7746758986846326e-19,1.2310157095208316e-70,8.748898078179695e-70,5.890816205133233e-109,6.830385907962249e-110,8.382591992243914e-37,1.2081263490974877e-83,9.691989493291495e-18,2.8696258302755876e-19,1.1488074454820924e-21,7.05899062502336e-37,2.613824459661772e-36,1.1488074453711557e-21,5.545095032525301e-32,5.3213032171102944e-39,1.1485651878981907e-42,9.638198168355787e-73,5.819465220750379e-53,3.7639017638108374e-51,2.351558783775797e-36,7.751489947243256e-76,1.0374278650234605e-102,2.1574971667911216e-27,7.268347831280893e-105,6.68396517584477e-104,9.939564783907657e-121,1.5951916623683532e-69,3.105735216003012e-92,3.307678669194449e-86,4.848191710625279e-100,2.105906844603886e-134,3.2701254904075665e-120,1.3787109247762545e-142,9.488567057416255e-208
4.59607525543602e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.4045952262687492e-113,7.040197180687855e-52,1.120447708839445e-34,1.1528713181767023e-83,4.3160294421079655e-52,6.646892570948758e-126,4.0564020541363053e-19,2.911865187286972e-102,4.056402054136301e-19,2.6777280552872517e-69,1.9518310339736255e-68,1.0664776788948622e-106,1.2365780658249029e-107,4.035857204212814e-36,5.275309943943402e-82,2.2153118841809108e-17,6.559144754915629e-19,2.6258455898136934e-21,3.3986001220302246e-36,1.258443961701616e-35,2.6258455892795815e-21,2.669724295586863e-31,5.224486560513252e-38,1.1276740229526005e-41,4.351165839544802e-71,5.7135854625104725e-52,3.6954212483544183e-50,1.1321743283431972e-35,3.4993927656807488e-74,1.8781670026357277e-100,4.931422097642398e-27,1.522111575480892e-102,1.3997322359749378e-101,4.143114016855255e-118,3.4698902985950284e-68,2.8098354341612933e-90,1.4833019476179659e-84,4.2374703003683005e-98,2.2054015421264038e-131,1.7077251773501728e-117,1.1690016026841033e-139,8.373559536970803e-203
9.766659917801543e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.51792540460621e-111,6.226974678709892e-51,4.893290017393859e-34,8.725193779496574e-82,3.967174643653998e-51,2.015470720747157e-123,8.619854365039648e-19,2.3015867500009504e-100,8.6198543650396315e-19,4.9640565304653006e-68,3.6555635132495087e-67,1.6160175600651834e-104,1.8737681137705146e-105,1.762564872541374e-35,1.9639826799109404e-80,4.7075377538844256e-17,1.3938182604195712e-18,5.579921878953199e-21,1.4842579624362459e-35,5.495955403552798e-35,5.5799218766205904e-21,1.1659385057291045e-30,4.620998320442493e-37,9.97425417202213e-41,1.6429344775922267e-69,5.053601636972952e-51,3.2685585597441697e-49,4.9445027406616e-35,1.3213038774337938e-72,2.845958163999167e-98,1.047927196653954e-26,2.4461442532529936e-100,2.249471732925286e-99,1.3335775153415334e-115,6.432591824524916e-67,2.1265254244804833e-88,5.580552648412247e-83,3.1614712930413483e-96,1.5568956070226749e-128,6.025028229072872e-115,7.523225714686289e-137,2.440667584027124e-198
2.0107829242532588e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.2923959983853031e-108,5.234147420973995e-50,2.042852679636657e-33,6.06172915994504e-80,3.394001431021192e-50,5.605920434891934e-121,1.7746758986846334e-18,1.631283179144607e-98,1.7746758986846265e-18,8.531944853926688e-67,6.314076894391602e-66,2.2467613574985776e-102,2.6051138892011004e-103,7.358361381271271e-35,6.767024917592946e-79,9.691989493291426e-17,2.8696258302755876e-18,1.1488074459137427e-20,6.196484815792678e-35,2.2944531928620985e-34,1.1488074449399242e-20,4.867561789597034e-30,3.884226049176122e-36,8.384138506478375e-40,5.700221277373523e-68,4.247856677677007e-50,2.7474209446212465e-48,2.064232561462147e-34,4.584215244057116e-71,3.9567570216168734e-96,2.157497173311218e-26,3.497357759686154e-98,3.216166586249255e-97,3.8164334388117354e-113,1.105598181202432e-65,1.4773483745268317e-86,1.932368204441e-81,2.181023111410474e-94,9.293138690669855e-126,1.7977092802101694e-112,4.305180607547435e-134,5.271531074245987e-194
4.079016789199468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.4948389779227563e-106,4.291270289823941e-49,8.345723211207717e-33,4.040283278160177e-78,2.806226016720035e-49,1.4952830682154556e-118,3.60005682304597e-18,1.0977787965090925e-96,3.600056823045943e-18,1.4141072892138302e-65,1.0490933194020996e-64,2.9959626074054226e-100,3.4738107694343263e-101,3.0061307216690557e-34,2.2462644216708064e-77,1.96608929721053e-16,5.8212409699876184e-18,2.330437962712675e-20,2.5314662330700676e-34,9.373589954297747e-34,2.3304379587343075e-20,1.9885562169159433e-29,3.1845207709849156e-35,6.874113364980984e-39,1.8984905197503973e-66,3.482649548164649e-49,2.252502551290621e-47,8.43306355580286e-34,1.5267339330696542e-69,5.276170539192877e-94,4.3766371381370894e-26,4.727738901074198e-96,4.34762380530972e-95,1.032242477412068e-110,1.8324479046080935e-64,9.846457042900698e-85,6.4291107312581346e-80,1.4487710200980085e-92,5.1290973367017326e-123,4.960307404624974e-110,2.3287880682359833e-131,9.888483188890033e-190
8.215484519091886e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,9.194078030055624e-104,3.4751819397871303e-48,3.373477546565158e-32,2.6386771414453877e-76,2.2819763921738355e-48,3.9071477992559836e-116,7.250818671768642e-18,7.202928216699978e-95,7.25081867176853e-18,2.3025071370903804e-64,1.710286887775616e-63,3.913891880497359e-98,4.538147349064619e-99,1.2151261015937215e-33,7.322615903054279e-76,3.9598699929732535e-16,1.1724471249411673e-17,4.693698999358896e-20,1.0232591256637885e-33,3.7889549301862546e-33,4.6936989832776836e-20,8.038049246157677e-29,2.5789035663001973e-34,5.567305047534607e-38,6.197503960592712e-65,2.820339896456555e-48,1.824136373143272e-46,3.408779122123537e-33,4.983506385206602e-68,6.892729896328109e-92,8.814917113834202e-26,6.218126153369957e-94,5.718182358677291e-93,2.7158700883836956e-108,2.983666381535914e-63,6.430104025381724e-83,2.0975007723950795e-78,9.448399556664282e-91,2.7256364263632218e-120,1.3178778097676784e-107,1.2255453480054443e-128,1.7323243263021306e-185
1.6488419978876722e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996452,0.022821567693054275,2.3861742456713172e-101,2.797128759767841e-47,1.3564627264447942e-31,1.7061004442012142e-74,1.840496630559291e-47,1.0106231136639697e-113,1.4552342369213984e-17,4.667390289547892e-93,1.4552342369213528e-17,3.7162558022601813e-63,2.762117891093242e-62,5.061639353295456e-96,5.868957527143777e-97,4.8859686113214834e-33,2.3666823256090213e-74,7.947431384498502e-16,2.3530931808259753e-17,9.420221084844835e-20,4.11447993645837e-33,1.523522112878098e-32,9.420221020182883e-20,3.2320538547133055e-28,2.0757196420816e-33,4.481807753502634e-37,2.00325887552484e-63,2.2700549103850757e-47,1.46822591439558e-45,1.3706550924755365e-32,1.6105783314074844e-66,8.914020610775304e-90,1.7691477249409913e-25,8.068650213128917e-92,7.419922304496329e-91,7.048973733742345e-106,4.815649569031685e-62,4.156841721531018e-81,6.777028154151231e-77,6.108313575664009e-89,1.4217601942714938e-117,3.4370687740470387e-105,6.363506192789748e-126,2.934353122720851e-181
3.3034290898446395e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.1186699660299637,0.022821567693054264,6.152074474867187e-99,2.2445196737106425e-46,5.4400402090644105e-31,1.0977613208320837e-72,1.4783869841641665e-46,2.6012226987043425e-111,2.9155389764104643e-17,3.0056686899914083e-91,2.9155389764102825e-17,5.9719233086105224e-62,4.440023835731655e-61,6.51390140102248e-94,7.552851554248443e-95,1.9594919434276805e-32,7.621979483201587e-73,1.5922554167548199e-15,4.7143852925955815e-17,1.8873265304591237e-19,1.6500904765143848e-32,6.110005083593241e-32,1.887326504526707e-19,1.2961898155862246e-27,1.6656241656587266e-32,3.597582235576177e-36,6.444320051878864e-62,1.8215760988140604e-46,1.1781624656961987e-44,5.496939959895948e-32,5.1793475548609745e-65,1.1471589988893622e-87,3.5444598257287275e-25,1.0401097668911374e-89,9.564838394304478e-89,1.8174244452357904e-103,7.738619577819818e-61,2.673752168528738e-79,2.1791118202259612e-75,3.9346309092350212e-87,7.349115019077643e-115,8.882992582806395e-103,3.283333341078317e-123,4.8881517055810805e-177
