Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),CH3X(55),C2H4(47),COX(50),CO2X(24),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),CH4OX(63),HOCO(73),CHO2(74),S(216),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.181367588000227e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.836603400655219e-118,6.039975259040573e-54,3.8529824715214633e-36,1.1531543410459214e-87,2.6549056180721226e-54,5.087606288776448e-131,6.338126389779387e-20,-1.4284904683041034e-105,6.338126389779387e-20,4.3650547934518786e-72,2.5288476940212952e-71,2.946796980808715e-111,3.4168043769449483e-112,1.3878459581193186e-37,2.3339281104293803e-85,3.461424819698535e-18,1.0248663681527157e-19,4.1028837345475495e-22,1.1687070575712884e-37,4.327522163143183e-37,4.1028837343638794e-22,9.180619677474355e-33,4.482228482453512e-40,9.674546734803069e-44,1.5843169883499935e-74,4.901840653739172e-54,3.1704014496268833e-52,3.893308127567936e-37,1.2741847447739347e-77,5.1895868223913605e-105,-6.604521959391432e-106,-7.1819543890339e-107,7.705346935541175e-28,-5.3830572012409787e-123,2.810548444451579e-94,5.14809021739693e-102,5.656383846914166e-71,5.219313572896427e-88,-1.7626173244161932e-137,-4.2408957005676335e-145,-5.0993924304100785e-211,-4.918177456000643e-123
2.0107829246400634e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.3272846941136853e-116,7.170658627556249e-53,2.3272014692207572e-35,1.2742706679303388e-85,4.0120933697076486e-53,1.8357603051814044e-128,1.7746753891382287e-19,2.7577221607783043e-104,1.774675389138228e-19,1.2310152925344965e-70,7.9511018151234e-70,5.890808713199928e-109,6.830379264694306e-110,8.382589587040692e-37,1.2081262922071723e-83,9.691989495155894e-18,2.869625830827604e-19,1.1488074457030828e-21,7.058990627560832e-37,2.6138233865354477e-36,1.1488074455921462e-21,5.545094023614763e-32,5.321301421650167e-39,1.1485649787395501e-42,9.638196416855568e-73,5.819465223967826e-53,3.763900684564369e-51,2.3515581090466276e-36,7.751487270770951e-76,1.0374268560158575e-102,6.683963963780161e-104,7.268341997589955e-105,2.1574971424011904e-27,9.939552262810128e-121,3.105734144239069e-92,4.848191483188236e-100,1.5951907468474883e-69,3.0060574075144297e-86,1.0196534482315974e-134,1.3787063534519752e-142,9.488568055523473e-208,1.583348839739247e-120
4.5960752563201454e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.4045958584420688e-113,7.040195162009864e-52,1.120447387351123e-34,1.1528701966765453e-83,4.3160269648176836e-52,6.646884118774762e-126,4.056400889458808e-19,2.9118633658385292e-102,4.0564008894588043e-19,2.677727148616974e-69,1.7738470763348438e-68,1.0664763225590632e-106,1.2365768631335844e-107,4.0358560462109896e-36,5.27530969632632e-82,2.2153118846070593e-17,6.559144756177379e-19,2.6258455903188144e-21,3.3986001231626777e-36,1.258443445037485e-35,2.6258455897847025e-21,2.669723809839958e-31,5.224484797720095e-38,1.1276738175974136e-41,4.351165048848912e-71,5.713585465529284e-52,3.6954201887438046e-50,1.1321740034901464e-35,3.499391557389211e-74,1.8781651759373383e-100,1.3997319821503427e-101,1.5221103538156987e-102,4.931422041893984e-27,4.1431087977046595e-118,2.8098344645048604e-90,4.237470102273369e-98,3.4698883076115543e-68,1.3480423140178372e-84,1.0678274385975255e-131,1.1689920202266478e-139,8.373560416024948e-203,8.268565491255511e-118
9.766659919680309e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.517927437995247e-111,6.22697289321203e-51,4.893288613369804e-34,8.72518529171473e-82,3.967172366630894e-51,2.0154681578763764e-123,8.619851890099967e-19,2.3015853103326823e-100,8.619851890099952e-19,4.964054849721961e-68,3.322219258485651e-67,1.6160155048278162e-104,1.8737662913479683e-105,1.7625643668115453e-35,1.9639825877232296e-80,4.707537754789992e-17,1.393818260687693e-18,5.579921880026581e-21,1.4842579628524194e-35,5.495953147144798e-35,5.579921877693973e-21,1.1659382935907479e-30,4.6209967612723385e-37,9.974252355643303e-41,1.6429341790349487e-69,5.0536016393938356e-51,3.268557622530523e-49,4.944501321942981e-35,1.321303421205988e-72,2.8459553960268064e-98,2.2494713250023507e-99,2.446142289944383e-100,1.0479271848074156e-26,1.3335758354096108e-115,2.1265246906299738e-88,3.1614711452526102e-96,6.432588133668525e-67,5.071672101418607e-83,7.538290726913986e-129,7.523090420143856e-137,2.4406678402347284e-198,2.9172340583738185e-115
2.0107829246400635e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.2923965800459244e-108,5.2341459201553865e-50,2.0428520934841746e-33,6.0617232631357744e-80,3.3939994829830723e-50,5.605913306390709e-121,1.7746753891382284e-18,1.6312821587616418e-98,1.774675389138222e-18,8.53194196517214e-67,5.738307591251292e-66,2.2467585000794825e-102,2.605111355465062e-103,7.358359269948721e-35,6.767024599727693e-79,9.691989495155825e-17,2.869625830827603e-18,1.148807446134733e-20,6.196484816874913e-35,2.294452250856176e-34,1.1488074451609148e-20,4.867560903961815e-30,3.884224738600382e-36,8.384136979642877e-40,5.700220241499771e-68,4.2478566792926487e-50,2.7474201568366085e-48,2.0642319691750516e-34,4.58421366119177e-71,3.9567531732715276e-96,3.2161660029996803e-97,3.497354952648088e-98,2.1574971489212853e-26,3.8164286311687596e-113,1.4773478647033092e-86,2.1810230093825996e-94,1.1055975468403108e-65,1.7561590275554713e-81,4.499619628930836e-126,4.305019087546313e-134,5.271531627565334e-194,8.704255879869123e-113
4.079016789984129e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.494840550769821e-106,4.2912690593620556e-49,8.345720816582941e-33,4.0402793477740074e-78,2.8062244060447435e-49,1.4952811668005882e-118,3.600055789394691e-18,1.097778109838371e-96,3.600055789394663e-18,1.4141068104242228e-65,9.53428388583654e-65,2.995958797137099e-100,3.473807390780822e-101,3.006129859124848e-34,2.246264315998648e-77,1.9660892975887364e-16,5.82124097110742e-18,2.3304379631609693e-20,2.5314662329767556e-34,9.373586105896186e-34,2.3304379591826026e-20,1.988555855105598e-29,3.1845196964969307e-35,6.87411211309118e-39,1.8984901747346262e-66,3.4826495488017035e-49,2.252501905417021e-47,8.433061136116815e-34,1.5267334059099755e-69,5.276165407551186e-94,4.347623016804659e-95,4.727735106481216e-96,4.3766370886603634e-26,1.0322411770675146e-110,9.846453644952152e-85,1.4487709522229875e-92,1.832446853199754e-64,5.842851700930695e-80,2.4834437197398902e-123,2.328609771143117e-131,9.888484226609802e-190,2.401711186681073e-110
8.215484520672259e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996492,0.02282156769305428,9.194082167555979e-104,3.475180943327012e-48,3.3734765786190306e-32,2.6386745745074405e-76,2.2819750823994678e-48,3.9071428308434237e-116,7.250816589907618e-18,7.202923711202405e-95,7.250816589907504e-18,2.3025063575056775e-64,1.554328906071021e-63,3.913886902755795e-98,4.5381429351718514e-99,1.2151257529395182e-33,7.322615557532673e-76,3.959869993734994e-16,1.1724471251667048e-17,4.693699000261797e-20,1.0232591251931855e-33,3.788953374600813e-33,4.693698984180589e-20,8.038047783666776e-29,2.578902696153894e-34,5.56730403356336e-38,6.197502834230361e-65,2.82033989585885e-48,1.824135850097829e-46,3.4087781440477506e-33,4.983504664473332e-68,6.892723192321288e-92,5.718181321426478e-93,6.218121162477739e-94,8.81491701418388e-26,2.715866667091965e-108,6.430101806395943e-83,9.44839911267472e-91,2.983664669590065e-63,1.9062334541440713e-78,1.3197185002048711e-120,1.2253558491328994e-128,1.732324508021918e-185,6.3809792808168235e-108
1.6488419982048522e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996452,0.022821567693054275,2.3861753193469104e-101,2.797127957729755e-47,1.3564623372375049e-31,1.7060987844418607e-74,1.8404955741788165e-47,1.0106218285083543e-113,1.4552338190933468e-17,4.667387370052532e-93,1.4552338190933008e-17,3.7162545440073376e-63,2.5102453344149727e-62,5.061632915703956e-96,5.868951818728986e-97,4.885967209397913e-33,2.3666822132643514e-74,7.947431386027309e-16,2.353093181278628e-17,9.42022108665695e-20,4.114479931084844e-33,1.523521487384034e-32,9.42022102199501e-20,3.2320532666556526e-28,2.07571894171525e-33,4.481806937115325e-37,2.0032585113919052e-63,2.2700549081113186e-47,1.4682254934026917e-45,1.370654699195565e-32,1.6105777752986286e-66,8.91401194059374e-90,7.419920958104106e-91,8.068643736732253e-92,1.7691477049412342e-25,7.048964853684294e-106,4.1568402870347066e-81,6.108313286908932e-89,4.815646805944196e-62,6.159043161492456e-77,6.883982065605622e-118,6.361529232768901e-126,2.934353430281268e-181,1.6641804315612106e-105
3.3034290904801046e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.1186699660299637,0.022821567693054264,6.1520772422844634e-99,2.244519030125117e-46,5.440038648165829e-31,1.097760252832047e-72,1.4783861356219215e-46,2.601219390735747e-111,2.915538139298514e-17,3.0056668099181253e-91,2.9155381392983315e-17,5.971921286631986e-62,4.035146058247965e-61,6.513893116055536e-94,7.552844207617317e-95,1.959491381193342e-32,7.621979117079105e-73,1.5922554170611143e-15,4.7143852935024646e-17,1.8873265308221774e-19,1.6500904715670792e-32,6.110002575082287e-32,1.8873265048897647e-19,1.2961895797516176e-27,1.6656236036638086e-32,3.5975815800674815e-36,6.444318880161019e-62,1.8215760941125e-46,1.1781621278752576e-44,5.496938382667363e-32,5.179345766513696e-65,1.1471578830519878e-87,9.564836657533421e-89,1.0401089319814701e-89,3.5444597856595e-25,1.817422155613411e-103,2.6737512458384498e-79,3.9346307210264325e-87,7.738615137612407e-61,1.9804025380982908e-75,3.558348032537916e-115,3.281289543024989e-123,4.888152217088763e-177,4.3010202547003583e-103
