Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CO2X(24),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-6.484211686920807e-119,1.3113256477854642e-65,2.9700073126975632e-36,5.281639460232963e-88,1.7967589324328686e-54,1.7962024963644906e-131,5.564692090377849e-20,-6.542727213208572e-106,5.564692090377849e-20,2.5936458149773724e-72,6.852384853880529e-73,1.1849820535104115e-111,1.3739839878361987e-112,4.699567148343665e-53,1.2175533394060029e-85,3.0390311159895404e-18,8.998030998167262e-20,3.6022135346071855e-22,9.008783568596094e-38,3.335798334090026e-37,3.602213534465606e-22,7.076727710243157e-33,3.0334352115291142e-40,6.547435236565678e-44,8.265005543825872e-75,3.3174158810800166e-54,2.1456307598146115e-52,6.647121551574516e-78,-2.655846348036138e-106,2.086864921376677e-105,-2.888046624335621e-107
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.1747126209252592e-116,2.933437788792309e-64,1.793884455053874e-35,5.836370790622347e-86,2.7152621216107907e-53,6.481233251323829e-129,1.5581137853057977e-19,1.2630832281382804e-104,1.558113785305797e-19,7.314496241115329e-71,2.1544994500372947e-71,2.3688434119911857e-109,2.7466685323388135e-110,5.579326118290875e-52,6.302488707728454e-84,8.50928712477071e-18,2.5194486794868334e-19,1.0086197897129588e-21,5.4413052751947034e-37,2.0148221937883227e-36,1.0086197896274452e-21,4.274343359957691e-32,3.601294144849665e-39,7.773131692865494e-43,5.0280167640741025e-73,3.9384361338471153e-53,2.5472928877062837e-51,4.043768266552911e-76,2.687791212181031e-104,4.171756193322253e-103,2.9227844216010306e-105
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,4.958984904837182e-114,5.796027167584354e-63,8.636781838092647e-35,5.280333213325467e-84,2.920955087516471e-52,2.3467104837010527e-126,3.5614029378418233e-19,1.3336825001218768e-102,3.561402937841821e-19,1.591062702303716e-69,4.8065697545380137e-70,4.2885687822181654e-107,4.972585719787704e-108,5.477815467418927e-51,2.7519853606998305e-82,1.944979914233304e-17,5.758739838827048e-19,2.305416662309227e-21,2.619754261391735e-36,9.70050155550299e-36,2.3054166618975155e-21,2.057912152594965e-31,3.5357716538974966e-38,7.631741909782435e-42,2.2698974036450683e-71,3.866779950456512e-52,2.500947367568465e-50,1.8255501426136123e-74,5.62867333319881e-102,7.552573246120582e-101,6.120787456195373e-103
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,1.5950713244643346e-111,1.0313760231898627e-61,3.7719098789862087e-34,3.996271907992294e-82,2.684860961806912e-51,7.1156864829204314e-124,7.567981242913874e-19,1.0541648647539455e-100,7.567981242913862e-19,2.949562104685585e-68,9.002173194623747e-69,6.498395534460995e-105,7.534874797888276e-106,4.845065745806442e-50,1.0245487628201998e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407868914e-21,1.1441155128438277e-35,4.236463884262496e-35,4.8990104060708614e-21,8.987441448057226e-31,3.1273494654904383e-37,6.750251767359437e-41,8.570778776483592e-70,3.420123075644505e-51,2.2120598113883797e-49,6.892928854816726e-73,9.045676924135204e-100,1.1444286135618792e-98,9.83653919805164e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,4.562843384203563e-109,1.7395696319600593e-60,1.574698409866345e-33,2.776357485407199e-80,2.296955078874478e-50,1.9791839278410925e-121,1.5581137853057976e-18,7.471547235572376e-99,1.5581137853057924e-18,5.069543641626175e-67,1.554901550331911e-67,9.034745521890285e-103,1.0475766822290558e-103,4.072569695049633e-49,3.5300953610308827e-79,8.509287124770657e-17,2.519448679486833e-18,1.0086197900456891e-20,4.7764570447587565e-35,1.7686402767058782e-34,1.0086197892950375e-20,3.7520785624153064e-30,2.6287247861507297e-36,5.674098443487241e-40,2.973655518759859e-68,2.874819521869182e-50,1.8593698728306877e-48,2.391476443383859e-71,1.2932961114435034e-97,1.5911037173017537e-96,1.4063688116487381e-98
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996516,0.022821567693054285,1.233857315790252e-106,2.857250946425365e-59,6.433159149566475e-33,1.8504974456955257e-78,1.899166877970408e-49,5.279107078065548e-119,3.1607451073346185e-18,5.028008770765111e-97,3.1607451073345965e-18,8.402396803259062e-66,2.58349217872748e-66,1.204739618163884e-100,1.3968928389636018e-101,3.3389386879834917e-48,1.1717552466197969e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572891507263e-20,1.951338553288965e-34,7.225472623329758e-34,2.0460572860840686e-20,1.5328454380604635e-29,2.1551859631088057e-35,4.6521410729484145e-39,9.903875531696513e-67,2.3569507315295687e-49,1.5244242763152215e-47,7.96460980802785e-70,1.7482728052237537e-95,2.121659852124403e-94,1.901124058279183e-96
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.02282156769305428,3.245948161091328e-104,4.63172900080424e-58,2.6003876724277285e-32,1.2085331353658173e-76,1.5443709645999812e-48,1.379407409946315e-116,6.36600775139226e-18,3.299060463177181e-95,6.36600775139217e-18,1.3681125014872523e-64,4.211744282382904e-65,1.5738425362769612e-98,1.8248668304830556e-99,2.703959113610334e-47,3.8195925000999286e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.120932289710574e-20,7.88762241285839e-34,2.920651559616294e-33,4.120932277314643e-20,6.195997594022025e-29,1.745323141691757e-34,3.7677036160545043e-38,3.233025669132448e-65,1.9087198075864044e-48,1.2345191383668906e-46,2.599777880068287e-68,2.299380592767961e-93,2.771684829054042e-92,2.5004151335635473e-94
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999992,0.11866996602996462,0.022821567693054278,8.424163746819099e-102,7.459258427953387e-57,1.045605963524611e-31,7.813905826131074e-75,1.245591131629707e-47,3.567904831704764e-114,1.2776533039507543e-17,2.137742083111635e-93,1.2776533039507187e-17,2.2081390932077327e-63,6.801978238083482e-64,2.0353305718377956e-96,2.3599611548909805e-97,2.1763815277231304e-46,1.2343556541554377e-74,6.977615442311581e-16,2.065947917179199e-17,8.270682300229408e-20,3.171578271755294e-33,1.174381146547864e-32,8.270682250385847e-20,2.4913763468554213e-28,1.4047841562281225e-33,3.0330250386733157e-37,1.0450104066531796e-63,1.5363037513787846e-47,9.936497491305554e-46,8.402010803499889e-67,2.983619605729765e-91,3.5844086924219447e-90,3.244477096182711e-92
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999985,0.11866996602996391,0.022821567693054268,2.1718445718731747e-99,1.1973763031401292e-55,4.1933597429612335e-31,5.027522791780434e-73,1.0005265350756623e-46,9.182992283802982e-112,2.559758361573811e-17,1.3766460586937168e-91,2.5597583615736684e-17,3.5484202436692373e-62,1.0933981267956207e-62,2.619193315543327e-94,3.0369486741233604e-95,1.746409102588405e-45,3.974362915645811e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182358864e-19,1.2719447317142634e-32,4.70979365180785e-32,1.657018215896847e-19,9.99147702182363e-28,1.1272448003086397e-32,2.434532783030508e-36,3.3615768900446753e-62,1.2327870000087945e-46,7.973435056840726e-45,2.7019465639824913e-65,3.845955089172551e-89,4.6126459335294215e-88,4.182206523702501e-90
