Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),CHOX(53),acetyl(44),C2H4X(215),C2H6X(52),C2H4X(70),HOCO(73),CHO2(74),S(216),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.6882698097367787e-118,5.852212541467442e-54,3.772712002372802e-36,1.082573241245348e-87,2.5723734605015573e-54,4.676704890488952e-131,6.271756745260255e-20,-1.3410569162248177e-105,6.271756745260253e-20,4.185072093422559e-72,2.3067859097113664e-71,2.7374637468176074e-111,3.174082969668145e-112,1.3589325006584982e-37,2.2142618102930133e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172791522e-22,1.144358993842123e-37,4.237365451411085e-37,4.0599204170993096e-22,8.989356772125849e-33,4.342890927088012e-40,9.373797023548137e-44,1.503085269606608e-74,4.749458750912248e-54,3.0718442252464734e-52,1.2088542807843807e-77,3.812197541577014e-37,-6.135352905894741e-106,4.8209312958370436e-105,7.624660450979385e-28,-6.671765947148112e-107,-4.948293656498447e-123,2.63852332238789e-94,5.423156250619833e-71,4.832990643088605e-102,-7.762965523131121e-138,-3.857555227169039e-145,-4.400629226955138e-211,-2.1889954084266397e-123
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.058555890097434e-116,6.947746729252467e-53,2.2787181041010016e-35,1.1962763714837374e-85,3.887370748910451e-53,1.6874947638048524e-128,1.756091888672872e-19,2.588930375069456e-104,1.756091888672871e-19,1.1802572842947035e-70,7.252903999325668e-70,5.472339959008287e-109,6.345165698830588e-110,8.207952303977334e-37,1.1461824673991797e-83,9.590499897454917e-18,2.839576564753946e-19,1.1367777168673119e-21,6.911928322466635e-37,2.5593687326493557e-36,1.1367777167586864e-21,5.429571236915907e-32,5.155879885515852e-39,1.1128598579644842e-42,9.14402280678764e-73,5.638557428806968e-53,3.646893544334247e-51,7.354050198228889e-76,2.302567315108248e-36,6.209151381609397e-104,9.63730569964516e-103,2.134904926714522e-27,6.752016617878893e-105,9.136782370195774e-121,2.9156416048856474e-92,1.529416823839737e-69,4.5514471102832474e-100,4.4907814261078475e-135,1.2540817345027442e-142,8.18836161845286e-208,7.047210645074788e-121
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.2911533282896796e-113,6.821338938403635e-52,1.0971047322917452e-34,1.0823064018193912e-83,4.181856059104186e-52,6.110046891351318e-126,4.013924316966564e-19,2.7336370646499546e-102,4.0139243169665603e-19,2.5673173922342773e-69,1.6180829841633674e-68,9.907163798263346e-107,1.1487333823605637e-107,3.9517757119149175e-36,5.0048290717817495e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490672626998e-21,3.327795953583208e-36,1.2322258732659328e-35,2.598349066739715e-21,2.614104569162075e-31,5.062072972932437e-38,1.0926180745834494e-41,4.128070083793497e-71,5.5359691192075496e-52,3.580541877324328e-50,3.3199694848811784e-74,1.1085870450841921e-35,1.3002983487280915e-101,1.7447447866031825e-100,4.879782691708862e-27,1.413983251721246e-102,3.8084895974676703e-118,2.6378530469817606e-90,3.3268156562712387e-68,3.9781050547837096e-98,4.702949429987825e-132,1.0633213948906725e-139,7.226142174777065e-203,3.680194674872823e-118
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.153035468023032e-111,6.033397041896554e-51,4.7913450903645515e-34,8.191141472309486e-82,3.843846188527795e-51,1.852688178793055e-123,8.529589173553949e-19,2.160712272829699e-100,8.529589173553932e-19,4.75937376871684e-68,3.030490352590291e-67,1.501217443724512e-104,1.7406582013792998e-105,1.7258442758362964e-35,1.8632822682070254e-80,4.658242807335231e-17,1.3792229028804885e-18,5.521491768519857e-21,1.4533359216528187e-35,5.381454123246499e-35,5.521491766235845e-21,1.14164791721553e-30,4.477345377660083e-37,9.66418394325775e-41,1.5586967216979335e-69,4.896501992043373e-51,3.166949044051788e-49,1.2535570756562668e-72,4.841490877736636e-35,2.0896740019538927e-99,2.6437852061531787e-98,1.0369538228742246e-26,2.272373909198298e-100,1.225869123421029e-115,1.9963665889977972e-88,6.167355550081371e-67,2.9679634901743153e-96,3.320030269475092e-129,6.843009801915475e-137,2.106226258047947e-198,1.29840999913147e-115
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.1880154670700022e-108,5.071433753298598e-50,2.0002926662737582e-33,5.690701164931555e-80,3.288491341140665e-50,5.153148684708138e-121,1.7560918886728717e-18,1.5314363386980314e-98,1.756091888672865e-18,8.180147483109159e-67,5.234418454228091e-66,2.087153444605238e-102,2.420049657738977e-103,7.205060118491392e-35,6.420047348654617e-79,9.590499897454848e-17,2.8395765647539465e-18,1.1367777172899693e-20,6.067391380610825e-35,2.246651162297135e-34,1.1367777163364388e-20,4.7661534249823596e-30,3.7634771558551116e-36,8.123498502743638e-40,5.4079541256313574e-68,4.1158049589400454e-50,2.6620120024069886e-48,4.3491702220553735e-71,2.021227136484576e-34,2.9876962431607176e-97,3.6756736492847596e-96,2.134904933098781e-26,3.248910113304154e-98,3.508192702091192e-113,1.3869239054098406e-86,1.0600108424360217e-65,2.0475241899919827e-94,1.981731717214235e-126,3.915810975073372e-134,4.5491804149403097e-194,3.8741116595339167e-113
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.2125764632630387e-106,4.157867794307777e-49,8.171851562427694e-33,3.792982865387916e-78,2.718988234040794e-49,1.3745133847167457e-118,3.562357831307825e-18,1.0305864501751154e-96,3.562357831307797e-18,1.3557994549598672e-65,8.697064548564389e-65,2.78313091327128e-100,3.2270339449502266e-101,2.943502153726362e-34,2.1310824361519565e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347989121468e-20,2.4787273510084935e-34,9.17830306202714e-34,2.3060347950166622e-20,1.9471276407981465e-29,3.085523632649883e-35,6.660412982313433e-39,1.8011485299610738e-66,3.3743855689310848e-49,2.1824791044531643e-47,1.4484541971107955e-69,8.257372362453222e-34,4.038775148789729e-95,4.901355473689653e-94,4.3308071648194144e-26,4.3918847114764555e-96,9.48871249776718e-111,9.243782304820753e-85,1.7568902338189027e-64,1.3600893761711131e-92,1.0937629076326669e-123,2.1180434872527747e-131,8.533477931192727e-190,1.0689590820465697e-110
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,8.451506158164577e-104,3.3671491402084475e-48,3.3031957594909924e-32,2.4771650552480548e-76,2.2110360761074376e-48,3.5915757050519457e-116,7.174889716577731e-18,6.76205465556467e-95,7.174889716577618e-18,2.2075679443273914e-64,1.417841023833086e-63,3.635847822619939e-98,4.215757256033487e-99,1.1898106330865695e-33,6.947098539774502e-76,3.9184042438171695e-16,1.160169853599468e-17,4.64454896514135e-20,1.0019412250392197e-33,3.710016845966366e-33,4.644548949395166e-20,7.870588719441427e-29,2.4987332785666942e-34,5.394225564996986e-38,5.879731989666372e-65,2.7326649159262107e-48,1.7674295123978613e-46,4.727988745583424e-68,3.3377619327178796e-33,5.311966682112245e-93,6.40307020448297e-92,8.72261167334676e-26,5.776391231047661e-94,2.4965149976071784e-108,6.036535016885342e-83,2.8606403017033916e-63,8.870003660263493e-91,5.812323848371837e-121,1.1145086088521332e-128,1.494946307213203e-185,2.8400583809927877e-108
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.1934479349405316e-101,2.7101745639993175e-47,1.3282026592743e-31,1.6016681404790653e-74,1.7832806956623325e-47,9.289956212786744e-114,1.4399953487117542e-17,4.381710783067509e-93,1.4399953487117092e-17,3.563023562375371e-63,2.289817040224786e-62,4.7020508897056945e-96,5.452017279896268e-97,4.784176225868452e-33,2.2452920820796564e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577309539216e-20,4.028761585404027e-33,1.4917814563993378e-32,9.321577246224402e-20,3.1647190365729933e-28,2.011191879938362e-33,4.342467143684982e-37,1.9005401027189722e-63,2.199486453329827e-47,1.4225832060896657e-45,1.5279997404927488e-66,1.3420993929659114e-32,6.892804272831516e-91,8.280754150734772e-90,1.7506220870745773e-25,7.495441305359488e-92,6.479631857649988e-106,3.9024129769238873e-81,4.617084980178369e-62,5.73432863867661e-89,3.0318484889046807e-118,5.7856055008355904e-126,2.5322627579551113e-181,7.406953352623081e-106
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,5.6551647243479444e-99,2.1747444077479197e-46,5.3267041410478845e-31,1.0305625769465965e-72,1.4324280337189728e-46,2.3911151250736278e-111,2.885008102819714e-17,2.8216990849806257e-91,2.885008102819535e-17,5.725683212748305e-62,3.680814013841435e-61,6.051120701123779e-94,7.016260648256055e-95,1.9186686440848765e-32,7.230894463076389e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675634046093321e-19,1.615713575682602e-32,5.982710854787902e-32,1.86756337921718e-19,1.2691858010685713e-27,1.6138451177503032e-32,3.4857201245364776e-36,6.113860906038125e-62,1.7649493479705752e-46,1.1415369168761054e-44,4.913789078925938e-65,5.382418833057248e-32,8.885312806714232e-89,1.0656593054183e-87,3.5073439986921074e-25,9.662154772787411e-90,1.6706262854068522e-103,2.5100993752366804e-79,7.419531614143443e-61,3.693658094902976e-87,1.5671649846476696e-115,2.9837611171989814e-123,4.2183350355087e-177,1.914296555469487e-103
