Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),H2OX(23),CHOX(53),O(29),acetyl(44),C2H4X(215),C2H4X(70),C2H6X(52),HOCO(73),CHO2(74),S(216),CHO2X(213)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.106167949390087e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,-1.688269809718104e-118,5.852212541467442e-54,3.772712002372802e-36,1.0825732412453436e-87,2.5723734605015573e-54,4.676704890488935e-131,6.271756745260255e-20,-1.3410569162248177e-105,6.271756745260253e-20,4.185072093422559e-72,2.249753029045424e-71,2.737463746817597e-111,3.1740829696681334e-112,1.3589325006584977e-37,2.2142618102930133e-85,3.4251785348053283e-18,1.0141344874121237e-19,4.0599204172791522e-22,1.1443589937800366e-37,4.237365451411085e-37,4.0599204170993096e-22,8.989356772125849e-33,4.342890927088012e-40,9.373797023548137e-44,1.503085269606602e-74,3.0718442252464734e-52,1.2088542807843807e-77,3.812197541577014e-37,-6.135352905826878e-106,4.820931295837023e-105,4.7494587506545657e-54,-6.671765947148085e-107,7.624660450979385e-28,-4.948293656498427e-123,2.63852332238789e-94,4.832990643088605e-102,5.423156250619833e-71,-3.7587479076380316e-138,-3.8575543008274866e-145,-4.400629226906461e-211,-1.0598857080771719e-123
1.9897270258292246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,3.058555890036722e-116,6.947746729252461e-53,2.2787181041010016e-35,1.1962763714837278e-85,3.887370748910451e-53,1.6874947638048388e-128,1.756091888672872e-19,2.588930375069456e-104,1.756091888672871e-19,1.1802572842947035e-70,7.073583498391715e-70,5.472339959008244e-109,6.345165698830538e-110,8.207952303977331e-37,1.1461824673991797e-83,9.590499897454917e-18,2.839576564753946e-19,1.1367777168673119e-21,6.911928321729545e-37,2.5593687326493557e-36,1.1367777167586864e-21,5.429571236915907e-32,5.155879885515852e-39,1.1128598579644842e-42,9.144022806787567e-73,3.646893544334247e-51,7.354050198228889e-76,2.302567315108248e-36,6.209151381486446e-104,9.637305699645084e-103,5.638557428230544e-53,6.752016617878839e-105,2.134904926714522e-27,9.136782370195701e-121,2.9156416048856474e-92,4.5514471102832474e-100,1.529416823839737e-69,2.1743871260435885e-135,1.2540807708680724e-142,8.188361618256346e-208,3.412176113176788e-121
4.547947487609656e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.2911533282382036e-113,6.821338938403625e-52,1.0971047322917452e-34,1.082306401819374e-83,4.181856059104186e-52,6.110046891351221e-126,4.013924316966564e-19,2.7336370646499546e-102,4.0139243169665603e-19,2.5673173922342773e-69,1.5780775668554637e-68,9.907163798263189e-107,1.1487333823605455e-107,3.9517757119149135e-36,5.0048290717817495e-82,2.1921142622754077e-17,6.490460719437593e-19,2.5983490672626998e-21,3.3277959528595274e-36,1.2322258732659328e-35,2.598349066739715e-21,2.614104569162075e-31,5.062072972932437e-38,1.0926180745834494e-41,4.1280700837934305e-71,3.580541877324328e-50,3.3199694848811784e-74,1.1085870450841921e-35,1.300298348676189e-101,1.7447447866031546e-100,5.53596911806863e-52,1.4139832517212237e-102,4.879782691708862e-27,3.808489597467609e-118,2.6378530469817606e-90,3.9781050547837096e-98,3.3268156562712387e-68,2.2771157892539565e-132,1.0633193736725217e-139,7.226142174502311e-203,1.7819067703608997e-118
9.664388411170519e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,4.153035467691757e-111,6.033397041896536e-51,4.7913450903645515e-34,8.191141472309221e-82,3.843846188527795e-51,1.8526881787929952e-123,8.529589173553949e-19,2.160712272829699e-100,8.529589173553932e-19,4.75937376871684e-68,2.9555646334652046e-67,1.5012174437244636e-104,1.7406582013792435e-105,1.725844275836293e-35,1.8632822682070254e-80,4.658242807335231e-17,1.3792229028804885e-18,5.521491768519857e-21,1.4533359210127313e-35,5.381454123246499e-35,5.521491766235845e-21,1.14164791721553e-30,4.477345377660083e-37,9.66418394325775e-41,1.5586967216978825e-69,3.166949044051788e-49,1.2535570756562668e-72,4.841490877736636e-35,2.0896740017869452e-99,2.6437852061530936e-98,4.8965019900167235e-51,2.272373909198226e-100,1.0369538228742246e-26,1.2258691234209892e-115,1.9963665889977972e-88,2.9679634901743153e-96,6.167355550081371e-67,1.6075215167616398e-129,6.842981257924304e-137,2.1062262578882396e-198,6.286747773532408e-116
1.9897270258292245e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,1.1880154668804364e-108,5.071433753298566e-50,2.0002926662737582e-33,5.690701164931187e-80,3.288491341140665e-50,5.153148684707807e-121,1.7560918886728717e-18,1.5314363386980314e-98,1.756091888672865e-18,8.180147483109159e-67,5.105002907172866e-66,2.0871534446051036e-102,2.420049657738822e-103,7.205060118491364e-35,6.420047348654617e-79,9.590499897454848e-17,2.8395765647539465e-18,1.1367777172899693e-20,6.067391375230504e-35,2.246651162297135e-34,1.1367777163364388e-20,4.7661534249823596e-30,3.7634771558551116e-36,8.123498502743638e-40,5.407954125631006e-68,2.6620120024069886e-48,4.3491702220553735e-71,2.021227136484576e-34,2.9876962426831493e-97,3.675673649284524e-96,4.115804955521803e-50,3.2489101133039494e-98,2.134904933098781e-26,3.5081927020909666e-113,1.3869239054098406e-86,2.0475241899919827e-94,1.0600108424360217e-65,9.595322773017553e-127,3.9157768947701436e-134,4.5491804142511776e-194,1.8757990819262404e-113
4.03630339525357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,3.2125764622377056e-106,4.157867794307725e-49,8.171851562427694e-33,3.792982865387427e-78,2.718988234040794e-49,1.3745133847165696e-118,3.562357831307825e-18,1.0305864501751154e-96,3.562357831307797e-18,1.3557994549598672e-65,8.482038681634864e-65,2.783130913270922e-100,3.227033944949811e-101,2.9435021537263374e-34,2.1310824361519565e-77,1.9455014077693961e-16,5.760283888500861e-18,2.3060347989121468e-20,2.4787273465973806e-34,9.17830306202714e-34,2.3060347950166622e-20,1.9471276407981465e-29,3.085523632649883e-35,6.660412982313433e-39,1.8011485299608398e-66,2.1824791044531643e-47,1.4484541971107955e-69,8.257372362453222e-34,4.038775147498312e-95,4.901355473689024e-94,3.374385563316612e-49,4.391884711475903e-96,4.3308071648194144e-26,9.48871249776596e-111,9.243782304820753e-85,1.3600893761711131e-92,1.7568902338189027e-64,5.295877226726137e-124,2.118005865301141e-131,8.533477928608671e-190,5.175773544602099e-111
8.12945613410226e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,8.451506152769495e-104,3.3671491402083637e-48,3.3031957594909924e-32,2.477165055247416e-76,2.2110360761074376e-48,3.5915757050510254e-116,7.174889716577731e-18,6.76205465556467e-95,7.174889716577618e-18,2.2075679443273914e-64,1.3827863805756672e-63,3.6358478226190045e-98,4.215757256032404e-99,1.1898106330865497e-33,6.947098539774502e-76,3.9184042438171695e-16,1.160169853599468e-17,4.64454896514135e-20,1.0019412214669858e-33,3.710016845966366e-33,4.644548949395166e-20,7.870588719441427e-29,2.4987332785666942e-34,5.394225564996986e-38,5.879731989664845e-65,1.7674295123978613e-46,4.727988745583424e-68,3.3377619327178796e-33,5.311966678714842e-93,6.403070204481326e-92,2.7326649068249077e-48,5.776391231046208e-94,8.72261167334676e-26,2.4965149976065355e-108,6.036535016885342e-83,8.870003660263493e-91,2.8606403017033916e-63,2.8142619289487342e-121,1.1144686223814662e-128,1.4949463063080445e-185,1.3751227024774222e-108
1.631576161179964e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996453,0.022821567693054275,2.1934479321400498e-101,2.7101745639991824e-47,1.3282026592743e-31,1.6016681404782388e-74,1.7832806956623325e-47,9.289956212781977e-114,1.4399953487117542e-17,4.381710783067509e-93,1.4399953487117092e-17,3.563023562375371e-63,2.2332036978083157e-62,4.702050889703278e-96,5.452017279893465e-97,4.784176225868291e-33,2.2452920820796564e-74,7.864209915912519e-16,2.3284527830982297e-17,9.321577309539216e-20,4.028761556651582e-33,1.4917814563993378e-32,9.321577246224402e-20,3.1647190365729933e-28,2.011191879938362e-33,4.342467143684982e-37,1.9005401027179839e-63,1.4225832060896657e-45,1.5279997404927488e-66,1.3420993929659114e-32,6.892804264014117e-91,8.280754150730517e-90,2.199486438672459e-47,7.495441305355716e-92,1.7506220870745773e-25,6.479631857646651e-106,3.9024129769238873e-81,5.73432863867661e-89,4.617084980178369e-62,1.4679869757286464e-118,5.785188335320011e-126,2.532262754889007e-181,3.586359265466278e-106
3.26883725671944e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996373,0.022821567693054264,5.655164709907313e-99,2.1747444077477026e-46,5.3267041410478845e-31,1.030562576945533e-72,1.4324280337189728e-46,2.3911151250711744e-111,2.885008102819714e-17,2.8216990849806257e-91,2.885008102819535e-17,5.725683212748305e-62,3.5898097196202384e-61,6.051120701117558e-94,7.01626064824884e-95,1.9186686440847473e-32,7.230894463076389e-73,1.575582126010244e-15,4.6650186420957425e-17,1.8675634046093321e-19,1.6157135526105763e-32,5.982710854787902e-32,1.86756337921718e-19,1.2691858010685713e-27,1.6138451177503032e-32,3.4857201245364776e-36,6.113860906031765e-62,1.1415369168761054e-44,4.913789078925938e-65,5.382418833057248e-32,8.885312783981146e-89,1.0656593054172045e-87,1.7649493244422537e-46,9.662154772777683e-90,3.5073439986921074e-25,1.6706262854051312e-103,2.5100993752366804e-79,3.693658094902976e-87,7.419531614143443e-61,7.58803673074502e-116,2.983329847034733e-123,4.218335025293982e-177,9.268797617228351e-104
