Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),C2H4X(215),C2H4X(70),HOCO(73),CHO2(74),S(216)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.4187322841511254e-118,5.482669591351455e-54,3.612171064171313e-36,9.501698137935966e-88,2.4099387517763728e-54,3.9300544070688146e-131,6.136864488443326e-20,-1.1770398848600872e-105,6.136864488443325e-20,3.836473975512747e-72,2.0370440167657603e-71,2.3509838472766104e-111,2.725960407797378e-112,1.3011055857368598e-37,1.986165756526975e-85,3.3515101702103593e-18,9.923225939858866e-20,3.972600093829163e-22,1.0956628662674886e-37,4.057052027946889e-37,3.972600093656972e-22,8.606830960984584e-33,4.068655381336607e-40,8.781880105536941e-44,1.3482493877328804e-74,2.8778700012671582e-52,1.0843278012013346e-77,3.649976369595166e-37,-5.269153101238417e-106,4.1403038190074346e-105,7.460670089482661e-28,4.449550128312792e-54,-5.729834420984707e-107,-4.158283190158471e-123,2.3158205602285107e-94,4.241893908419782e-102,-1.8716715793070505e-143,-3.1719612666547553e-145,-3.245767218463192e-211
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,2.5702478019080086e-116,6.509025338872904e-53,2.1817513739752548e-35,1.0499665052649829e-85,3.641899409518031e-53,1.4180809082748392e-128,1.7183220567641317e-19,2.2722930414916562e-104,1.718322056764131e-19,1.0819470354609033e-70,6.40479231716962e-70,4.699745249039137e-109,5.449343895083909e-110,7.858677737850635e-37,1.0281113255230457e-83,9.384228476589003e-18,2.7785032631604824e-19,1.112328026300074e-21,6.617803710897468e-37,2.4504594248771657e-36,1.1123280261960711e-21,5.198525662990781e-32,4.8303074641849526e-39,1.042587258615057e-42,8.202077956090604e-73,3.4166073389522227e-51,6.5964948917444e-76,2.2045857272314807e-36,5.33253231488177e-104,8.276693702278013e-103,2.0889876254767026e-27,5.2825059113197705e-53,5.798754869360643e-105,7.678066274247801e-121,2.5590460858055542e-92,3.99478317543804e-100,6.105233522469076e-141,1.0311957125519362e-142,6.0394806175167145e-208
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,1.0850165121610044e-113,6.390599675742665e-52,1.0504194222846823e-34,9.499354609606515e-84,3.9177891931604816e-52,5.134558097949558e-126,3.9275932726037295e-19,2.399301479665562e-102,3.927593272603726e-19,2.3534711269442694e-69,1.4288739332494896e-68,8.508451828464822e-107,9.865530485402819e-108,3.783615043322788e-36,4.489266174123862e-82,2.1449665089346273e-17,6.350864601509674e-19,2.5424640602460228e-21,3.186187613068608e-36,1.1797907297228227e-35,2.542464059745293e-21,2.5028660872884867e-31,4.742424078418615e-38,1.0236235478064138e-41,3.7028285723837024e-71,3.3544455011653213e-50,2.977972844999385e-74,1.0614131282722748e-35,1.116719786954871e-101,1.49841844467966e-100,4.774828860219807e-27,5.186395626420539e-52,1.2143544421754377e-102,3.200451885033329e-118,2.315232268861141e-90,3.49156141312554e-98,5.185735286828846e-138,8.74336900712427e-140,5.329777669779056e-203
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,3.489989120137502e-111,5.652413042032851e-51,4.587458045341957e-34,7.189326453447997e-82,3.601123243966903e-51,1.5569001659403735e-123,8.3461357042829245e-19,1.8964478570480785e-100,8.346135704282909e-19,4.362938832812407e-68,2.676122740406144e-67,1.2892724674893931e-104,1.4949084849295935e-105,1.6524040938858111e-35,1.6713376879403813e-80,4.558053831486073e-17,1.3495587278208057e-18,5.402736128584455e-21,1.391491838054552e-35,5.152456075449846e-35,5.402736126397636e-21,1.0930671640070842e-30,4.19461962040162e-37,9.053926770381528e-41,1.398131660820662e-69,2.96696933465178e-49,1.1244256800575471e-72,4.6354699893238653e-35,1.7946495085056872e-99,2.2705301557071017e-98,1.0146511336450942e-26,4.5873081936895644e-51,1.9515554661015295e-100,1.0301549179632297e-115,1.7522023718690235e-88,2.6049623155013202e-96,3.340376757841712e-135,5.626773198830052e-137,1.5534869661847074e-198
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996523,0.022821567693054285,9.983442865856987e-109,4.751193745393287e-50,1.9151738126833206e-33,4.9946995330653645e-80,3.080836751868684e-50,4.330428961200857e-121,1.7183220567641315e-18,1.3441350795480834e-98,1.7183220567641252e-18,7.498777117837365e-67,4.6223365292262334e-66,1.7924840319916124e-102,2.078381146022995e-103,6.898461815576823e-35,5.758676530855328e-79,9.384228476588936e-17,2.778503263160482e-18,1.112328026704746e-20,5.80920449800379e-35,2.151048985179008e-34,1.1123280257917913e-20,4.563338463173603e-30,3.52582923918493e-36,7.610526452283496e-40,4.850865750172799e-68,2.493916964670143e-48,3.901153619973574e-71,1.93521747110356e-34,2.565885983667451e-97,3.1567330807367702e-96,2.0889876315892918e-26,3.8559089364271543e-50,2.7902210432289185e-98,2.948096427935991e-113,1.2172971583688377e-86,1.797094184783882e-94,1.9123344366064238e-132,3.2198078870136205e-134,3.355333956733445e-194
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996513,0.022821567693054285,2.6996740578359397e-106,3.895315687721314e-49,7.824113060925282e-33,3.329078893107291e-78,2.5472954039843326e-49,1.1550661050921424e-118,3.4857390294358086e-18,9.045412892347168e-97,3.485739029435783e-18,1.2428673138496915e-65,7.68008127586535e-65,2.3901996169559355e-100,2.7714310032436978e-101,2.818246742929461e-34,1.9115360812525344e-77,1.9036577766794548e-16,5.636392333839833e-18,2.256436855111803e-20,2.3732495788087127e-34,8.78773697428868e-34,2.2564368513820843e-20,1.8642712090269154e-29,2.890685705679762e-35,6.239824337662334e-39,1.6156057892128755e-66,2.0446645672661248e-47,1.2992460942819006e-69,7.905994815125498e-34,3.468567943534731e-95,4.2093664800055597e-94,4.237660638269567e-26,3.1613070997560816e-49,3.77182437360723e-96,7.973796571485778e-111,8.113228177880513e-85,1.1937326152985975e-92,1.0345863257811707e-129,1.7415466094862149e-131,6.294027864108247e-190
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999995,0.11866996602996494,0.02282156769305428,7.102172371514848e-104,3.1545276371403295e-48,3.1626341267482565e-32,2.1741894789664948e-76,2.0714183181078963e-48,3.0181591356535254e-116,7.020572974779165e-18,5.935026251296762e-95,7.020572974779059e-18,2.0236872282767545e-64,1.2520470830999156e-63,3.122521780353584e-98,3.6205568810550332e-99,1.13918039338073e-33,6.231337953492695e-76,3.834127634720529e-16,1.1352170475198528e-17,4.54465451478375e-20,9.593054180394877e-34,3.552143788697176e-33,4.544654499707618e-20,7.535670565430075e-29,2.3409487867128297e-34,5.053584455672243e-38,5.274030483623918e-65,1.6558236147333226e-46,4.240949502806952e-68,3.195729510057708e-33,4.561998181455785e-93,5.499054732238526e-92,8.535006694797639e-26,2.5601084347448113e-48,4.960853098425349e-94,2.09793139962365e-108,5.298241123351759e-83,7.785007612885422e-91,5.444371322223268e-127,9.163631928974138e-129,1.1026258930899023e-185
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,1.8432442987621365e-101,2.5390382806269126e-47,1.2716833077854704e-31,1.4057673723163491e-74,1.6706739158351427e-47,7.806731860184155e-114,1.409024086546587e-17,3.845808685041757e-93,1.4090240865465445e-17,3.266239345319729e-63,2.022059383241743e-62,4.038179196812121e-96,4.682259566471855e-97,4.5805942588099934e-33,2.0139185230522226e-74,7.69506735080249e-16,2.278372675791589e-17,9.121089845559041e-20,3.8573248401809624e-33,1.4283013944297066e-32,9.12108978493848e-20,3.0300505558343995e-28,1.884193697685844e-33,4.0682291444435216e-37,1.7047496438206496e-63,1.3327528892695954e-45,1.370597626400952e-66,1.2849887805062583e-32,5.919624811051966e-91,7.111613619235046e-90,1.712969898052388e-25,2.0605979652212742e-47,6.437176922727122e-92,5.445100701414176e-106,3.425131497282504e-81,5.032793319273603e-89,2.8262136445858545e-124,4.756647732147563e-126,1.867718244323024e-181
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999983,0.11866996602996376,0.022821567693054264,4.752233548796627e-99,2.0374183180472247e-46,5.100035162420218e-31,9.045076539656725e-73,1.3419761443425121e-46,2.009338272355253e-111,2.822957664683926e-17,2.476593135614853e-91,2.822957664683755e-17,5.248758943331375e-62,3.250401400915602e-61,5.19674068129938e-94,6.025608964419208e-95,1.8370231698683168e-32,6.485501046152696e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960552835704e-19,1.5469597406932446e-32,5.728127414197217e-32,1.8273960309719385e-19,1.215178227193981e-27,1.5119378829776937e-32,3.265564468622681e-36,5.483982453022754e-62,1.0694534546472312e-44,4.407611027272148e-65,5.153379733834237e-32,7.6307618222389e-89,9.15194942962425e-88,3.431908424265674e-25,1.6535000510908095e-46,8.29791863099152e-90,1.4038860428407104e-103,2.2031039688773434e-79,3.241647635608841e-87,1.4573623618164748e-121,2.4527436358114098e-123,3.111312727630267e-177
